Time [sec]	Time (UTC)	P [mB]	T [°F]	Hu [%]	Ws [mi/h]	Wd [°]	Ws U [mi/h]	Ws V [mi/h]	Geopot [m]	Dew [°F]
0         	16:57:25  	870.7 	28.3  	14    	3.5      	135   	-2.5       	2.5        	1288      	-1.7
2         	16:57:27  	869.9 	29.7  	9     	7.5      	169   	-1.4       	7.4        	1300      	-6.6
4         	16:57:29  	869.1 	29.5  	6     	7.5      	169   	-1.4       	7.4        	1306      	-11.2
6         	16:57:31  	868.3 	29.7  	7     	7.6      	169   	-1.4       	7.5        	1313      	-10.5
8         	16:57:33  	867.6 	29.6  	7     	9.8      	177   	-0.5       	9.8        	1319      	-10.6
10        	16:57:35  	867.0 	29.4  	7     	9.8      	177   	-0.5       	9.8        	1326      	-10.6
12        	16:57:37  	866.3 	29.0  	7     	9.8      	177   	-0.5       	9.8        	1333      	-10.8
14        	16:57:39  	865.8 	28.9  	7     	9.8      	177   	-0.5       	9.8        	1339      	-10.9
16        	16:57:41  	865.2 	28.8  	7     	9.8      	177   	-0.5       	9.8        	1344      	-10.9
18        	16:57:43  	864.7 	28.5  	7     	9.8      	177   	-0.5       	9.8        	1349      	-11.1
20        	16:57:45  	864.4 	28.4  	7     	9.9      	177   	-0.5       	9.9        	1353      	-11.1
22        	16:57:47  	864.1 	28.4  	7     	10.4     	178   	-0.3       	10.4       	1356      	-11.0
24        	16:57:49  	863.8 	28.3  	7     	10.7     	179   	-0.2       	10.7       	1358      	-11.0
26        	16:57:51  	863.6 	28.2  	7     	10.9     	179   	-0.1       	10.9       	1360      	-10.9
28        	16:57:53  	863.4 	28.2  	7     	11.0     	180   	-0.0       	11.0       	1362      	-10.7
30        	16:57:55  	863.2 	28.2  	7     	11.7     	181   	0.2        	11.7       	1364      	-10.6
32        	16:57:57  	863.1 	28.2  	7     	11.7     	181   	0.3        	11.7       	1366      	-10.5
34        	16:57:59  	862.9 	28.2  	7     	11.7     	182   	0.5        	11.7       	1367      	-10.5
36        	16:58:01  	862.8 	28.2  	7     	11.7     	183   	0.6        	11.7       	1369      	-10.4
