Time [sec]	Time (UTC)	P [mB]	T [°F]	Hu [%]	Ws [mi/h]	Wd [°]	Ws U [mi/h]	Ws V [mi/h]	Geopot [m]	Dew [°F]
0         	17:00:03  	873.3 	26.1  	47    	8.7      	180   	-0.0       	8.7        	1288      	13.9
2         	17:00:05  	872.1 	25.9  	45    	8.4      	201   	3.0        	7.8        	1300      	13.1
4         	17:00:07  	870.8 	25.4  	47    	8.4      	201   	3.0        	7.8        	1313      	13.3
6         	17:00:09  	869.6 	25.0  	48    	8.4      	201   	3.0        	7.8        	1325      	13.3
8         	17:00:11  	868.7 	25.1  	48    	9.0      	186   	0.9        	9.0        	1337      	13.2
10        	17:00:13  	867.7 	25.4  	48    	9.1      	184   	0.7        	9.1        	1346      	13.6
12        	17:00:15  	866.7 	25.3  	48    	9.1      	184   	0.7        	9.1        	1354      	13.6
14        	17:00:17  	865.9 	25.2  	48    	9.2      	184   	0.6        	9.2        	1363      	13.4
16        	17:00:19  	865.0 	24.9  	48    	9.2      	184   	0.6        	9.2        	1372      	13.1
18        	17:00:21  	864.1 	24.7  	48    	9.2      	184   	0.6        	9.2        	1381      	12.9
20        	17:00:23  	863.2 	24.6  	48    	9.7      	183   	0.5        	9.7        	1390      	12.9
22        	17:00:25  	862.2 	24.4  	49    	10.0     	182   	0.4        	10.0       	1400      	12.8
24        	17:00:27  	861.3 	24.3  	49    	10.1     	182   	0.4        	10.1       	1410      	12.9
26        	17:00:29  	860.4 	24.2  	49    	10.2     	182   	0.4        	10.2       	1419      	13.0
28        	17:00:31  	859.4 	24.1  	50    	10.2     	182   	0.4        	10.2       	1429      	13.0
30        	17:00:33  	858.5 	24.1  	50    	10.5     	182   	0.3        	10.5       	1438      	13.0
32        	17:00:35  	857.6 	24.1  	50    	10.6     	181   	0.2        	10.6       	1447      	13.2
34        	17:00:37  	856.7 	24.0  	51    	10.7     	181   	0.1        	10.7       	1456      	13.2
36        	17:00:39  	855.8 	23.8  	51    	10.7     	180   	-0.0       	10.7       	1465      	13.1
38        	17:00:41  	854.9 	23.6  	51    	10.7     	180   	-0.0       	10.7       	1475      	13.1
40        	17:00:43  	853.9 	23.6  	52    	10.7     	179   	-0.1       	10.7       	1485      	13.1
42        	17:00:45  	852.9 	23.5  	52    	10.7     	179   	-0.1       	10.7       	1495      	13.1
44        	17:00:47  	851.9 	23.4  	52    	10.8     	179   	-0.1       	10.8       	1506      	13.1
46        	17:00:49  	850.9 	23.3  	53    	10.9     	180   	-0.0       	10.9       	1516      	13.0
48        	17:00:51  	849.8 	23.2  	53    	11.1     	180   	-0.0       	11.1       	1527      	13.0
50        	17:00:53  	848.9 	23.1  	53    	11.3     	180   	-0.0       	11.3       	1536      	13.0
52        	17:00:55  	848.0 	23.0  	53    	11.5     	180   	0.1        	11.5       	1546      	12.9
54        	17:00:57  	847.0 	22.8  	53    	11.6     	180   	0.1        	11.6       	1556      	12.9
56        	17:00:59  	845.8 	22.7  	54    	11.8     	181   	0.2        	11.8       	1568      	12.9
58        	17:01:01  	844.6 	22.6  	54    	11.9     	181   	0.2        	11.9       	1581      	12.8
60        	17:01:03  	843.4 	22.5  	54    	11.8     	180   	0.1        	11.8       	1593      	12.8
62        	17:01:05  	842.2 	22.4  	55    	11.8     	180   	0.1        	11.8       	1605      	12.8
64        	17:01:07  	841.0 	22.2  	55    	11.8     	180   	-0.0       	11.8       	1618      	12.8
66        	17:01:09  	839.8 	22.3  	55    	11.6     	180   	-0.1       	11.6       	1631      	12.9
68        	17:01:11  	838.6 	22.3  	56    	11.5     	179   	-0.2       	11.5       	1644      	13.0
70        	17:01:13  	837.4 	22.2  	56    	11.2     	178   	-0.4       	11.2       	1657      	12.9
72        	17:01:15  	836.2 	22.0  	56    	10.8     	176   	-0.7       	10.8       	1668      	12.7
74        	17:01:17  	835.2 	21.9  	56    	10.4     	175   	-0.9       	10.4       	1679      	12.6
