,target,tracers,norm_rmse,r2,gap_fill_potential,gaps_needed_to_fill_for_regime,overlap_points_counted
147,trans2Butene,"['Propylene', 'Propene_WAS', 'CO_Piccaro']","[0.8944800359400421, 0.9811446164493275, 0.9937298968579316]","[0.199905465304701, 0.03735524161250192, 0.01250089209072458]","[0, 91, 1396]","[1423, 1423, 1423]","[233, 107, 223]"
148,Isoprene,"['Isoprene_WAS', 'Monoterpenes_PTR', 'MVK_MACR_PTR', 'H2O_Piccaro']","[0.4070817079794226, 0.7702153646916695, 0.881063057662468, 0.9874960162166222]","[0.8342844830285561, 0.40676829199287845, 0.22372788842246272, 0.02485161795630042]","[91, 821, 863, 1396]","[1423, 1423, 1423, 1423]","[107, 228, 228, 223]"
149,x23_Dimethylpentane,"['x24_Dimethylpentane', 'CO_Piccaro', 'nHeptane']","[0.23203700742014208, 0.7908864233574944, 0.8929864602224767]","[0.946158827187505, 0.37449866534879017, 0.2025751818593312]","[0, 1396, 0]","[1423, 1423, 1423]","[233, 223, 233]"
150,x3_Methylhexane,"['x2_Methylhexane', 'CO_Piccaro']","[0.2639822557893343, 0.8612398153961281]","[0.9303133686283744, 0.258265980376443]","[0, 1396]","[1423, 1423]","[233, 223]"
151,x2_Methylhexane,"['x3_Methylhexane', 'CO_Piccaro']","[0.25048682624124996, 0.8920491403455599]","[0.9372563498795858, 0.2042483312087474]","[0, 1396]","[1423, 1423]","[233, 223]"
152,x234_Trimethylpentane,"['x224_Trimethylpentane', 'x224_TriMethylPentane_WAS', 'CO_Piccaro', 'nOctane', 'x3_Methylheptane']","[0.3343492102202418, 0.7871651630484295, 0.8223961478125205, 0.8564939555008225, 0.9500614725776511]","[0.8882106056251006, 0.38037100608293917, 0.32366457606312704, 0.2664181041905549, 0.097383198323585]","[0, 91, 1396, 0, 0]","[1423, 1423, 1423, 1423, 1423]","[233, 107, 223, 233, 233]"
153,x24_Dimethylpentane,"['x23_Dimethylpentane', 'CO_Piccaro', 'nHeptane']","[0.2062305249672008, 0.8349382132309346, 0.96232586360413]","[0.9574689705717527, 0.3028781800867342, 0.07392893223856545]","[0, 1369, 0]","[1423, 1423, 1423]","[233, 223, 233]"
154,x23_Dimethylbutane,"['x3_Methylpentane', 'CO_Piccaro']","[0.37020732959193614, 0.7912214676178304]","[0.8629465331164076, 0.37396858918068654]","[0, 1396]","[1423, 1423]","[233, 223]"
155,Cyclohexane,"['nHexane', 'MethylCycloHexane_WAS', 'CO_Piccaro']","[0.6489354913243595, 0.8499413877261522, 0.9498297210456087]","[0.5788827280996123, 0.2775996374301425, 0.09782350101842141]","[0, 56, 1385]","[1423, 1423, 1423]","[233, 107, 223]"
156,Hex1ene,"['Pent1ene', 'Ethylene', 'x1_Butene_WAS', 'CO_Piccaro']","[0.5105476101907646, 0.8318900955286341, 0.8637473080307781, 0.8846668036472848]","[0.7393411377284991, 0.3079588689613598, 0.25394058786958407, 0.2173646465244965]","[0, 0, 91, 1396]","[1423, 1423, 1423, 1423]","[233, 233, 107, 223]"
157,x3_Methylheptane,"['CO_Piccaro', 'nDecane']","[0.9964467475207078, 0.9986416410111798]","[0.007093879355402843, 0.002714872838497917]","[1396, 0]","[1423, 1423]","[223, 45]"
158,nUndecane,"['nDecane', 'nDecane_WAS', 'CO_Piccaro']","[0.5185357183336762, 0.96698847620197, 0.9966325720908665]","[0.7311207088121784, 0.06493328689259203, 0.006723516247543859]","[0, 180, 1463]","[1611, 1611, 1611]","[45, 18, 42]"
159,pDiethylbenzene,"['x124_Trimethylbenzene', 'CO_Piccaro', 'C9Aromatics_PTR']","[0.9538210904896152, 0.9872758834509895, 0.9906064391404699]","[0.09022532733720101, 0.025286329956068276, 0.01869888273343867]","[0, 1296, 1367]","[1611, 1611, 1611]","[45, 42, 42]"
160,mDiethylbenzene,[],[],[],[],[],[]
161,nDodecane,[],[],[],[],[],[]
162,x2_Methylheptane,[],[],[],[],[],[]
163,Alpha-pinene,"['Beta_Pinene_WAS', 'Isoprene_WAS']","[0.3871055605701357, 0.5807106327610035]","[0.8501492849756811, 0.6627751609983148]","[156, 183]","[1611, 1611]","[15, 15]"
164,Beta-pinene,[],[],[],[],[],[]
165,NO,"['NOy_LIF', 'Acetaldehyde_PTR', 'CO_Piccaro', 'CO2_Piccaro']","[0.8764602554655208, 0.9985291488589348, 0.9994044234446964, 0.999738332327237]","[0.2318174205893141, 0.0029395388790508514, 0.001190798399173687, 0.0005232668755549286]","[1533, 1305, 1519, 1519]","[1553, 1553, 1553, 1553]","[102, 102, 100, 100]"
166,NO2,"['NOy_LIF', 'CO_Piccaro', 'CO2_Piccaro']","[0.6757323248334995, 0.8657184745480361, 0.9176583072152674]","[0.5433858251751137, 0.25053152282622115, 0.15790323119880967]","[1422, 1409, 1409]","[1440, 1440, 1440]","[213, 210, 210]"
167,NOy,"['NO2_LIF', 'APAN_CIMS', 'CO_Piccaro', 'CO2_Piccaro', 'C10H17NO4_CIMS']","[0.629263361429439, 0.7185731954292467, 0.8381601501362766, 0.924000219884361, 0.9998354706120385]","[0.6040276219625234, 0.48365256281060165, 0.29748756272353427, 0.14622359365365256, 0.00032903170600340204]","[1445, 94, 1432, 1432, 1321]","[1463, 1463, 1463, 1463, 1463]","[189, 23, 187, 187, 176]"
168,O3,"['C4H7NO5_CIMS', 'APAN_CIMS', 'ISOPN_CIMS']","[0.8654782037050045, 0.9492398850422703, 0.9634361998664615]","[0.25094747891155855, 0.09894364064493744, 0.07179068878687178]","[1141, 75, 1141]","[1260, 1260, 1260]","[361, 42, 361]"
