,target,tracers,norm_rmse,r2,gap_fill_potential,gaps_needed_to_fill_for_regime,overlap_points_counted
41,HONO_CIMS,"['CO2_Piccaro', 'NO2_LIF', 'Ethyne_WAS', 'CO_Piccaro', 'Benzene_PTR', 'Acetylene', 'NO_LIF']","[0.7370058344209192, 0.7403985203385802, 0.9423437792503889, 0.9484212579275423, 0.970116115463058, 0.9886243840615321, 0.9903803708378504]","[0.45682240002952434, 0.45181003108044104, 0.11198820170809409, 0.10049711751113843, 0.05887472251886694, 0.022621827238956005, 0.019146721059082106]","[125, 140, 14, 136, 81, 18, 140]","[160, 160, 160, 160, 160, 160, 160]","[1483, 1494, 184, 1483, 1326, 215, 1494]"
42,O3_ppbv,"['APAN_CIMS', 'ISOPN_CIMS', 'C4H7NO5_CIMS']","[0.9385040317881133, 0.949378752415586, 0.9966700297803629]","[0.11921018231745606, 0.09867998446182524, 0.006648851737610428]","[6, 49, 49]","[92, 92, 92]","[111, 1453, 1453]"
43,CO2_Piccaro,[],[],[],[],[],[]
44,CH4_Piccaro,"['Ethane_WAS', 'CO_Piccaro']","[0.7669288462430087, 0.975829567692993]","[0.41182014480036744, 0.04775665481610658]","[7, 0]","[37, 37]","[191, 1619]"
45,CO_Piccaro,"['Benzene_WAS', 'CO2_Piccaro', 'HCHO_CRDS', 'Ethyne_WAS']","[0.5977913660806408, 0.9141104336117682, 0.9209559027861833, 0.9462058072461497]","[0.6426454826394413, 0.16440211516210534, 0.1518402251232862, 0.10469457033366214]","[7, 0, 16, 7]","[37, 37, 37, 37]","[191, 1619, 907, 191]"
46,H2O_Piccaro,[],[],[],[],[],[]
47,HCHO_CRDS,"['CO_Piccaro', 'Acetaldehyde_PTR', 'MVK_MACR_PTR']","[0.6774735039606227, 0.7504795434926395, 0.8243470517843242]","[0.5410296514313162, 0.43678045479907945, 0.3204519382144926]","[712, 712, 713]","[733, 733, 733]","[907, 695, 696]"
48,H2O_CRDS,[],[],[],[],[],[]
49,CH4_CRDS,"['Ethane_WAS', 'CO_Piccaro', 'Propane_WAS']","[0.6727101326891697, 0.8693463494855881, 0.9292783480469708]","[0.5474610773773197, 0.24423692463608193, 0.13644175185109286]","[79, 714, 79]","[735, 735, 735]","[119, 905, 119]"
50,Acetone_WAS,"['Acetone_Propanal_PTR', 'CO_Piccaro', 'Methanol_PTR', 'H2O_Piccaro']","[0.7514271066205196, 0.8811998918521282, 0.8965118772715962, 0.9990774172196872]","[0.4353573034359143, 0.2234867505997975, 0.1962664539109581, 0.0018443144016391244]","[1252, 1428, 1252, 1428]","[1458, 1458, 1458, 1458]","[157, 191, 157, 191]"
51,Benzene_WAS,"['CO_Piccaro', 'Toluene_WAS', 'nButane_WAS', 'Ethyne_WAS', 'C8Aromatics_PTR', 'Acetylene']","[0.5131013377316194, 0.6185900365646656, 0.6352587352408816, 0.6911654107293584, 0.6956679951264256, 0.7557641681891637]","[0.7367270172180227, 0.6173463666629257, 0.5964463393001556, 0.5222903750113171, 0.5160460405567795, 0.4288205220813416]","[1428, 0, 0, 0, 1252, 126]","[1458, 1458, 1458, 1458, 1458, 1458]","[191, 198, 198, 198, 157, 107]"
52,C2Cl4_WAS,['CH2Cl2_WAS'],[0.9592504952761801],[0.07983848731240306],[0],[1458],[198]
53,C2HCl3_WAS,"['C2Cl4_WAS', 'CH2Cl2_WAS']","[0.8698614038231588, 0.9174763810470802]","[0.24334113813880365, 0.15823709022075283]","[103, 96]","[1561, 1561]","[95, 95]"
54,CCl4_WAS,"['CF2Cl2_WAS', 'C2Cl4_WAS', 'CFCl3_WAS']","[0.8845372366201935, 0.9903416144244943, 0.9993627755681577]","[0.2175938770323118, 0.01922348673908625, 0.0012740428087080202]","[0, 0, 0]","[1458, 1458, 1458]","[198, 198, 198]"
55,CF2Cl2_WAS,['CFCl3_WAS'],[0.9570879115133388],[0.0839827296350355],[0],[1458],[198]
56,CH2Cl2_WAS,[],[],[],[],[],[]
57,Ethyl_WAS,"['o_Xylene_WAS', 'iPentane_WAS', 'CO_Piccaro', 'oXylene']","[0.12050676536163515, 0.7288504471319333, 0.770408811765201, 0.7722023932833987]","[0.9854781195020759, 0.468777025715581, 0.406470262754531, 0.4037034638073912]","[0, 0, 1428, 27]","[1458, 1458, 1458, 1458]","[198, 198, 191, 18]"
58,Ethane_WAS,"['CH4_CRDS', 'CO2_Piccaro', 'Propane']","[0.5582086492278631, 0.6421307614499441, 0.9309664602213009]","[0.6884031039272045, 0.5876680851997149, 0.13330144994302084]","[802, 1428, 126]","[1458, 1458, 1458]","[119, 191, 107]"
59,Ethene_WAS,"['x13_Butadiene_WAS', 'Ethyne_WAS', 'CO_Piccaro', 'NO_LIF']","[0.5546260382468104, 0.6856726161053917, 0.7019485979471608, 0.978226924137611]","[0.6923899576986475, 0.5298530635231883, 0.5072681658400153, 0.04307208489226855]","[0, 0, 1428, 1437]","[1458, 1458, 1458, 1458]","[167, 198, 191, 197]"
60,Ethyne_WAS,"['Ethene_WAS', 'CO_Piccaro', 'Ethylene', 'Acetaldehyde_PTR', 'nButane_WAS', 'CO2_Piccaro', 'Benzene_PTR', 'NO_LIF']","[0.6154564991375884, 0.6873005759284424, 0.8380592649502931, 0.8473085867548167, 0.8865932952388671, 0.8994694157240937, 0.9683348729728626, 0.9966730050418805]","[0.6212132976693038, 0.5276179183284313, 0.2976566684309745, 0.28206815881155534, 0.21395232883748716, 0.1909547701769576, 0.06232757378463005, 0.006642921020787451]","[0, 1428, 126, 1250, 0, 1428, 1250, 1437]","[1458, 1458, 1458, 1458, 1458, 1458, 1458, 1458]","[198, 191, 107, 157, 198, 191, 157, 197]"
61,Isoprene_WAS,"['MVK_MACR_PTR', 'H2O_Piccaro']","[0.8032415619226718, 0.9696134656850178]","[0.3548029932000264, 0.059849727162288535]","[932, 1428]","[1458, 1458]","[157, 191]"
62,Limonene_WAS,"['Alpha_Pinene_WAS', 'D5_siloxane_PTR', 'Isoprene_WAS']","[0.5758360327649112, 0.9518492659605121, 0.9623874074585962]","[0.6684128633695681, 0.09398297489043428, 0.07381047796512208]","[36, 1285, 36]","[1494, 1494, 1494]","[162, 124, 162]"
63,MACR_WAS,"['MVK_MACR_PTR', 'Isoprene_WAS']","[0.3840871368581808, 0.6559840091483771]","[0.8524770713000851, 0.5696849797416219]","[1252, 0]","[1458, 1458]","[157, 198]"
64,Propane_WAS,"['CH4_CRDS', 'Ethane', 'CO2_Piccaro']","[0.6807389478108106, 0.9544864971099619, 0.9569270551226705]","[0.5365944849334305, 0.08895552683475483, 0.08429061117425363]","[802, 126, 1428]","[1458, 1458, 1458]","[119, 107, 191]"
65,Propene_WAS,"['x1_Butene_WAS', 'Ethyne_WAS', 'Ethylene', 'CO_Piccaro', 'NO_LIF']","[0.5364804931876603, 0.8108896104346647, 0.8386382174863686, 0.8421321125471989, 0.9716834286918452]","[0.7121886804291246, 0.3424580396891178, 0.29668594017128636, 0.29081350501679204, 0.05583131440565969]","[0, 0, 126, 1428, 1437]","[1458, 1458, 1458, 1458, 1458]","[198, 198, 107, 191, 197]"
66,Toluene_WAS,"['m_p_Xylene_WAS', 'iPentane_WAS', 'mpXylene', 'CO_Piccaro']","[0.5502359705082821, 0.7618750552723652, 0.7762085867021972, 0.8031400659574336]","[0.6972403767588089, 0.41954640015373046, 0.3975002299297775, 0.3549660344538894]","[0, 0, 27, 1428]","[1458, 1458, 1458, 1458]","[198, 198, 18, 191]"
67,Alpha_Pinene_WAS,"['Beta_Pinene_WAS', 'Isoprene_PTR']","[0.5271120081003527, 0.764540582017234]","[0.7221529309164137, 0.41547769844874916]","[0, 1250]","[1458, 1458]","[198, 157]"
68,Beta_Pinene_WAS,"['Alpha_Pinene_WAS', 'Isoprene_PTR']","[0.47588199530215886, 0.8756705070536289]","[0.773536326547236, 0.23320116307644045]","[0, 1250]","[1458, 1458]","[198, 157]"
69,iButane_WAS,"['nButane_WAS', 'Ethane_WAS', 'Propane_WAS', 'Propane']","[0.36190919070798006, 0.6909703208908068, 0.817660866557185, 0.8294729601476898]","[0.8690217376810949, 0.5225600156480553, 0.33143070730095325, 0.31197460838382907]","[0, 0, 0, 126]","[1458, 1458, 1458, 1458]","[198, 198, 198, 107]"
70,iPentane_WAS,"['nPentane_WAS', 'CO_Piccaro', 'Toluene_PTR']","[0.20481458431570565, 0.8866117118678665, 0.9346435864299037]","[0.9580509860515847, 0.21391967237873133, 0.126441366345447]","[0, 1428, 1142]","[1458, 1458, 1458]","[198, 191, 157]"
71,m_p_Xylene_WAS,"['o_Xylene_WAS', 'iPentane_WAS', 'CO_Piccaro']","[0.11663681444888085, 0.7188335102642339, 0.776952252485838]","[0.9863958535152173, 0.4832783845211994, 0.39634519735718265]","[0, 0, 1428]","[1458, 1458, 1458]","[198, 198, 191]"
72,nButane_WAS,"['iButane_WAS', 'nPentane', 'Ethane_WAS', 'Propane', 'CO_Piccaro']","[0.38520946059553196, 0.7243715810981356, 0.7645126028039425, 0.8527276218896126, 0.8535493011599619]","[0.8516136714676993, 0.4752858124973871, 0.4155204801539413, 0.2728556028664857, 0.2714535904893408]","[0, 124, 0, 126, 1428]","[1458, 1458, 1458, 1458, 1458]","[198, 107, 198, 107, 191]"
73,nHeptane_WAS,"['nOctane_WAS', 'nHexane', 'CO_Piccaro', 'x23_Dimethylpentane']","[0.21494815527794758, 0.7063606388174725, 0.8262688907585912, 0.9112318653847076]","[0.9537972905426073, 0.5010546479293723, 0.3172797201645674, 0.16965648750750617]","[10, 126, 1439, 126]","[1469, 1469, 1469, 1469]","[187, 107, 180, 107]"
74,nHexane_WAS,"['MethylCycloPentane_WAS', 'CO_Piccaro']","[0.12808972730386248, 0.8272135469571493]","[0.9835930217592221, 0.31571774773057204]","[0, 1428]","[1458, 1458]","[195, 191]"
75,nNonane_WAS,"['nOctane_WAS', 'nHeptane', 'CO_Piccaro', 'nDecane']","[0.34832450355565736, 0.7805354210438397, 0.816646467442487, 0.9878819388515572]","[0.8786700402227049, 0.39076445649591596, 0.33308854721370706, 0.02408927489088819]","[0, 126, 1428, 27]","[1458, 1458, 1458, 1458]","[197, 107, 191, 18]"
76,nOctane_WAS,"['nHeptane_WAS', 'nHeptane', 'CO_Piccaro', 'nNonane']","[0.21188594865951235, 0.7497828900195964, 0.8283887231468106, 0.8323011330652699]","[0.9551043447606585, 0.43782561783386187, 0.3137721233631968, 0.3072748238982681]","[0, 126, 1429, 27]","[1459, 1459, 1459, 1459]","[187, 107, 190, 18]"
77,nPentane_WAS,"['iPentane_WAS', 'nButane', 'Propane', 'CO_Piccaro', 'Propane_WAS']","[0.20244089982665545, 0.6576562743106453, 0.8628313256539327, 0.8899473463485725, 0.8925354477561142]","[0.959017682077374, 0.5674882248598412, 0.25552210347027693, 0.20799372072713374, 0.20338047449879304]","[0, 121, 126, 1428, 0]","[1458, 1458, 1458, 1458, 1458]","[198, 107, 107, 191, 198]"
78,o_Xylene_WAS,"['m_p_Xylene_WAS', 'iPentane_WAS', 'Ethylbenzene', 'CO_Piccaro']","[0.11408879224385063, 0.7270073493256811, 0.7316245604516166, 0.7981181876671757]","[0.9869837474843395, 0.47146031402644706, 0.46472550254397893, 0.3630073585148631]","[0, 0, 27, 1428]","[1458, 1458, 1458, 1458]","[198, 198, 18, 191]"
79,x135_TriMethylBenzene_WAS,"['x3_x4_EthylToluene_WAS', 'mpEthyltoluene', 'CO_Piccaro']","[0.10863672334846, 0.649930032167325, 0.8056564410635976]","[0.9881980623401102, 0.5775909532869798, 0.35091769897273795]","[0, 27, 1428]","[1458, 1458, 1458]","[198, 18, 191]"
80,x224_TriMethylPentane_WAS,"['nHeptane_WAS', 'CO_Piccaro', 'nHeptane']","[0.47641462341379304, 0.7867832241114978, 0.8425861983873097]","[0.7730291065974938, 0.3809721582567166, 0.290048498287221]","[0, 1428, 126]","[1458, 1458, 1458]","[187, 191, 107]"
81,nDecane_WAS,"['nNonane_WAS', 'CO_Piccaro', 'x3_Methylheptane']","[0.3847752194210445, 0.8056502815433132, 0.9991553584179175]","[0.8519480305194871, 0.3509276238491801, 0.0016885697447629466]","[0, 1428, 126]","[1458, 1458, 1458]","[198, 191, 107]"
82,x3_x4_EthylToluene_WAS,"['x124_TriMethylBenzene_WAS', 'CO_Piccaro', 'oEthyltoluene']","[0.08218842805688062, 0.8128148463177036, 0.9294876810946087]","[0.9932450622935389, 0.3393320256055279, 0.13605265069336692]","[0, 1425, 27]","[1458, 1458, 1458]","[198, 191, 18]"
83,x13_Butadiene_WAS,"['Ethene_WAS', 'Ethylene', 'CO_Piccaro', 'Acrolein_PTR', 'NO_LIF', 'Benzene_PTR']","[0.48650351096410355, 0.8309161812924616, 0.8410307529809936, 0.9232654384331423, 0.9573068264641517, 0.9695450289749858]","[0.7633143338196005, 0.3095782996663532, 0.29266727254022296, 0.1475809301948574, 0.08356364000513461, 0.0599824367898939]","[16, 134, 1459, 1269, 1468, 1267]","[1489, 1489, 1489, 1489, 1489, 1489]","[167, 99, 160, 140, 166, 140]"
84,nPropylBenzene_WAS,"['x124_TriMethylBenzene_WAS', 'Toluene_PTR', 'mpEthyltoluene', 'CO_Piccaro']","[0.10692071481643316, 0.7217260959225608, 0.7830000491388451, 0.827328076699904]","[0.988567960743143, 0.4791114424643784, 0.386910923048566, 0.3155282535040379]","[0, 1252, 27, 1419]","[1458, 1458, 1458, 1458]","[198, 157, 18, 191]"
85,x2_EthylToluene_WAS,"['x124_TriMethylBenzene_WAS', 'mpEthyltoluene', 'CO_Piccaro', 'x135_Trimethylbenzene']","[0.10205029409050317, 0.735073607122239, 0.8370412129150046, 0.9314310534872365]","[0.9895857374760418, 0.4596667921123003, 0.29936200788177814, 0.1324361925996569]","[2, 27, 1411, 27]","[1460, 1460, 1460, 1460]","[196, 18, 189, 18]"
86,x124_TriMethylBenzene_WAS,"['x3_x4_EthylToluene_WAS', 'mpEthyltoluene', 'CO_Piccaro']","[0.08223570249194212, 0.6837727904024383, 0.8272883174589404]","[0.9932372892356568, 0.5324547711052634, 0.31559403979595535]","[0, 27, 1428]","[1458, 1458, 1458]","[198, 18, 191]"
87,iPropylBenzene_WAS,"['nPropylBenzene_WAS', 'x124_Trimethylbenzene', 'CO_Piccaro', 'nPropylbenzene']","[0.20288705807731353, 0.7184408177452676, 0.7914396518749446, 0.9986770017976921]","[0.9588368416647328, 0.4838427913975112, 0.3736232774400666, 0.00264424608037217]","[63, 32, 1460, 32]","[1521, 1521, 1521, 1521]","[135, 13, 128, 13]"
88,x123_TriMethylBenzene_WAS,"['x124_TriMethylBenzene_WAS', 'CO_Piccaro', 'x135_Trimethylbenzene']","[0.1712412288331101, 0.8689732266407567, 0.8799574390376051]","[0.9706764415477265, 0.2448855313815521, 0.22567490548237945]","[1, 1415, 28]","[1471, 1471, 1471]","[185, 178, 17]"
89,MethylCycloPentane_WAS,"['nHexane_WAS', 'CO_Piccaro']","[0.12772633848870046, 0.8267339215094047]","[0.9836859824562699, 0.31651102302568135]","[0, 1431]","[1461, 1461]","[195, 188]"
90,x3_MethylPentane_WAS,"['x2_MethylPentane_WAS', 'nHexane', 'CO_Piccaro']","[0.07567766873796024, 0.6819861598817283, 0.8369392270878415]","[0.9942728904543876, 0.5348948777297737, 0.2995327301616063]","[0, 126, 1428]","[1458, 1458, 1458]","[198, 107, 191]"
91,x2_MethylPentane_WAS,"['x3_MethylPentane_WAS', 'nHexane', 'CO_Piccaro']","[0.07571304269593118, 0.6929429397008795, 0.8254414090515828]","[0.9942675351657241, 0.5198300823187032, 0.3186464802229376]","[0, 126, 1428]","[1458, 1458, 1458]","[198, 107, 191]"
92,x1_Butene_WAS,"['Propene_WAS', 'c2Butene_WAS', 'Propylene', 'CO_Piccaro', 'Ethyne_WAS', 'Acetylene', 'trans2Butene']","[0.4760792645790882, 0.5509243780889392, 0.703795066604139, 0.8012917354387329, 0.802585668380176, 0.9425247821673235, 0.9727652054951454]","[0.7733485338378345, 0.6964823296273155, 0.5046725042236755, 0.35793155471758376, 0.3558562449107461, 0.11164703500043915, 0.05372785497798738]","[0, 0, 126, 1428, 0, 126, 126]","[1458, 1458, 1458, 1458, 1458, 1458, 1458]","[198, 171, 107, 191, 198, 107, 107]"
93,CycloPentane_WAS,"['iPentane_WAS', 'nPentane', 'CO_Piccaro']","[0.6768123012368088, 0.8644204956095177, 0.9124417906539793]","[0.5419251088945354, 0.25277720677019555, 0.1674499786681597]","[4, 126, 1432]","[1462, 1462, 1462]","[194, 107, 187]"
94,x22_DiMethylButane_WAS,"['x3_MethylPentane_WAS', 'nHexane', 'CO_Piccaro']","[0.3232875526372544, 0.6397315700436543, 0.8583424124322127]","[0.8954851583098145, 0.590743518289481, 0.2632483030200492]","[0, 126, 1428]","[1458, 1458, 1458]","[198, 107, 191]"
95,x1_Pentene_WAS,"['c2Pentene_WAS', 'x1_Butene_WAS', 'Propylene', 'CO_Piccaro', 'trans2Pentene']","[0.3000523851361082, 0.7098251133399267, 0.8626182627824974, 0.8820517838129462, 0.9016105481604062]","[0.9099685661741326, 0.4961483084719601, 0.2558897327141062, 0.2219846506723997, 0.18709841944589178]","[1, 1, 127, 1428, 121]","[1459, 1459, 1459, 1459, 1459]","[196, 197, 106, 191, 106]"
96,MethylCycloHexane_WAS,"['nHeptane_WAS', 'nHexane', 'CO_Piccaro']","[0.31401898041713106, 0.7329514495876543, 0.8632987204307226]","[0.9013920799377855, 0.4627821725473562, 0.2547153193026771]","[0, 126, 1428]","[1458, 1458, 1458]","[187, 107, 191]"
97,c2Pentene_WAS,"['t2Pentene_WAS', 'Pent1ene', 'Propene_WAS', 'CO_Piccaro', 'Ethylene']","[0.056893764297695444, 0.8343394465472789, 0.846935989743267, 0.8917825386172162, 0.9455651501187073]","[0.9967630995840383, 0.30387768793518044, 0.28269942927759284, 0.2047239038174331, 0.10590654688098644]","[1, 101, 1, 1429, 126]","[1459, 1459, 1459, 1459, 1459]","[197, 107, 197, 190, 107]"
98,t2Pentene_WAS,"['c2Pentene_WAS', 'Propene_WAS', 'CO_Piccaro', 'Propylene']","[0.05692424146271066, 0.8523225309617944, 0.894537389577942, 0.9107508266721679]","[0.9967596307338951, 0.27354630321488105, 0.19980285864708114, 0.17053293171596295]","[0, 0, 1428, 126]","[1458, 1458, 1458, 1458]","[197, 198, 191, 107]"
99,c2Butene_WAS,"['t2Butene_WAS', 'Propene_WAS', 'But1ene', 'CO_Piccaro', 'trans2Butene']","[0.17121751180212355, 0.7551675157519354, 0.77322307148445, 0.8752327754750281, 0.9595617103700218]","[0.9706845636522897, 0.4297220231530504, 0.4021260817241531, 0.23396758873427892, 0.07924132399175865]","[3, 27, 122, 1453, 131]","[1485, 1485, 1485, 1485, 1485]","[157, 171, 102, 166, 102]"
100,t2Butene_WAS,"['c2Butene_WAS', 'Propene_WAS', 'But1ene', 'cis2Butene', 'CO_Piccaro']","[0.17078336953849993, 0.7462239480545307, 0.7686961736793496, 0.8338413228241337, 0.883543180568902]","[0.9708330406890762, 0.44314981934990894, 0.409106192570727, 0.30470864835089884, 0.21935144807018858]","[14, 38, 134, 135, 1465]","[1496, 1496, 1496, 1496, 1496]","[157, 160, 98, 98, 154]"
101,iPropylONO2_WAS,"['nButane_WAS', 'Propane_WAS', 'NOy_LIF', 'Propane']","[0.9508225449508069, 0.9876758599289014, 0.9913225172242975, 0.9936861107928654]","[0.09593648801327093, 0.02449639571370532, 0.01727966684408233, 0.0125879132173492]","[5, 5, 1442, 128]","[1463, 1463, 1463, 1463]","[193, 193, 193, 105]"
102,CFCl3_WAS,[],[],[],[],[],[]
103,nPropylONO2_WAS,"['iPropylONO2_WAS', 'Propane', 'nButane_WAS', 'Propane_WAS', 'NOy_LIF']","[0.8380497291951418, 0.8928742556844367, 0.9253082811619172, 0.9760904815691862, 0.9817902178233606]","[0.29767265139594956, 0.20277556353596315, 0.1438045848131787, 0.047247371790034354, 0.03608796818635818]","[162, 216, 167, 167, 1604]","[1625, 1625, 1625, 1625, 1625]","[31, 17, 31, 31, 31]"
104,Furan_WAS,"['CO_Piccaro', 'Ethyne_WAS', 'Benzene_PTR', 'buta13diene', 'NO_LIF', 'Acetylene']","[0.9856425755071427, 0.9966734969217799, 0.9991989606477033, 0.9993285907131008, 0.9995877855680121, 0.9997390745209117]","[0.028508713347646264, 0.006641940533710811, 0.0016014370405494915, 0.001342367783367715, 0.0008242589432377878, 0.0005217828760709642]","[1436, 8, 1256, 132, 1445, 132]","[1466, 1466, 1466, 1466, 1466, 1466]","[183, 190, 151, 101, 189, 101]"
105,CH3Br_WAS,"['CH4_CRDS', 'Acetonitrile_PTR']","[0.9797894991780759, 0.9999984547037792]","[0.040012537300374795, 3.090590053433928e-06]","[802, 1252]","[1458, 1458]","[119, 157]"
106,Ethylene,"['Propylene', 'Acetylene', 'CO_Piccaro']","[0.5744770300557597, 0.6296138489696255, 0.7355274196063714]","[0.6699761419383138, 0.6035864011856538, 0.4589994150071929]","[0, 0, 1396]","[1423, 1423, 1423]","[233, 233, 223]"
107,Acetylene,"['Ethylene', 'CO_Piccaro', 'nButane', 'Ethene_WAS', 'Acetaldehyde_PTR', 'CO2_Piccaro', 'Benzene_PTR', 'NO_LIF']","[0.5670581072418485, 0.7119443223841492, 0.8785377120043572, 0.9021468995864861, 0.9187807143152608, 0.9604605438570778, 0.9781899588238251, 0.9999992539782097]","[0.6784451030112923, 0.4931352818249748, 0.2281714885861491, 0.18613097156649072, 0.1558419990023392, 0.07751554369376656, 0.043144404456243346, 1.4920430242426619e-06]","[0, 1396, 0, 91, 1179, 1396, 1179, 1405]","[1423, 1423, 1423, 1423, 1423, 1423, 1423, 1423]","[233, 223, 233, 107, 228, 223, 228, 229]"
108,nDecane,"['nNonane', 'CO_Piccaro']","[0.338890989858856, 0.9982166094784246]","[0.8851528969924848, 0.0035636005613983723]","[0, 1427]","[1611, 1611]","[45, 42]"
109,Ethylbenzene,"['Toluene', 'Toluene_WAS', 'Toluene_PTR', 'Isopentane', 'CO_Piccaro']","[0.3938958592245081, 0.6970215066467945, 0.8908235347583611, 0.9145337348501031, 0.9235709782016925]","[0.8448460520857864, 0.5141610192718327, 0.20643342992061908, 0.16362804782112128, 0.14701664822356886]","[186, 180, 1367, 188, 1489]","[1611, 1611, 1611, 1611, 1611]","[45, 18, 42, 45, 42]"
110,Ethane,"['CH4_CRDS', 'CO2_Piccaro']","[0.6793337072583152, 0.746467453469205]","[0.5385057141826737, 0.4427863409112006]","[821, 1396]","[1423, 1423]","[100, 223]"
111,mpEthyltoluene,"['x124_Trimethylbenzene', 'CO_Piccaro']","[0.6544592143316416, 0.9242542699334955]","[0.5716831367764105, 0.1457540445097012]","[0, 1566]","[1611, 1611]","[45, 42]"
112,oXylene,"['Toluene', 'Toluene_WAS', 'Toluene_PTR', 'Benzene_PTR', 'Isopentane']","[0.15966609779129337, 0.7457594493516, 0.7659464902030847, 0.8613834842707399, 0.8731472981415053]","[0.9745067372161011, 0.44384284370279836, 0.4133259741455758, 0.2580184930256001, 0.23761379574818942]","[188, 180, 1367, 1365, 188]","[1611, 1611, 1611, 1611, 1611]","[45, 18, 42, 42, 45]"
113,buta13diene,"['Ethene_WAS', 'Benzene_PTR', 'Benzene', 'Ethylene', 'Acrolein_PTR', 'NO_LIF']","[0.9768553304536738, 0.9905300085812814, 0.9914618114788639, 0.993095075246476, 0.9976283319191206, 0.9995233566364566]","[0.04575366336424369, 0.01885030209996641, 0.017003476379049864, 0.013762171521196187, 0.004737711352272966, 0.0009530595381906926]","[91, 1179, 0, 0, 1181, 1405]","[1423, 1423, 1423, 1423, 1423, 1423]","[107, 228, 233, 233, 228, 229]"
114,Styrene,[],[],[],[],[],[]
115,mpXylene,"['Toluene', 'Isopentane', 'CO_Piccaro', 'Toluene_WAS', 'Toluene_PTR']","[0.16336757652844702, 0.8696199237021484, 0.8989969897372957, 0.9773644571389535, 0.9790221936232936]","[0.973311034939222, 0.2437611883002696, 0.19180441244328073, 0.044758717921478786, 0.04151554439303451]","[188, 188, 1577, 165, 1311]","[1611, 1611, 1611, 1611, 1611]","[45, 45, 42, 18, 42]"
116,x135_Trimethylbenzene,"['x124_Trimethylbenzene', 'C9Aromatics_PTR', 'CO_Piccaro', 'nPropylbenzene', 'x123_Trimethylbenzene']","[0.5327623181847558, 0.8559039565518586, 0.8962817941108383, 0.9753910927684195, 0.9986470673446065]","[0.7161643123224051, 0.2674284171588742, 0.19667894554545673, 0.04861221614802835, 0.002704034884016937]","[0, 1197, 1214, 0, 0]","[1611, 1611, 1611, 1611, 1611]","[45, 42, 42, 45, 45]"
117,nPropylbenzene,"['x124_Trimethylbenzene', 'C9Aromatics_PTR', 'CO_Piccaro', 'Toluene_WAS']","[0.8369373328224927, 0.9946005208805563, 0.9953403938929943, 0.9964809090251634]","[0.299535900927972, 0.010769803864125849, 0.00929750028493892, 0.007025797948383872]","[0, 1367, 1521, 180]","[1611, 1611, 1611, 1611]","[45, 42, 42, 18]"
118,oEthyltoluene,"['x124_Trimethylbenzene', 'C9Aromatics_PTR', 'CO_Piccaro']","[0.6013718654625504, 0.9258198763628388, 0.9897512719525382]","[0.6383518794300922, 0.1428575565314978, 0.020392419668332495]","[0, 1358, 1577]","[1611, 1611, 1611]","[45, 42, 42]"
119,x224_Trimethylpentane,"['x234_Trimethylpentane', 'Isopentane', 'CO_Piccaro']","[0.3060315923749842, 0.7361369020247459, 0.8277618489644732]","[0.9063446644684315, 0.45810246147740963, 0.3148103213989166]","[0, 0, 1396]","[1423, 1423, 1423]","[233, 233, 223]"
120,Toluene,"['oXylene', 'Isopentane', 'CO_Piccaro']","[0.15322403397617831, 0.8113415641531672, 0.8218384503369769]","[0.976522395412067, 0.341724866277492, 0.32458156154771656]","[0, 0, 1396]","[1423, 1423, 1423]","[45, 233, 223]"
121,x124_Trimethylbenzene,"['mpEthyltoluene', 'x135_Trimethylbenzene', 'x3_x4_EthylToluene_WAS', 'CO_Piccaro']","[0.5948214472785943, 0.6114330439019274, 0.7648915791031402, 0.9313398907892694]","[0.6461874458573986, 0.6261496328248237, 0.41494087221710474, 0.13260600782463172]","[0, 0, 180, 1577]","[1611, 1611, 1611, 1611]","[45, 45, 18, 42]"
122,Isopropylbenzene,"['nPropylbenzene', 'x124_Trimethylbenzene', 'C9Aromatics_PTR', 'CO_Piccaro']","[0.7909796969195194, 0.8442915058804922, 0.9994092587379291, 0.9999542071556948]","[0.3743511190611051, 0.28717185309805093, 0.001181133548903146, 9.158359162575458e-05]","[0, 0, 1367, 1577]","[1611, 1611, 1611, 1611]","[45, 45, 42, 42]"
123,Formaldehyde,"['CO_Piccaro', 'Acetaldehyde_PTR', 'MVK_MACR_PTR']","[0.7245974438244404, 0.8569814404395645, 0.9438688935791317]","[0.47495854440308705, 0.2655828107421293, 0.10911151173370559]","[0, 0, 0]","[0, 0, 0]","[1619, 1407, 1409]"
124,Benzene,"['Toluene', 'CO_Piccaro', 'Isopentane', 'Acetylene', 'C8Aromatics_PTR', 'Ethyne_WAS']","[0.5644752742394687, 0.5891081925419147, 0.723416402199187, 0.7377820987523265, 0.8335628184933567, 0.8749617826873621]","[0.6813676647722764, 0.6529515374799983, 0.4766687090291839, 0.4556775747606123, 0.30517302762541143, 0.2344418788365531]","[0, 1396, 0, 0, 1181, 91]","[1423, 1423, 1423, 1423, 1423, 1423]","[233, 223, 233, 233, 228, 107]"
125,x123_Trimethylbenzene,"['x124_Trimethylbenzene', 'C9Aromatics_PTR', 'CO_Piccaro']","[0.9631428856147649, 0.9722969364321847, 0.9932903776564234]","[0.07235578188966374, 0.054638667404588226, 0.01337422565516]","[0, 1367, 1577]","[1611, 1611, 1611]","[45, 42, 42]"
