,target,tracers,norm_rmse,r2,gap_fill_potential,gaps_needed_to_fill_for_regime,overlap_points_counted
57,Ethyl_WAS,"['o_Xylene_WAS', 'Toluene', 'CO_Piccaro']","[0.14986947900237765, 0.6808629085216218, 0.7149236621675511]","[0.9775391392635558, 0.5364256997994779, 0.4888841572729373]","[0, 175, 1301]","[1508, 1508, 1508]","[172, 111, 172]"
58,Ethane_WAS,"['CH4_Piccaro', 'CO2_Piccaro', 'Propane']","[0.46867354423433816, 0.5274225863187973, 0.6418177198309518]","[0.7803451089348239, 0.7218254154407908, 0.5880700145109976]","[1333, 1333, 176]","[1508, 1508, 1508]","[172, 172, 111]"
59,Ethene_WAS,"['Propene_WAS', 'CO_Piccaro']","[0.4076047597259821, 0.5282923599319871]","[0.8338583598487245, 0.7209071824374919]","[0, 1301]","[1508, 1508]","[172, 172]"
60,Ethyne_WAS,"['Ethene_WAS', 'nButane']","[0.44434457213262246, 0.7361622789539276]","[0.8025579012162767, 0.45806509904535964]","[0, 176]","[1508, 1508]","[172, 111]"
61,Isoprene_WAS,"['MVK_MACR_PTR', 'H2O_Piccaro']","[0.9050899865577169, 0.9963311078154757]","[0.1808121162329518, 0.007324323599186777]","[1079, 1333]","[1508, 1508]","[140, 172]"
62,Limonene_WAS,"['Alpha_Pinene_WAS', 'Isoprene_WAS', 'Monoterpenes_PTR']","[0.5774230055833369, 0.8407399451761824, 0.9897616661355929]","[0.6665826726231056, 0.29315634458514983, 0.02037184424849503]","[26, 47, 1131]","[1559, 1559, 1559]","[121, 121, 94]"
63,MACR_WAS,"['MVK_MACR_PTR', 'Isoprene_WAS', 'C5H10O3_CIMS']","[0.31102868132276207, 0.7866613770533956, 0.9752784800637136]","[0.9032611593946237, 0.38116387785245553, 0.04883188632461266]","[1085, 0, 1179]","[1508, 1508, 1508]","[140, 172, 161]"
64,Propane_WAS,"['Isobutane', 'CH4_CRDS', 'CO2_Piccaro']","[0.622058867729542, 0.7396058731570635, 0.840901246600162]","[0.61304276507904, 0.4529831523915777, 0.29288509346629366]","[132, 769, 1317]","[1508, 1508, 1508]","[111, 110, 172]"
65,Propene_WAS,"['Ethene_WAS', 'NO_LIF']","[0.38504208629002107, 0.6499263986596133]","[0.851742591785428, 0.5775956763253454]","[0, 1277]","[1508, 1508]","[172, 166]"
66,Toluene_WAS,"['m_p_Xylene_WAS', 'Isopentane', 'CO_Piccaro', 'mpXylene']","[0.27868847436303257, 0.6782180021538927, 0.683370163334112, 0.95632325239214]","[0.9223327342572053, 0.5400203415543823, 0.5330052198647088, 0.08544583693411945]","[0, 176, 1301, 37]","[1508, 1508, 1508, 1508]","[172, 111, 172, 23]"
67,Alpha_Pinene_WAS,"['Limonene_WAS', 'Beta_Pinene_WAS', 'Isoprene_WAS']","[0.7015188266754876, 0.8202834931054791, 0.8533896170521932]","[0.5078713358198472, 0.3271349909386735, 0.27172616150751094]","[0, 0, 0]","[1508, 1508, 1508]","[121, 172, 172]"
68,Beta_Pinene_WAS,"['Monoterpenes_PTR', 'Alpha_Pinene_WAS', 'D5_siloxane_PTR', 'Isoprene_PTR']","[0.6174046986450313, 0.6230182964687477, 0.8953884829709915, 0.9438317597330128]","[0.6188114380910381, 0.6118482022651794, 0.19827946456290657, 0.10918160931928456]","[1055, 0, 1071, 1083]","[1508, 1508, 1508, 1508]","[140, 172, 140, 140]"
69,iButane_WAS,"['nButane_WAS', 'Ethane_WAS']","[0.46432054299179065, 0.6634732891790364]","[0.7844064333558087, 0.5598031945459508]","[0, 0]","[1508, 1508]","[172, 172]"
70,iPentane_WAS,"['nPentane_WAS', 'CO_Piccaro']","[0.22996901282888224, 0.9164333823929682]","[0.9471142531385094, 0.16014985563578377]","[0, 1301]","[1508, 1508]","[172, 172]"
71,m_p_Xylene_WAS,"['Ethyl_WAS', 'Toluene', 'CO_Piccaro']","[0.16034445703295513, 0.6396090155994201, 0.7438328475170783]","[0.9742896550988068, 0.5909003071639409, 0.4467126949546347]","[0, 175, 1301]","[1508, 1508, 1508]","[172, 111, 172]"
72,nButane_WAS,"['nPentane_WAS', 'Ethane_WAS']","[0.24113144558823693, 0.6775957784947613]","[0.9418556259485271, 0.5408639609660786]","[0, 0]","[1508, 1508]","[172, 172]"
73,nHeptane_WAS,"['nOctane_WAS', 'CO_Piccaro']","[0.17653491462913687, 0.7691050638196876]","[0.9688354239168834, 0.4084774008069143]","[0, 1301]","[1508, 1508]","[172, 172]"
74,nHexane_WAS,['MethylCycloPentane_WAS'],[0.1807278912250893],[0.9673374293333323],[0],[1508],[172]
75,nNonane_WAS,"['nOctane_WAS', 'CO_Piccaro', 'nUndecane']","[0.4116524990080316, 0.8088417966828594, 0.9601421042772448]","[0.8305422200604426, 0.3457749479388441, 0.07812713959406448]","[0, 1301, 37]","[1508, 1508, 1508]","[172, 172, 23]"
76,nOctane_WAS,"['nHeptane_WAS', 'CO_Piccaro', 'nNonane']","[0.17541876088350034, 0.7809090539624117, 0.9632942951787199]","[0.9692282583300973, 0.39018104943953125, 0.07206410087613313]","[0, 1299, 37]","[1508, 1508, 1508]","[172, 172, 23]"
77,nPentane_WAS,"['iPentane_WAS', 'Propane', 'CO_Piccaro']","[0.22735394776475248, 0.6209496904667882, 0.8813480505743627]","[0.9483101824357822, 0.6144214819092, 0.2232256137487707]","[0, 176, 1301]","[1508, 1508, 1508]","[172, 111, 172]"
78,o_Xylene_WAS,"['Ethyl_WAS', 'Toluene', 'CO_Piccaro']","[0.15010078089359977, 0.666271646646633, 0.7198841257586441]","[0.9774697555751316, 0.5560820928747843, 0.4817668454807127]","[0, 175, 1301]","[1508, 1508, 1508]","[172, 111, 172]"
79,x135_TriMethylBenzene_WAS,"['x124_TriMethylBenzene_WAS', 'x124_Trimethylbenzene', 'CO_Piccaro']","[0.13412389390920126, 0.7193746606640837, 0.7236604351160613]","[0.9820107810826333, 0.48250009759443446, 0.47631557464763274]","[10, 38, 1311]","[1518, 1518, 1518]","[162, 22, 162]"
80,x224_TriMethylPentane_WAS,"['nHeptane_WAS', 'iPentane_WAS', 'CO_Piccaro', 'x234_Trimethylpentane']","[0.584476058052795, 0.7372161464845303, 0.7520483778908766, 0.75271413174508]","[0.6583877375630658, 0.4565123533624996, 0.43442323731170107, 0.43342143587125037]","[0, 0, 1301, 133]","[1508, 1508, 1508, 1508]","[172, 172, 172, 111]"
81,nDecane_WAS,"['nNonane_WAS', 'CO_Piccaro', 'Naphthalene_PTR', 'x3_Methylheptane', 'nUndecane']","[0.4608569950896044, 0.6202474534312257, 0.6552765604054852, 0.9314824109183114, 0.9595400390933849]","[0.7876108300769804, 0.6152930965120795, 0.5706126293831565, 0.13234051814981007, 0.07928291337666549]","[0, 1301, 597, 176, 37]","[1508, 1508, 1508, 1508, 1508]","[172, 172, 85, 111, 23]"
82,x3_x4_EthylToluene_WAS,"['x2_EthylToluene_WAS', 'CO_Piccaro', 'x124_Trimethylbenzene']","[0.10823701939587065, 0.703110629343222, 0.729520173563306]","[0.9882847476322979, 0.5056354429045782, 0.46780031636416397]","[0, 1299, 37]","[1508, 1508, 1508]","[172, 172, 23]"
83,x13_Butadiene_WAS,"['Ethene_WAS', 'NO_LIF']","[0.37901209334141855, 0.7743599495321681]","[0.8563498331009558, 0.40036666856053804]","[20, 1300]","[1532, 1532]","[148, 143]"
84,nPropylBenzene_WAS,"['x3_x4_EthylToluene_WAS', 'x124_Trimethylbenzene', 'CO_Piccaro']","[0.15580640177432067, 0.6853200268767184, 0.7277917764001849]","[0.9757243651661389, 0.5303364607616938, 0.4703191302042633]","[0, 37, 1299]","[1508, 1508, 1508]","[172, 23, 172]"
85,x2_EthylToluene_WAS,"['x3_x4_EthylToluene_WAS', 'x124_Trimethylbenzene', 'CO_Piccaro', 'x135_Trimethylbenzene']","[0.10752285262346681, 0.6983144537434889, 0.7293559760349517, 0.996096706428567]","[0.9884388361637122, 0.5123569236929328, 0.4680398602221031, 0.007791351442161254]","[0, 37, 1287, 37]","[1508, 1508, 1508, 1508]","[172, 23, 172, 23]"
86,x124_TriMethylBenzene_WAS,"['x135_TriMethylBenzene_WAS', 'mpEthyltoluene', 'CO_Piccaro']","[0.13499158460673655, 0.7504912811417879, 0.7545279908455254]","[0.9817772720853623, 0.43676283693015816, 0.43068751103061487]","[0, 37, 1300]","[1508, 1508, 1508]","[162, 23, 172]"
87,iPropylBenzene_WAS,"['nPropylBenzene_WAS', 'CO_Piccaro', 'x124_Trimethylbenzene', 'x135_Trimethylbenzene', 'nPropylbenzene']","[0.28769713601061964, 0.7957013768885389, 0.8325751480343058, 0.9974493596401627, 0.9988964810253899]","[0.917230357931287, 0.3668593188176834, 0.30681862287565376, 0.005094774953429249, 0.002205820195093078]","[18, 1319, 42, 42, 42]","[1529, 1529, 1529, 1529, 1529]","[151, 151, 18, 18, 18]"
88,x123_TriMethylBenzene_WAS,"['x124_TriMethylBenzene_WAS', 'CO_Piccaro', 'x124_Trimethylbenzene', 'x135_Trimethylbenzene']","[0.15000507293583318, 0.7865249076098942, 0.7938351073823108, 0.9998960677592668]","[0.9774984780935154, 0.38137856970924755, 0.3698258222873152, 0.00020785367955600265]","[1, 1283, 38, 38]","[1514, 1514, 1514, 1514]","[166, 166, 22, 22]"
89,MethylCycloPentane_WAS,"['x3_MethylPentane_WAS', 'CO_Piccaro']","[0.15005856477399815, 0.7587027096402267]","[0.9774824271379678, 0.4243701983845778]","[0, 1301]","[1508, 1508]","[172, 172]"
90,x3_MethylPentane_WAS,"['x2_MethylPentane_WAS', 'CO_Piccaro']","[0.08973291395348747, 0.7767244746150848]","[0.991948004153416, 0.3966990905339206]","[0, 1301]","[1508, 1508]","[172, 172]"
91,x2_MethylPentane_WAS,"['x3_MethylPentane_WAS', 'CO_Piccaro']","[0.08978196901806645, 0.7873989031291844]","[0.9919391980392389, 0.3800029673509573]","[0, 1301]","[1508, 1508]","[172, 172]"
92,x1_Butene_WAS,"['Propene_WAS', 'c2Butene_WAS', 'CO_Piccaro']","[0.46833343711562975, 0.6681616562663478, 0.7798220258392488]","[0.7806637916794605, 0.5535600010954108, 0.39187760801597005]","[0, 0, 1301]","[1508, 1508, 1508]","[172, 160, 172]"
93,CycloPentane_WAS,"['MethylCycloPentane_WAS', 'CO_Piccaro']","[0.2926302906121038, 0.7785959874138907]","[0.9143675130162756, 0.3937882883829885]","[0, 1301]","[1508, 1508]","[172, 172]"
94,x22_DiMethylButane_WAS,"['x2_MethylPentane_WAS', 'CO_Piccaro']","[0.4887154311150666, 0.8922190594059892]","[0.7611572273900146, 0.20394515003269187]","[0, 1301]","[1508, 1508]","[172, 172]"
95,x1_Pentene_WAS,"['x1_Butene_WAS', 'trans2Pentene', 'CO_Piccaro']","[0.3773992632798814, 0.8226256552691514, 0.8359803023969188]","[0.8575697960758029, 0.32328703129299907, 0.30113693400435637]","[0, 138, 1301]","[1508, 1508, 1508]","[172, 111, 172]"
96,MethylCycloHexane_WAS,"['nHeptane_WAS', 'CO_Piccaro']","[0.24174131548965963, 0.845479835008965]","[0.9415611363853289, 0.2851638485932134]","[0, 1291]","[1508, 1508]","[172, 172]"
97,c2Pentene_WAS,"['t2Pentene_WAS', 'trans2Pentene', 'Propene_WAS', 'CO_Piccaro']","[0.0611568600062717, 0.8067402893712986, 0.8171846128866395, 0.9307963674295417]","[0.9962598384741733, 0.3491701055051136, 0.33220930846131336, 0.1336181223799695]","[0, 136, 0, 1301]","[1508, 1508, 1508, 1508]","[172, 111, 172, 172]"
98,t2Pentene_WAS,"['c2Pentene_WAS', 'Propene_WAS', 'Pent1ene', 'CO_Piccaro']","[0.06119139018923262, 0.8176058089001361, 0.89865542506198, 0.9299575805811254]","[0.9962556137667091, 0.331520741252754, 0.1924184270066719, 0.13517889831969965]","[0, 0, 141, 1301]","[1508, 1508, 1508, 1508]","[172, 172, 111, 172]"
99,c2Butene_WAS,"['t2Butene_WAS', 'Propene_WAS', 'CO_Piccaro']","[0.06054668746349577, 0.9047991806261589, 0.9783697502661427]","[0.9963340986371978, 0.1813384427382314, 0.0427926317641657]","[4, 12, 1313]","[1520, 1520, 1520]","[154, 160, 160]"
100,t2Butene_WAS,"['c2Butene_WAS', 'Propene_WAS', 'CO_Piccaro']","[0.06053684966414725, 0.9031744674151718, 0.9787607777611553]","[0.9963352898327404, 0.18427588140932072, 0.04202733991637808]","[6, 14, 1315]","[1522, 1522, 1522]","[154, 158, 158]"
101,iPropylONO2_WAS,"['nPropylONO2_WAS', 'Propane_WAS', 'NOy_LIF']","[0.30825010802999847, 0.5796561357608778, 0.8931823781533422]","[0.9049818708994943, 0.6639987642747668, 0.20222523935633974]","[0, 2, 1264]","[1510, 1510, 1510]","[67, 170, 161]"
102,CFCl3_WAS,['C2Cl4_WAS'],[0.9754951003512806],[0.04840930919064501],[0],[1508],[172]
103,nPropylONO2_WAS,"['iPropylONO2_WAS', 'nButane_WAS', 'NOy_LIF']","[0.29729624233465307, 0.9011050479308006, 0.9089116768433159]","[0.9116149442936952, 0.18800969259362954, 0.17387956369787194]","[103, 105, 1363]","[1613, 1613, 1613]","[67, 67, 62]"
104,Furan_WAS,"['x13_Butadiene_WAS', 'CO_Piccaro', 'Benzene_PTR', 'NO_LIF', 'Acetonitrile_PTR', 'buta13diene']","[0.9033339883111681, 0.951044055614626, 0.9685538937010918, 0.9787859934911303, 0.9897956287244188, 0.9976123353115781]","[0.18398770556183863, 0.09551520428008431, 0.061903354996454274, 0.041977978945581085, 0.020304613358032464, 0.004769628434179496]","[7, 1312, 1093, 1288, 1093, 184]","[1519, 1519, 1519, 1519, 1519, 1519]","[141, 161, 132, 155, 132, 103]"
105,CH3Br_WAS,"['CH4_CRDS', 'Acetonitrile_PTR']","[0.9956776769441026, 0.9999212848486759]","[0.008625963635195188, 0.00015742410657304529]","[769, 1085]","[1508, 1508]","[110, 140]"
106,Ethylene,"['Acetylene', 'x13_Butadiene_WAS', 'NO_LIF', 'Acrolein_PTR']","[0.4513006481830449, 0.6154893809195248, 0.7415713355083887, 0.8925027339527143]","[0.7963277249495635, 0.6211728219753003, 0.45007195435230474, 0.20343886988693038]","[0, 56, 1194, 803]","[1393, 1393, 1393, 1393]","[287, 92, 249, 243]"
107,Acetylene,"['Ethylene', 'Benzene_PTR', 'NO_LIF', 'nButane']","[0.4458327064079572, 0.7504777421879333, 0.805008387159236, 0.8125168412213205]","[0.8012331978969562, 0.43678315848050187, 0.35196149660328546, 0.33981638273172754]","[0, 982, 1194, 0]","[1393, 1393, 1393, 1393]","[287, 243, 249, 287]"
108,nDecane,"['nUndecane', 'Naphthalene_PTR', 'CO_Piccaro']","[0.24914543291219163, 0.9967148501378283, 0.9981070683097307]","[0.9379265532589967, 0.006559507514726448, 0.0037822801901543635]","[0, 665, 1425]","[1620, 1620, 1620]","[60, 14, 48]"
109,Ethylbenzene,"['oXylene', 'Toluene_PTR', 'CO_Piccaro']","[0.23841024070803574, 0.622711159296619, 0.721009197547339]","[0.9431605571255365, 0.6122308120874607, 0.48014573705214236]","[0, 1176, 1425]","[1620, 1620, 1620]","[60, 49, 48]"
110,Ethane,"['CH4_CRDS', 'CO2_Piccaro', 'Propane']","[0.5197509193063056, 0.5488929382066198, 0.647337151079718]","[0.7298589818802501, 0.6987165423869038, 0.5809546128319945]","[774, 1249, 0]","[1393, 1393, 1393]","[105, 256, 287]"
111,mpEthyltoluene,"['x124_Trimethylbenzene', 'CO_Piccaro']","[0.443936233839619, 0.8205808338254709]","[0.8029206202842951, 0.3266470951582948]","[0, 1422]","[1620, 1620]","[60, 48]"
112,oXylene,"['mpXylene', 'Toluene_PTR', 'CO_Piccaro']","[0.21625791069855724, 0.6750155214191357, 0.7448693318583683]","[0.9532325160602948, 0.5443540458432522, 0.44516967845686795]","[0, 1176, 1425]","[1620, 1620, 1620]","[60, 49, 48]"
113,buta13diene,"['Benzene', 'NO_LIF', 'Acrolein_PTR', 'Benzene_PTR']","[0.9568232545970137, 0.9695089004220452, 0.9767662915044074, 0.9776050929719441]","[0.0844892594623784, 0.060052492002436675, 0.04592761178072702, 0.04428828219531644]","[0, 1194, 982, 982]","[1393, 1393, 1393, 1393]","[287, 249, 243, 243]"
114,Styrene,[],[],[],[],[],[]
115,mpXylene,"['oXylene', 'Toluene_PTR', 'CO_Piccaro', 'Isopentane']","[0.23463456274327224, 0.7108437354110329, 0.7951694321333281, 0.9959465300469643]","[0.9449466219662734, 0.49470118382688943, 0.36770557420076033, 0.008090509287411285]","[0, 1176, 1425, 227]","[1620, 1620, 1620, 1620]","[60, 49, 48, 60]"
116,x135_Trimethylbenzene,"['oEthyltoluene', 'C8Aromatics_PTR', 'CO_Piccaro']","[0.6715259478841955, 0.962135038100126, 0.9832140762886115]","[0.5490529013182328, 0.07429616846006892, 0.03329008018793245]","[0, 1176, 1425]","[1620, 1620, 1620]","[60, 49, 48]"
117,nPropylbenzene,"['CO_Piccaro', 'C9Aromatics_PTR']","[0.9526352946162674, 0.9588132321646806]","[0.0924859954513777, 0.08067718582591832]","[1425, 1176]","[1620, 1620]","[48, 49]"
118,oEthyltoluene,"['x124_Trimethylbenzene', 'x135_Trimethylbenzene', 'CO_Piccaro']","[0.5441702872200578, 0.5723123856842197, 0.9371536371596172]","[0.7038786985068398, 0.672458533192437, 0.1217430603585008]","[0, 0, 1342]","[1620, 1620, 1620]","[60, 60, 48]"
119,x224_Trimethylpentane,"['x234_Trimethylpentane', 'nHeptane_WAS', 'iPentane_WAS', 'CO_Piccaro']","[0.40423882688826857, 0.6682327134098588, 0.7323123554020972, 0.7332364695328903]","[0.8365909708359964, 0.5534650407288975, 0.4637186141254326, 0.4623642797469427]","[0, 61, 61, 1224]","[1393, 1393, 1393, 1393]","[287, 111, 111, 249]"
120,Toluene,"['oXylene', 'Benzene_WAS', 'iPentane_WAS']","[0.2892722283183004, 0.6439590472784529, 0.7599950343834473]","[0.9163215779237651, 0.5853167454282273, 0.4224075477125028]","[0, 61, 61]","[1393, 1393, 1393]","[60, 111, 111]"
