,target,tracers,norm_rmse,r2,gap_fill_potential,gaps_needed_to_fill_for_regime,overlap_points_counted
144,trans2Pentene,"['cis2Pentene', 'Propylene', 'x1_Pentene_WAS', 'CO_Piccaro']","[0.39333170482712965, 0.723623733754462, 0.8110666818345186, 0.9321582524865631]","[0.8452901699777837, 0.4763686919472513, 0.34217083761794376, 0.13108099232119663]","[0, 0, 61, 1224]","[1393, 1393, 1393, 1393]","[287, 287, 111, 249]"
145,Isopentane,"['nPentane', 'CO_Piccaro']","[0.16515130729061714, 0.8995346816331298]","[0.9727250457002001, 0.19083735653918377]","[0, 1224]","[1393, 1393]","[287, 249]"
146,cis2Butene,"['t2Butene_WAS', 'But1ene', 'CO_Piccaro']","[0.4774763604782856, 0.6510921706609821, 0.9533782988405004]","[0.7720163251844103, 0.5760789853039706, 0.09106981929999325]","[57, 0, 1224]","[1393, 1393, 1393]","[101, 287, 249]"
147,trans2Butene,"['cis2Butene', 'x1_Butene_WAS', 'CO_Piccaro']","[0.49727108139438014, 0.7148151347210087, 0.9749095965907215]","[0.7527214716088638, 0.4890393231737863, 0.04955127847531671]","[0, 57, 1224]","[1393, 1393, 1393]","[287, 111, 249]"
148,Isoprene,"['Isoprene_WAS', 'MVK_MACR_PTR', 'H2O_Piccaro']","[0.6829407269932068, 0.9718630191508627, 0.9990672370612814]","[0.5335919634139901, 0.05548227200696976, 0.0018646558307375827]","[58, 935, 1249]","[1393, 1393, 1393]","[111, 243, 256]"
149,x23_Dimethylpentane,"['x24_Dimethylpentane', 'CO_Piccaro']","[0.3717542396549612, 0.7638658648916397]","[0.8617987852985617, 0.4165089404533474]","[0, 1224]","[1393, 1393]","[287, 249]"
150,x3_Methylhexane,"['x2_Methylhexane', 'CO_Piccaro']","[0.23202827835875295, 0.7556447264151411]","[0.946162878041873, 0.42900104744098644]","[0, 1224]","[1393, 1393]","[287, 249]"
151,x2_Methylhexane,"['x3_Methylhexane', 'CO_Piccaro']","[0.23682785494972416, 0.7422547787642797]","[0.9439125671199124, 0.44905784340159016]","[0, 1224]","[1393, 1393]","[287, 249]"
152,x234_Trimethylpentane,"['x224_Trimethylpentane', 'CO_Piccaro', 'nOctane', 'x3_Methylheptane']","[0.39092952684515847, 0.751113522768259, 0.7713512129294123, 0.8804932328393974]","[0.8471741050406205, 0.4358284759146559, 0.40501730631232435, 0.22473166692402669]","[0, 1224, 0, 0]","[1393, 1393, 1393, 1393]","[287, 249, 287, 287]"
153,x24_Dimethylpentane,"['x23_Dimethylpentane', 'nHeptane_WAS', 'CO_Piccaro']","[0.37188686879770694, 0.657348328745358, 0.7715884184541199]","[0.8617001568158371, 0.5678931746956846, 0.40465131250747]","[0, 61, 1213]","[1393, 1393, 1393]","[287, 111, 249]"
