ONE,RO2,AACD,ACET,ALD2,ALDX,BENZ,BR,BR2,BRCL,BRN2,BRN3,BRO,BZO2,C2O3,CAT1,CGLY,CH3I,CH4,CL,CL2,CLAD,CLAO,CLN2,CLN3,CLO,CO,CRES,CRO,CRON,CXO3,DMS,ECH4,EPOX,EPX2,ETH,ETHA,ETHY,ETOH,FACD,FMBR,FMCL,FORM,GLY,GLYD,H2,H2O,H2O2,HBR,HCL,HCO3,HI,HIO3,HNO3,HO2,HOBR,HOCL,HOI,HONO,HPLD,I,I2,I2O2,IBR,ICL,INO2,INO3,INTR,IO,IOLE,ISO2,ISOP,ISPD,ISPX,IXOY,KET,MB2,MB2C,MB3,MBC,MBC2,MEO2,MEOH,MEPX,MGLY,MI2,MIB,MIC,N2O5,NO,NO2,NO3,NTR1,NTR2,O,O1D,O2,O3,O3P,OH,OIO,OLE,OPAN,OPEN,OPO3,PACD,PAN,PANX,PAR,PNA,PRPA,ROOH,ROR,SO2,SULF,TERP,TO2,TOL,XLO2,XO2,XO2H,XO2N,XOPN,XPAR,XPRP,XYL
1,0,3.19758749275837e-05,4.04703265748894e-05,0.819062261963251,0.0312954554405754,0.0236428349481999,8.1335673011092e-10,0.000837467394636015,0.000136643869731801,1.23782574563047e-07,0.00131576086888609,1.14301965957118e-05,8.55606717111599e-07,5.2380290231657e-06,1.47886252369037e-09,9.12977334426515e-08,0,1951.34144444444,0,0.000433404865900383,0,0,7.91310727969349e-05,0,0,119.692777777778,7.36282607691915e-06,2.53147225638201e-08,1.31634771935227e-06,4.98032704655566e-05,0.0060132644541035,0,3.83307450923726e-07,1.74096750620385e-10,0,0,0,1.61137151316919,1.27000924145594,4.84835566523581e-06,0,1.94108621111111,3.71108293311707e-05,1.42354653420163e-05,0,3.09694552812386e-05,4.0379864258449e-05,3.43139497616036e-06,0,4.82140198895678e-09,0,0,0.237325134942529,0.000279462062716247,7.87037317447145e-05,0,0,0.0336689501915709,0.0048827429821914,0,0,0,0,0,0,0,4.04631956250131e-06,0,1.10354818682954e-08,0.00093005441269808,0.629080413543523,0.0208950387975919,0.000111154084181789,0,2.44950175943097e-06,0,0,0,0,0,0.00176169704221216,6.90445393192685,6.94873189795958e-05,0.000116961310517238,0,0,0,0.00105817341139155,8.30439351829003e-07,1.24856883678287,0.00197925615150659,5.17554624176149e-05,0.0471662795141871,0,0,0,50.1821111111111,3.16271953113895e-18,2.3877400160457e-06,0,1.28188225837122e-09,1.65908490137273e-05,5.5638831730138e-06,1.23463254733228e-07,6.51122136507592e-06,0.0012162478890216,0.00967924299865899,0.124058438274005,5.91890617809252e-05,0,0.00901169673667296,6.61263326643607e-14,0.000459643531876403,1.8190712443203e-08,0.113586652073415,3.32475247198337e-05,0.109018355635974,0,0.0597451689377506,0.0332640712929454,0.0159969487315323,7.4067458281153e-08,4.47365044214241e-09,0,0
1,0,0.000161345691058192,0.000152449144761258,0.795356169731801,0.0581354336928355,0.0189531218390805,8.08300422866128e-10,0.000771756360153257,0.000121139731800766,1.40453421109022e-07,0.00188563576339341,8.23420513788197e-06,1.46937869560784e-06,7.41824588372773e-06,2.92254298557955e-09,7.06244481915466e-07,0,1951.23044444444,0,0.000414520268199234,0,0,6.68976245210728e-05,0,0,117.085,1.08270531585753e-05,4.00707586521251e-08,3.34061003973708e-06,9.40404231692749e-05,0.0054899459770115,0,1.24794135311645e-06,1.2747876737287e-09,0,0,0,1.56245805287356,1.26912232704981,3.93350639213462e-06,0,1.88901448888889,0.000137872339785817,4.29125315065746e-05,0,5.29953612262254e-05,4.44071862534145e-05,5.66764403969378e-06,0,2.6387847157079e-09,0,0,0.227692284636015,0.000155341674984246,0.000246380100213617,0,0,0.0310236293869732,0.0099067889653491,0,0,0,0,0,0,0,3.06799527740781e-06,0,3.17292921836756e-08,0.000854928027379035,0.555767835249042,0.0366850142634937,0.000152224531912238,0,9.67807444312355e-06,0,0,0,0,0,0.00371850168655417,6.76267594521073,0.000159485350244919,0.000437726983070468,0,0,0,0.000642646417500419,3.56328166111107e-07,0.957238827208102,0.00154175629329526,5.20472089774205e-05,0.0821309575116222,0,0,0,50.266,3.36350661164051e-18,2.46404614262421e-06,0,2.2157433828664e-09,5.90160266376793e-05,9.6206446613455e-06,3.71135662258274e-07,1.15148207331926e-05,0.00188197575153606,0.0190998950841411,0.249142590403647,2.55543560590928e-05,0,0.0198431515345258,1.37583825009681e-13,0.000796174505896136,6.93595142776073e-08,0.118124627586207,6.38166113529675e-05,0.10812152183908,0,0.10884745972808,0.0578673756818627,0.0293326740931963,1.01032769647561e-07,9.27482391284198e-09,0,0
1,0,0.000365776994020766,0.000316255577961848,0.833414811111111,0.0852684163409515,0.0252824,8.10531334591678e-10,0.000755342260536399,0.000162006666666667,1.57514241688611e-07,0.0021242113362628,5.03821368005209e-06,2.29329585404298e-06,7.30968544801856e-06,3.25601014886233e-09,2.23412906791658e-06,0,1952.44877777778,0,0.000418139348659004,0,0,8.27077777777778e-05,0,0,118.024222222222,1.28712114559969e-05,5.11457633945129e-08,5.84819653294691e-06,0.000115094799544897,0.00577473333333333,0,2.24987427351033e-06,3.58379522162713e-09,0,0,0,1.68126515555556,1.26917616283525,3.27708704715542e-06,0,1.91669542222222,0.000284839666537154,8.2376764306766e-05,0,7.48403840908954e-05,4.51519039034998e-05,7.47381795406334e-06,0,1.81268712570532e-09,0,0,0.212315388773946,0.000104358568659226,0.000449481881613487,0,0,0.0338218138314176,0.0141547610506405,0,0,0,0,0,0,0,2.32571229328622e-06,0,5.05009638589824e-08,0.000750803014719531,0.492528922222222,0.0500261204588357,0.000171488848444083,0,2.12573922140753e-05,0,0,0,0,0,0.00593740021857569,6.85305112222222,0.000256832934716145,0.000905768178126737,0,0,0,0.000719686843430349,3.08469570172295e-07,1.00011264425173,0.00163447192998319,5.28281284838675e-05,0.115214573236642,0,0,0,49.7296666666667,3.23525554148558e-18,2.41788585520327e-06,0,2.84565538922434e-09,0.00012010346691301,1.32603682074156e-05,5.95611846061833e-07,1.52870382098147e-05,0.00222446214651395,0.0280241117445073,0.370696327196937,1.81309774592195e-05,0,0.0300949615189858,2.01383086556807e-13,0.00115886481830635,1.45734206260372e-07,0.119696511111111,9.69303008404523e-05,0.121805422222222,0,0.157801282971469,0.0816290045412172,0.0429287640563999,1.50991067840913e-07,1.35466800853623e-08,0,0
1,0,0.000613137839046438,0.000524113689571758,0.892413494166675,0.116141825493632,0.0431196659586637,8.411765726886e-10,0.00081718,0.000146943333333333,1.79607089234076e-07,0.00207491165428214,1.84222222222222e-06,3.68365732729249e-06,6.39956035514341e-06,2.51383750874503e-09,4.96985665132326e-06,0,1954.18433333333,0,0.000529703333333333,0,0,0.000101153333333333,0,0,120.038777777778,1.28464098301177e-05,5.5888216803073e-08,8.75926830082301e-06,0.000117687556065488,0.00665990304016814,0,3.24878846772837e-06,6.96260457342332e-09,0,0,0,1.99500772121412,1.27286096666667,2.88351135063173e-06,0,1.88440145555556,0.00047201555242057,0.000130576534212015,0,9.96841359526043e-05,4.49484405405921e-05,9.00753909831919e-06,0,1.25573860637798e-09,0,0,0.205389407777778,7.48033877216053e-05,0.000657933845378671,0,0,0.03779739,0.0178476193227446,0,0,0,0,0,0,0,1.76691325399619e-06,0,6.4168238644957e-08,0.000664885502178607,0.47086831733905,0.0635522226608024,0.000181001730083469,0,3.60562167457826e-05,0,0,0,0,0,0.00838462835107248,7.07441240150328,0.000355678665619005,0.00150147818567622,0,0,0,0.00105110933972948,3.69775986728714e-07,1.21729750822401,0.00201017724850476,5.50186002856328e-05,0.153626598076956,0,0,0,48.8797777777778,2.88429849357184e-18,2.2809542478863e-06,0,3.23880548646177e-09,0.000195468562181572,1.57311275907581e-05,7.3211402502294e-07,1.78651411940802e-05,0.00241618559112903,0.0364863721215252,0.485433512610496,1.54002555130951e-05,0,0.0397579251050713,2.47448696700744e-13,0.00166876810983329,2.48349322258808e-07,0.117883247347031,0.000130330630013321,0.13292977352883,0,0.213752532557752,0.109877233082396,0.0586828879133454,2.0238154797633e-07,1.67340253756949e-08,0,0
1,0,0.000824187294112314,0.000759547603587801,1.45370022643556,0.180184817915796,0.0731258693140422,7.41010579601081e-10,0.00083902,0.000168084444444444,2.33453778003548e-07,0.0150185656273208,4.60077777777778e-05,5.22569321194086e-06,4.16296876729957e-06,3.424072210396e-10,9.14152461961839e-06,0,1966.59133333333,0,0.00121741888888889,0,0,0.000349512222222222,0,0,142.636666666667,7.27241828528625e-06,4.50131476125084e-08,1.20530512298709e-05,5.05398970965247e-05,0.00913950070761107,0,3.86812012362126e-06,9.69267049270355e-09,0,0,0,4.31107574431011,1.41916097666667,2.38326157327491e-06,0,2.11891161111111,0.000693786786712554,0.000183128566759838,0,0.00014151411126251,4.40799571903667e-05,1.03298452301196e-05,0,6.97542811067366e-10,0,0,0.179758891111111,3.66248333266303e-05,0.00154638863303819,0,0,0.0720100177777778,0.0197425305865932,0,0,0,0,0,0,0,1.35799469690027e-06,0,6.28459747317254e-08,0.000354098490148698,0.380401129687991,0.0838918295987616,0.000180546055869379,0,4.74658551614251e-05,0,0,0,0,0,0.0116546081146665,8.5789915179098,0.000424833976446084,0.00220603373423237,0,0,0,0.00737826156416372,1.77356645471509e-06,3.0989052369891,0.00547267231972034,7.89943426815383e-05,0.245746516670271,0,0,0,45.2771111111111,1.21936732857907e-18,1.4839433291125e-06,0,3.35014158572822e-09,0.000271120112503406,1.43449675746938e-05,3.58606196038235e-07,1.81310197765729e-05,0.00346664774312887,0.043139656668602,0.572946989216307,1.94736083192964e-05,0,0.0468473181840062,1.90549844642799e-13,0.0035509081788459,3.6774554209683e-07,0.103085717329518,0.000185076216942849,0.307725018066206,0,0.331782042694161,0.17576607328295,0.0933019327983422,1.83051254820489e-07,1.28537521477717e-08,0,0
1,0,0.00118156292216858,0.00104084341434845,1.74903624827586,0.248108047752471,0.0891266183908046,9.17634321211522e-10,0.000824597662835249,0.000190701685823755,2.95572559775991e-07,0.0287193519010841,5.70475478927203e-05,7.54651961821302e-06,4.53886297045304e-06,9.41811928681625e-10,1.49869208812293e-05,0,1977.929,0,0.00109888513409962,0,0,0.000314772796934866,0,0,134.175111111111,1.11855116489501e-05,4.46606713861986e-08,1.40651688406817e-05,6.01845051713844e-05,0.00982803409961686,0,4.6127603168511e-06,1.36733051638772e-08,0,0,0,5.69981681111111,1.61372347455939,2.25046279407387e-06,0,2.3292276,0.000949885673569135,0.000254850198239122,0,0.000187783826579092,4.30703722145377e-05,1.15841390169659e-05,0,7.23204623369747e-10,0,0,0.178820619885057,3.27752874453583e-05,0.0037543327811123,0,0,0.0895871205747126,0.0215471304989064,0,0,0,0,0,0,0,1.03685176123101e-06,0,6.74835019928612e-08,0.000436929488577927,0.36491308697318,0.0974179690545331,0.000178767464012654,0,6.43958713089629e-05,0,0,0,0,0,0.0151781686514593,9.75608125057471,0.000498640457078131,0.00302511302988233,0,0,0,0.00505702381530838,8.67667425452862e-07,2.91369816929774,0.00369991890254482,9.58056692690651e-05,0.326672709750623,0,0,0,43.909,1.78824176783841e-18,1.80247301677244e-06,0,3.43711222435965e-09,0.000367530865532949,1.73252385618771e-05,4.75109463202336e-07,1.83282205977738e-05,0.0042225058541138,0.0517345245538063,0.698406534372763,1.77490898608213e-05,0,0.055182959459085,2.86803111023209e-13,0.00496801371253242,6.12959396267283e-07,0.151924831034483,0.000245842881969203,0.285429764750958,0,0.45150487267141,0.232669314332942,0.129662474547595,2.29065881585062e-07,1.90483624790509e-08,0,0
1,0,0.00155161822534599,0.00131199961998787,2.3703091,0.342940774730726,0.150226266666667,8.47934536531675e-10,0.000805793486590038,0.000233027892720307,3.90595793805496e-07,0.0521698235771844,6.10851724137931e-05,1.07133779432187e-05,3.64149907888418e-06,6.01564161691625e-10,2.2580759730904e-05,0,2005.16344444444,0,0.00159114639846743,0,0,0.000673956704980843,0,0,143.338333333333,1.15664655256636e-05,3.96747255196062e-08,1.71457170995581e-05,4.01014003236349e-05,0.0102207666666667,0,5.16166360160267e-06,1.72128829802248e-08,0,0,0,8.01158417777778,1.94601839394636,1.98887055252099e-06,0,2.79745693333333,0.00120096617394661,0.000326743146791468,0,0.000248992117422632,4.20239247196702e-05,1.28001220204646e-05,0,5.91377859739403e-10,0,0,0.141536242068965,2.16540878668064e-05,0.00790100904403273,0,0,0.145110538429119,0.022649466956904,0,0,0,0,0,0,0,7.96795828611017e-07,0,6.69574380908249e-08,0.000289477680927722,0.291808755555556,0.1089729437683,0.000175410382035886,0,8.02256497283347e-05,0,0,0,0,0,0.018979067562032,11.9448690333333,0.000559287284757004,0.00382577742064397,0,0,0,0.0111330108375482,1.39709884578894e-06,4.70927227446669,0.00482770289469349,0.000133828833739891,0.434492019441411,0,0,0,38.7984444444444,1.13501758422082e-18,1.43865898532673e-06,0,3.43503025246323e-09,0.000462574315947092,1.93788540200394e-05,3.33860861526224e-07,1.81666818625121e-05,0.00547498476204634,0.0599919297674627,0.822026256381572,1.98487173078758e-05,0,0.0625113604362004,2.71932931741131e-13,0.00679428175076679,8.76976974216862e-07,0.174766388888889,0.000323067098197576,0.445219833333333,0,0.614491100468466,0.305538581951748,0.180640669778852,2.53777097163463e-07,1.79087148650018e-08,0,0
1,0,0.00203640091799184,0.00158574732899561,2.92767436762056,0.44632941132282,0.225085437669693,7.93801415382534e-10,0.000792166551724138,0.000257958888888889,4.93919453408521e-07,0.0806567031178225,6.7715938697318e-05,1.46620532939825e-05,3.56117513333026e-06,4.79396287296568e-10,3.18963237010234e-05,0,2028.91833333333,0,0.00177118203065134,0,0,0.00101201084291188,0,0,154.775666666667,1.20634621511338e-05,3.98911633234747e-08,1.97503139418034e-05,3.76597845276763e-05,0.0119856961926164,0,5.57730941712656e-06,2.03347285660412e-08,0,0,0,9.96138230017458,2.14827806950192,1.77348246622477e-06,0,3.05577438888889,0.00145754648309316,0.000398072570690236,0,0.000310324513467457,4.10136803072374e-05,1.39519210494973e-05,0,4.84398046751388e-10,0,0,0.131705761800766,1.62606754341463e-05,0.0149794809061359,0,0,0.174284199885058,0.0233371102265919,0,0,0,0,0,0,0,6.13248115924056e-07,0,6.37340043105535e-08,0.000230223808427155,0.279719088656785,0.120612724792914,0.000171546299118057,0,9.50419720124212e-05,0,0,0,0,0,0.0236586958753869,13.4576670904088,0.000612094334891418,0.00464336493145208,0,0,0,0.0142040655214745,1.42264883612573e-06,5.53506698879561,0.00525209142588772,0.00018584676412941,0.549431940492694,0,0,0,36.119,7.8508283859027e-19,1.19658856059244e-06,0,3.38665213779257e-09,0.000554145371852361,2.08629972210548e-05,3.26808698753751e-07,1.79310135738808e-05,0.00657277455642052,0.0677183928260681,0.934692364780314,1.74703386974574e-05,0,0.0693295345407189,2.57069324671944e-13,0.00915897948074915,1.17173142886588e-06,0.176468361736907,0.000408835125994216,0.59718856266434,0,0.791281338480104,0.384694477545157,0.236178283739372,2.92509124657227e-07,1.69420408120875e-08,0,0
1,0,0.00264621890375084,0.00193419438390191,1.53274919666681,0.482012805348634,0.0559021366592505,1.25863032728361e-09,0.000679994827586207,0.00013605061302682,5.4159412610082e-07,0.0890605997983653,0.000104066781609195,1.58208921101346e-05,3.44331892517335e-06,2.42003623784145e-09,4.27346472412962e-05,0,1969.839,0,0.000678492183908046,0,0,0.000304334061302682,0,0,128.320888888889,1.35559013366468e-05,4.79113697494524e-08,2.02822229917593e-05,8.05799484456706e-05,0.0123185603200327,0,6.31198759017244e-06,2.63962294098788e-08,0,0,0,2.87470651408397,1.89313411716475,2.39165224703214e-06,0,2.24687157777778,0.00176280296402499,0.000483388173108555,0,0.000343329359650981,3.96522260761476e-05,1.50909966163516e-05,0,5.49238493472539e-10,0,0,0.132878816398467,1.91561508084043e-05,0.024261747449219,0,0,0.151083971072797,0.0252820652015245,0,0,0,0,0,0,0,4.62827680900079e-07,0,7.14374396260197e-08,0.000804800925826918,0.426644199955019,0.1285647161744,0.000168056380380016,0,0.000126152279078604,0,0,0,0,0,0.0276365902955109,9.33183848963975,0.000678906579091155,0.00562341439314678,0,0,0,0.0028591155138909,1.71113785850942e-07,1.94770792288621,0.00204270888777694,0.000187966258904976,0.575459664776406,0,0,0,44.1913333333333,2.23290100921562e-18,2.04893474297041e-06,0,3.33189984481294e-09,0.000686236617459525,2.20207025904642e-05,8.18985062197701e-07,1.78004174134669e-05,0.00547336697089365,0.0763352107790499,1.05475605542657,1.09247215272199e-05,0,0.0776497877597276,5.36714455796761e-13,0.0100355802110298,1.80108628677013e-06,0.166111067940454,0.000440158255255349,0.177095420826939,0,0.85443435923864,0.413209224760702,0.25482366858237,4.07143796667951e-07,3.28836005701567e-08,0,0
1,0,0.0032623556819212,0.00231769038659672,1.20280301111111,0.500234615866211,0.0352677,1.16860150102787e-09,0.000612937203065134,0.000106797662835249,5.6453394760398e-07,0.088344271579876,9.41236859308038e-05,1.64060785494252e-05,3.16118763911402e-06,2.99477925978014e-09,5.61391990635401e-05,0,1955.56211111111,0,0.000362946896551724,0,0,0.000173793295019157,0,0,121.454777777778,1.32541542612672e-05,6.22540024741502e-08,2.08591889130939e-05,0.000146690948668367,0.00862184444444444,0,7.05553656732055e-06,3.32211907659852e-08,0,0,0,1.7493809,1.82972180980843,2.40275818932452e-06,0,2.06358288888889,0.00209970720590368,0.000567058411947404,0,0.000359660337029316,3.87600933605875e-05,1.64038650829626e-05,0,4.09000156289295e-10,0,0,0.0997030125670498,1.60694059220991e-05,0.0335727250848139,0,0,0.154011884980843,0.0274184929899393,0,0,0,0,0,0,0,3.52006163263434e-07,0,7.69158188358957e-08,0.000603220064081289,0.335741544444444,0.132495411024162,0.000166014359568434,0,0.000160294437686061,0,0,0,0,0,0.031161952730154,9.21245415555556,0.000751769793620853,0.00670185809570657,0,0,0,0.00125788522158923,7.69510407826136e-08,1.16122209860451,0.00158252817445756,0.000187165549085574,0.576243399610951,0,0,0,44.7004444444445,2.1300770680808e-18,1.99726068547657e-06,0,3.28351742689655e-09,0.000819997336735625,2.24894025473943e-05,1.62418986067234e-06,1.81533096296948e-05,0.00391729361461101,0.0833776167667408,1.15143751235968,5.18694800365104e-06,0,0.0857711875482011,5.65887412843454e-13,0.0103898529089208,2.451068120265e-06,0.130767666666667,0.000460112939757645,0.127111811111111,0,0.885777924514542,0.425837405766272,0.263806537362426,5.18831639767656e-07,3.49689753668503e-08,0,0
