Time [sec]	Time (UTC)	P [mB]	T [°F]	Hu [%]	Ws [mi/h]	Wd [°]	Ws U [mi/h]	Ws V [mi/h]	Geopot [m]	Dew [°F]
0         	17:09:00  	873.6 	30.0  	23    	3.5      	165   	-0.9       	3.4        	1288      	6.6
2         	17:09:02  	869.0 	26.6  	19    	4.3      	157   	-1.7       	4.0        	1335      	1.4
4         	17:09:04  	864.4 	26.5  	20    	4.3      	157   	-1.7       	4.0        	1382      	1.9
6         	17:09:06  	859.8 	26.4  	21    	4.3      	157   	-1.7       	4.0        	1429      	2.2
8         	17:09:08  	855.2 	26.4  	21    	6.1      	166   	-1.5       	5.9        	1476      	2.3
10        	17:09:10  	850.7 	26.3  	21    	6.2      	166   	-1.5       	6.0        	1523      	2.6
12        	17:09:12  	846.1 	26.3  	22    	6.2      	166   	-1.5       	6.0        	1570      	2.7
14        	17:09:14  	841.6 	26.2  	22    	6.2      	166   	-1.5       	6.0        	1617      	2.7
16        	17:09:16  	837.1 	26.2  	22    	6.2      	166   	-1.5       	6.0        	1664      	2.7
18        	17:09:18  	832.6 	26.1  	22    	6.2      	166   	-1.5       	6.0        	1711      	2.7
20        	17:09:20  	829.2 	26.0  	22    	6.3      	165   	-1.6       	6.1        	1758      	2.6
22        	17:09:22  	825.7 	25.9  	22    	6.4      	165   	-1.7       	6.2        	1805      	2.6
24        	17:09:24  	822.2 	25.9  	22    	6.5      	165   	-1.7       	6.3        	1822      	2.6
26        	17:09:26  	821.6 	25.8  	22    	6.6      	164   	-1.8       	6.3        	1828      	2.5
28        	17:09:28  	821.0 	25.8  	22    	6.6      	164   	-1.8       	6.3        	1835      	2.5
30        	17:09:30  	820.3 	25.7  	22    	6.7      	163   	-1.9       	6.4        	1842      	2.5
32        	17:09:32  	819.7 	25.6  	22    	6.7      	163   	-1.9       	6.4        	1848      	2.4
34        	17:09:34  	819.1 	25.5  	22    	6.7      	165   	-1.7       	6.5        	1855      	2.4
36        	17:09:36  	818.5 	25.5  	22    	6.7      	167   	-1.5       	6.5        	1862      	2.3
38        	17:09:38  	817.8 	25.4  	22    	6.8      	167   	-1.5       	6.6        	1869      	2.2
40        	17:09:40  	817.1 	25.4  	22    	6.7      	168   	-1.4       	6.6        	1876      	2.2
42        	17:09:42  	816.4 	25.3  	22    	6.7      	168   	-1.4       	6.6        	1884      	2.1
44        	17:09:44  	815.7 	25.3  	22    	6.7      	169   	-1.3       	6.6        	1892      	2.1
46        	17:09:46  	815.0 	25.2  	22    	6.9      	167   	-1.5       	6.7        	1899      	2.0
48        	17:09:48  	814.3 	25.2  	22    	7.0      	168   	-1.5       	6.8        	1907      	1.9
50        	17:09:50  	813.6 	25.1  	22    	7.1      	167   	-1.6       	6.9        	1915      	1.9
