Parameter,ParameterCode,MethodCode,RecordingMode,CollectionDescription,AnalysisDescription,CollectionType,MethodType,ReferenceMethodID,EquivalentMethod,FederalMDL,MinValue,MaxValue,Digits,RoundTruncateIndicator,Units,CarbonNumber,ChemicalFormula,APP_A_PARAMETERS,AQIPOLLUTANTS,BPOIL,COMBINABLE,CORE_HAPS,CRITERIA,CRITERIAGAS,CRITERIAPM,CSNCARBON,CSNDART,CSNIONS,CSNTRACEELEMENTS,CYLINDER_GASES,DESIGNVALUE,HAPS,IMPROVECARBON,IMPROVE_SPECIATION,KEYSAT,MET,NATTSCOREHAPS,NATTSREQUIRED,NPAPGASES,PAH,PAMS,PAMS_VOC,PEP,PMCOARSE,PM10SPECIATION,PM10_METAL,PM2.5CONTNONREF,PM2.5MASSALLMETHODS,PM2.5MASS/QA,PMP_REQUIRED,QUICKLOOK,SANDWICH,SATWEB,SCHOOLAIRTOXICS,SPECIATION,SPECIATIONCARBON,SPECIATIONCATION/ANION,SPECIATIONMETALS,TARGETSVOC,UATMPCARBONYL,UATMPVOC,VOC,Param-Method,NAAQS
p-Ethyltoluene,45213,128,Continuous,PRECONCENTRATION TRAP,PE 8700;AUTO GC;SUBAMBIENT-DUAL FID,VOC_GC,,,,0.01,-0.01,,2,R,Parts per billion Carbon,9,C9H12,,,,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,,,,,,,,,VOC,45213-128,FALSE
p-Ethyltoluene,45213,136,Continuous,INSTRUMENTAL,ENTECH 2000 W/ MS/FID,VOC_GC,,,,0.1,-0.1,,1,R,Parts per billion Carbon,9,C9H12,,,,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,,,,,,,,,VOC,45213-136,FALSE
p-Ethyltoluene,45213,137,Continuous,Instrumental,AIRCO-VOC C6/C12 GC/FID,VOC_Chromatography,,,,0.54,-0.54,,2,R,Parts per billion Carbon,9,C9H12,,,,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,,,,,,,,,VOC,45213-137,FALSE
p-Ethyltoluene,45213,142,Continuous,Preconcen trap/Thermal Desorber,Auto GC (PE Clarus 500 dual col),VOC_GC,,,,3.295,-3.295,,4,R,Parts per billion Carbon,9,C9H12,,,,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,,,,,,,,,VOC,45213-142,FALSE
p-Ethyltoluene,45213,146,Intermittent,6L PRESSURIZED CANISTER,PE8700;AUTO GC;SUBAMBIENT-DUAL FID,VOC_Canister,,,,0.1,-0.1,,1,R,Parts per billion Carbon,9,C9H12,,,,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,,,,,,,,,VOC,45213-146,FALSE
p-Ethyltoluene,45213,148,Intermittent,6L PRESSURIZED CANISTER,ENTECH PRECON - HP GC/FTIR/MS,VOC_Canister,,,,0.1,-0.1,,1,R,Parts per billion Carbon,9,C9H12,,,,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,,,,,,,,,VOC,45213-148,FALSE
p-Ethyltoluene,45213,149,Intermittent,6L SUBATM CANISTER,Entech Precon-  GC/FID/MSD,VOC_Canister,,,,0.1,-0.1,,1,R,Parts per billion Carbon,9,C9H12,,,,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,,,,,,,,,VOC,45213-149,FALSE
p-Ethyltoluene,45213,150,Intermittent,SS 6L- PRESSURIZED CANISTER,CRYOGENIC PRECON: GC/MS,VOC_Canister,,,,0.1,-0.1,,1,R,Parts per billion Carbon,9,C9H12,,,,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,,,,,,,,,VOC,45213-150,FALSE
p-Ethyltoluene,45213,152,Intermittent,SS-CANISTER-AMBIENT,PRECONCENTRATOR GC/FID,VOC_Canister,,,,0.1,-0.1,,1,R,Parts per billion Carbon,9,C9H12,,,,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,,,,,,,,,VOC,45213-152,FALSE
p-Ethyltoluene,45213,175,Intermittent,Passivated Canister,Cryogenic Preconcentration GC/MS,VOC_Canister,,,,0.1,-0.1,,2,R,Parts per billion Carbon,9,C9H12,,,,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,,,,,,,,,VOC,45213-175,FALSE
p-Ethyltoluene,45213,176,Intermittent,6L SUBATM SS CANISTER,ENTECH PRECONCENTRATOR GC/MS,VOC_Canister,,,,0.02,-0.02,,2,R,Parts per billion Carbon,9,C9H12,,,,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,,,,,,,,,VOC,45213-176,FALSE
p-Ethyltoluene,45213,177,Intermittent,SS Canister Pressurized,Preconcentrator GC/FID/MSD,VOC_Canister,,,,0.1,-0.1,,1,R,Parts per billion Carbon,9,C9H12,,,,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,,,,,,,,,VOC,45213-177,FALSE
p-Ethyltoluene,45213,210,Intermittent,SS 6L Pressurized Canister,Cryogenic Precon GC/MS,VOC_Canister,,,,0.18,-0.18,,3,R,Parts per billion Carbon,9,C9H12,,,,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,,,,,,,,,VOC,45213-210,FALSE
p-Ethyltoluene,45213,221,Continuous,Preconcentrator trap/thermal desorber - no drier,CAS AirmOzone - benzene response - factor adjusted,VOC_GC,,,,0.5,-1,1000,4,R,Parts per billion Carbon,9,C9H12,,,,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,,,,,,,,,VOC,45213-221,FALSE
