ParameterCode,Parameter,MethodCode,RecordingMode,CollectionDescription,AnalysisDescription,CollectionType,Units
43226,trans-2-Pentene,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
43227,cis-2-Pentene,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
43230,3-Methylpentane,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
43231,n-Hexane,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
43232,n-Heptane,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
43233,n-Octane,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
43235,n-Nonane,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
43238,n-Decane,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
43242,Cyclopentane,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
43243,Isoprene,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
43244,"2,2-Dimethylbutane",228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
43245,1-Hexene,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,BP OIL_GC,Parts per billion Carbon
43246,2-Methyl-1-pentene,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,BP OIL_GC,Parts per billion Carbon
43247,"2,4-Dimethylpentane",228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
43248,Cyclohexane,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
43249,3-Methylhexane,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
43250,"2,2,4-Trimethylpentane",228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
43252,"2,3,4-Trimethylpentane",228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
43253,3-Methylheptane,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
43256,alpha.-Pinene,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
43257,beta.-Pinene,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
43261,Methylcyclohexane,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
43262,Methylcyclopentane,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
43263,2-Methylhexane,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
43280,1-Butene,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
43284,"2,3-Dimethylbutane",228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
43285,2-Methylpentane,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
43291,"2,3-Dimethylpentane",228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
43954,n-Undecane,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
43960,2-Methylheptane,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
44201,Ozone,19,Continuous,INSTRUMENTAL,ULTRA VIOLET,Ozone,Parts per million
44201,Ozone,87,Continuous,INSTRUMENTAL,ULTRA VIOLET ABSORPTION,Ozone,Parts per million
44201,Ozone,19,Continuous,INSTRUMENTAL,ULTRA VIOLET,Ozone,Parts per million
44201,Ozone,87,Continuous,INSTRUMENTAL,ULTRA VIOLET ABSORPTION,Ozone,Parts per million
45109,m/p Xylene,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
45201,Benzene,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
45202,Toluene,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
45203,Ethylbenzene,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
45204,o-Xylene,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
45207,"1,3,5-Trimethylbenzene",228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
45208,"1,2,4-Trimethylbenzene",228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
45209,n-Propylbenzene,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
45210,Isopropylbenzene,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
45211,o-Ethyltoluene,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
45212,m-Ethyltoluene,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
45213,p-Ethyltoluene,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
45218,m-Diethylbenzene,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
45219,p-Diethylbenzene,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
45220,Styrene,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
45225,"1,2,3-Trimethylbenzene",228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,VOC_GC,Parts per billion Carbon
61101,Wind Speed - Scalar,50,Continuous,INSTRUMENTAL,ELECTRONIC OR MACHINE AVG.,MET,Knots
61101,Wind Speed - Scalar,68,Continuous,Instrumental,RM Young Ultrasonic Anemometer Model 86004,MET,Knots
61102,Wind Direction - Scalar,50,Continuous,INSTRUMENTAL,ELECTRONIC OR MACHINE AVERAGE,MET,Degrees Compass
61102,Wind Direction - Scalar,68,Continuous,Instrumental,RM Young Ultrasonic Anemometer Model 86004,MET,Degrees Compass
61102,Wind Direction - Scalar,50,Continuous,INSTRUMENTAL,ELECTRONIC OR MACHINE AVERAGE,MET,Degrees Compass
61103,Wind Speed - Resultant,20,Continuous,INSTRUMENTAL,VECTOR SUMMATION,MET,Knots
61104,Wind Direction - Resultant,20,Continuous,INSTRUMENTAL,VECTOR SUMMATION,MET,Degrees Compass
61301,Mixing Height,128,Continuous,Instrumental,Optical Scattering Ceilometer,MET,Meters
62101,Outdoor Temperature,40,Continuous,INSTRUMENTAL,ELECTRONIC OR MACHINE AVG.,MET,Degrees Fahrenheit
62201,Relative Humidity ,12,Continuous,INSTRUMENTAL,HYGROSCOPIC PLASTIC FILM,MET,Percent relative humidity
63301,Solar radiation,11,Continuous,INSTRUMENTAL,PYRANOMETER,MET,Langleys/minute
