ParameterCode,Parameter,MethodCode,RecordingMode,CollectionDescription,AnalysisDescription,CollectionType,Units
88101,PM2.5 - Local Conditions,184,Continuous,Thermo Scientific Model 5030 SHARP w/VSCC,Beta Attenuation,Continuous PM25,Micrograms/cubic meter (LC)
88101,PM2.5 - Local Conditions,184,Continuous,Thermo Scientific Model 5030 SHARP w/VSCC,Beta Attenuation,Continuous PM25,Micrograms/cubic meter (LC)
88101,PM2.5 - Local Conditions,182,Continuous,Thermo Scientific TEOM 1405-DF Dichotomous FDMS,FDMS Gravimetric,Continuous PM25,Micrograms/cubic meter (LC)
88101,PM2.5 - Local Conditions,181,Continuous,Thermo Scientific TEOM 1400 FDMS or 1405 8500C FDMS w/VSCC,FDMS Gravimetric,Continuous PM25,Micrograms/cubic meter (LC)
88501,PM2.5 Raw Data,723,Continuous,PM2.5 WINS w/No Correction Factor,TEOM Gravimetric 30 deg C,Continuous PM25,Micrograms/cubic meter (LC)
88501,PM2.5 Raw Data,721,Continuous,PM2.5 WINS w/No Correction Factor,TEOM Gravimetric 50 deg C,Continuous PM25,Micrograms/cubic meter (LC)
88501,PM2.5 Raw Data,723,Continuous,PM2.5 WINS w/No Correction Factor,TEOM Gravimetric 30 deg C,Continuous PM25,Micrograms/cubic meter (LC)
88501,PM2.5 Raw Data,760,Continuous,PM2.5 SCC,FDMS-Gravimetric,Continuous PM25,Micrograms/cubic meter (LC)
88502,Acceptable PM2.5 AQI & Speciation Mass,781,Intermittent,SINGLE-FILTR WINS 2.5UM IMPACT,GRAVIMETRIC,PM25 Filter,Micrograms/cubic meter (LC)
88502,Acceptable PM2.5 AQI & Speciation Mass,760,Continuous,PM2.5 SCC,FDMS-Gravimetric,Continuous PM25,Micrograms/cubic meter (LC)
88502,Acceptable PM2.5 AQI & Speciation Mass,760,Continuous,PM2.5 SCC,FDMS-Gravimetric,Continuous PM25,Micrograms/cubic meter (LC)
