Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"Total Hours in Period",10992,10992,10992
"Valid Ambient Hours (N)",9482,9482,9482
"Valid Ambient Recovery","86.262736535662 %","86.262736535662 %","86.262736535662 %"
Mean,0.6295,0.5322,0.2289
Median,0.0865,0.4408,0.1808
Deviation,1.8346,0.3352,0.1991

Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"2023-10-01 0",0.0254,0.3588,0.4699
"2023-10-01 1",0.0158,0.3863,0.5532
"2023-10-01 5",0.0139,0.5118,0.5927
"2023-10-01 6",0.021,0.2812,0.5608
"2023-10-01 7",0.0759,0.1787,0.5699
"2023-10-01 8",0.2121,0.2026,0.8558
"2023-10-01 9",0.2623,0.1953,0.5581
"2023-10-01 10",0.1903,0.1672,0.4245
"2023-10-01 11",0.3313,0.1894,0.4381
"2023-10-01 17",0.4351,0.3674,0.4078
"2023-10-01 18",0.1969,0.3663,0.4985
"2023-10-01 19",0.1543,0.3124,0.5179
"2023-10-01 20",0.1405,0.2388,0.4646
"2023-10-01 21",0.0911,0.2639,0.4398
"2023-10-01 22",0.0738,0.2193,0.5406
"2023-10-01 23",0.0594,0.2348,0.4484
"2023-10-02 2",0.0325,0.3972,0.5915
"2023-10-02 3",0.0325,0.2739,0.4795
"2023-10-02 4",0.0254,0.2413,0.4403
"2023-10-02 5",0.0258,0.2086,0.5233
"2023-10-02 6",0.034,0.1971,0.5907
"2023-10-02 7",0.0437,0.2143,0.4874
"2023-10-02 8",0.0883,0.2477,0.5479
"2023-10-02 9",0.1367,0.2916,0.5522
"2023-10-02 10",0.1441,0.3336,0.5783
"2023-10-02 11",0.1322,0.2658,0.5912
"2023-10-02 12",0.4399,0.2311,0.5385
"2023-10-02 13",0.1477,0.2473,0.4541
"2023-10-02 14",0.1704,0.2329,0.5618
"2023-10-02 15",0.1413,0.2245,0.5783
"2023-10-02 16",0.1517,0.2487,0.6582
"2023-10-02 17",0.1778,0.2375,0.6313
"2023-10-02 18",0.7587,0.2751,1.0773
"2023-10-03 0",0.0617,0.262,0.7337
"2023-10-03 1",0.0436,0.2004,0.6109
"2023-10-03 4",0.0357,0.2238,0.6332
"2023-10-03 5",0.0375,0.1962,0.6957
"2023-10-03 6",0.0262,0.1704,0.5715
"2023-10-03 7",0.0921,0.3161,0.7084
"2023-10-03 8",0.5853,0.3562,0.7202
"2023-10-03 9",0.2554,0.2448,0.5956
"2023-10-03 10",0.206,0.3832,0.6675
"2023-10-03 11",0.1472,0.3147,0.5839
"2023-10-03 12",0.1994,0.2715,0.7321
"2023-10-03 13",0.1992,0.3147,0.5448
"2023-10-03 14",0.2141,0.208,0.5516
"2023-10-03 15",0.2095,0.1856,0.6143
"2023-10-03 16",0.2643,0.205,0.6405
"2023-10-03 17",0.2808,0.1892,0.4875
"2023-10-03 18",0.158,0.1813,0.5995
"2023-10-03 19",0.1245,0.1601,0.6442
"2023-10-03 20",0.1382,0.1871,0.8032
