Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"2024-01-07 11",0,0,0
"2024-01-07 12",0,0,0
"2024-01-07 13",0,0,0
"2024-01-07 14",0,0,0
"2024-01-07 15",0,0,0
"2024-01-07 16",0,0,0
"2024-01-07 17",0,0,0
"2024-01-07 18",0,0,0
"2024-01-07 19",0,0,0
"2024-01-07 20",0,0,0
"2024-01-07 21",0.0449,0,0
"2024-01-07 22",0.1376,0,0
"2024-01-07 23",0.115,0,0
"2024-01-08 2",0.0333,0,0
"2024-01-08 3",0.0348,0,0
"2024-01-08 4",0,0,0
"2024-01-08 5",0.0825,0,0
"2024-01-08 6",0.1635,0,0
"2024-01-08 7",0.2133,0,0
"2024-01-08 8",0.4686,0,0
"2024-01-08 9",0.1516,0,0
"2024-01-08 10",0.0632,0,0
"2024-01-08 11",0.0363,0,0
"2024-01-08 12",0,0,0
"2024-01-08 13",0,0,0
"2024-01-08 17",0,0,0
"2024-01-08 18",0.1124,0,0
"2024-01-08 19",0.0422,0,0
"2024-01-08 20",0.0947,0,0
"2024-01-08 21",0.0514,0,0
"2024-01-08 22",0.0275,0,0
"2024-01-09 1",0.0153,0,0
"2024-01-09 2",0.0217,0,0
"2024-01-09 3",0.023,0,0
"2024-01-09 4",0.0161,0,0
"2024-01-09 5",0,0,0
"2024-01-09 6",0.056,0,0
"2024-01-09 8",0.0974,0,0
"2024-01-09 9",0.069,0,0
"2024-01-09 10",0.0334,0,0
"2024-01-09 11",0.0302,0,0
"2024-01-09 12",0,0,0
"2024-01-09 13",0,0,0
"2024-01-09 14",0,0,0
"2024-01-09 15",0.0189,0,0
"2024-01-09 16",0.0449,0,0
"2024-01-09 17",0.0361,0,0
"2024-01-09 18",0.0455,0,0
"2024-01-09 19",0,0,0
"2024-01-09 20",0,0,0
"2024-01-09 21",0.0138,0,0
"2024-01-09 22",0.0664,0,0
"2024-01-09 23",0.0456,0,0
"2024-01-10 0",0.0391,0,0
"2024-01-10 1",0,0,0
"2024-01-10 4",0.0489,0,0
"2024-01-10 5",0.0749,0,0
"2024-01-10 6",0.1895,0,0
"2024-01-10 7",0.2238,0,0
"2024-01-10 8",0.1075,0,0
"2024-01-10 9",0.0822,0,0
"2024-01-10 10",0.0241,0,0
"2024-01-10 11",0,0,0
"2024-01-10 12",0,0,0
"2024-01-10 13",0,0,0
"2024-01-10 14",0,0,0
"2024-01-10 15",0,0,0
"2024-01-10 16",0,0,0
"2024-01-10 17",0,0,0
"2024-01-10 18",0,0,0
"2024-01-10 19",0,0,0
"2024-01-10 20",0,0,0
"2024-01-10 21",0.056,0,0
"2024-01-10 22",0.0614,0,0
"2024-01-10 23",0,0,0
"2024-01-11 2",0.1385,0,0
"2024-01-11 3",0.1171,0,0
"2024-01-11 4",0.1378,0,0
"2024-01-11 5",0.0288,0,0
"2024-01-11 7",0.0626,0.1328,0
"2024-01-11 8",0.1225,0,0
"2024-01-11 9",0.0337,0,0
"2024-01-11 10",0,0,0
"2024-01-11 11",0,0,0
"2024-01-11 12",0,0,0
"2024-01-11 13",0,0,0
"2024-01-11 14",0,0,0
"2024-01-11 15",0,0,0
"2024-01-11 16",0,0,0
"2024-01-11 17",0.0214,0,0
"2024-01-11 18",0.0317,0,0
"2024-01-11 19",0.0161,0,0
"2024-01-11 20",0,0,0
"2024-01-11 21",0,0,0
"2024-01-11 22",0,0,0
"2024-01-11 23",0,0,0
"2024-01-12 0",0,0,0
"2024-01-12 1",0,0,0
"2024-01-12 2",0,0,0
"2024-01-12 5",0,0,0
"2024-01-12 6",0,0,0
"2024-01-12 7",0,0,0
"2024-01-12 8",0,0,0
"2024-01-12 9",0.0159,0,0
"2024-01-12 10",0.0288,0,0
"2024-01-12 11",0,0,0
"2024-01-12 12",0,0,0
"2024-01-12 13",0.0259,0,0
"2024-01-12 14",0,0,0
"2024-01-12 15",0.0117,0,0
"2024-01-12 16",0,0,0
"2024-01-12 17",0.0447,0.1581,0
"2024-01-12 18",0,0,0
"2024-01-12 19",0,0,0
"2024-01-12 20",0,0,0
"2024-01-12 21",0,0,0
"2024-01-12 22",0,0,0
"2024-01-12 23",0,0,0
"2024-01-13 2",0,0,0
"2024-01-13 3",0,0,0
"2024-01-13 4",0,0,0
"2024-01-13 5",0,0,0
"2024-01-13 6",0,0,0
"2024-01-13 7",0.0126,0,0
"2024-01-13 8",0.1149,0,0
"2024-01-13 9",0.0801,0,0
"2024-01-13 10",0.0321,0,0
"2024-01-13 11",0,0,0
"2024-01-13 12",0.0149,0,0
"2024-01-13 13",0,0,0
"2024-01-13 14",0.0169,0,0
"2024-01-13 15",0.0324,0,0
"2024-01-13 16",0,0,0
"2024-01-13 17",0,0,0
"2024-01-13 18",0,0,0
"2024-01-13 19",0,0,0
"2024-01-13 20",0,0,0
"2024-01-13 23",0,0,0
"2024-01-14 0",0,0,0
"2024-01-14 1",0,0,0
"2024-01-14 8",AN,AN,AN
"2024-01-14 9",0.0382,0,0
"2024-01-14 10",0.0278,0,0
"2024-01-14 11",0,0,0
"2024-01-14 12",0,0,0
"2024-01-14 13",0.0238,0,0
"2024-01-14 14",0.0303,0,0
"2024-01-14 15",0.047,0,0
"2024-01-14 16",0.1032,0,0
"2024-01-14 17",0.1522,0,0
"2024-01-14 18",0.1943,0,0
"2024-01-14 19",0.1503,0,0
"2024-01-14 20",0.1758,0,0
"2024-01-14 21",0.1504,0,0
"2024-01-14 22",0.2261,0,0
"2024-01-14 23",0.2968,0,0
"2024-01-15 2",0.3618,0,0
"2024-01-15 3",0.3772,0,0
"2024-01-15 4",0.419,0.1184,0
"2024-01-15 5",0.2545,0.1352,0
"2024-01-15 6",0.117,0,0
"2024-01-15 7",0.0598,0,0
"2024-01-15 8",0.174,0,0
"2024-01-15 9",0.0288,0,0
