Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"Total Hours in Period",6360,6360,6360
"Valid Ambient Hours (N)",4855,3943,4857
"Valid Ambient Recovery","76.336477987421 %","61.996855345912 %","76.367924528302 %"
Mean,0.5286,0.3493,0.2317
Median,0.1113,0.318,0.197
Deviation,1.0474,0.2167,0.1393

Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"2025-01-01 2",0.2013,0.1531,0.1466
"2025-01-01 3",0.1192,0.1618,0
"2025-01-01 4",0.0672,0.1178,0
"2025-01-01 5",0,0.1373,0.0469
"2025-01-01 6",0.0603,0.1228,0.0442
"2025-01-01 7",0.0752,0.1147,0.052
"2025-01-01 8",0.0621,0.0853,0.0674
"2025-01-01 9",0.0492,0.145,0.0399
"2025-01-01 10",0.049,0.1165,0.0678
"2025-01-01 11",0,0.1587,0.0987
"2025-01-01 12",0.0389,0.1247,0.0792
"2025-01-01 13",0.0409,0.1236,0.0544
"2025-01-01 14",0.0547,0.0683,0.077
"2025-01-01 15",0.0612,0.1368,0.1123
"2025-01-01 16",0.0525,0.0821,0.0701
"2025-01-01 17",0,0.0379,0.0942
"2025-01-01 18",0,0.0419,0.0968
"2025-01-01 19",0,0,0.1174
"2025-01-01 20",0,0.0388,0.0795
"2025-01-01 21",0.0627,0,0.0815
"2025-01-01 22",0.099,0.1489,0.0623
"2025-01-01 23",0.0767,0.1562,0.1464
"2025-01-02 0",0.0783,0.145,0.0908
"2025-01-02 1",0.0658,0.1319,0.0817
"2025-01-02 4",0.0541,0.0824,0.0821
"2025-01-02 5",0,0,0.0612
"2025-01-02 6",0.0414,0,0.1725
"2025-01-02 7",AN,AN,AN
"2025-01-02 13",AN,AN,AN
"2025-01-02 14",AN,AN,AN
"2025-01-02 15",AN,AN,AN
"2025-01-02 16",AN,AN,AN
"2025-01-02 17",AN,AN,AN
"2025-01-02 18",AN,AN,AN
"2025-01-02 19",AN,AN,AN
"2025-01-02 20",AN,AN,AN
"2025-01-02 21",AN,AN,AN
"2025-01-02 22",AN,AN,AN
"2025-01-02 23",AN,AN,AN
"2025-01-03 12",AN,AN,AN
"2025-01-03 13",AN,AN,AN
"2025-01-05 10",AN,AN,AN
"2025-01-05 13",AN,AN,AN
"2025-01-05 14",AN,AN,AN
"2025-01-05 15",AN,AN,AN
"2025-01-05 16",AN,AN,AN
"2025-01-05 17",AN,AN,AN
"2025-01-05 18",AN,AN,AN
"2025-01-05 19",AN,AN,AN
"2025-01-05 20",AN,AN,AN
"2025-01-05 21",AN,AN,AN
"2025-01-05 22",AN,AN,AN
"2025-01-05 23",AN,AN,AN
"2025-01-06 0",AN,AN,AN
"2025-01-06 1",AN,AN,AN
"2025-01-06 4",0.1184,0.2763,0.2722
"2025-01-06 5",0.1466,0.2566,0.2812
"2025-01-06 6",0.2047,0.2586,0.3287
"2025-01-06 7",0.3252,0.3017,0.3098
"2025-01-06 8",0.0587,0.2517,0.2337
"2025-01-06 9",0,0.3486,0.2827
"2025-01-06 10",0.0578,0.3316,0.2827
"2025-01-06 11",0.0856,0.2868,0.3122
"2025-01-06 12",0.0632,0.4249,0.2859
"2025-01-06 13",0,0.3843,0.2787
"2025-01-06 14",0,0.3089,0.3149
"2025-01-06 15",0,0.2229,0.3338
"2025-01-06 16",0,0.2727,0.2899
"2025-01-06 17",0,0.1386,0.2796
"2025-01-06 18",0,0.1498,0.2747
"2025-01-06 19",AN,0.1681,0.2567
"2025-01-06 20",AN,0.2357,0.2361
"2025-01-06 21",0.0574,0.2131,0.2008
"2025-01-06 22",0.0934,0.249,0.2022
"2025-01-06 23",0.1388,0.2526,0.2071
"2025-01-07 2",0,0.1671,0.1828
"2025-01-07 3",0,0.2669,0.2145
"2025-01-07 4",0,0.1749,0.1774
"2025-01-07 5",0,0.2169,0.1696
"2025-01-07 6",0.0732,0.0931,0.2191
"2025-01-07 7",0,0.1049,0.2687
"2025-01-07 8",0,0.1227,0.268
"2025-01-07 9",0,0.1002,0.2756
"2025-01-07 10",0,0.0455,0.26
"2025-01-07 11",0,0.1221,0.268
"2025-01-07 12",0,0.0632,0.26
"2025-01-07 13",0,0.0997,0.2548
"2025-01-07 14",0,0.0591,0.2375
"2025-01-07 15",0,0.0801,0.2497
"2025-01-07 16",0,0.0868,0.2321
"2025-01-07 17",0,0.046,0.2265
"2025-01-07 18",0,0.0554,0.2194
"2025-01-07 19",0,0.0498,0.231
"2025-01-07 20",0,0.0656,0.2069
"2025-01-07 21",0,0.0694,0.2115
"2025-01-07 22",0,0.1315,0.2028
"2025-01-07 23",0,0.1611,0.222
"2025-01-08 0",0,0.0975,0.2125
"2025-01-08 1",0,0.1368,0.1808
"2025-01-08 4",0,0.1085,0.1801
"2025-01-08 5",0.0679,0.1741,0.1402
"2025-01-08 6",0.0485,0.1084,0.1575
"2025-01-08 7",0.2516,0.2517,0.1294
"2025-01-08 8",0.3775,0.2502,0.1951
"2025-01-08 9",0.1268,0.239,0.1225
"2025-01-08 10",0,0.2254,0.1645
"2025-01-08 11",0.0641,0.3039,0.1783
"2025-01-08 12",0.0456,0.2689,0.1953
"2025-01-08 13",0.15,0.557,0.1999
"2025-01-08 14",0.0745,0.2178,0.2325
"2025-01-08 15",0.047,0.2857,0.2051
"2025-01-08 16",0.1135,0.3256,0.1758
"2025-01-08 17",0.0687,0.4057,0.1433
"2025-01-08 18",0.083,0.4147,0.1549
"2025-01-08 19",0.2863,0.4088,0.1508
"2025-01-08 20",0.0465,0.1808,0.1627
"2025-01-08 21",0.0708,0.2691,0.1381
"2025-01-08 22",0.117,0.233,0.1524
"2025-01-08 23",0.1061,0.2332,0.1808
"2025-01-09 2",0.105,0.1964,0.1556
"2025-01-09 3",0.1157,0.2531,0.1979
"2025-01-09 4",0.0445,0.0877,0.1631
"2025-01-09 5",0.0805,0.2174,0.1825
"2025-01-09 6",0.1373,0.2084,0.1691
"2025-01-09 7",0.2251,0.2379,0.2086
"2025-01-09 8",0.1611,0.2147,0.1725
"2025-01-09 9",0.0868,0.2566,0.1758
"2025-01-09 10",0.0756,0.4166,0.1605
"2025-01-09 11",0,0.3153,0.2026
"2025-01-09 12",0,0.2205,0.2008
"2025-01-09 13",0,0.2028,0.2069
"2025-01-09 14",0,0.1395,0.2082
"2025-01-09 15",0,0.1111,0.2011
"2025-01-09 16",0,0.073,0.208
"2025-01-09 17",0,0.0676,0.1901
"2025-01-09 18",0,0.2381,0.1861
"2025-01-09 19",0,0.1223,0.1913
"2025-01-09 20",0.0587,0.1274,0.1676
"2025-01-09 21",0.0623,0.1181,0.1805
"2025-01-09 22",0,0.1292,0.1864
"2025-01-09 23",0,0.0886,0.187
"2025-01-10 0",0,0.1228,0.1691
"2025-01-10 1",0.0381,0.1156,0.1765
"2025-01-10 4",0.0523,0.1234,0.1288
"2025-01-10 5",0.1475,0.1477,0.2125
"2025-01-10 6",0.1175,0.1971,0.0984
"2025-01-10 7",0.1737,0.2018,0.1064
"2025-01-10 8",0.0641,0.2276,0.1571
"2025-01-10 9",0.2547,0.3626,0.2205
"2025-01-10 10",0.0643,0.2644,0.1379
"2025-01-10 11",0,0.2238,0.1883
"2025-01-10 13",0,0.4003,0.1819
"2025-01-10 14",0,0.162,0.1877
"2025-01-10 15",0,0.4095,0.173
"2025-01-10 16",0,0.3388,0.1745
"2025-01-10 17",0.0574,0.3425,0.1569
"2025-01-10 18",0.0734,0.3323,0.1622
"2025-01-10 19",AN,AN,AN
"2025-01-10 20",AN,AN,AN
"2025-01-10 21",AN,AN,AN
"2025-01-11 12",AN,AN,AN
"2025-01-11 13",AN,AN,AN
"2025-01-11 14",AN,AN,AN
"2025-01-11 18",AN,AN,AN
"2025-01-11 19",AN,AN,AN
"2025-01-11 20",AN,AN,AN
"2025-01-11 23",0.0852,0.067,0.1863
"2025-01-12 0",0.095,0.1553,0.2609
"2025-01-12 1",0.1015,0.0975,0.1587
"2025-01-12 5",0.1871,0.1154,0.1277
"2025-01-12 6",0.0692,0.0587,0.1944
"2025-01-12 7",0.061,0.1261,0.1935
"2025-01-12 8",0.0658,0.06,0.1538
"2025-01-12 9",0.0405,0.1419,0.1665
"2025-01-12 10",0,0.1468,0.2073
"2025-01-12 11",0,0.1739,0.2086
"2025-01-12 12",0,0.092,0.2307
"2025-01-12 13",0,0.1145,0.2299
"2025-01-12 14",0,0.0553,0.2296
"2025-01-12 15",0,0.0962,0.229
"2025-01-12 16",0,0.0781,0.2176
"2025-01-12 17",0,0.1149,0.2062
"2025-01-12 18",0,0.0991,0.2515
"2025-01-12 19",0,0.118,0.1924
"2025-01-12 20",0,0.05,0.197
"2025-01-12 21",0.0614,0.0578,0.1556
"2025-01-12 22",0.1144,0.1254,0.1375
"2025-01-12 23",0.0848,0.1113,0.1156
"2025-01-13 2",0.0932,0.042,0.0765
"2025-01-13 3",0,0.0781,0.0937
"2025-01-13 4",0.0583,0.0884,0.104
