Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"2025-01-07 19",0,0.5546,0
"2025-01-07 20",0.0764,0.5494,0
"2025-01-07 21",0.0804,0.5399,0
"2025-01-07 22",0.0783,0.5656,0
"2025-01-07 23",0.0786,0.5565,0
"2025-01-08 0",0.0813,0.5958,0
"2025-01-08 1",0.0823,0.5277,0
"2025-01-08 4",0.0821,0.4373,0
"2025-01-08 5",0.0923,0.4746,0
"2025-01-08 6",0.0872,0.5082,0
"2025-01-08 7",0.1083,0.5011,0
"2025-01-08 8",0.0832,0.4987,0
"2025-01-08 9",0.0828,0.5301,0
"2025-01-08 10",0.1687,0.29,0.0953
"2025-01-08 11",0.1127,0.5258,0
"2025-01-08 12",0.1311,0.6584,0.105
"2025-01-08 13",0.1271,0.6107,0.0947
"2025-01-08 14",0.1119,0.5204,0
"2025-01-08 15",0.1153,0.6201,0
"2025-01-08 16",0.137,0.6111,0
"2025-01-08 17",0.196,0.6903,0
"2025-01-08 18",0.1195,0.5492,0
"2025-01-08 19",0.1189,0.5807,0
"2025-01-08 20",0.0919,0.5471,0
"2025-01-08 21",0.1087,0.5446,0.0916
"2025-01-08 22",0.1054,0.4918,0
"2025-01-08 23",0.0851,0.5324,0
"2025-01-09 2",0.0783,0.4508,0
"2025-01-09 3",0.0779,0.4508,0
"2025-01-09 4",0.0876,0.5202,0
"2025-01-09 5",0.0976,0.4883,0
"2025-01-09 6",0.0963,0.5726,0
"2025-01-09 7",0.0912,0.4667,0
"2025-01-09 8",0.2722,0.5461,0.1883
"2025-01-09 9",0.1258,0.6381,0
"2025-01-09 10",0.1577,0.5805,0
"2025-01-09 11",0.1474,0.5956,0.1115
"2025-01-09 12",0.1028,0.5937,0
"2025-01-09 13",0.1127,0.6097,0.0868
"2025-01-09 14",0.1092,0.566,0
"2025-01-09 15",0.1109,0.6051,0
"2025-01-09 16",0.1222,0.5794,0
"2025-01-09 17",0.1569,0.556,0.0901
"2025-01-09 18",0.0935,0.5722,0
"2025-01-09 19",0.0908,0.5602,0
"2025-01-09 20",0.0956,0.5596,0
"2025-01-09 21",0.0874,0.5422,0
"2025-01-09 22",0.0842,0.5042,0
"2025-01-09 23",0.0948,0.5163,0
"2025-01-10 0",0,0.5107,0
"2025-01-10 1",0.0942,0.5281,0
"2025-01-10 4",0.088,0.4473,0
"2025-01-10 5",0,0.4933,0
"2025-01-10 6",0.0891,0.4609,0
"2025-01-10 7",0.0777,0.5049,0
"2025-01-10 8",0.079,0.5156,0
"2025-01-10 9",0,0.4827,0
"2025-01-10 10",0.084,0.5212,0
"2025-01-10 11",0.1121,0.5424,0
"2025-01-10 12",0.0956,0.5614,0
"2025-01-10 13",0.0986,0.5459,0
"2025-01-10 14",0.1569,0.5573,0
"2025-01-10 15",0.1647,0.8687,0
"2025-01-10 16",0.1258,0.5697,0
"2025-01-10 17",0.1305,0.6016,0.1038
"2025-01-10 18",0.1223,0.5608,0
"2025-01-10 19",0.1311,0.5761,0
"2025-01-10 20",BK,BK,BK
"2025-01-11 16",BK,BK,BK
"2025-01-11 17",BK,BK,BK
"2025-01-11 18",BK,BK,BK
"2025-01-11 19",BK,BK,BK
"2025-01-11 20",BK,BK,BK
"2025-01-11 23",0.1098,0.191,0
"2025-01-12 0",0.1051,0.3868,0
"2025-01-12 1",0.125,0.1398,0.0885
"2025-01-12 5",0.1134,0.2749,0.0976
"2025-01-12 6",0.1062,0.3708,0
"2025-01-12 7",0.1085,0.3969,0
"2025-01-12 8",0.0952,0.4328,0
"2025-01-12 9",0.0969,0.4976,0
"2025-01-12 10",0.0853,0.4659,0
"2025-01-12 11",0.148,0.5196,0
"2025-01-12 12",0.1132,0.4929,0
"2025-01-12 13",0.1294,0.486,0
"2025-01-12 14",0.0862,0.4835,0
"2025-01-12 15",0.098,0.4966,0
"2025-01-12 16",0.1252,0.5243,0
"2025-01-12 17",0.1003,0.5169,0
"2025-01-12 18",0.095,0.4473,0
"2025-01-12 19",0.0842,0.4779,0
"2025-01-12 20",0.0826,0.4444,0
"2025-01-12 21",0.0843,0.4527,0
"2025-01-12 22",0,0.4419,0
"2025-01-12 23",0.0766,0.4709,0
"2025-01-13 2",0.0967,0.3824,0
"2025-01-13 3",0.0798,0.3866,0
"2025-01-13 4",0.0767,0.4065,0
"2025-01-13 5",0.0811,0.4471,0
"2025-01-13 6",0.0859,0.4145,0
"2025-01-13 7",0.0842,0.4232,0
"2025-01-13 8",0.084,0.3994,0
"2025-01-13 9",0.099,0.416,0
"2025-01-13 10",0.0971,0.4798,0
"2025-01-13 11",0.1166,0.4299,0
"2025-01-13 12",0.295,0.5349,0
"2025-01-13 13",0.2354,0.5662,0
"2025-01-13 14",0.1337,0.5496,0
"2025-01-13 15",0.1835,0.6408,0
"2025-01-13 16",0.1318,0.5701,0
"2025-01-13 17",0.2931,0.5521,0.1011
"2025-01-13 18",0.1056,0.4732,0
"2025-01-13 19",0.0933,0.4769,0
"2025-01-13 20",0.099,0.4906,0
"2025-01-13 21",0.0963,0.4941,0
"2025-01-13 22",0.0948,0.5473,0
"2025-01-13 23",0.0779,0.5324,0
"2025-01-14 0",0.0849,0.5165,0
"2025-01-14 1",0,0.5183,0
"2025-01-14 4",0.0842,0.4392,0
"2025-01-14 5",0.0916,0.4771,0
"2025-01-14 6",0,0.5488,0
"2025-01-14 7",0.0988,0.4904,0
"2025-01-14 8",0.0766,0.5231,0
"2025-01-14 9",0.1052,0.5666,0
"2025-01-14 10",0.2038,0.5001,0
"2025-01-14 11",0.2403,0.6248,0
"2025-01-14 12",0.2312,0.6091,0
"2025-01-14 13",0.1246,0.6783,0
"2025-01-14 14",0.1759,0.8084,0.1175
"2025-01-14 15",0.1222,0.6878,0
"2025-01-14 17",0.1476,0.5596,0.1264
"2025-01-14 18",0.1182,0.4858,0
"2025-01-14 19",0.0845,0.5417,0
"2025-01-14 20",0.099,0.5838,0
"2025-01-14 21",0.0929,0.5187,0
"2025-01-14 22",0.0887,0.4922,0
"2025-01-14 23",0.0804,0.4682,0
"2025-01-15 2",0.0876,0.4,0
"2025-01-15 3",0.1026,0.3934,0
"2025-01-15 4",0.1049,0.4595,0.1009
"2025-01-15 5",0.0897,0.4282,0
"2025-01-15 6",0.0823,0.508,0
"2025-01-15 7",0.0881,0.5219,0
"2025-01-15 8",0.0819,0.4796,0
"2025-01-15 9",0.0883,0.623,0
"2025-01-15 10",0.0948,0.508,0
"2025-01-15 11",0.2333,0.5944,0
"2025-01-15 12",0.122,0.6426,0
"2025-01-15 13",0.1071,0.5701,0
"2025-01-15 14",0.1611,0.6594,0
"2025-01-15 15",0.1157,0.7029,0.0843
"2025-01-15 16",0.1364,0.647,0
"2025-01-15 17",0.1793,0.7568,0.1751
"2025-01-15 18",0.1233,0.6306,0.0841
"2025-01-15 19",0.1146,0.6364,0.0876
"2025-01-15 20",0.0872,0.5003,0
"2025-01-15 21",0.0931,0.578,0
"2025-01-15 22",0.1026,0.4958,0
"2025-01-15 23",0.0921,0.5007,0
"2025-01-16 0",0.0847,0.4781,0
"2025-01-16 1",0.0878,0.4765,0
"2025-01-16 4",0.0851,0.4141,0
"2025-01-16 5",0.0777,0.4,0
"2025-01-16 6",0.0786,0.5216,0
"2025-01-16 7",0.0995,0.4398,0
"2025-01-16 8",0.2059,0.3681,0.1537
"2025-01-16 9",0.2141,0.4649,0.1661
"2025-01-16 10",0.1206,0.5132,0.1251
"2025-01-16 11",0.1406,0.353,0.1001
"2025-01-16 12",0.1313,0.8496,0.1297
"2025-01-16 13",0.1311,0.752,0.1183
"2025-01-16 14",0.1096,0.8111,0
"2025-01-16 15",0.1305,0.7054,0.1342
"2025-01-16 16",0.1482,0.7829,0.1908
"2025-01-16 17",0.2128,0.5857,0.1983
"2025-01-16 18",0.1305,0.7011,0.1189
"2025-01-16 19",0.1054,0.6602,0.1471
"2025-01-16 20",0.1313,0.4951,0.1088
"2025-01-16 21",0.094,0.562,0
"2025-01-16 22",0.1058,0.5892,0
"2025-01-16 23",0.1003,0.5678,0.0835
"2025-01-17 2",0.1531,0.3973,0.1987
"2025-01-17 3",0.0937,0.5583,0
"2025-01-17 4",0.1487,0.4116,0.225
"2025-01-17 5",0.1094,0.5569,0.0874
"2025-01-17 6",0.0954,0.5007,0
"2025-01-17 7",0.1028,0.4583,0.0957
"2025-01-17 8",0.1007,0.4846,0
"2025-01-17 9",0.0942,0.4833,0
"2025-01-17 10",0.2063,0.4034,0.1502
"2025-01-17 11",0.368,0.5127,0.3097
"2025-01-17 12",0.341,0.4939,0.4021
"2025-01-17 13",0.3602,0.6236,0.3764
"2025-01-17 14",0.3908,0.8044,0.567
"2025-01-17 15",0.3463,0.6441,0.4535
"2025-01-17 16",0.1505,0.5277,0.093
"2025-01-17 17",0.1406,0.6047,0
"2025-01-17 18",0.1391,0.6192,0
"2025-01-17 19",0.0969,0.6518,0
"2025-01-17 20",0.0994,0.5768,0
"2025-01-17 21",0.0929,0.5533,0
"2025-01-17 22",0.1098,0.5971,0
"2025-01-17 23",0.1094,0.5699,0
"2025-01-18 0",0.0859,0.5774,0
"2025-01-18 1",0.1066,0.5098,0
"2025-01-18 4",0.1014,0.4775,0
"2025-01-18 5",0.0963,0.4895,0
"2025-01-18 6",0.0938,0.525,0
"2025-01-18 7",0.1201,0.5521,0
"2025-01-18 8",0.1039,0.5111,0
"2025-01-18 9",0.0963,0.4949,0
"2025-01-18 10",0.099,0.5185,0
"2025-01-18 11",0.0976,0.5635,0
"2025-01-18 12",0.0948,0.5127,0
"2025-01-18 13",0.1149,0.6,0
"2025-01-18 14",0.1047,0.5291,0
"2025-01-18 15",0.1005,0.5649,0
"2025-01-18 16",0.0919,0.5401,0
"2025-01-18 17",0.1011,0.5169,0
"2025-01-18 18",0.09,0.5233,0
"2025-01-18 19",0.1032,0.5252,0
"2025-01-18 20",0.1018,0.5608,0
"2025-01-18 23",0.0804,0.3418,0
"2025-01-19 3",0,0.3752,0
"2025-01-19 4",0,0.4276,0
"2025-01-19 5",0,0.4185,0
"2025-01-19 6",0.0773,0.4786,0
"2025-01-19 7",0.1075,0.4643,0
"2025-01-19 8",0.0931,0.4663,0
"2025-01-19 9",0.1259,0.3574,0
"2025-01-19 10",0.1208,0.4862,0
"2025-01-19 11",0.1056,0.4962,0
"2025-01-19 12",0.122,0.5185,0.0907
"2025-01-19 13",0.099,0.4891,0
"2025-01-19 14",0.0771,0.4661,0
"2025-01-19 15",0.1009,0.5384,0
"2025-01-19 16",0.0862,0.5148,0
"2025-01-19 17",0.0946,0.5045,0
"2025-01-19 18",0.1041,0.463,0
"2025-01-19 19",0,0.5125,0
"2025-01-19 20",0,0.5424,0
"2025-01-19 21",0.0823,0.4978,0
"2025-01-19 22",0,0.4578,0
"2025-01-19 23",0,0.4628,0
"2025-01-20 0",0.0773,0.5092,0
"2025-01-20 1",0,0.5177,0
"2025-01-20 4",0,0.3998,0
"2025-01-20 5",0.0781,0.4931,0
"2025-01-20 6",0.0767,0.4987,0
"2025-01-20 7",0.0866,0.5312,0
"2025-01-20 8",0.083,0.5322,0
"2025-01-20 9",0.0853,0.5281,0
"2025-01-20 10",0.0944,0.5407,0
"2025-01-20 11",0.1176,0.5625,0
"2025-01-20 12",0.0929,0.6542,0
"2025-01-20 13",0.1047,0.7514,0
"2025-01-20 14",0.1248,0.5998,0
"2025-01-20 15",0.0881,0.5714,0
"2025-01-20 16",0.0942,0.5366,0
"2025-01-20 17",0.0861,0.612,0
"2025-01-20 18",0.0876,0.6474,0
"2025-01-20 19",0.0771,0.5637,0
"2025-01-20 20",0.0878,0.532,0
"2025-01-20 21",0.0923,0.5689,0
"2025-01-20 22",0.0779,0.5098,0
"2025-01-20 23",0,0.5098,0
"2025-01-21 2",0,0.4164,0
"2025-01-21 3",0.0992,0.445,0
"2025-01-21 4",0.0815,0.5449,0
"2025-01-21 5",0,0.5111,0
"2025-01-21 6",0.0775,0.5256,0
"2025-01-21 7",0.0889,0.5007,0
"2025-01-21 8",0.1121,0.4574,0
"2025-01-21 9",0.1444,0.607,0
"2025-01-21 10",0.17,0.5689,0.0928
"2025-01-21 11",0.1394,0.5635,0
"2025-01-21 12",0.1368,0.5937,0
"2025-01-21 13",0.1026,0.7093,0
"2025-01-21 14",0.1161,0.7037,0
"2025-01-21 15",0.122,0.705,0
"2025-01-21 16",0.1161,0.6818,0
"2025-01-21 17",0.2141,0.7526,0
"2025-01-21 18",0.1714,0.5668,0
"2025-01-21 19",0.1041,0.6157,0
"2025-01-21 20",0.0819,0.6484,0
"2025-01-21 21",0.0938,0.6039,0
"2025-01-21 22",0.0802,0.577,0
"2025-01-21 23",0.0872,0.5813,0
"2025-01-22 0",0.0826,0.5204,0
"2025-01-22 1",0.0906,0.496,0
"2025-01-22 4",0.0881,0.4404,0
"2025-01-22 5",0.0864,0.5086,0
"2025-01-22 6",0.0906,0.48,0
"2025-01-22 7",0.0918,0.5206,0
"2025-01-22 8",0.0881,0.4999,0
"2025-01-22 9",0.1332,0.6704,0
"2025-01-22 10",0.4749,0.6756,0.3381
"2025-01-22 11",0.2973,0.735,0.352
"2025-01-22 12",0.1311,0.8303,0.1025
"2025-01-22 13",0.1347,0.7545,0.0885
"2025-01-22 14",0.1165,0.682,0
"2025-01-22 15",0.114,0.7765,0.1231
"2025-01-22 16",0.1252,0.6584,0
"2025-01-22 17",0.1277,0.641,0
"2025-01-22 18",0.1191,0.6379,0
"2025-01-22 19",0.107,0.6493,0
"2025-01-22 20",0.0957,0.6203,0
"2025-01-22 21",0.0978,0.654,0
"2025-01-22 22",0.102,0.6346,0
"2025-01-22 23",0.0885,0.5956,0
"2025-01-23 2",0.0952,0.5256,0
"2025-01-23 3",0.0845,0.5751,0
"2025-01-23 4",0.0838,0.6211,0
"2025-01-23 5",0.0792,0.6051,0
"2025-01-23 6",0.0779,0.5857,0
"2025-01-23 7",0.0908,0.6145,0
"2025-01-23 8",0.0843,0.5676,0
"2025-01-23 9",0.0876,0.6217,0
"2025-01-23 10",0.1128,0.5598,0
"2025-01-23 11",0.1066,0.5923,0
"2025-01-23 12",0.0961,0.6136,0
"2025-01-23 13",0.1052,0.6803,0
"2025-01-23 14",0.0923,0.716,0
"2025-01-23 15",0.1189,0.6946,0
"2025-01-23 16",0.1128,0.6536,0
"2025-01-23 17",0.1423,0.7325,0
"2025-01-23 18",0.1161,0.7464,0
"2025-01-23 19",0.0821,0.6294,0
"2025-01-23 20",0.0946,0.6764,0
"2025-01-23 21",0.0862,0.5836,0
"2025-01-23 22",0.0929,0.6731,0
"2025-01-23 23",0.0919,0.636,0
"2025-01-24 0",0.0817,0.6279,0
"2025-01-24 1",0.098,0.5879,0
"2025-01-24 4",0.1043,0.4467,0
"2025-01-24 5",0.1252,0.5335,0
"2025-01-24 6",0.114,0.6271,0
"2025-01-24 7",0.1444,0.6072,0.1019
"2025-01-24 8",0.1609,0.5701,0
"2025-01-24 9",0.2914,0.6238,0
"2025-01-24 10",0.3661,0.5587,0
"2025-01-24 11",0.421,0.7462,0
"2025-01-24 12",0.1518,0.5879,0
"2025-01-24 13",0.1394,0.6433,0.1073
"2025-01-24 14",0.2035,0.8131,0.1088
"2025-01-24 15",0.3212,0.4987,0.2101
"2025-01-24 16",0.3516,0.5444,0.3126
"2025-01-24 17",0.3699,0.2465,0.1753
"2025-01-24 18",0.4367,0.5815,0.4585
"2025-01-24 19",0.348,0.5817,0.3503
"2025-01-24 20",0.4337,0.6103,0.086
"2025-01-24 21",0.4675,0.5749,0.5455
"2025-01-24 22",0.3049,0.5028,0.1154
"2025-01-24 23",0.3216,0.5229,0.4665
"2025-01-25 2",0.1964,0.3967,0.313
"2025-01-25 3",0.1896,0.4042,0.3599
"2025-01-25 4",0.1679,0.3638,0.3319
"2025-01-25 5",0.1172,0.5415,0.1659
"2025-01-25 6",0.1142,0.6074,0
"2025-01-25 7",0.1165,0.6101,0
"2025-01-25 8",0.1448,0.5502,0
"2025-01-25 9",0.1294,0.5417,0
"2025-01-25 10",0.1068,0.6569,0
"2025-01-25 11",0.0897,0.6648,0
"2025-01-25 12",0.0912,0.6462,0
"2025-01-25 13",0.1075,0.6406,0
"2025-01-25 14",0.0997,0.6172,0
"2025-01-25 15",0.1043,0.6486,0
"2025-01-25 16",0.0946,0.6159,0
"2025-01-25 17",0.0904,0.676,0
"2025-01-25 18",0.1041,0.596,0
"2025-01-25 19",0.09,0.6339,0
"2025-01-25 20",0.1009,0.6172,0
"2025-01-25 23",0.0902,0.4709,0
"2025-01-26 0",0.0967,0.5047,0
"2025-01-26 1",0.1016,0.6165,0
"2025-01-26 5",0.1003,0.4224,0.0897
"2025-01-26 6",0.1446,0.5306,0
"2025-01-26 7",0.1411,0.4879,0
"2025-01-26 8",0.1149,0.52,0.0841
"2025-01-26 9",0.1214,0.5341,0.1421
"2025-01-26 10",0.1102,0.5848,0
"2025-01-26 11",0.1328,0.6089,0.1042
"2025-01-26 12",0.1146,0.63,0.1081
"2025-01-26 13",0.1136,0.6466,0
"2025-01-26 14",0.1178,0.608,0
"2025-01-26 15",0.1157,0.7216,0
"2025-01-26 16",0.1313,0.671,0
"2025-01-26 17",0.1189,0.6439,0
"2025-01-26 18",0.118,0.6109,0.0849
"2025-01-26 19",0.1277,0.5502,0
"2025-01-26 20",0.1261,0.5577,0
"2025-01-26 21",0.1039,0.5453,0.0885
"2025-01-26 22",0.1159,0.6435,0
"2025-01-26 23",0.1115,0.5496,0
"2025-01-27 2",0.0954,0.5705,0
"2025-01-27 3",0.1073,0.6735,0
"2025-01-27 4",0.09,0.5173,0
"2025-01-27 5",0.1022,0.5991,0
"2025-01-27 6",0.1303,0.5739,0
"2025-01-27 7",0.1305,0.5482,0
"2025-01-27 8",0.1383,0.6103,0
"2025-01-27 9",0.0988,0.5875,0
"2025-01-27 10",0.1611,0.6745,0.1293
"2025-01-27 11",0.1833,0.2001,0.1324
"2025-01-27 12",0.2851,0.8191,0.1125
"2025-01-27 13",0.1278,0.7199,0
"2025-01-27 14",0.1826,0.7541,0
"2025-01-27 15",0.1584,0.7852,0.0909
"2025-01-27 16",0.1465,0.9188,0.1477
"2025-01-27 17",0.1387,0.7328,0.1061
"2025-01-27 18",0.1704,0.6348,0.1641
"2025-01-27 19",0.1271,0.6265,0
"2025-01-27 20",0.1239,0.6418,0.1003
"2025-01-27 21",0.1168,0.6136,0.104
"2025-01-27 22",0.1358,0.5627,0
"2025-01-27 23",0.1201,0.571,0
"2025-01-28 0",0.1278,0.6182,0
"2025-01-28 1",0.1117,0.5892,0
"2025-01-28 4",AN,AN,AN
"2025-01-28 5",AN,AN,AN
"2025-01-28 6",AN,AN,AN
"2025-01-28 7",AN,AN,AN
"2025-01-28 8",AN,AN,AN
"2025-01-28 9",AN,AN,AN
"2025-01-28 10",AN,AN,AN
"2025-01-28 11",AN,AN,AN
"2025-01-28 12",AN,AN,AN
"2025-01-28 13",AN,AN,AN
"2025-01-28 14",AN,AN,AN
"2025-01-28 15",AN,AN,AN
"2025-01-28 17",AN,AN,AN
"2025-01-28 18",AN,AN,AN
"2025-01-28 19",AN,AN,AN
"2025-01-28 20",AN,AN,AN
"2025-01-28 21",AN,AN,AN
"2025-01-28 22",AN,AN,AN
"2025-01-28 23",AN,AN,AN
"2025-01-29 2",AN,AN,AN
"2025-01-29 3",AN,AN,AN
"2025-01-29 4",AN,AN,AN
"2025-01-29 5",AN,AN,AN
"2025-01-29 6",AN,AN,AN
"2025-01-29 7",AN,AN,AN
"2025-01-29 8",AN,AN,AN
"2025-01-29 14",AN,AN,AN
"2025-01-29 15",AN,AN,AN
"2025-01-29 16",AN,AN,AN
"2025-01-29 17",AN,AN,AN
