Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"2025-01-08 8",0,0.0061,0.0096
"2025-01-08 9",0,0.0039,0.0225
"2025-01-08 11",0,0.0081,0
"2025-01-08 12",0,0,0.0042
"2025-01-08 13",0,0,0
"2025-01-08 14",0,0.0256,0
"2025-01-08 15",0,0,0.0148
"2025-01-08 16",0,0,0.0098
"2025-01-08 17",0,0.0077,0
"2025-01-08 18",0,0.0122,0.0474
"2025-01-08 19",0,0,0
"2025-01-08 20",0,0,0.0046
"2025-01-08 21",0,0.0057,0.0439
"2025-01-08 22",0,0,0
"2025-01-08 23",0,0,0.054
"2025-01-09 0",0.0353,0,0.021
"2025-01-09 1",0,0.0037,0
"2025-01-09 4",0,0,0
"2025-01-09 5",0,0.0354,0.0367
"2025-01-09 6",0,0.005,0.0074
"2025-01-09 7",0,0,0.0042
"2025-01-09 8",0,0.0194,0.0085
"2025-01-09 9",0,0.0107,0.0256
"2025-01-09 10",0,0,0
"2025-01-09 11",0,0.0077,0
"2025-01-09 12",0,0,0
"2025-01-09 13",0,0.0061,0
"2025-01-09 14",0,0.0068,0.0018
"2025-01-09 15",0,0.0039,0
"2025-01-09 16",0,0,0
"2025-01-09 17",0,0,0
"2025-01-09 18",0,0,0.0065
"2025-01-09 19",0.0429,0,0.0539
"2025-01-09 20",0,0,0.0129
"2025-01-09 21",0,0.0116,0.0363
"2025-01-09 22",0,0.0083,0.0218
"2025-01-09 23",0,0.0221,0
"2025-01-10 2",0,0,0
"2025-01-10 3",0,0,0.0149
"2025-01-10 4",0,0.0048,0
"2025-01-10 5",0,0,0
"2025-01-10 6",0,0,0.0033
"2025-01-10 7",0,0,0.149
"2025-01-10 8",0,0,0.0374
"2025-01-10 9",0,0,0
"2025-01-10 10",0,0.007,0
"2025-01-10 11",0,0,0
"2025-01-10 12",0,0.0109,0
"2025-01-10 13",0,0,0
"2025-01-10 14",0,0.028,0
"2025-01-10 15",0,0,0
"2025-01-10 16",0,0,0.019
"2025-01-10 18",0,0,0
"2025-01-10 19",0,0.0262,0.0068
"2025-01-10 20",0,0,0.0332
"2025-01-10 21",0,0.0216,0
"2025-01-10 22",AN,AN,AN
"2025-01-11 16",AN,AN,AN
"2025-01-11 17",AN,AN,AN
"2025-01-11 18",AN,AN,AN
"2025-01-11 19",AN,AN,AN
"2025-01-11 20",AN,AN,AN
"2025-01-11 23",0,0.0017,0
"2025-01-12 3",0,0.0343,0
"2025-01-12 4",0,0,0
"2025-01-12 5",0,0,0.0087
"2025-01-12 6",0,0,0
"2025-01-12 7",0,0,0.0039
"2025-01-12 8",0,0.0074,0.0312
"2025-01-12 9",0,0,0
"2025-01-12 10",0,0,0
"2025-01-12 11",0,0,0.0041
"2025-01-12 12",0,0.009,0
"2025-01-12 13",0,0,0
"2025-01-12 14",0,0.0068,0
"2025-01-12 15",0,0,0
"2025-01-12 16",0,0.0087,0.0055
"2025-01-12 17",0,0.0048,0
"2025-01-12 18",0,0.0125,0
"2025-01-12 19",0,0,0.0068
"2025-01-12 20",0.0534,0,0.0511
