Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"Total Hours in Period",8760,8760,8760
"Valid Ambient Hours (N)",6157,6157,6098
"Valid Ambient Recovery","70.285388127854 %","70.285388127854 %","69.611872146119 %"
Mean,0.2382,0.0448,0.0217
Median,0.0927,0,0
Deviation,0.586,0.1307,0.0635

Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"2023-01-01 0",0.0911,0,0
"2023-01-01 1",0.117,0,0
"2023-01-01 5",0.0359,0,0.0943
"2023-01-01 6",0.052,0,0
"2023-01-01 7",0.0522,0,0
"2023-01-01 8",0.0906,0,0
"2023-01-01 9",0.0431,0,0
"2023-01-01 10",0.0991,0,0
"2023-01-01 11",0.0658,0,0
"2023-01-01 12",0.0549,0,0
"2023-01-01 13",0.0234,0,0
"2023-01-01 14",0.0467,0,0.0768
"2023-01-01 15",0.0647,0,0
"2023-01-01 16",0.0351,0,0
"2023-01-01 17",0.0336,0,0
"2023-01-01 18",0.0319,0,0
"2023-01-01 19",0,0,0
"2023-01-01 20",0,0,0
"2023-01-01 21",0,0,0
"2023-01-01 22",0.021,0,0
"2023-01-01 23",0,0,0
"2023-01-02 2",0,0,0
"2023-01-02 3",0,0,0
"2023-01-02 4",0,0,0
"2023-01-02 5",0,0,0
"2023-01-02 6",0.0099,0,0
"2023-01-02 7",0,0,0
"2023-01-02 8",0.0213,0,0
"2023-01-02 9",0.022,0,0
"2023-01-02 10",0.0388,0,0
"2023-01-02 11",0.017,0,0
"2023-01-02 12",0,0,0
"2023-01-02 13",0,0,0
"2023-01-02 14",0,0,0
"2023-01-02 15",0.016,0,0
"2023-01-03 4",0.0371,0,0
"2023-01-03 5",0.0213,0,0
"2023-01-03 6",0.0392,0,0
"2023-01-03 7",0.0592,0,0
"2023-01-03 8",0.0723,0,0
"2023-01-03 9",0.056,0,0
"2023-01-03 10",0.0447,0,0
"2023-01-03 11",0.0301,0,0
"2023-01-03 12",0.024,0,0
"2023-01-03 13",0.0239,0,0
"2023-01-03 14",0.0312,0,0
"2023-01-03 15",0.0252,0,0
"2023-01-03 16",0.0435,0,0
"2023-01-03 17",0.0438,0,0
"2023-01-03 18",0.0726,0.1685,0
"2023-01-03 19",0.0823,0.1461,0
"2023-01-03 20",0.0625,0,0
"2023-01-03 21",0.0831,0,0.084
"2023-01-03 22",0.0992,0,0
"2023-01-03 23",0.1052,0,0.0952
"2023-01-04 2",0.0656,0,0
"2023-01-04 3",0.052,0,0
"2023-01-04 4",0.0558,0,0.0819
"2023-01-04 5",0.113,0,0.0859
"2023-01-04 6",0.0591,0,0
"2023-01-04 7",0.1319,0.0931,0
"2023-01-04 8",0.1553,0,0.0792
"2023-01-04 9",0.1416,0,0
"2023-01-04 10",0.1225,0,0
"2023-01-04 11",0.0346,0,0.0849
"2023-01-04 12",0.0198,0,0
"2023-01-04 13",0.025,0,0
"2023-01-04 14",0,0,0
"2023-01-04 15",0,0,0
"2023-01-04 16",0.0248,0,0
"2023-01-04 17",0.1194,0.1209,0
"2023-01-04 18",0.108,0.1187,0
"2023-01-04 19",0.1248,0,0
"2023-01-04 20",0.0819,0,0
"2023-01-04 21",0.1213,0,0
"2023-01-04 22",0.0721,0,0
"2023-01-04 23",0.059,0,0
"2023-01-05 0",0.0719,0,0
"2023-01-05 1",0.1003,0,0
"2023-01-05 4",0.0545,0,0
"2023-01-05 5",0,0,0
"2023-01-05 6",0.0411,0,0
"2023-01-05 7",0.1279,0,0
"2023-01-05 8",0.0406,0,0.0761
"2023-01-05 9",0.0254,0,0
"2023-01-05 10",0.0133,0,0
"2023-01-05 11",0.0318,0,0
"2023-01-05 12",0.0104,0,0
"2023-01-05 13",0.0161,0,0
"2023-01-05 14",0.026,0,0
"2023-01-05 15",0.024,0,0
"2023-01-05 16",0.0361,0,0
"2023-01-05 17",0.0424,0,0
"2023-01-05 18",0.0253,0,0
"2023-01-05 19",0,0,0
"2023-01-05 20",0,0,0
"2023-01-05 21",0,0,0
"2023-01-05 22",0,0,0
"2023-01-05 23",0.0184,0,0
"2023-01-06 2",0.0097,0,0
"2023-01-06 3",0.024,0,0
"2023-01-06 4",0.0732,0,0.0761
"2023-01-06 5",0.0727,0,0
"2023-01-06 6",0.056,0,0
"2023-01-06 7",0.1117,0,0
"2023-01-06 8",0.1494,0,0
"2023-01-06 9",0.121,0,0
"2023-01-06 10",0.0878,0,0
"2023-01-06 11",0.0705,0,0
"2023-01-06 12",0.0978,0,0.0903
"2023-01-06 13",0.1457,0,0
"2023-01-06 14",0.0733,0,0.0879
"2023-01-06 15",0.0615,0,0.0926
"2023-01-06 16",0.1018,0,0.0868
"2023-01-06 17",0.1173,0,0.0972
"2023-01-06 18",0.1518,0,0.092
"2023-01-06 19",0.1246,0,0.0918
"2023-01-06 20",0.0745,0,0
"2023-01-06 21",0.1432,0,0
"2023-01-06 22",0.1685,0,0
"2023-01-06 23",0.176,0,0.0773
"2023-01-07 0",0.2393,0,0.1027
"2023-01-07 1",0.1442,0,0.1014
"2023-01-07 4",0.0764,0,0
"2023-01-07 5",0.0594,0,0
"2023-01-07 6",0.0528,0,0
"2023-01-07 7",0.0988,0,0.1276
"2023-01-07 8",0.1457,0.0787,0.113
"2023-01-07 9",0.0745,0,0
"2023-01-07 10",0.0792,0,0
"2023-01-07 11",0.0423,0,0
"2023-01-07 12",0.0199,0,0.0873
"2023-01-07 13",0,0,0
"2023-01-07 14",0.0289,0,0
"2023-01-07 15",0,0,0
"2023-01-07 16",0,0,0
"2023-01-07 17",0.1188,0,0
"2023-01-07 18",0.1133,0,0.0949
"2023-01-07 19",0.1058,0,0
"2023-01-07 20",0.0535,0,0
"2023-01-07 23",0.0418,0,0.081
"2023-01-08 3",0.0631,0,0.1193
"2023-01-08 4",0.058,0,0
"2023-01-08 5",0,0,0.0787
"2023-01-08 6",0,0,0
"2023-01-08 7",0.0213,0,0
"2023-01-08 8",0,0,0
"2023-01-08 9",0.0099,0,0
"2023-01-08 10",0,0,0
"2023-01-08 11",0,0,0
"2023-01-08 12",0.0201,0,0
"2023-01-08 13",0,0,0
"2023-01-08 14",0.0214,0,0
"2023-01-08 15",0,0,0
"2023-01-08 16",0.0198,0,0
"2023-01-08 17",0,0,0
"2023-01-08 18",0.0623,0,0.1012
"2023-01-08 19",0.0701,0,0
"2023-01-08 20",0.1593,0,0.0773
"2023-01-08 21",0.2332,0.1074,0.1107
"2023-01-08 22",0.217,0,0.1333
"2023-01-08 23",0.1407,0,0.1476
"2023-01-09 0",0.2042,0,0
"2023-01-09 1",0.16,0,0
"2023-01-09 4",0.1129,0,0
"2023-01-09 5",0.1427,0,0.0864
"2023-01-09 6",0.1264,0,0.0913
"2023-01-09 7",0.1389,0,0
"2023-01-09 8",0.105,0,0.08
"2023-01-09 9",0.0474,0,0
"2023-01-09 10",0,0,0
"2023-01-09 11",0,0,0
"2023-01-09 12",0,0,0
"2023-01-09 13",0,0,0
"2023-01-09 14",0,0,0
"2023-01-09 15",0.0295,0,0
"2023-01-09 16",0.0171,0,0
"2023-01-09 17",0.0166,0,0
"2023-01-09 18",0,0,0
"2023-01-09 19",0,0,0
"2023-01-09 20",0,0,0
"2023-01-09 21",0,0,0
"2023-01-09 22",0.0342,0,0
"2023-01-09 23",0,0,0
"2023-01-10 2",0,0,0
"2023-01-10 3",0,0,0
"2023-01-10 4",0,0,0
"2023-01-10 5",0,0,0
"2023-01-10 6",0,0,0
"2023-01-10 7",0,0,0
"2023-01-10 8",0.038,0,0
"2023-01-10 9",0.0723,0,0
"2023-01-10 10",0.0472,0,0
"2023-01-10 11",0.0289,0,0
"2023-01-10 12",0,0,0
"2023-01-10 13",0,0,0
"2023-01-10 14",0.017,0,0
"2023-01-10 15",0,0,0
"2023-01-10 16",0,0,0
"2023-01-10 17",0,0,0
"2023-01-10 18",0.0368,0,0
"2023-01-10 19",0,0,0
"2023-01-10 20",0.0117,0,0
"2023-01-10 21",0.0369,0,0
"2023-01-10 22",0.0638,0,0
"2023-01-10 23",0.0613,0,0
"2023-01-11 0",0.0656,0,0
"2023-01-11 1",0,0,0.0911
"2023-01-11 4",0.0866,0,0
"2023-01-11 5",0.0191,0,0.0754
"2023-01-11 6",0.0351,0,0
"2023-01-11 7",0.1764,0,0
"2023-01-11 8",0.1791,0,0
"2023-01-11 9",0.1931,0.1453,0
"2023-01-11 10",0.1462,0.1607,0.089
"2023-01-11 11",0.0985,0,0
"2023-01-11 12",0.0613,0,0
"2023-01-11 13",0.0289,0,0
"2023-01-11 14",0.0269,0,0
"2023-01-11 15",0.0159,0,0
"2023-01-11 16",0.0111,0,0
"2023-01-11 17",0.1498,0,0
"2023-01-11 18",0.0644,0,0.0753
"2023-01-11 19",0.0431,0,0
"2023-01-11 20",0.1166,0,0
"2023-01-11 21",0.0184,0,0
"2023-01-11 22",0.1041,0,0
"2023-01-11 23",0.0567,0,0.1089
"2023-01-12 2",0.053,0,0.0983
"2023-01-12 3",0.0656,0,0
"2023-01-12 4",0.0467,0,0
"2023-01-12 5",0.0418,0,0
"2023-01-12 6",0.0743,0,0
"2023-01-12 7",0.1931,0,0.0868
"2023-01-12 8",0.215,0,0.0931
"2023-01-12 9",0.1044,0,0
"2023-01-12 10",0.0536,0,0
"2023-01-12 11",0.0229,0,0
"2023-01-12 14",0.0213,0,0.1107
"2023-01-12 15",0,0,0
"2023-01-12 16",0.0287,0,0
"2023-01-12 17",0.0862,0,0
"2023-01-12 18",0.2379,0.2464,0.1264
"2023-01-12 19",0.2293,0.1782,0
"2023-01-12 20",0.137,0,0.0979
"2023-01-12 21",0.1891,0,0.075
"2023-01-12 22",0.2226,0.2057,0.104
"2023-01-12 23",0.3246,0.2263,0.1108
"2023-01-13 2",0.2061,0.0934,0
"2023-01-13 3",0.1578,0,0.2209
"2023-01-13 4",0.1473,0.1126,0
"2023-01-13 5",0.1652,0,0
"2023-01-13 6",0.2183,0,0
"2023-01-13 7",0.3527,0.2803,0.1583
"2023-01-13 8",0.5503,0.3521,0.0978
"2023-01-13 9",0.6163,0.3377,0.1231
"2023-01-13 10",0.1556,0.2578,0.1403
"2023-01-13 11",0.06,0.2562,0
"2023-01-13 12",0.0325,0.1921,0
"2023-01-13 13",0.0385,0,0.0769
"2023-01-13 14",0.0354,0,0.0813
"2023-01-13 15",0.0142,0,0.0888
"2023-01-13 16",0.0732,0.1881,0.0937
"2023-01-13 17",0.1196,0.2922,0.1156
"2023-01-13 18",0.3968,0.4139,0.2229
"2023-01-13 19",0.178,0.1481,0
"2023-01-13 20",0.0758,0,0.0841
"2023-01-13 21",0.1566,0.2312,0.0894
"2023-01-13 22",0.2224,0.2274,0.0765
"2023-01-13 23",0.1338,0.1752,0
"2023-01-14 0",0.1037,0.2873,0.1125
"2023-01-14 1",0.1141,0.1956,0.1246
"2023-01-14 4",0.1206,0.3483,0.1606
"2023-01-14 5",0.1696,0.4862,0.3014
"2023-01-14 6",0.2057,0.5449,0.2234
"2023-01-14 7",0.1898,0.4375,0.173
"2023-01-14 8",0.2372,0.3842,0.2229
"2023-01-14 9",0.1282,0.1666,0
"2023-01-14 10",0.0309,0,0
"2023-01-14 11",0.0419,0,0
"2023-01-14 12",0,0,0
"2023-01-14 13",0,0,0
"2023-01-14 14",0,0,0
"2023-01-14 15",0,0,0
"2023-01-14 16",0,0,0
"2023-01-14 17",0,0,0
"2023-01-14 18",0.0199,0,0
"2023-01-14 19",0.0703,0,0.0993
"2023-01-14 20",0,0,0
"2023-01-14 23",0,0,0.0837
"2023-01-15 3",0.0149,0,0
"2023-01-15 4",0,0,0
"2023-01-15 5",0.0199,0,0
"2023-01-15 6",0.0568,0,0
"2023-01-15 7",0.0179,0,0
"2023-01-15 8",0,0,0
"2023-01-15 9",0.0192,0,0
"2023-01-15 10",0,0,0
"2023-01-15 11",0.0161,0,0
"2023-01-15 12",0.045,0,0
"2023-01-15 13",0.0736,0.1359,0
"2023-01-15 14",0.0658,0,0
"2023-01-15 15",0.0371,0,0
"2023-01-15 16",0.0216,0,0
"2023-01-15 17",0.0656,0,0
"2023-01-15 18",0.1178,0,0
"2023-01-15 19",0.1955,0.1813,0.0851
"2023-01-15 20",0.2657,0.1686,0.0806
"2023-01-15 21",0.2897,0.2089,0.1565
"2023-01-15 22",0.1211,0,0
"2023-01-15 23",0.0879,0,0
"2023-01-16 0",0.0696,0,0
"2023-01-16 1",0.0385,0,0
"2023-01-16 4",0.0356,0,0.0931
"2023-01-16 5",0.0365,0,0
"2023-01-16 6",0.0325,0,0
"2023-01-16 7",0.061,0,0
"2023-01-16 8",0.0869,0,0.0793
"2023-01-16 9",0.0769,0,0
"2023-01-16 10",0.0273,0,0
"2023-01-16 11",0,0,0
"2023-01-16 12",0,0,0
"2023-01-16 13",0,0,0
"2023-01-16 14",0,0,0
"2023-01-16 15",0,0,0
"2023-01-16 16",0.0146,0,0
"2023-01-16 17",0.0344,0,0
"2023-01-16 18",0.0551,0,0
"2023-01-16 19",0.0804,0,0
"2023-01-16 20",0.1377,0.2075,0
"2023-01-16 21",0.1637,0.2833,0.0868
"2023-01-16 22",0.1205,0,0.0867
"2023-01-16 23",0.0978,0,0.0847
"2023-01-17 2",0.0705,0,0.0942
"2023-01-17 3",0.065,0,0
"2023-01-17 4",0.0549,0,0
"2023-01-17 5",0.048,0,0.0886
"2023-01-17 6",0.0731,0,0
"2023-01-17 7",0.0718,0,0.0773
"2023-01-17 8",0.085,0,0.09
"2023-01-17 9",0.0838,0.1607,0
"2023-01-17 10",0.0504,0.0849,0
"2023-01-17 11",0.0576,0.1678,0.0818
"2023-01-17 12",0.0404,0,0
"2023-01-17 13",0,0,0
"2023-01-17 14",0.0153,0,0
"2023-01-17 15",0,0,0
"2023-01-17 16",0.0282,0,0
"2023-01-17 17",0.0225,0,0
"2023-01-17 18",0.0354,0,0.0849
"2023-01-17 19",0,0,0
"2023-01-17 20",0,0,0
"2023-01-17 21",0,0,0
"2023-01-17 22",0,0,0
"2023-01-17 23",0,0,0
"2023-01-18 0",0,0,0
"2023-01-18 1",0,0,0
"2023-01-18 4",0,0,0
"2023-01-18 5",0,0,0
"2023-01-18 6",0.0213,0,0
"2023-01-18 7",0.0499,0,0.0905
"2023-01-18 8",0.1045,0.1363,0.0983
