Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"Total Hours in Period",8760,8760,8760
"Valid Ambient Hours (N)",6933,6933,6933
"Valid Ambient Recovery","79.143835616438 %","79.143835616438 %","79.143835616438 %"
Mean,0.2798,0.1912,0.1223
Median,0.0938,0.0706,0.0925
Deviation,0.6542,0.321,0.1469

Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"2022-01-01 2",0.0522,0.3083,0.2366
"2022-01-01 3",0.026,0,0.1739
"2022-01-01 4",0,0,0.1114
"2022-01-01 5",0,0,0
"2022-01-01 6",0.0353,0.2842,0.1485
"2022-01-01 7",0.1251,0.534,0.2243
"2022-01-01 8",0.4341,0.599,0.2742
"2022-01-01 9",0.0239,0,0.1859
"2022-01-01 10",0.0122,0,0.1255
"2022-01-01 11",0,0,0.1434
"2022-01-01 12",0,0,0
"2022-01-01 13",0,0,0.0779
"2022-01-01 14",0,0,0.0682
"2022-01-01 15",0,0,0.0896
"2022-01-01 16",0,0,0
"2022-01-01 17",0.0147,0,0.1234
"2022-01-01 18",0.0574,0.3303,0.139
"2022-01-01 19",0.0517,0.4767,0.163
"2022-01-01 20",0.0507,0.375,0.0905
"2022-01-01 23",0.036,0.2972,0.1279
"2022-01-02 0",0,0,0.09
"2022-01-02 1",0.022,0.2532,0.2075
"2022-01-02 5",0.0488,0.3978,0.2469
"2022-01-02 6",0.0555,0.5304,0.2308
"2022-01-02 7",0.0606,0.3609,0.2163
"2022-01-02 8",0.2229,0.6673,0.4799
"2022-01-02 9",0.0399,0.2247,0.164
"2022-01-02 10",0.0211,0,0.1504
"2022-01-02 11",0.0113,0,0.1488
"2022-01-02 12",0,0.1408,0.1267
"2022-01-02 13",0,0.1084,0
"2022-01-02 14",0,0,0.1138
"2022-01-02 15",0.0199,0,0.1239
"2022-01-02 16",0.0183,0.1401,0.1343
"2022-01-02 17",0.0203,0,0.1339
"2022-01-02 18",0.1613,0.564,0.2133
"2022-01-02 19",0.2512,0.592,0.313
"2022-01-02 20",0.3018,0.8536,0.3801
"2022-01-02 21",0.3491,1.0773,0.4287
"2022-01-02 22",0.2322,0.9167,0.3989
"2022-01-02 23",0.2699,1.0733,0.4523
"2022-01-03 2",0.2482,1.0659,0.4306
"2022-01-03 3",0.2092,1.045,0.4371
"2022-01-03 4",0.2732,0.8642,0.3935
"2022-01-03 5",0.2811,0.8206,0.448
"2022-01-03 6",0.3235,0.8251,0.4474
"2022-01-03 7",0.4275,0.7729,0.558
"2022-01-03 8",0.7379,0.8373,0.6741
"2022-01-03 9",0.5775,0.8826,0.6556
"2022-01-03 10",0.2229,0.8392,0.3777
"2022-01-03 11",0.0618,0.6695,0.3026
"2022-01-03 12",0.0528,0.4422,0.3141
"2022-01-03 13",0.0565,0.5749,0.2661
"2022-01-03 14",0.0573,0.6822,0.3218
"2022-01-03 15",0.0725,0.6076,0.3558
