Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"2025-02-13 16",0.0432,0.2465,0.8945
"2025-02-13 17",0.3347,0.2588,0.8729
"2025-02-13 18",0.0515,0.1133,0.7785
"2025-02-13 19",0.032,0.3029,0.7859
"2025-02-13 20",0.0594,0.1537,0.7644
"2025-02-13 21",0.0347,0.0982,0.0078
"2025-02-13 22",0.032,0.0953,0.7778
"2025-02-13 23",0.0379,0.1015,0.747
"2025-02-14 2",0.03,0.2425,0.5351
"2025-02-14 3",0.0179,0.1182,0.7374
"2025-02-14 4",0.0252,0.2402,0.7263
"2025-02-14 5",0.0759,0.2335,0.5992
"2025-02-14 6",0.0878,0.2844,0.6054
"2025-02-14 7",0.1221,0.2735,0.604
"2025-02-14 8",0.1095,0.1637,0.6944
"2025-02-14 9",0.0706,0.3098,0.6616
"2025-02-14 10",0.0651,0.2994,0.6618
"2025-02-14 11",0.0596,0.2683,0.7649
"2025-02-14 12",0.0353,0.3721,0.7341
"2025-02-14 13",0.0594,0.3275,0.7568
"2025-02-14 14",0.0838,0.2951,0.8193
"2025-02-14 15",0.1142,0.3384,0.8341
"2025-02-14 16",0.0467,0.2548,0.7439
"2025-02-14 17",0.0659,0.1209,0.7423
"2025-02-14 18",0.1568,0.3245,0.7125
"2025-02-14 19",0.0501,0.2699,0.6281
"2025-02-14 20",0.0921,0.2608,0.6397
"2025-02-14 21",0.0337,0.2456,0.5956
"2025-02-14 22",0.0302,0.2052,0.7169
"2025-02-14 23",0.0302,0.2164,0.6714
"2025-02-15 0",0.056,0.2918,0.6415
"2025-02-15 1",0.0629,0.2364,0.5759
"2025-02-15 4",0.0201,0.1789,0.5465
"2025-02-15 5",0,0.1457,0.6052
"2025-02-15 6",0.0406,0.1711,0.6824
"2025-02-15 7",0.0286,0.195,0.5887
"2025-02-15 8",0.0529,0.257,0.5905
"2025-02-15 9",0.0355,0.1414,0.6794
"2025-02-15 10",0.0276,0.1225,0.7006
"2025-02-15 11",0.0308,0.2559,0.7129
"2025-02-15 12",0.0284,0.0988,0.7111
"2025-02-15 13",0,0.102,0.8059
"2025-02-15 14",0.0136,0.1196,0.7163
"2025-02-15 23",0.46,0.3342,0.441
"2025-02-16 3",0.0755,0.1764,0.3288
"2025-02-16 4",0.0611,0.1987,0.4443
"2025-02-16 5",0.0416,0.1242,0.4513
"2025-02-16 6",0.0231,0.2496,0.4939
"2025-02-16 7",0.0309,0.2462,0.5409
"2025-02-16 8",0.0259,0.2563,0.5553
"2025-02-16 9",0.0534,0.2589,0.5131
"2025-02-16 10",0.0231,0.2468,0.6008
"2025-02-16 11",0.0382,0.2926,0.5711
"2025-02-16 12",0.0631,0.3067,0.5529
"2025-02-16 13",0.0613,0.3071,0.6188
"2025-02-16 14",0.0394,0.1096,0.5752
"2025-02-16 15",0.0461,0.2718,0.583
"2025-02-16 16",0.0558,0.2327,0.5889
"2025-02-16 17",0.0403,0.2633,0.5867
"2025-02-16 18",0.0461,0.3009,0.5717
"2025-02-16 19",0.0502,0.2894,0.5309
"2025-02-16 20",0.0574,0.1185,0.5292
"2025-02-16 21",0.0514,0.2856,0.4999
"2025-02-16 22",0.0943,0.3134,0.4391
"2025-02-16 23",0.1311,0.3052,0.3849
"2025-02-17 0",0.1511,0.3104,0.3158
"2025-02-17 1",0.0481,0.288,0.5107
"2025-02-17 4",0,0,0
"2025-02-17 5",AI,AI,AI
"2025-02-17 6",0,0,0
"2025-02-17 7",0,0,0
"2025-02-17 12",0.035,0.3703,0.8402
"2025-02-17 13",0.0115,0.2572,0.5596
"2025-02-17 14",0.0346,0.2913,0.5724
"2025-02-17 15",0.0356,0.3403,0.5207
"2025-02-17 16",0.0293,0.3369,0.58
"2025-02-17 17",0,0,0
"2025-02-17 18",0,0,0.0135
"2025-02-17 19",AI,AI,AI
"2025-02-17 20",0,0,0
"2025-02-17 21",0,0,0
"2025-02-17 22",0,0,0
"2025-02-18 19",0.0619,0.4851,1.0603
"2025-02-18 20",0.0443,0.4139,0.4068
"2025-02-18 21",0,0.3008,0.3371
"2025-02-18 22",0.199,0.3529,0.4358
"2025-02-18 23",0.4199,0.3623,0.3045
"2025-02-19 0",0.2126,0.3256,0.3087
"2025-02-19 1",0.2191,0.3425,0.3697
"2025-02-19 4",0.1849,0.2796,0.4233
"2025-02-19 5",0.1297,0.2483,0.3226
"2025-02-19 6",0.2205,0.2932,0.2401
"2025-02-19 7",0.2603,0.28,0.2249
"2025-02-19 8",0.1458,0.2961,0.344
"2025-02-19 9",0.0696,0.2904,0.3516
"2025-02-19 10",0.0415,0.2338,0.4402
"2025-02-19 11",0.0441,0.3152,0.4563
"2025-02-19 12",0.087,0.3425,0.5249
"2025-02-19 13",0.0344,0.3069,0.4593
"2025-02-19 14",0.0429,0.2889,0.529
"2025-02-19 15",0.0449,0.3306,0.4775
"2025-02-19 16",0.0469,0.3215,0.4886
"2025-02-19 17",0.0736,0.2945,0.4673
"2025-02-19 18",0.054,0.3469,0.4639
"2025-02-19 19",0.0405,0.1068,0.4858
"2025-02-19 20",0.0542,0.3321,0.4506
"2025-02-19 21",0.0746,0.3584,0.4649
"2025-02-19 22",0.0398,0.3,0.4649
"2025-02-19 23",0.0227,0.1046,0.4406
"2025-02-20 2",0.0415,0.2733,0.3473
"2025-02-20 3",0.0289,0.2492,0.4003
"2025-02-20 4",0.0131,0.2331,0.3816
"2025-02-20 5",0.0469,0.2961,0.3562
"2025-02-20 6",0.075,0.4187,0.2876
"2025-02-20 7",0.2004,0.3571,0.2396
"2025-02-20 8",0.0336,0.2783,0.3384
"2025-02-20 9",0.0356,0.2238,0.3644
"2025-02-20 10",0.0364,0.2668,0.3951
"2025-02-20 11",0.0253,0.2095,0.3683
"2025-02-20 12",0.0338,0.2713,0.3471
"2025-02-20 13",0.037,0.2652,0.3699
"2025-02-20 14",0.0314,0.2844,0.3675
"2025-02-20 15",0.0214,0.2789,0.3438
"2025-02-20 16",0.0526,0.3056,0.5044
"2025-02-20 17",0.0413,0.3108,0.3577
"2025-02-20 18",0.036,0.3232,0.3855
"2025-02-20 19",0.033,0.2724,0.4441
"2025-02-20 20",0.0477,0.2841,0.381
"2025-02-20 21",0.0651,0.2946,0.3362
"2025-02-20 22",0.229,0.3217,0.247
"2025-02-20 23",0.3879,0.412,0.2613
"2025-02-21 0",0.0692,0.3249,0.3909
"2025-02-21 1",0.0868,0.2911,0.3653
"2025-02-21 4",0.2623,0.3126,0.2757
"2025-02-21 5",0.4019,0.2865,0.2492
"2025-02-21 6",0.4565,0.4007,0.206
"2025-02-21 7",0.731,0.3555,0.2169
"2025-02-21 8",0.879,0.5646,0.2435
"2025-02-21 9",0.433,0.5383,0.3297
"2025-02-21 10",0.2747,0.3976,0.5869
"2025-02-21 11",0.0504,0.334,1.4326
"2025-02-21 12",0.033,0.2666,1.8022
"2025-02-21 13",0.0469,0.2416,2.3673
