Time [sec]	Time (UTC)	P [mB]	T [°F]	Hu [%]	Ws [mi/h]	Wd [°]	Ws U [mi/h]	Ws V [mi/h]	Geopot [m]	Dew [°F]
0         	17:00:01  	877.3 	31.1  	18    	3.5      	023   	-1.4       	-3.2       	1288      	4.0
2         	17:00:03  	876.3 	30.7  	20    	5.4      	006   	-0.6       	-5.4       	1301      	4.9
4         	17:00:05  	875.3 	30.4  	21    	5.4      	006   	-0.6       	-5.4       	1310      	5.3
6         	17:00:07  	874.3 	29.8  	21    	5.6      	006   	-0.6       	-5.6       	1319      	4.9
8         	17:00:09  	873.4 	29.4  	21    	6.2      	003   	-0.3       	-6.2       	1328      	4.6
10        	17:00:11  	872.4 	29.4  	21    	6.2      	003   	-0.3       	-6.2       	1338      	4.7
12        	17:00:13  	871.4 	29.3  	21    	6.2      	003   	-0.3       	-6.2       	1348      	4.7
14        	17:00:15  	870.3 	29.1  	21    	6.2      	003   	-0.3       	-6.2       	1360      	4.6
16        	17:00:17  	869.1 	29.0  	21    	6.2      	003   	-0.3       	-6.2       	1371      	4.6
18        	17:00:19  	868.0 	28.8  	21    	6.2      	003   	-0.3       	-6.2       	1383      	4.5
20        	17:00:21  	867.0 	28.8  	21    	6.4      	006   	-0.7       	-6.4       	1394      	4.6
22        	17:00:23  	865.9 	28.7  	22    	6.6      	008   	-0.9       	-6.5       	1405      	4.7
24        	17:00:25  	864.9 	28.7  	22    	6.6      	009   	-1.0       	-6.5       	1415      	4.7
26        	17:00:27  	863.9 	28.7  	22    	6.6      	009   	-1.0       	-6.5       	1425      	4.8
28        	17:00:29  	863.0 	28.6  	22    	6.7      	009   	-1.1       	-6.6       	1435      	4.9
30        	17:00:31  	862.0 	28.5  	22    	6.8      	011   	-1.3       	-6.7       	1444      	4.9
32        	17:00:33  	861.1 	28.4  	22    	6.7      	009   	-1.0       	-6.6       	1454      	4.9
34        	17:00:35  	860.1 	28.4  	22    	6.4      	006   	-0.7       	-6.4       	1464      	5.0
36        	17:00:37  	859.2 	28.3  	23    	6.3      	005   	-0.5       	-6.3       	1474      	5.0
38        	17:00:39  	858.2 	28.2  	23    	6.3      	004   	-0.4       	-6.3       	1484      	5.0
40        	17:00:41  	857.2 	28.1  	23    	6.2      	003   	-0.3       	-6.2       	1494      	5.0
42        	17:00:43  	856.2 	28.0  	23    	6.2      	002   	-0.2       	-6.2       	1505      	4.9
44        	17:00:45  	855.2 	27.9  	23    	6.2      	002   	-0.2       	-6.2       	1515      	4.8
46        	17:00:47  	854.2 	27.7  	23    	6.2      	002   	-0.2       	-6.2       	1526      	4.6
48        	17:00:49  	853.2 	27.6  	23    	6.2      	360   	0.0        	-6.2       	1536      	4.3
50        	17:00:51  	852.3 	27.6  	22    	6.1      	358   	0.2        	-6.1       	1545      	4.3
52        	17:00:53  	851.5 	27.7  	22    	6.1      	356   	0.4        	-6.1       	1554      	4.2
54        	17:00:55  	850.7 	27.7  	22    	6.1      	356   	0.4        	-6.1       	1562      	4.1
56        	17:00:57  	849.9 	27.6  	22    	6.1      	355   	0.5        	-6.1       	1570      	4.0
58        	17:00:59  	849.0 	27.5  	22    	5.9      	354   	0.6        	-5.9       	1578      	3.8
60        	17:01:01  	848.2 	27.4  	22    	5.7      	352   	0.8        	-5.6       	1587      	3.7
62        	17:01:03  	847.4 	27.3  	22    	5.4      	349   	1.0        	-5.3       	1597      	3.6
64        	17:01:05  	846.6 	27.3  	22    	5.1      	347   	1.2        	-5.0       	1605      	3.6
66        	17:01:07  	845.7 	27.3  	22    	4.9      	345   	1.3        	-4.7       	1613      	3.5
68        	17:01:09  	845.0 	27.3  	21    	4.6      	341   	1.5        	-4.4       	1621      	3.2
70        	17:01:11  	844.2 	27.3  	21    	4.4      	339   	1.6        	-4.1       	1629      	3.0
72        	17:01:13  	843.5 	27.4  	20    	3.9      	334   	1.7        	-3.5       	1637      	2.8
74        	17:01:15  	842.7 	27.5  	20    	3.4      	328   	1.8        	-2.9       	1645      	2.6
76        	17:01:17  	842.0 	27.7  	20    	3.0      	320   	1.9        	-2.3       	1653      	2.6
78        	17:01:19  	841.2 	27.9  	20    	2.5      	312   	1.9        	-1.7       	1660      	2.5
80        	17:01:21  	840.5 	27.9  	19    	2.4      	306   	1.9        	-1.4       	1668      	2.4
82        	17:01:23  	839.9 	28.0  	19    	2.1      	301   	1.8        	-1.1       	1675      	2.3
84        	17:01:25  	839.2 	28.0  	19    	2.0      	294   	1.8        	-0.8       	1682      	2.3
86        	17:01:27  	838.5 	28.0  	19    	1.8      	286   	1.7        	-0.5       	1689      	2.2
88        	17:01:29  	837.9 	28.0  	19    	1.7      	277   	1.7        	-0.2       	1696      	2.1
90        	17:01:31  	837.2 	28.0  	19    	1.6      	266   	1.6        	0.1        	1703      	2.0
92        	17:01:33  	836.6 	28.1  	18    	1.6      	266   	1.6        	0.1        	1710      	1.9
94        	17:01:35  	835.9 	28.1  	18    	1.6      	270   	1.6        	0.0        	1717      	1.8
96        	17:01:37  	835.2 	28.1  	18    	1.5      	274   	1.5        	-0.1       	1724      	1.6
98        	17:01:39  	834.6 	28.0  	18    	1.5      	274   	1.5        	-0.1       	1731      	1.5
100       	17:01:41  	833.9 	28.0  	18    	1.5      	278   	1.5        	-0.2       	1738      	1.3
102       	17:01:43  	833.3 	28.0  	18    	1.5      	281   	1.5        	-0.3       	1744      	1.2
104       	17:01:45  	832.6 	27.9  	18    	1.6      	281   	1.6        	-0.3       	1751      	1.1
106       	17:01:47  	832.0 	27.8  	18    	1.6      	281   	1.6        	-0.3       	1758      	1.1
108       	17:01:49  	831.3 	27.8  	18    	1.6      	281   	1.6        	-0.3       	1765      	1.0
110       	17:01:51  	830.7 	27.7  	17    	1.6      	281   	1.6        	-0.3       	1772      	0.8
112       	17:01:53  	830.0 	27.6  	17    	1.6      	277   	1.6        	-0.2       	1779      	0.6
114       	17:01:55  	829.4 	27.6  	17    	1.6      	277   	1.6        	-0.2       	1786      	0.5
116       	17:01:57  	828.7 	27.6  	17    	1.5      	274   	1.5        	-0.1       	1793      	0.5
118       	17:01:59  	828.1 	27.5  	17    	1.5      	270   	1.5        	0.0        	1800      	0.4
120       	17:02:01  	827.4 	27.5  	17    	1.5      	270   	1.5        	0.0        	1807      	0.5
122       	17:02:03  	826.8 	27.4  	17    	1.4      	266   	1.4        	0.1        	1813      	0.5
124       	17:02:05  	826.2 	27.4  	17    	1.2      	265   	1.2        	0.1        	1820      	0.6
126       	17:02:07  	825.6 	27.3  	18    	1.1      	260   	1.1        	0.2        	1826      	0.8
128       	17:02:09  	825.0 	27.3  	18    	0.9      	257   	0.9        	0.2        	1833      	0.9
130       	17:02:11  	824.3 	27.2  	18    	0.7      	254   	0.7        	0.2        	1840      	1.1
132       	17:02:13  	823.7 	27.2  	18    	0.6      	252   	0.6        	0.2        	1847      	1.2
134       	17:02:15  	823.0 	27.2  	18    	0.5      	248   	0.5        	0.2        	1854      	1.3
136       	17:02:17  	822.3 	27.2  	18    	0.3      	225   	0.2        	0.2        	1862      	1.2
138       	17:02:19  	821.7 	27.2  	18    	0.2      	153   	-0.1       	0.2        	1868      	1.2
140       	17:02:21  	821.0 	27.2  	18    	0.5      	101   	-0.5       	0.1        	1875      	1.1
142       	17:02:23  	820.4 	27.2  	18    	0.7      	098   	-0.7       	0.1        	1882      	1.0
144       	17:02:25  	819.7 	27.1  	18    	0.9      	090   	-0.9       	-0.0       	1889      	0.8
146       	17:02:27  	819.1 	27.0  	18    	1.1      	090   	-1.1       	-0.0       	1897      	0.6
148       	17:02:29  	818.5 	27.0  	18    	1.2      	090   	-1.2       	-0.0       	1903      	0.5
150       	17:02:31  	817.9 	26.9  	18    	1.4      	086   	-1.4       	-0.1       	1909      	0.4
152       	17:02:33  	817.3 	26.9  	18    	1.6      	086   	-1.6       	-0.1       	1915      	0.3
154       	17:02:35  	816.7 	26.9  	18    	1.8      	087   	-1.8       	-0.1       	1921      	0.3
156       	17:02:37  	816.1 	26.8  	18    	1.8      	087   	-1.8       	-0.1       	1928      	0.2
158       	17:02:39  	815.5 	26.7  	18    	1.8      	087   	-1.8       	-0.1       	1935      	0.1
160       	17:02:41  	814.9 	26.7  	18    	1.8      	090   	-1.8       	-0.0       	1942      	0.1
162       	17:02:43  	814.2 	26.6  	18    	1.9      	090   	-1.9       	-0.0       	1949      	0.1
164       	17:02:45  	813.5 	26.5  	18    	1.9      	090   	-1.9       	-0.0       	1956      	0.1
166       	17:02:47  	812.9 	26.5  	18    	1.9      	093   	-1.9       	0.1        	1963      	0.0
168       	17:02:49  	812.2 	26.4  	18    	1.9      	093   	-1.9       	0.1        	1970      	-0.0
170       	17:02:51  	811.5 	26.3  	18    	1.9      	093   	-1.9       	0.1        	1978      	-0.1
172       	17:02:53  	810.9 	26.3  	18    	1.9      	093   	-1.9       	0.1        	1985      	-0.1
174       	17:02:55  	810.2 	26.2  	18    	1.9      	093   	-1.9       	0.1        	1992      	-0.2
176       	17:02:57  	809.6 	26.2  	18    	1.9      	093   	-1.9       	0.1        	1998      	-0.3
178       	17:02:59  	809.0 	26.1  	18    	1.8      	093   	-1.8       	0.1        	2005      	-0.4
180       	17:03:01  	808.4 	26.0  	17    	1.8      	096   	-1.8       	0.2        	2011      	-0.5
182       	17:03:03  	807.8 	26.0  	17    	1.8      	096   	-1.8       	0.2        	2018      	-0.7
184       	17:03:05  	807.3 	26.0  	17    	1.8      	096   	-1.8       	0.2        	2024      	-0.8
186       	17:03:07  	806.7 	25.9  	17    	1.7      	097   	-1.7       	0.2        	2030      	-0.9
188       	17:03:09  	806.1 	25.9  	17    	1.7      	093   	-1.7       	0.1        	2036      	-1.0
190       	17:03:11  	805.5 	25.8  	17    	1.8      	090   	-1.8       	-0.0       	2043      	-1.1
192       	17:03:13  	805.0 	25.8  	17    	1.8      	090   	-1.8       	-0.0       	2049      	-1.2
194       	17:03:15  	804.4 	25.7  	17    	1.8      	087   	-1.8       	-0.1       	2055      	-1.3
196       	17:03:17  	803.8 	25.6  	17    	1.8      	087   	-1.8       	-0.1       	2062      	-1.4
198       	17:03:19  	803.2 	25.6  	17    	1.9      	084   	-1.9       	-0.2       	2068      	-1.4
200       	17:03:21  	802.7 	25.6  	17    	2.0      	084   	-2.0       	-0.2       	2074      	-1.4
202       	17:03:23  	802.1 	25.6  	17    	2.1      	085   	-2.1       	-0.2       	2080      	-1.3
204       	17:03:25  	801.5 	25.5  	17    	2.2      	085   	-2.2       	-0.2       	2086      	-1.3
206       	17:03:27  	800.9 	25.4  	17    	2.4      	085   	-2.4       	-0.2       	2093      	-1.2
208       	17:03:29  	800.3 	25.3  	17    	2.5      	085   	-2.5       	-0.2       	2100      	-1.1
210       	17:03:31  	799.7 	25.3  	17    	2.6      	088   	-2.6       	-0.1       	2106      	-1.1
212       	17:03:33  	799.1 	25.2  	18    	2.7      	090   	-2.7       	-0.0       	2114      	-1.1
214       	17:03:35  	798.4 	25.1  	18    	2.7      	090   	-2.7       	-0.0       	2121      	-1.1
216       	17:03:37  	797.8 	25.1  	18    	2.8      	092   	-2.8       	0.1        	2128      	-1.2
218       	17:03:39  	797.2 	25.1  	18    	2.9      	092   	-2.9       	0.1        	2134      	-1.2
220       	17:03:41  	796.6 	25.0  	17    	2.9      	094   	-2.9       	0.2        	2141      	-1.3
222       	17:03:43  	796.0 	25.0  	17    	2.8      	094   	-2.8       	0.2        	2147      	-1.5
224       	17:03:45  	795.4 	24.9  	17    	2.8      	092   	-2.8       	0.1        	2153      	-1.6
226       	17:03:47  	794.9 	24.8  	17    	2.8      	092   	-2.8       	0.1        	2159      	-1.6
228       	17:03:49  	794.3 	24.8  	17    	2.7      	090   	-2.7       	-0.0       	2166      	-1.7
230       	17:03:51  	793.7 	24.7  	17    	2.7      	086   	-2.7       	-0.2       	2173      	-1.8
232       	17:03:53  	793.1 	24.7  	17    	2.6      	083   	-2.6       	-0.3       	2179      	-1.9
234       	17:03:55  	792.5 	24.6  	17    	2.6      	081   	-2.6       	-0.4       	2186      	-2.0
236       	17:03:57  	791.9 	24.6  	17    	2.5      	079   	-2.5       	-0.5       	2192      	-2.1
238       	17:03:59  	791.4 	24.6  	17    	2.6      	077   	-2.5       	-0.6       	2198      	-2.3
240       	17:04:01  	790.8 	24.7  	16    	2.6      	074   	-2.5       	-0.7       	2205      	-2.4
242       	17:04:03  	790.2 	24.7  	16    	2.5      	072   	-2.4       	-0.8       	2211      	-2.5
244       	17:04:05  	789.6 	24.6  	16    	2.6      	069   	-2.4       	-0.9       	2218      	-2.6
246       	17:04:07  	789.0 	24.5  	16    	2.5      	067   	-2.3       	-1.0       	2224      	-2.7
248       	17:04:09  	788.4 	24.5  	16    	2.5      	067   	-2.3       	-1.0       	2231      	-2.6
250       	17:04:11  	787.8 	24.4  	16    	2.5      	067   	-2.3       	-1.0       	2238      	-2.6
252       	17:04:13  	787.2 	24.3  	17    	2.5      	069   	-2.3       	-0.9       	2245      	-2.6
254       	17:04:15  	786.5 	24.3  	17    	2.6      	069   	-2.4       	-0.9       	2252      	-2.5
256       	17:04:17  	785.9 	24.3  	17    	2.6      	072   	-2.5       	-0.8       	2259      	-2.4
258       	17:04:19  	785.2 	24.2  	17    	2.7      	075   	-2.6       	-0.7       	2266      	-2.3
260       	17:04:21  	784.6 	24.1  	17    	2.8      	075   	-2.7       	-0.7       	2274      	-2.2
262       	17:04:23  	783.9 	24.1  	17    	2.9      	078   	-2.8       	-0.6       	2281      	-2.2
264       	17:04:25  	783.3 	24.0  	17    	3.0      	078   	-2.9       	-0.6       	2288      	-2.2
266       	17:04:27  	782.7 	24.0  	17    	3.2      	079   	-3.1       	-0.6       	2295      	-2.1
268       	17:04:29  	782.1 	24.0  	18    	3.4      	080   	-3.3       	-0.6       	2301      	-2.1
270       	17:04:31  	781.5 	23.9  	18    	3.5      	080   	-3.4       	-0.6       	2308      	-2.1
272       	17:04:33  	780.9 	23.9  	18    	3.6      	079   	-3.5       	-0.7       	2314      	-2.1
274       	17:04:35  	780.3 	23.8  	18    	3.7      	077   	-3.6       	-0.8       	2321      	-2.2
276       	17:04:37  	779.7 	23.8  	18    	3.8      	078   	-3.7       	-0.8       	2327      	-2.2
278       	17:04:39  	779.1 	23.7  	18    	3.9      	075   	-3.8       	-1.0       	2334      	-2.2
280       	17:04:41  	778.5 	23.6  	18    	4.0      	074   	-3.8       	-1.1       	2341      	-2.2
282       	17:04:43  	777.9 	23.6  	18    	4.1      	073   	-3.9       	-1.2       	2348      	-2.2
284       	17:04:45  	777.2 	23.5  	18    	4.2      	072   	-4.0       	-1.3       	2355      	-2.3
286       	17:04:47  	776.6 	23.4  	18    	4.3      	071   	-4.1       	-1.4       	2362      	-2.3
288       	17:04:49  	775.9 	23.4  	18    	4.3      	071   	-4.1       	-1.4       	2370      	-2.3
290       	17:04:51  	775.3 	23.4  	18    	4.5      	070   	-4.2       	-1.5       	2377      	-2.3
292       	17:04:53  	774.6 	23.3  	18    	4.6      	068   	-4.3       	-1.7       	2385      	-2.3
294       	17:04:55  	773.9 	23.3  	18    	4.8      	067   	-4.4       	-1.9       	2392      	-2.4
296       	17:04:57  	773.3 	23.2  	18    	5.0      	067   	-4.6       	-2.0       	2400      	-2.5
298       	17:04:59  	772.6 	23.2  	18    	5.2      	065   	-4.7       	-2.2       	2408      	-2.5
300       	17:05:01  	771.9 	23.2  	18    	5.3      	064   	-4.8       	-2.3       	2416      	-2.5
302       	17:05:03  	771.2 	23.2  	18    	5.5      	064   	-4.9       	-2.4       	2423      	-2.5
304       	17:05:05  	770.5 	23.1  	18    	5.8      	061   	-5.1       	-2.8       	2431      	-2.5
306       	17:05:07  	769.8 	23.0  	18    	6.2      	059   	-5.3       	-3.2       	2439      	-2.5
308       	17:05:09  	769.1 	22.9  	18    	6.6      	057   	-5.5       	-3.6       	2447      	-2.6
310       	17:05:11  	768.4 	22.8  	18    	6.9      	056   	-5.7       	-3.9       	2454      	-2.6
312       	17:05:13  	767.7 	22.7  	18    	7.2      	054   	-5.8       	-4.2       	2462      	-2.7
314       	17:05:15  	767.0 	22.7  	18    	7.4      	053   	-5.9       	-4.5       	2471      	-2.7
316       	17:05:17  	766.2 	22.6  	18    	7.7      	052   	-6.1       	-4.7       	2479      	-2.7
318       	17:05:19  	765.5 	22.6  	18    	8.1      	054   	-6.5       	-4.8       	2488      	-2.8
320       	17:05:21  	764.6 	22.5  	18    	8.4      	054   	-6.8       	-5.0       	2498      	-2.9
322       	17:05:23  	763.8 	22.4  	18    	8.8      	055   	-7.2       	-5.1       	2507      	-3.0
324       	17:05:25  	762.9 	22.3  	18    	8.9      	056   	-7.4       	-5.0       	2517      	-3.0
326       	17:05:27  	762.1 	22.2  	18    	9.1      	058   	-7.7       	-4.9       	2527      	-3.1
328       	17:05:29  	761.2 	22.1  	18    	9.2      	059   	-7.9       	-4.8       	2536      	-3.2
330       	17:05:31  	760.4 	22.0  	18    	9.5      	060   	-8.3       	-4.7       	2545      	-3.2
332       	17:05:33  	759.6 	22.0  	18    	9.9      	062   	-8.7       	-4.7       	2554      	-3.2
334       	17:05:35  	758.9 	21.9  	18    	10.2     	063   	-9.1       	-4.6       	2563      	-3.2
336       	17:05:37  	758.1 	21.8  	18    	10.6     	064   	-9.5       	-4.6       	2572      	-3.1
338       	17:05:39  	757.3 	21.8  	19    	10.7     	064   	-9.6       	-4.7       	2580      	-3.2
340       	17:05:41  	756.6 	21.7  	19    	10.9     	064   	-9.8       	-4.8       	2589      	-3.2
342       	17:05:43  	755.8 	21.6  	19    	11.1     	064   	-10.0      	-4.9       	2598      	-3.2
344       	17:05:45  	755.1 	21.5  	19    	11.4     	063   	-10.1      	-5.2       	2607      	-3.3
346       	17:05:47  	754.3 	21.4  	19    	11.6     	062   	-10.2      	-5.5       	2615      	-3.4
348       	17:05:49  	753.6 	21.4  	19    	11.8     	061   	-10.3      	-5.7       	2623      	-3.4
350       	17:05:51  	752.9 	21.4  	19    	11.8     	060   	-10.2      	-6.0       	2631      	-3.4
352       	17:05:53  	752.3 	21.4  	19    	11.9     	058   	-10.1      	-6.2       	2639      	-3.5
354       	17:05:55  	751.6 	21.3  	18    	11.9     	057   	-10.0      	-6.4       	2646      	-3.6
356       	17:05:57  	750.9 	21.2  	18    	12.0     	056   	-10.0      	-6.7       	2654      	-3.6
358       	17:05:59  	750.3 	21.1  	18    	12.3     	055   	-10.1      	-7.0       	2661      	-3.7
360       	17:06:01  	749.7 	21.1  	18    	12.5     	054   	-10.1      	-7.4       	2668      	-3.8
362       	17:06:03  	748.9 	21.0  	18    	12.6     	053   	-10.1      	-7.6       	2676      	-4.0
364       	17:06:05  	748.2 	20.9  	18    	12.8     	053   	-10.2      	-7.7       	2684      	-4.1
366       	17:06:07  	747.5 	20.8  	18    	13.0     	053   	-10.3      	-7.9       	2693      	-4.2
368       	17:06:09  	746.7 	20.8  	18    	13.2     	053   	-10.5      	-8.0       	2702      	-4.2
