date,8hr_rolling_avg_UDAQ O3,8hr_rolling_avg_ML O3
2024-07-16,66.5,74.15400462962963
2024-07-17,72.75,78.0764651825584
2024-07-18,70.25,68.5599998606689
2024-07-19,63.375,69.22325764724894
2024-07-20,63.25,67.16528895317136
2024-07-21,60.25,65.27074276720083
2024-07-22,64.25,62.13627165715885
2024-07-23,75.25,72.50634989157568
2024-07-24,76.5,82.42553376368404
2024-07-25,61.125,63.676835037498286
2024-07-26,71.375,75.1205923604337
2024-07-27,64.875,69.2714213431169
2024-07-28,68.875,71.021375545074
2024-07-29,61.25,65.10691551086758
2024-07-30,69.875,65.28612747624858
2024-07-31,67.25,72.38623264494863
2024-08-01,74.0,61.50014108086077
2024-08-02,76.25,79.55007661864963
2024-08-03,60.0,64.43554536864963
2024-08-04,58.5,60.52483357035409
2024-08-05,62.5,63.721292826486454
2024-08-06,63.125,64.34468053678658
2024-08-07,64.125,66.31297612140499
2024-08-08,71.25,76.0067215217279
2024-08-09,52.75,58.63315649152847
2024-08-10,49.875,51.37619265199195
2024-08-11,53.625,55.41903226114894
2024-08-12,45.5,47.838417677815606
2024-08-13,44.5,44.737114849119514
2024-08-14,51.125,51.63558313555056
2024-08-15,48.5,50.139131746661675
2024-08-16,51.0,49.87322653757242
2024-08-17,37.125,41.958152603614316
2024-08-18,43.75,43.347904321659755
