Information is based on the mech.def file.
* Fall-off or pressure dependent reaction rate constants (M equals air number density):
 * For rate constants with ko, kinf, n, F values: k = [ ko*M/(1+ko*M/kinf)]F^G, where G=1/[1+(log10(k0*M/kinf)/n)^2)] 
 * For rate constants with k1, k2: k = k1 + k2*M
 * For rate constants with k0, k2, k3: k = k0 + k3*M/(1+k3*M/k2)
 * For rate constants with k1, k2, k3: k = k1 + k2*M + k3 

* For rate constants with the form A<Reference>, k equals A times a reference that represents photolysis rate, a heteorogeneous rate constant, rate constant for the given reaction or an operator. A equals one if not given.

* In the mechanism definition file, the rate is formatted as
 ** A~<HETEROGENEOUS>
 ** A*K<REACTION>
 ** A/<PHOTOLYSIS>
 ** A?<OPERATOR>

Reaction Number,Reaction Label,Reaction,Rate Constant Formula,Value at 298.15 K;   2.4615E+19 molec/cm^3;   1.00 Atm.,Value at 275.15 K;   2.0936E+19 molec/cm^3;   0.78 Atm.,Notes,References
   32, <R028>, OP1 ----> HO + HO2 + HCHO , <OP1_RACM2>, Not Available, Not Available, Photolysis Reaction;depends on radiation and predicted concentrations , ,
   33, <R029>, OP2 ----> HO + HO2 + ALD , <OP1_RACM2>, Not Available, Not Available, Photolysis Reaction;depends on radiation and predicted concentrations , ,
   34, <TRP03>, OPB ----> HO + HO2 + ALD , <OP1_RACM2>, Not Available, Not Available, Photolysis Reaction;depends on radiation and predicted concentrations , ,
   35, <R029a>, VOP3 ----> HO + HO2 + ALD , <OP1_RACM2>, Not Available, Not Available, Photolysis Reaction;depends on radiation and predicted concentrations , ,
   36, <R030>, PAA ----> HO + MO2 , <PAA_RACM2>, Not Available, Not Available, Photolysis Reaction;depends on radiation and predicted concentrations , ,
   37, <R031>, ONIT ----> HO2 + NO2 +  0.20000*ALD +  0.80000*KET , <ONIT_CALVERT08>, Not Available, Not Available, Photolysis Reaction;depends on radiation and predicted concentrations , ,
   38, <R032>, PAN ----> ACO3 + NO2 , <PAN1_JPL19>, Not Available, Not Available, Photolysis Reaction;depends on radiation and predicted concentrations , ,
   39, <R033>, PAN ----> MO2 + NO3 + CO2 , <PAN2_JPL19>, Not Available, Not Available, Photolysis Reaction;depends on radiation and predicted concentrations , ,
   40, <R033a>, PPN ----> RCO3 + NO2 , <PPN1_JPL19>, Not Available, Not Available, Photolysis Reaction;depends on radiation and predicted concentrations , ,
   41, <R033b>, PPN ----> HC3P + NO3 , <PPN2_JPL19>, Not Available, Not Available, Photolysis Reaction;depends on radiation and predicted concentrations , ,
   42, <TRP55>, VTRPN ----> NO2 +  0.67000*KET +  0.33000*UALD , <TRPN_WANG2023>, Not Available, Not Available, Photolysis Reaction;depends on radiation and predicted concentrations , ,
   43, <TRP56>, VHONIT ----> HKET + NO2 , <TRPN_WANG2023>, Not Available, Not Available, Photolysis Reaction;depends on radiation and predicted concentrations , ,
   44, <R034>, O3 + HO ----> HO2 ,   1.7000E-12*exp( -9.4000E+02/T),    7.2647E-14,    5.5816E-14, , 
   45, <R035>, O3 + HO2 ----> HO ,   1.0000E-14*exp( -4.9000E+02/T),    1.9331E-15,    1.6850E-15, , 
   46, <R036>, O3 + NO ----> NO2 ,   3.0000E-12*exp( -1.5000E+03/T),    1.9596E-14,    1.2869E-14, , 
   47, <R037>, O3 + NO2 ----> NO3 ,   1.2000E-13*exp( -2.4500E+03/T),    3.2392E-17,    1.6298E-17, , 
   48, <R038>, O3P + O2 + M ----> O3 ,   6.1000E-34*(T/300)^( -2.4000E+00),    6.1912E-34,    7.5068E-34, , 
   49, <R039>, O3P + O3 ---->,   8.0000E-12*exp( -2.0600E+03/T),    7.9879E-15,    4.4834E-15, , 
   50, <R040>, O1D + O2 ----> O3P ,   3.3000E-11*exp(  5.5000E+01/T),    3.9685E-11,    4.0302E-11, , 
   51, <R041>, O1D + N2 ----> O3P ,   2.1500E-11*exp(  1.1000E+02/T),    3.1093E-11,    3.2067E-11, , 
   52, <R042>, O1D + H2O ----> 2.00000*HO ,   1.6300E-10*exp(  6.0000E+01/T),    1.9934E-10,    2.0272E-10, , 
   53, <R043>, HO + H2 ----> HO2 ,   2.8000E-12*exp( -1.8000E+03/T),    6.6869E-15,    4.0369E-15, , 
   54, <R044>, HO + HO2 ---->,   4.8000E-11*exp(  2.5000E+02/T),    1.1102E-10,    1.1908E-10, , 
   55, <R045>, HO2 + HO2 ----> H2O2 ,  k0 =   3.0000E-13*exp(  4.6000E+02/T); k1 =   2.1000E-33*exp(  9.2000E+02/T),    2.5345E-12,    2.8417E-12, , 
   56, <R046>, HO2 + HO2 + H2O ----> H2O2 ,  k0 =   4.2000E-34*exp(  2.6600E+03/T); k1 =   2.9400E-54*exp(  3.1200E+03/T),    5.6834E-30,    1.1808E-29, , 
   57, <R047>, H2O2 + HO ----> HO2 ,   1.8000E-12*exp(  0.0000E+00/T),    1.8000E-12,    1.8000E-12, , 
   58, <R048>, NO + O3P ----> NO2 ,  ko =   9.1000E-32*exp(  0.0000E+00/T)*(T/300)^ -1.5000E+00; kinf =   3.0000E-11*exp(  0.0000E+00/T)*(T/300)^  0.0000E+00; n =   1.0000E+00; F =   6.0000E-01,    1.6772E-12,    1.6202E-12, , 
   59, <R049>, NO + HO ----> HONO ,  ko =   7.1000E-31*exp(  0.0000E+00/T)*(T/300)^ -2.6000E+00; kinf =   3.6000E-11*exp(  0.0000E+00/T)*(T/300)^ -1.0000E-01; n =   1.0000E+00; F =   6.0000E-01,    7.4585E-12,    7.6819E-12, , 
   60, <R050>, NO + HO2 ----> NO2 + HO ,   3.4400E-12*exp(  2.6000E+02/T),    8.2278E-12,    8.8499E-12, , 
   61, <R051>, NO + HO2 ----> HNO3 ,  k0 =   6.0950E-14*exp(  2.7000E+02/T)*(T/300)^ -1.0000E+00; k2 =   6.8570E-34*exp(  2.7000E+02/T)*(T/300)^  1.0000E+00; k3 =  -5.9680E-14*exp(  2.7000E+02/T),    4.5566E-14,    5.3201E-14, , 
