value,removed_from,kept_in
NBUTDAOH,ovocs_arr,rono2_arr
NPBFUONE,ovocs_arr,rono2_arr
H2M4C65NO3,ovocs_arr,rono2_arr
NC730OH,ovocs_arr,rono2_arr
C1213NO3,carboxylic_acids_arr,rono2_arr
C1213NO3,ovocs_arr,rono2_arr
C64NO3,ovocs_arr,rono2_arr
C4NO3CO2H,carboxylic_acids_arr,rono2_arr
OTNNCATOOH,hydroperoxides_arr,rono2_arr
OTNNCATOOH,ovocs_arr,rono2_arr
TM124MUNO3,ovocs_arr,rono2_arr
MTNNCATOOH,hydroperoxides_arr,rono2_arr
MTNNCATOOH,ovocs_arr,rono2_arr
CYHXOLANO3,ovocs_arr,rono2_arr
NPHENOH,ovocs_arr,rono2_arr
C1312NO3,ovocs_arr,rono2_arr
C57NO3CO3H,ovocs_arr,rono2_arr
MACRNBCO3H,carboxylic_acids_arr,rono2_arr
MACRNBCO3H,ovocs_arr,rono2_arr
C811NO3,carboxylic_acids_arr,rono2_arr
INDHCO3H,ovocs_arr,rono2_arr
C151NO3,carboxylic_acids_arr,rono2_arr
C151NO3,ovocs_arr,rono2_arr
NPBFUOOH,hydroperoxides_arr,rono2_arr
NPBFUOOH,ovocs_arr,rono2_arr
NDNPHENOOH,hydroperoxides_arr,rono2_arr
NDNPHENOOH,ovocs_arr,rono2_arr
HO2C54NO3,ovocs_arr,rono2_arr
BZEMUCNO3,ovocs_arr,rono2_arr
MPRKNO3,ovocs_arr,rono2_arr
NBUTOLANO3,ovocs_arr,rono2_arr
CCLCONO3,ovocs_arr,rono2_arr
C51NO32OOH,hydroperoxides_arr,rono2_arr
PBZBPERNO3,ovocs_arr,rono2_arr
NIPRBQOOH,hydroperoxides_arr,rono2_arr
NIPRBQOOH,ovocs_arr,rono2_arr
NTMB2FUOOH,hydroperoxides_arr,rono2_arr
NTMB2FUOOH,ovocs_arr,rono2_arr
NC4CO2H,carboxylic_acids_arr,rono2_arr
NDNMXYLOOH,hydroperoxides_arr,rono2_arr
NDNMXYLOOH,ovocs_arr,rono2_arr
INCNCO3H,ovocs_arr,rono2_arr
C5NO3O4OOH,hydroperoxides_arr,rono2_arr
C5NO3O4OOH,ovocs_arr,rono2_arr
C4M2ALOHNO3,ovocs_arr,rono2_arr
CO3C4NO3,ovocs_arr,rono2_arr
C1010NO3,ovocs_arr,rono2_arr
NOPINANO3,ovocs_arr,rono2_arr
C1012NO3,ovocs_arr,rono2_arr
OETLMUCNO3,ovocs_arr,rono2_arr
C58NO3,ovocs_arr,rono2_arr
CONM2CO3H,ovocs_arr,rono2_arr
HM2C43NO3,ovocs_arr,rono2_arr
INB1NACHO,ovocs_arr,rono2_arr
NPXYOLOOH,hydroperoxides_arr,rono2_arr
NPXYOLOOH,ovocs_arr,rono2_arr
NBUACBNO3,ovocs_arr,rono2_arr
MPRNO3CO2H,carboxylic_acids_arr,rono2_arr
C141NO3,ovocs_arr,rono2_arr
APINANO3,ovocs_arr,rono2_arr
C719NO3,ovocs_arr,rono2_arr
C127NO3,ovocs_arr,rono2_arr
MMALNBCO2H,carboxylic_acids_arr,rono2_arr
MMALNBCO2H,ovocs_arr,rono2_arr
NMBOBCO,ovocs_arr,rono2_arr
C56NO3,ovocs_arr,rono2_arr
EBZBPERNO3,ovocs_arr,rono2_arr
C42OOH,hydroperoxides_arr,rono2_arr
C42OOH,ovocs_arr,rono2_arr
NIPBFUONE,ovocs_arr,rono2_arr
MACRNOOA,ovocs_arr,rono2_arr
C42MNO3OOH,hydroperoxides_arr,rono2_arr
PR2O2HNO3,hydroperoxides_arr,rono2_arr
MTBEAALNO3,ovocs_arr,rono2_arr
C732NO3,carboxylic_acids_arr,rono2_arr
NOXYOLOH,ovocs_arr,rono2_arr
EIPKBNO3,ovocs_arr,rono2_arr
BOXPOLBNO3,ovocs_arr,rono2_arr
C4MCONO3OH,ovocs_arr,rono2_arr
BCCNO3,ovocs_arr,rono2_arr
NC71CO,ovocs_arr,rono2_arr
NLIMALOH,ovocs_arr,rono2_arr
C614NO3,ovocs_arr,rono2_arr
BOXEOHBNO3,ovocs_arr,rono2_arr
ACEC2H4NO3,ovocs_arr,rono2_arr
HM22C3NO3,ovocs_arr,rono2_arr
PE2ENEANO3,ovocs_arr,rono2_arr
NCRESOH,ovocs_arr,rono2_arr
C829NO3,ovocs_arr,rono2_arr
C610NO3,ovocs_arr,rono2_arr
METLMUCNO3,ovocs_arr,rono2_arr
NDMMALYOOH,hydroperoxides_arr,rono2_arr
NDMMALYOOH,ovocs_arr,rono2_arr
OXYBIPENO3,ovocs_arr,rono2_arr
NC61CO3H,ovocs_arr,rono2_arr
C52NO31OOH,hydroperoxides_arr,rono2_arr
OETLBIPNO3,ovocs_arr,rono2_arr
HO13C4NO3,ovocs_arr,rono2_arr
C136NO3,ovocs_arr,rono2_arr
PETLBIPNO3,ovocs_arr,rono2_arr
HO3C96NO3,ovocs_arr,rono2_arr
BUT2OLNO3,ovocs_arr,rono2_arr
INB1HPCO3H,hydroperoxides_arr,rono2_arr
INB1HPCO3H,ovocs_arr,rono2_arr
C4M22CONO3,ovocs_arr,rono2_arr
C53NO32CO,ovocs_arr,rono2_arr
C514NO3,ovocs_arr,rono2_arr
MO2EOLANO3,ovocs_arr,rono2_arr
C64OH5NO3,ovocs_arr,rono2_arr
LIMALNO3,ovocs_arr,rono2_arr
NAPINAOOH,hydroperoxides_arr,rono2_arr
COCCOHNO3,ovocs_arr,rono2_arr
C63NO32CO,ovocs_arr,rono2_arr
NBZFUONE,ovocs_arr,rono2_arr
C43NO34OOH,hydroperoxides_arr,rono2_arr
C4M2NO3OOH,hydroperoxides_arr,rono2_arr
MBOANO3,ovocs_arr,rono2_arr
INB1OH,ovocs_arr,rono2_arr
NOPINCNO3,ovocs_arr,rono2_arr
LIMCNO3,ovocs_arr,rono2_arr
NMGLYOX,ovocs_arr,rono2_arr
BUTONENO3,ovocs_arr,rono2_arr
C68NO3,ovocs_arr,rono2_arr
H2C3OCNO3,ovocs_arr,rono2_arr
H13M3C5NO3,ovocs_arr,rono2_arr
C4CONO3OOH,hydroperoxides_arr,rono2_arr
C4CONO3OOH,ovocs_arr,rono2_arr
H3NCO2CHO,ovocs_arr,rono2_arr
INCCO,ovocs_arr,rono2_arr
C6NO3COOOH,hydroperoxides_arr,rono2_arr
C6NO3COOOH,ovocs_arr,rono2_arr
NMBOBOOH,hydroperoxides_arr,rono2_arr
NMBOBOOH,ovocs_arr,rono2_arr
C66NO35OH,ovocs_arr,rono2_arr
PE1ENEBNO3,ovocs_arr,rono2_arr
APINBNO3,ovocs_arr,rono2_arr
C718NO3,ovocs_arr,rono2_arr
C810NO3,ovocs_arr,rono2_arr
C4NO3CHO,ovocs_arr,rono2_arr
NMXYFUOOH,hydroperoxides_arr,rono2_arr
NMXYFUOOH,ovocs_arr,rono2_arr
NLIMOOH,hydroperoxides_arr,rono2_arr
BUTALNO3,ovocs_arr,rono2_arr
COC4NO3OOH,hydroperoxides_arr,rono2_arr
COC4NO3OOH,ovocs_arr,rono2_arr
NPXYQOOH,hydroperoxides_arr,rono2_arr
NPXYQOOH,ovocs_arr,rono2_arr
ETACETNO3,ovocs_arr,rono2_arr
C4CHOBNO3,ovocs_arr,rono2_arr
NDNT123OOH,hydroperoxides_arr,rono2_arr
NDNT123OOH,ovocs_arr,rono2_arr
NBUTOLBNO3,ovocs_arr,rono2_arr
M2BUOL2NO3,ovocs_arr,rono2_arr
HM22C4NO3,ovocs_arr,rono2_arr
MCOOTBNO3,ovocs_arr,rono2_arr
INAHPCO3H,hydroperoxides_arr,rono2_arr
INAHPCO3H,ovocs_arr,rono2_arr
NC3CO2H,carboxylic_acids_arr,rono2_arr
NCRESOOH,hydroperoxides_arr,rono2_arr
NCRESOOH,ovocs_arr,rono2_arr
NMETOLOH,ovocs_arr,rono2_arr
NC72OOH,hydroperoxides_arr,rono2_arr
NC72OOH,ovocs_arr,rono2_arr
NDEMPLOOH,hydroperoxides_arr,rono2_arr
NDEMPLOOH,ovocs_arr,rono2_arr
HEX3ONDNO3,ovocs_arr,rono2_arr
C106NO3,ovocs_arr,rono2_arr
NBUACCNO3,ovocs_arr,rono2_arr
C1210NO3,ovocs_arr,rono2_arr
C524NO3,ovocs_arr,rono2_arr
C67NO3,ovocs_arr,rono2_arr
NBUTDBOOH,hydroperoxides_arr,rono2_arr
INCOH,ovocs_arr,rono2_arr
NOXYQOOH,hydroperoxides_arr,rono2_arr
NOXYQOOH,ovocs_arr,rono2_arr
BCKBNO3,ovocs_arr,rono2_arr
C4NO32MOOH,hydroperoxides_arr,rono2_arr
BPINANO3,ovocs_arr,rono2_arr
DETLMUNO3,ovocs_arr,rono2_arr
PINALNO3,ovocs_arr,rono2_arr
PE2ENEBNO3,ovocs_arr,rono2_arr
C96NO3,ovocs_arr,rono2_arr
C58NO3CO2H,carboxylic_acids_arr,rono2_arr
C58NO3CO2H,ovocs_arr,rono2_arr
C113NO3,ovocs_arr,rono2_arr
H2MC5NO3,ovocs_arr,rono2_arr
HPNC524CO,hydroperoxides_arr,rono2_arr
