ONE,RO2,AACD,ACET,ALD2,ALDX,BENZ,BR,BR2,BRCL,BRN2,BRN3,BRO,BZO2,C2O3,CAT1,CGLY,CH3I,CH4,CL,CL2,CLAD,CLAO,CLN2,CLN3,CLO,CO,CRES,CRO,CRON,CXO3,DMS,ECH4,EPOX,EPX2,ETH,ETHA,ETHY,ETOH,FACD,FMBR,FMCL,FORM,GLY,GLYD,H2,H2O,H2O2,HBR,HCL,HCO3,HI,HIO3,HNO3,HO2,HOBR,HOCL,HOI,HONO,HPLD,I,I2,I2O2,IBR,ICL,INO2,INO3,INTR,IO,IOLE,ISO2,ISOP,ISPD,ISPX,IXOY,KET,MB2,MB2C,MB3,MBC,MBC2,MEO2,MEOH,MEPX,MGLY,MI2,MIB,MIC,N2O5,NO,NO2,NO3,NTR1,NTR2,O,O1D,O2,O3,O3P,OH,OIO,OLE,OPAN,OPEN,OPO3,PACD,PAN,PANX,PAR,PNA,PRPA,ROOH,ROR,SO2,SULF,TERP,TO2,TOL,XLO2,XO2,XO2H,XO2N,XOPN,XPAR,XPRP,XYL
1,0,0.0014017496888442,1.16410649565569e-05,0.905392328643079,0.0297726111305603,0.0504170669686431,1.07553768842254e-09,0.000706148544061303,0.000152248352490421,1.77896063926783e-06,0.00467535112506481,3.79368883787153e-05,1.56947069617937e-06,0.000268823204902013,1.49697933756589e-09,3.09190561008752e-08,0,1958.07866666667,0,0.000280115785440613,0,0,0.00019830061302682,0,0,122.651111111111,7.99304294624015e-06,2.81930903412793e-08,1.5563518814483e-06,3.15216894741858e-05,0.00587496165717486,0,1.65673314204067e-07,6.6639677106216e-11,0,0,0,1.16243304021743,1.34085255176245,2.69923011563404e-05,0,1.65711967777778,1.35510682672784e-05,6.73676505925566e-06,0,3.08044184914315e-05,4.87352642070953e-05,2.8492850581784e-05,0,6.63703137104117e-09,0,0,0.141049608275862,0.000341498819719721,0.000269821373384323,0,0,0.092537795440613,0.00157046411369412,0,0,0,0,0,0,0,6.70944439285385e-06,0,4.83788366243651e-09,0.000409025242885337,0.228213848279741,0.00706981049124019,5.18106190024574e-05,0,2.06151023350209e-06,0,0,0,0,0,0.00738830396235847,8.62124137517135,0.000264091309855108,3.5671468587408e-05,0,0,0,0.00163873784929149,1.00947501019397e-06,1.26199423052499,0.00203865193319547,0.000131669140621251,0.0355209529522595,0,0,0,43.4151111111111,2.59867422470335e-18,2.20025512946059e-06,0,2.03203321205993e-09,8.36420143434892e-06,8.44563386345629e-06,5.0292595590239e-08,5.77060665865798e-05,0.2,0.01,0.104916604123173,0.000111606922508139,0,0.00727958635115336,5.59929754842393e-14,0.000460648918521499,1.66820162625529e-08,0.11475830204585,2.86949502105888e-05,0.107379812089486,0,0.046986858559885,0.0202431173563267,0.0141170799290619,8.31207819887256e-07,3.50731689448069e-09,0,0
1,0,0.00530314018922988,4.59760089082226e-05,0.848050988888889,0.0617187297081926,0.0520351777777778,9.6453487545522e-10,0.000662508888888889,0.000129305555555556,1.81007613148416e-06,0.00678393818061985,2.11663608560243e-05,2.77199933737118e-06,0.000244448414800088,2.18027125160137e-09,2.30378417979932e-07,0,1958.24688888889,0,0.000311074444444444,0,0,0.00019784,0,0,123.564555555556,1.11363798975541e-05,4.2038758774302e-08,4.31661064731979e-06,3.19295153362856e-05,0.00692896666666667,0,5.68283963339708e-07,4.66797237450155e-10,0,0,0,1.14378926666667,1.25100367444444,1.68988372430762e-05,0,1.50582937777778,4.91560427623897e-05,1.82352937721354e-05,0,5.79824631370099e-05,5.90218674696258e-05,3.94159341309502e-05,0,4.40501051049372e-09,0,0,0.143511585555556,0.000246865732358239,0.00087982551812913,0,0,0.0794622044444444,0.00328497745344503,0,0,0,0,0,0,0,5.20831584933568e-06,0,1.49277649825633e-08,0.000373640444932416,0.206853933333333,0.0134460540513639,8.00835770134562e-05,0,7.97235627143118e-06,0,0,0,0,0,0.0231346726468062,8.24462874444444,0.000995851616302198,0.000136863512829327,0,0,0,0.0015838424012641,6.57528165396385e-07,1.23884824247183,0.00197781543624208,0.000134366689589221,0.0717347227023323,0,0,0,43.1313333333333,2.5752232453746e-18,2.19171523173182e-06,0,3.51879561569928e-09,2.94448824492215e-05,1.67551918049971e-05,1.11223119858065e-07,8.32706812470522e-05,0.2,0.01,0.210806304410994,8.00864245051654e-05,0,0.0199372960238993,1.12417561123902e-13,0.00104075832719669,7.36201479161934e-08,0.117061588888889,5.44505446691904e-05,0.124713233333333,0,0.0884080018122659,0.0375543369252996,0.0266817702429582,1.99145222364965e-06,7.023456646434e-09,0,0
1,0,0.00594096819369568,0.000206621403605583,0.854586892720306,0.0813044981144731,0.0613489440613027,2.44605034501691e-06,0.00059734,0.00012553,8.99126508635255e-05,0.00613377949389882,4.39583333333333e-06,1.04430132935857e-06,0.000195387484537733,3.91038486928275e-07,1.11238278913202e-06,0,1957.87122222222,5.11796880817522e-09,0.000407072222222222,1.23082023560069e-05,5.94022326056764e-06,0.000205674444444445,7.47484665049466e-05,7.3297386201672e-07,129.220111111111,0.000112636382979065,1.31398388043779e-07,1.53702283945157e-05,2.65396626664912e-05,0.0051793,0,4.66103343392452e-05,2.98564820946205e-08,0,0,0,1.22780719616858,1.23725740888889,0.00141618943305238,2.52951621879979e-06,1.4639554,0.00029298286435189,0.000209314582191156,0.00443961103361251,0.000470300713587954,0.00395118169336537,0.000942233250610692,0.00018319698226686,7.43027650272446e-08,0,0,0.188975082222222,0.00433636055377815,0.00133474958369387,4.89833883683446e-06,0,0.0752339266666667,0.00718959388973163,0,0,0,0,0,0,0,0.00106748993187279,0,1.33193630100607e-06,0.000802529064894596,0.218768055172414,0.0302942733443705,0.00135818074687419,0,0.000106630345384121,0,0,0,0,0,0.0011938067873936,9.28322543793104,0.00492629625483612,0.000545652296917406,0,0,0,0.0011262386475113,0.0475444311574881,1.93681855137242,0.000915694053069224,0.0157702059795935,0.102987720354773,1.09133838303139e-05,8.1298622062603e-15,0,42.941,4.58474788014509e-08,1.97897162216251e-05,0,1.9794920282851e-06,0.000300562736303225,0.000286225877007824,8.89141806593518e-07,0.000457380503133065,0.198778811112499,0.0159969954563294,0.325700457892932,0.00215526004484052,0,0.0572436316727378,1.58548628123951e-12,0.00127621847546453,9.31501204290346e-07,0.116620177394636,1.7881749483545e-05,0.122392043678161,0,0.00200793640574153,0.00113375501021353,0.000626087118564912,6.0154027380109e-05,9.94007043989735e-08,0,0
1,0,0.00609515271032046,0.000941311858562604,0.872212026086129,0.096901299656621,0.0630230388913467,7.20912717586965e-06,0.000584606168582375,0.000126924636015326,0.000193017452724496,0.00544539047802318,9.4047656021536e-06,7.19767302954658e-07,0.000182044949481238,5.80918610290783e-06,4.37346100474635e-06,0,1957.34155555556,1.52896451954412e-08,0.000417477624521073,6.42732438216587e-05,3.06894902365572e-05,0.000174050881226054,0.000203312134658915,1.29472699818973e-06,135.043222222222,0.000374378154119699,2.41103795641184e-07,4.39828497126765e-05,2.40478633923018e-05,0.00535766868001695,0,0.000272257049847672,1.21715514057093e-07,0,0,0,1.2633287050157,1.09954301877395,0.00663100091228096,1.1487502460411e-05,1.51701857777778,0.0011478464944349,0.00129495149082645,0.0191894900844434,0.00169752962334655,0.00589432616174432,0.00464713029021022,0.00087667225333892,6.2290197326819e-08,0,0,0.178241570574713,0.00382069537435363,0.00112576810492559,2.06853529857779e-05,0,0.0673406437931034,0.0106243857939063,0,0,0,0,0,0,0,0.00544383927061545,0,7.10535871812297e-06,0.000870568607949639,0.313811745304667,0.0877056677706988,0.00203066671636932,0,0.000438649561849457,0,0,0,0,0,0.000894509004372976,13.3612601754616,0.00548000013992724,0.00184482518173572,0,0,0,0.000577043523490612,0.197454271010413,2.46890864433585,0.00041603144338008,0.0217757584117825,0.114734338450361,8.46354912724362e-05,3.35896840769555e-14,0,43.1264444444445,1.54031425700663e-07,4.90641437947265e-05,0,2.65244612294864e-05,0.00158423818181103,0.000939354719081372,3.87887687143257e-06,0.000713373106876838,0.205606304134464,0.0160172995134164,0.469624902837849,0.00212261003312978,0,0.0581730950045052,5.54716649030013e-12,0.00142303203242274,3.20767976005408e-06,0.127795084807338,1.29496584389668e-05,0.132865125007184,0,0.000507218054508938,0.000513863504038199,0.000169006769909917,0.0001898623107607,3.55924168061439e-07,0,0
1,0,0.00615638917468414,0.00329934123721249,0.972549035542115,0.11731267080143,0.0620202541544839,1.47846293234719e-05,0.000504717662835249,0.000110609655172414,0.000499079593436929,0.00996219754887133,2.10062873964666e-05,1.94974028512392e-07,9.88583006058003e-05,2.07041351344049e-05,1.44918164016913e-05,0,1957.61944444444,2.82471315983448e-08,0.000402453295019157,0.000219950127928369,0.000105867500050269,0.000179848505747126,0.000280405397567688,6.95046904933305e-07,146.609333333333,0.000734297644045719,1.95187266524476e-07,0.000108814395083837,1.27187314304438e-05,0.00507927781142324,0,0.000606695354598356,7.51792789612744e-08,0,0,0,1.33359060355152,1.07292019862069,0.0220495204558362,3.48839394232945e-05,1.6856077,0.00375448733226993,0.00498812734782905,0.0559809398900067,0.0059772260770731,0.00619768810208369,0.0154934792690251,0.00224349443853049,2.27714977240063e-08,0,0,0.163897494061303,0.00151448686002351,0.000799111483653446,4.462230977943e-05,0,0.0809038995785441,0.0105584360656254,0,0,0,0,0,0,0,0.0149313026610696,0,1.37606081762795e-05,0.000401485110445834,0.509400107888883,0.220805152727821,0.00182731749916605,0,0.00107224311117626,0,0,0,0,0,0.000379217844898097,13.7064419504123,0.0054685851074058,0.00501550954542264,0,0,0,0.000765348487467909,1.0233154853138,5.98864719246398,0.000297048701567552,0.0307335499452963,0.129300950091791,0.000447260469880014,1.0497974721276e-13,0,42.7825555555555,4.91537105143301e-07,6.70459847982305e-05,0,0.000136587091140782,0.00468636536083604,0.00174031559811751,4.84091074948692e-06,0.000772744437329982,0.218274675670498,0.0171804164750958,0.671613614206163,0.00153448882848465,0,0.0571831453214785,1.0305044008656e-11,0.00155705572678221,6.62464000477882e-06,0.163864590764064,3.9974332512627e-06,0.150865161709405,0,0.000149658003006141,0.000209674394136952,5.12439628227208e-05,0.000321806762985292,6.97580290759122e-07,0,0
1,0,0.00621602780956468,0.010348359939845,1.06859541111111,0.143246266838831,0.0935795222222222,1.94481843209898e-05,0.000721572222222222,8.34206513409962e-05,0.00050720488387196,0.00725725988271367,1.42183673469388e-05,2.93022009683351e-07,0.000119399190711994,7.16372931905157e-05,4.34867251275577e-05,0,1958.95388888889,3.12593772416437e-08,0.000369876819923372,0.000453064784848303,0.000226322607406922,0.000181071609195402,0.0002590102084597,5.93443390889321e-07,167.094222222222,0.00151882116394408,4.26852828524253e-07,0.000256443403794329,1.62643050534485e-05,0.00573305555555556,0,0.00101691973388772,1.26078113902523e-07,0,0,0,1.78498594444444,1.09244091796935,0.0455999345523255,6.70964879924657e-05,1.85949453333333,0.0119228799090553,0.0167517201723437,0.121452411789869,0.0130489694696269,0.00656082063193725,0.037625640829706,0.00396935026686482,2.63193509776863e-08,0,0,0.1890624248659,0.0018301368720166,0.000523562809623582,6.4806698229038e-05,0,0.0833556151340996,0.0102893779919296,0,0,0,0,0,0,0,0.0318314936482699,0,1.97052383972841e-05,0.000529067590897084,0.678135788888889,0.456970417294956,0.00157750647731988,0,0.00236086377800706,0,0,0,0,0,0.00044355790482741,15.4322028333333,0.00540402154843484,0.0128414933792819,0,0,0,0.000522314403717227,1.57425217552283,6.46701336892161,0.000230325468119569,0.0436637814024876,0.147830039577934,0.000837404805439288,2.39801971966261e-13,0,43.4892222222222,7.57992838682253e-07,0.000101662364193277,0,0.000495658292025353,0.0118032161444295,0.00326837513023535,1.25291657798117e-05,0.000855027490147173,0.230713491417624,0.0204456634099617,0.938594292466211,0.00160833463824876,0,0.0553902033625901,2.07154112231137e-11,0.00172359399812477,1.21935353498253e-05,0.186579455555556,5.71958590505099e-06,0.218796888888889,0,0.000162540547267397,0.000239458626310198,4.96721579078227e-05,0.000556137533866229,1.46562958254469e-06,0,0
1,0,0.00623700878502909,0.0217000348540112,1.22347826015326,0.173958867083462,0.0941340804597701,1.39767434283639e-05,0.000694362567049808,3.11606130268199e-05,0.000565866913543046,0.00166087451834086,7.49999999999994e-07,1.04680157447881e-07,6.97432016771911e-05,0.000120563030787028,0.000108665789444601,0,1958.70488888889,3.12612805221091e-08,0.000384420536398467,0.000773727506303642,0.000404515993686723,0.000164170038314176,0.000190079458344177,2.32552964202999e-07,165.920555555556,0.00203732835108794,2.778919286476e-07,0.000478679326637702,9.46380972347541e-06,0.00597604406130268,0,0.0013015855881601,5.74518023528423e-08,0,0,0,1.8134403045977,1.14844857279693,0.0605676977732454,0.000109317207045148,2.20819623333333,0.0255081133648103,0.0351429461099083,0.229190872018569,0.0258597141311422,0.00659656465707164,0.067724456151239,0.00558440076991697,1.35083019111081e-08,0,0,0.216945109616858,0.000868273574287575,0.000178119227505869,7.17895292341741e-05,0,0.123577683295019,0.00769829525652912,0,0,0,0,0,0,0,0.0501989122456892,0,2.09816257244525e-05,0.000264007914039581,0.95190893908046,0.73695061112952,0.00125856230002406,0,0.00394398165118172,0,0,0,0,0,0.000233780312978271,12.3131948984674,0.00524191776336262,0.023173302783009,0,0,0,0.000707195027540312,4.10493449464719,12.5199893609084,0.000183831345001522,0.0584054566171628,0.168570608977954,0.000868207440929998,4.27296154892109e-13,0,41.8297777777778,1.63397946474265e-06,9.33956772891999e-05,0,0.00112354017528687,0.0173815591915479,0.00376657529384998,8.96844574301588e-06,0.000880023280584083,0.250074558467433,0.0220928568582376,1.26770685286147,0.00128199739096624,0,0.0534510275904547,2.49417411726634e-11,0.0018738774696005,1.775621651613e-05,0.239008059003831,1.84750864159151e-06,0.200234419923372,0,8.07402790623837e-05,0.000110521202111571,2.19050096911188e-05,0.000557732578627844,1.81831031904082e-06,0,0
1,0,0.00628692450626181,0.0495463320442161,1.26970831343289,0.2142526770514,0.0851106501551749,2.42635609569254e-05,0.000673836513409962,5.69333716475096e-05,0.000624914044184051,0.00627097658889847,1.64053631813502e-05,1.93058850083667e-07,0.000126741177191093,0.000254917736574115,0.000240859702506154,0,1958.62022222222,4.01608480467581e-08,0.00040336214559387,0.00122245309953498,0.000682775723227348,0.000143748429118774,0.000169427992341361,3.63268831210819e-07,165.642555555556,0.00281664166700169,7.38634285411467e-07,0.000895792435255505,1.81641454305664e-05,0.00742533905042219,0,0.00162636588151992,1.46828075562677e-07,0,0,0,2.61483308126824,1.15779886137931,0.0939956911604411,0.000173364108254693,2.58841621111111,0.0560466710126532,0.0825175172861234,0.388037253073088,0.0422780379968981,0.00687663962578953,0.11041956486207,0.00775263594895509,3.03938508225643e-08,0,0,0.228515242413793,0.00182805750417001,0.000267492246608619,6.95046435237061e-05,0,0.116860537049808,0.00761928167653282,0,0,0,0,0,0,0,0.0807518484351357,0,2.193300207431e-05,0.000571891728339278,1.01968034304839,1.1619293019185,0.00100981422597235,0,0.00740675917496576,0,0,0,0,0,0.000446879685367035,11.6162964249838,0.00505658861627634,0.0447054658629814,0,0,0,0.000448756080392898,3.40399130775719,9.40985931115217,0.00017736306547068,0.0814458312669299,0.201592250148107,0.00162914065475484,7.14325143742133e-13,0,43.6773333333333,1.54763602944336e-06,0.000157049174317438,0,0.00251744171347951,0.032974320949056,0.00477018598671415,2.80251733661947e-05,0.000969290559585573,0.272792740344828,0.0242075469731801,1.71085607194832,0.00175748726164303,0,0.0505453705105238,5.45268248922658e-11,0.00214077486673573,2.80163608726925e-05,0.248911580664895,3.88222634426876e-06,0.207557961835906,0,0.000186494049519657,0.000232579328598706,4.3268718580392e-05,0.000668391074331646,4.10090198355548e-06,0,0
1,0,0.00651157509839407,0.109936342513585,1.56554772660207,0.305609166996283,0.0861270174498656,2.51213766499899e-05,0.000681735845921787,6.82948152805882e-05,0.000475267323633712,0.00372162320141057,1.14836903391935e-05,4.00170554158228e-07,0.000291184012295057,0.000492712980559575,0.000516371924798383,0,1960.91633333333,5.08123938715317e-08,0.000450604666650931,0.00168142633560102,0.00105293296937674,0.000141249276541281,0.000171024527764796,6.11566023898375e-07,179.830777777778,0.00384926825838478,1.93143750824948e-06,0.00181037239065112,4.42840905105294e-05,0.00875182089862724,0,0.00201938717722999,3.75368563547127e-07,0,0,0,2.37611601753682,1.29629245213828,0.104011618238853,0.000279099515343026,3.35360171111111,0.121270200498328,0.183724343626856,0.633858330780253,0.0657417630458562,0.00820330518309507,0.159122624417436,0.0107648680437149,6.67861520604882e-08,0,0,0.332183218696269,0.00369865086100762,0.000228159725691307,6.48582772906148e-05,0,0.11431161942307,0.00947290583032277,0,0,0,0,0,0,0,0.100796464068648,0,2.33140269832109e-05,0.000822079661762775,0.727401510758543,1.43848435747576,0.000992463589728808,0,0.0153483490958427,0,0,0,0,0,0.00101573785704581,10.9339443919254,0.00514556712467698,0.0833329853371547,0,0,0,0.000325937301191206,2.80230457061501,7.83262880531625,0.000199445164357676,0.126455815740619,0.27090203315726,0.00226408484830658,1.13450441701609e-12,0,47.6968888888889,1.58278137337363e-06,0.000261931066525452,0,0.0049891775993381,0.057260765640418,0.00628341536653526,7.37318287715195e-05,0.00138380955592777,0.363916226076621,0.0355100437437199,2.59100092737539,0.00225138539423531,0,0.0470581137883538,1.28459942901608e-10,0.00262987395982223,4.80560868780735e-05,0.374492800129998,8.05182541833408e-06,0.212661783368893,0,0.000471953384597553,0.00047250732855494,0.000103754591736794,0.000842605336067008,1.028784392323e-05,0,0
1,0,0.00903815485726482,0.239401050939545,1.47274924444444,0.352258976432461,0.0614567222222222,4.7117500956643e-05,0.00116307227918094,0.000850232562561564,0.000463543245145889,0.00120775500133204,6.56201749703684e-06,1.18033206984418e-06,0.00106625979619716,0.000932587340527837,0.00106500420172458,0,1961.46377777778,2.46527894863863e-07,0.000550523547312537,0.00366337635735247,0.00252321762332401,0.000151333375824382,0.000698258151904542,6.44028582221941e-06,181.758666666667,0.00476189439928811,8.21981739953488e-06,0.00406971609467632,0.000160635210317915,0.00858008888888889,0,0.00430269188574293,3.33175940712545e-06,0,0,0,2.37340083333333,1.67643576170839,0.116280325252349,0.000649731884082126,3.96800077777778,0.249107343102166,0.381112884109994,0.967298186928999,0.0941551631030573,0.0247091079743669,0.201866859398058,0.0250748586839066,2.28636242363941e-07,0,0,0.483491712019981,0.0129398346112358,0.000322817787224037,0.000110328969243843,0,0.116609659228442,0.0208440493100899,0,0,0,0,0,0,0,0.101589654002162,0,6.46269672984759e-05,0.00203279824286402,0.446949233333333,1.39835842741688,0.00331671320190112,0,0.037672604792596,0,0,0,0,0,0.00386371102627108,10.3058052666667,0.0110960167301255,0.144301468600702,0,0,0,0.000176671229492736,1.41378482190988,4.55255562253456,0.000244629029848971,0.179617851580147,0.381596116266299,0.00268504011398407,1.71075614967438e-12,0,53.2783728221067,1.25477189853411e-06,0.000545865818980631,0,0.00824616868005497,0.093739088039583,0.0079209621371426,0.000288946333552537,0.00663350752386113,0.511911359580932,0.0522318807520641,3.51602702127233,0.00340600073447042,0,0.0505752296524433,3.41417016916156e-10,0.00354414235835855,0.00010030119350985,0.228318333333333,2.98699385726209e-05,0.193299266666667,0,0.00157077697506763,0.00136394404740599,0.000264362826080235,0.000995080509410647,2.93957701429015e-05,0,0
