170,1.14e-17
171,1.29e-17
172,1.48e-17
173,1.75e-17
174,2.07e-17
175,2.2e-17
176,2.05e-17
177,1.78e-17
178,1.51e-17
179,1.35e-17
180,1.34e-17
181,1.48e-17
182,1.7e-17
183,2.01e-17
184,2.39e-17
185,2.74e-17
186,3.02e-17
187,3.24e-17
188,3.37e-17
189,3.31e-17
190,3.03e-17
191,2.6e-17
192,2.15e-17
193,1.76e-17
194,1.51e-17
195,1.42e-17
196,1.41e-17
197,1.41e-17
198,1.41e-17
199,1.44e-17
200,1.48e-17
201,1.46e-17
202,1.37e-17
203,1.23e-17
204,1.1e-17
205,9.84e-18
206,9.35e-18
207,9.63e-18
208,1.05e-17
209,1.14e-17
210,1.23e-17
211,1.3e-17
212,1.36e-17
213,1.39e-17
214,1.36e-17
215,1.29e-17
216,1.19e-17
217,1.08e-17
218,9.82e-18
219,9.39e-18
220,9.61e-18
221,1.04e-17
222,1.13e-17
223,1.21e-17
224,1.28e-17
225,1.36e-17
226,1.45e-17
227,1.54e-17
228,1.62e-17
229,1.63e-17
230,1.56e-17
231,1.41e-17
232,1.23e-17
233,1.07e-17
234,9.77e-18
235,9.46e-18
236,9.56e-18
237,9.76e-18
238,9.87e-18
239,9.82e-18
240,9.63e-18
241,9.32e-18
242,8.87e-18
243,8.22e-18
244,7.35e-18
245,6.32e-18
246,5.28e-18
247,4.39e-18
248,3.76e-18
249,3.44e-18
250,3.35e-18
251,3.39e-18
252,3.45e-18
253,3.45e-18
254,3.33e-18
255,3.11e-18
256,2.84e-18
257,2.59e-18
258,2.4e-18
259,2.27e-18
260,2.18e-18
261,2.12e-18
262,2.05e-18
263,1.96e-18
264,1.85e-18
265,1.72e-18
266,1.58e-18
267,1.45e-18
268,1.32e-18
269,1.2e-18
270,1.1e-18
271,1e-18
272,9.19e-19
273,8.44e-19
274,7.74e-19
275,7.07e-19
276,6.42e-19
277,5.78e-19
278,5.16e-19
279,4.58e-19
280,4.08e-19
281,3.65e-19
282,3.31e-19
283,3.06e-19
284,2.87e-19
285,2.72e-19
286,2.58e-19
287,2.45e-19
288,2.3e-19
289,2.14e-19
290,1.98e-19
291,1.83e-19
292,1.68e-19
293,1.54e-19
294,1.43e-19
295,1.32e-19
296,1.24e-19
297,1.17e-19
298,1.11e-19
299,1.05e-19
300,1e-19
301,9.58e-20
302,9.11e-20
303,8.63e-20
304,8.14e-20
305,7.66e-20
306,7.24e-20
307,6.93e-20
308,6.83e-20
309,7.06e-20
310,7.78e-20
311,9.13e-20
312,1.12e-19
313,1.4e-19
314,1.75e-19
315,2.12e-19
316,2.49e-19
317,2.81e-19
318,3.07e-19
319,3.28e-19
320,3.5e-19
321,3.83e-19
322,4.42e-19
323,5.4e-19
324,6.93e-19
325,9.12e-19
326,1.2e-18
327,1.58e-18
328,2.03e-18
329,2.56e-18
330,3.16e-18
331,3.85e-18
