170,2.63e-17
171,2.39e-17
172,1.96e-17
173,1.55e-17
174,1.35e-17
175,1.17e-17
176,9.86e-18
177,8.78e-18
178,8.94e-18
179,9.71e-18
180,9.86e-18
181,8.8e-18
182,7.16e-18
183,6.24e-18
184,6.78e-18
185,8.31e-18
186,9.9e-18
187,1.12e-17
188,1.26e-17
189,1.41e-17
190,1.55e-17
191,1.63e-17
192,1.63e-17
193,1.54e-17
194,1.39e-17
195,1.21e-17
196,9.93e-18
197,7.94e-18
198,6.67e-18
199,6.08e-18
200,5.65e-18
201,5.07e-18
202,4.42e-18
203,3.92e-18
204,3.54e-18
205,3.19e-18
206,2.9e-18
207,2.7e-18
208,2.54e-18
209,2.37e-18
210,2.19e-18
211,2.09e-18
212,2.08e-18
213,2.12e-18
214,2.18e-18
215,2.26e-18
216,2.4e-18
217,2.6e-18
218,2.84e-18
219,3.07e-18
220,3.26e-18
221,3.44e-18
222,3.61e-18
223,3.73e-18
224,3.73e-18
225,3.53e-18
226,3.2e-18
227,2.86e-18
228,2.58e-18
229,2.34e-18
230,2.09e-18
231,1.82e-18
232,1.53e-18
233,1.27e-18
234,1.05e-18
235,8.81e-19
236,7.7e-19
237,7.06e-19
238,6.67e-19
239,6.28e-19
240,5.77e-19
241,5.32e-19
242,5.45e-19
243,6.91e-19
244,1.04e-18
245,1.64e-18
246,2.57e-18
247,4.02e-18
248,6.38e-18
249,1.02e-17
250,1.59e-17
251,2.38e-17
252,3.33e-17
253,4.29e-17
254,5.08e-17
255,5.51e-17
256,5.46e-17
257,4.94e-17
258,4.08e-17
259,3.07e-17
260,2.11e-17
261,1.33e-17
262,7.72e-18
263,4.27e-18
264,2.39e-18
265,1.52e-18
266,1.22e-18
267,1.24e-18
268,1.52e-18
269,2.06e-18
270,2.96e-18
271,4.29e-18
272,6.18e-18
273,8.75e-18
274,1.21e-17
275,1.62e-17
276,2.11e-17
277,2.65e-17
278,3.2e-17
279,3.72e-17
280,4.15e-17
281,4.43e-17
282,4.52e-17
283,4.39e-17
284,4.06e-17
285,3.58e-17
286,3e-17
287,2.4e-17
288,1.83e-17
289,1.33e-17
290,9.24e-18
291,6.16e-18
292,3.94e-18
293,2.42e-18
294,1.44e-18
295,8.21e-19
296,4.51e-19
297,2.39e-19
298,1.23e-19
299,6.29e-20
300,3.71e-20
