170,2.84e-17
171,2.42e-17
172,2.56e-17
173,2.77e-17
174,2.72e-17
175,2.44e-17
176,1.95e-17
177,1.63e-17
178,1.57e-17
179,1.85e-17
180,2.03e-17
181,2.14e-17
182,2.51e-17
183,2.96e-17
184,2.82e-17
185,2.64e-17
186,2.83e-17
187,2.79e-17
188,2.82e-17
189,2.29e-17
190,2.34e-17
191,2.12e-17
192,1.65e-17
193,1.43e-17
194,1.34e-17
195,1.21e-17
196,1.2e-17
197,1.14e-17
198,1.03e-17
199,8.84e-18
200,7.1e-18
201,7.23e-18
202,8.19e-18
203,8.8e-18
204,9.35e-18
205,1.05e-17
206,1.02e-17
207,7.89e-18
208,6e-18
209,5.06e-18
210,5.54e-18
211,6.19e-18
212,7.15e-18
213,8.72e-18
214,1.05e-17
215,1.17e-17
216,1.08e-17
217,9.77e-18
218,1e-17
219,1.13e-17
220,1.11e-17
221,1.05e-17
222,1.17e-17
223,1.21e-17
224,1.09e-17
225,9.09e-18
226,9.64e-18
227,1.3e-17
228,1.64e-17
229,1.45e-17
230,9.05e-18
231,4.61e-18
232,2.56e-18
233,2.89e-18
234,4.39e-18
235,5.33e-18
236,5.8e-18
237,6.29e-18
238,5.92e-18
239,4.53e-18
240,3.06e-18
241,2.17e-18
242,1.8e-18
243,1.79e-18
244,1.9e-18
245,1.91e-18
246,1.85e-18
247,1.89e-18
248,2.08e-18
249,2.36e-18
250,2.48e-18
251,2.43e-18
252,2.38e-18
253,2.43e-18
254,2.57e-18
255,2.77e-18
256,2.98e-18
257,3.16e-18
258,3.26e-18
259,3.17e-18
260,2.89e-18
261,2.59e-18
262,2.39e-18
263,2.2e-18
264,1.95e-18
265,1.73e-18
266,1.65e-18
267,1.65e-18
268,1.62e-18
269,1.55e-18
270,1.44e-18
271,1.27e-18
272,1.09e-18
273,9.46e-19
274,8.57e-19
275,8.14e-19
276,8.31e-19
277,8.98e-19
278,9.35e-19
279,8.7e-19
280,7.27e-19
281,5.86e-19
282,5.15e-19
283,5.38e-19
284,6.21e-19
285,7.33e-19
286,9.57e-19
287,1.49e-18
288,2.39e-18
289,3.36e-18
290,3.89e-18
291,3.92e-18
292,3.97e-18
293,4.58e-18
294,5.74e-18
295,6.89e-18
296,7.38e-18
297,7.29e-18
298,7.58e-18
299,9.28e-18
300,1.25e-17
301,1.62e-17
302,1.86e-17
303,1.9e-17
304,1.83e-17
305,1.77e-17
306,1.8e-17
307,1.87e-17
308,1.93e-17
309,1.93e-17
310,1.86e-17
311,1.74e-17
312,1.61e-17
313,1.52e-17
314,1.45e-17
315,1.38e-17
316,1.3e-17
317,1.24e-17
318,1.2e-17
319,1.16e-17
320,1.07e-17
321,9.23e-18
322,7.48e-18
323,6.15e-18
324,5.73e-18
325,6.24e-18
326,7.15e-18
327,7.74e-18
328,7.6e-18
329,6.79e-18
330,5.61e-18
331,4.32e-18
332,3.1e-18
333,2.09e-18
334,1.4e-18
335,1.01e-18
336,8.49e-19
337,8.06e-19
338,8.06e-19
339,7.83e-19
340,6.93e-19
341,5.36e-19
342,3.56e-19
343,2.03e-19
344,1.05e-19
345,6.31e-20
346,6.17e-20
347,8.35e-20
348,1.11e-19
349,1.29e-19
350,1.29e-19
351,1.1e-19
352,8.11e-20
353,5.34e-20
354,3.32e-20
355,2.17e-20
356,1.63e-20
357,1.42e-20
358,1.35e-20
359,1.34e-20
360,1.38e-20
361,1.46e-20
362,1.57e-20
363,1.69e-20
364,1.82e-20
365,1.98e-20
366,2.21e-20
367,2.5e-20
368,2.85e-20
369,3.21e-20
370,3.55e-20
371,3.84e-20
372,4.09e-20
373,4.29e-20
374,4.43e-20
375,4.52e-20
376,4.58e-20
377,4.65e-20
378,4.78e-20
379,5.03e-20
380,5.37e-20
381,5.76e-20
382,6.13e-20
383,6.4e-20
384,6.5e-20
385,6.44e-20
386,6.25e-20
387,6e-20
388,5.77e-20
389,5.59e-20
390,5.48e-20
391,5.4e-20
392,5.32e-20
393,5.2e-20
394,5.01e-20
395,4.78e-20
396,4.53e-20
397,4.31e-20
398,4.15e-20
399,4.07e-20
400,4.07e-20
401,4.13e-20
402,4.19e-20
403,4.2e-20
404,4.15e-20
405,4.06e-20
406,3.95e-20
407,3.86e-20
408,3.8e-20
409,3.74e-20
410,3.65e-20
411,3.5e-20
412,3.29e-20
413,3.05e-20
414,2.82e-20
415,2.63e-20
416,2.49e-20
417,2.4e-20
418,2.31e-20
419,2.21e-20
420,2.07e-20
421,1.89e-20
422,1.67e-20
423,1.43e-20
424,1.2e-20
425,9.97e-21
426,8.28e-21
427,7.01e-21
428,6.15e-21
429,5.65e-21
430,5.42e-21
431,5.37e-21
432,5.39e-21
433,5.41e-21
434,5.36e-21
435,5.22e-21
436,5e-21
437,4.71e-21
438,4.39e-21
439,4.09e-21
440,3.83e-21
441,3.64e-21
442,3.52e-21
443,3.46e-21
444,3.45e-21
445,3.48e-21
446,3.52e-21
447,3.57e-21
448,3.64e-21
449,3.7e-21
450,3.77e-21
451,3.84e-21
452,3.9e-21
453,3.95e-21
454,3.99e-21
455,4.02e-21
456,4.05e-21
457,4.08e-21
458,4.1e-21
459,4.11e-21
460,4.1e-21
461,4.07e-21
462,4.01e-21
463,3.92e-21
464,3.82e-21
465,3.7e-21
466,3.59e-21
467,3.5e-21
468,3.43e-21
469,3.4e-21
470,3.41e-21
471,3.46e-21
472,3.53e-21
473,3.61e-21
474,3.65e-21
475,3.66e-21
476,3.6e-21
477,3.48e-21
478,3.3e-21
479,3.09e-21
480,2.85e-21
481,2.62e-21
482,2.4e-21
483,2.21e-21
484,2.06e-21
485,1.94e-21
486,1.86e-21
487,1.79e-21
488,1.75e-21
489,1.73e-21
490,1.71e-21
491,1.7e-21
492,1.69e-21
493,1.66e-21
494,1.63e-21
495,1.58e-21
496,1.52e-21
497,1.44e-21
498,1.35e-21
499,1.25e-21
500,1.16e-21
501,1.07e-21
502,9.91e-22
503,9.22e-22
504,8.64e-22
505,8.2e-22
506,7.87e-22
507,7.67e-22
508,7.6e-22
509,7.66e-22
510,7.85e-22
511,8.14e-22
512,8.52e-22
513,8.93e-22
514,9.32e-22
515,9.65e-22
516,9.85e-22
517,9.9e-22
518,9.79e-22
519,9.52e-22
520,9.14e-22
521,8.68e-22
522,8.2e-22
523,7.75e-22
524,7.37e-22
525,7.09e-22
526,6.92e-22
527,6.84e-22
528,6.84e-22
529,6.89e-22
530,6.94e-22
531,6.97e-22
532,6.94e-22
533,6.82e-22
534,6.6e-22
535,6.27e-22
536,5.84e-22
537,5.33e-22
538,4.74e-22
539,4.13e-22
540,3.51e-22
541,2.91e-22
542,2.35e-22
543,1.86e-22
544,1.43e-22
545,1.07e-22
546,7.82e-23
547,5.58e-23
548,3.88e-23
549,2.63e-23
550,1.74e-23
551,1.12e-23
552,7.07e-24
553,4.35e-24
554,2.61e-24
555,1.53e-24
556,8.78e-25
557,4.96e-25
558,2.81e-25
559,1.69e-25
560,1.25e-25
561,1.32e-25
562,1.91e-25
563,3.15e-25
564,5.35e-25
565,8.99e-25
566,1.48e-24
567,2.37e-24
568,3.71e-24
569,5.66e-24
570,8.42e-24
571,1.22e-23
572,1.73e-23
573,2.39e-23
574,3.23e-23
575,4.26e-23
576,5.49e-23
577,6.92e-23
578,8.51e-23
579,1.02e-22
580,1.2e-22
581,1.38e-22
582,1.56e-22
583,1.71e-22
584,1.85e-22
585,1.95e-22
586,2.01e-22
587,2.03e-22
588,2.01e-22
589,1.95e-22
590,1.85e-22
591,1.73e-22
592,1.58e-22
593,1.41e-22
594,1.24e-22
595,1.07e-22
596,9.04e-23
597,7.5e-23
598,6.1e-23
599,4.88e-23
600,3.83e-23
