Time [sec]	Time (UTC)	P [mB]	T [°F]	Hu [%]	Ws [mi/h]	Wd [°]	Ws U [mi/h]	Ws V [mi/h]	Geopot [m]	Dew [°F]
0         	17:00:01  	872.7 	24.4  	43    	2.6      	113   	-2.4       	1.0        	1288      	11.0
2         	17:00:03  	871.2 	25.2  	41    	5.6      	157   	-2.2       	5.2        	1305      	11.1
4         	17:00:05  	869.8 	25.2  	43    	5.6      	157   	-2.2       	5.2        	1318      	11.6
6         	17:00:07  	868.4 	25.2  	44    	5.4      	160   	-1.9       	5.1        	1332      	12.2
8         	17:00:09  	867.1 	24.9  	44    	3.4      	195   	0.9        	3.3        	1345      	11.9
10        	17:00:11  	865.9 	24.7  	45    	3.4      	195   	0.9        	3.3        	1357      	11.8
12        	17:00:13  	864.6 	24.4  	45    	3.4      	195   	0.9        	3.3        	1370      	11.7
14        	17:00:15  	863.5 	24.3  	45    	3.4      	195   	0.9        	3.3        	1381      	11.5
16        	17:00:17  	862.5 	24.2  	45    	3.4      	195   	0.9        	3.3        	1392      	11.4
18        	17:00:19  	861.4 	24.1  	45    	3.4      	195   	0.9        	3.3        	1402      	11.3
20        	17:00:21  	860.4 	23.9  	45    	2.4      	199   	0.8        	2.3        	1412      	11.3
22        	17:00:23  	859.4 	23.7  	45    	1.9      	201   	0.7        	1.8        	1422      	11.2
24        	17:00:25  	858.4 	23.6  	46    	1.7      	205   	0.7        	1.5        	1432      	11.3
26        	17:00:27  	857.5 	23.5  	46    	1.5      	208   	0.7        	1.3        	1442      	11.3
28        	17:00:29  	856.5 	23.3  	47    	1.4      	210   	0.7        	1.2        	1452      	11.2
30        	17:00:31  	855.5 	23.2  	47    	0.8      	230   	0.6        	0.5        	1462      	11.2
32        	17:00:33  	854.5 	23.1  	47    	1.6      	256   	1.6        	0.4        	1472      	11.3
34        	17:00:35  	853.6 	23.0  	47    	2.3      	260   	2.3        	0.4        	1482      	11.3
36        	17:00:37  	852.7 	22.9  	48    	2.6      	261   	2.6        	0.4        	1491      	11.2
38        	17:00:39  	851.6 	22.8  	48    	2.8      	262   	2.8        	0.4        	1503      	11.2
40        	17:00:41  	850.5 	22.8  	48    	2.9      	264   	2.9        	0.3        	1514      	11.2
42        	17:00:43  	849.4 	22.6  	48    	3.0      	264   	3.0        	0.3        	1525      	11.1
44        	17:00:45  	848.2 	22.5  	48    	3.1      	261   	3.1        	0.5        	1537      	11.1
46        	17:00:47  	847.1 	22.4  	49    	3.0      	255   	2.9        	0.8        	1548      	11.1
48        	17:00:49  	846.0 	22.3  	49    	3.4      	251   	3.2        	1.1        	1559      	11.1
50        	17:00:51  	844.9 	22.2  	49    	3.8      	248   	3.5        	1.4        	1570      	11.1
52        	17:00:53  	843.9 	22.2  	49    	4.1      	244   	3.7        	1.8        	1581      	11.1
54        	17:00:55  	842.8 	22.1  	50    	4.3      	240   	3.7        	2.1        	1592      	11.1
56        	17:00:57  	841.6 	21.9  	50    	4.4      	237   	3.7        	2.4        	1604      	11.1
58        	17:00:59  	840.4 	21.8  	50    	4.6      	231   	3.6        	2.9        	1616      	11.0
60        	17:01:01  	839.2 	21.7  	51    	4.7      	226   	3.4        	3.3        	1629      	11.0
62        	17:01:03  	837.9 	21.5  	51    	5.0      	220   	3.2        	3.8        	1643      	11.0
64        	17:01:05  	836.6 	21.4  	51    	5.1      	217   	3.1        	4.1        	1657      	10.9
66        	17:01:07  	835.3 	21.3  	51    	5.1      	215   	2.9        	4.2        	1671      	10.9
68        	17:01:09  	834.0 	21.2  	52    	5.2      	212   	2.7        	4.4        	1684      	10.9
70        	17:01:11  	832.7 	21.0  	52    	5.2      	210   	2.6        	4.5        	1697      	10.8
