Time [sec]	Time (UTC)	P [mB]	T [°F]	Hu [%]	Ws [mi/h]	Wd [°]	Ws U [mi/h]	Ws V [mi/h]	Geopot [m]	Dew [°F]
0         	17:01:30  	877.0 	22.2  	35    	13.9     	120   	-12.0      	7.0        	1288      	6.1
2         	17:01:32  	872.2 	18.9  	32    	1.8      	016   	-0.5       	-1.7       	1336      	1.7
4         	17:01:34  	867.4 	19.0  	30    	1.8      	016   	-0.5       	-1.7       	1384      	1.1
6         	17:01:36  	862.5 	19.3  	30    	1.8      	016   	-0.5       	-1.7       	1432      	1.3
8         	17:01:38  	857.8 	19.4  	30    	1.8      	016   	-0.5       	-1.7       	1480      	1.3
10        	17:01:40  	853.0 	19.3  	29    	1.8      	016   	-0.5       	-1.7       	1528      	1.1
12        	17:01:42  	848.2 	19.3  	29    	1.3      	032   	-0.7       	-1.1       	1576      	1.0
14        	17:01:44  	843.5 	19.2  	29    	0.9      	077   	-0.9       	-0.2       	1624      	1.0
16        	17:01:46  	838.8 	19.1  	29    	3.0      	147   	-1.6       	2.5        	1672      	0.8
18        	17:01:48  	834.1 	19.0  	29    	3.0      	147   	-1.6       	2.5        	1720      	0.7
20        	17:01:50  	831.5 	18.9  	29    	3.0      	147   	-1.6       	2.5        	1768      	0.5
22        	17:01:52  	828.8 	18.8  	29    	3.0      	147   	-1.6       	2.5        	1788      	0.4
24        	17:01:54  	826.2 	18.6  	29    	3.2      	150   	-1.6       	2.8        	1801      	0.2
26        	17:01:56  	825.2 	18.6  	29    	3.4      	152   	-1.6       	3.0        	1812      	0.0
28        	17:01:58  	824.1 	18.5  	29    	3.5      	153   	-1.6       	3.1        	1823      	-0.0
30        	17:02:00  	823.0 	18.5  	29    	4.1      	157   	-1.6       	3.8        	1834      	-0.0
32        	17:02:02  	822.0 	18.5  	29    	4.1      	157   	-1.6       	3.8        	1845      	-0.1
34        	17:02:04  	821.0 	18.4  	29    	4.1      	157   	-1.6       	3.8        	1856      	-0.2
36        	17:02:06  	819.9 	18.2  	29    	4.6      	161   	-1.5       	4.3        	1866      	-0.3
38        	17:02:08  	819.0 	18.1  	29    	5.0      	165   	-1.3       	4.8        	1876      	-0.3
40        	17:02:10  	818.1 	18.0  	29    	5.2      	167   	-1.2       	5.1        	1886      	-0.4
42        	17:02:12  	817.1 	17.9  	29    	5.4      	168   	-1.1       	5.3        	1896      	-0.4
