time_local,nDodecane,Ethane_WAS,Ethene_WAS,Propane_WAS,Propene_WAS,Ethyne_WAS,nButane_WAS,iButane_WAS,t2Butene_WAS,c2Butene_WAS,x13_Butadiene_WAS,nPentane_WAS,iPentane_WAS,x1_Pentene_WAS,t2Pentene_WAS,c2Pentene_WAS,x3_MethylPentane_WAS,nHexane_WAS,nHeptane_WAS,nOctane_WAS,nNonane_WAS,nDecane_WAS,CycloPentane_WAS,Isoprene_WAS,x22_DiMethylButane_WAS,Hex1ene,x24_Dimethylpentane,Cyclohexane,x3_Methylhexane,x224_TriMethylPentane_WAS,x234_Trimethylpentane,x3_Methylheptane,MethylCycloHexane_WAS,MethylCycloPentane_WAS,x2_Methylhexane,x1_Butene_WAS,x23_Dimethylbutane,x2_MethylPentane_WAS,x23_Dimethylpentane,nUndecane,x2_Methylheptane,m_p_Xylene_WAS,Benzene_PTR,Toluene_PTR,Ethyl_WAS,o_Xylene_WAS,x135_TriMethylBenzene_WAS,x124_TriMethylBenzene_WAS,nPropylBenzene_WAS,iPropylBenzene_WAS,x2_EthylToluene_WAS,x3_x4_EthylToluene_WAS,mDiethylbenzene,pDiethylbenzene,Styrene_PTR,x123_TriMethylBenzene_WAS
2024-07-15 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.448286421413771,4.373428378149628,,,,,,,,,,,0.4385581585914086,
2024-07-15 00:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8028726222222222,1.7183952,,,,,,,,,,,0.1044575111111111,
2024-07-15 00:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4721553777777778,1.485473288888889,,,,,,,,,,,0.0887823111111111,
2024-07-15 00:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6246847111111111,1.9348552,,,,,,,,,,,0.1390299555555555,
2024-07-15 01:00:00+00:00,,1.1654817170366012,0.2218879579333256,1.2268234002093936,0.1370035858517152,0.1311429006297759,0.5955578209938767,0.3735283743540332,0.0225427884167203,0.0368065057067451,0.0085382796940388,0.5863686008284694,0.8627488448269336,0.0401566395294561,0.0601704050900894,0.0392846301161742,0.1303100165213013,0.235359708535816,0.1104498216095741,0.0730435007168524,,,0.0436850096441615,0.4859774308799431,0.0221116902377961,0.0339666666666666,0.0398285714285714,0.0278666666666666,0.1071285714285714,0.1241044444426758,0.075875,0.0285375,0.0888333535730088,0.117785177813821,0.0958428571428571,0.0282032177074253,0.0723333333333333,0.1515432402004979,0.0984714285714285,,,,0.1856022507936508,0.5309457523809524,,,,,,,,,,,0.0537136158730158,
2024-07-15 01:15:00+00:00,,1.3109543591399035,0.29950230099991776,2.0102522590983214,0.15048440103607952,0.16042946508926012,0.7088613675759513,0.36659819482201417,0.022992405012525325,0.04042714107733403,0.0122163574720086,0.6557703197969079,0.963463587591828,0.047191187427093675,0.075412022036598,0.04717646523292473,0.14928101836606927,0.26997366809761614,0.1263518982965364,0.08199469758232825,,,0.05236039825928983,0.7871442146800947,0.022717516855273574,0.034841666666666604,0.05096428571428568,0.0434541666666666,0.12222857142857141,0.1311654037224406,0.07919999999999999,0.036725,0.10073983969099637,0.13476873633779163,0.10724642857142853,0.030490658340089204,0.08097916666666663,0.17072408320247714,0.1061571428571428,,,,0.1514777809523809,0.4524562634920635,,,,,,,,,,,0.0459084412698412,
2024-07-15 01:30:00+00:00,,1.4564270012432057,0.3771166440665099,2.7936811179872487,0.1639652162204438,0.18971602954874434,0.8221649141580258,0.35966801528999515,0.02344202160833035,0.04404777644792295,0.0158944352499784,0.7251720387653464,1.0641783303567225,0.054225735324731246,0.0906536389831066,0.05506830034967525,0.1682520202108372,0.30458762765941627,0.1422539749834987,0.0909458944478041,,,0.06103578687441815,1.0883109984802462,0.02332334347275105,0.035716666666666605,0.06209999999999995,0.0590416666666666,0.1373285714285714,0.1382263630022054,0.082525,0.0449125,0.11264632580898395,0.15175229486176225,0.11864999999999995,0.032778098972753106,0.08962499999999995,0.1899049262044564,0.11384285714285709,,,,0.2079043555555555,0.6263521777777777,,,,,,,,,,,0.0581695111111111,
2024-07-15 01:45:00+00:00,,1.601899643346508,0.45473098713310206,3.577109976876177,0.17744603140480808,0.21900259400822858,0.9354684607401005,0.3527378357579761,0.023891638204135375,0.04766841181851188,0.0195725130279482,0.794573757733785,1.1648930731216167,0.061260283222368817,0.10589525592961521,0.06296013546642577,0.18722302205560515,0.33920158722121646,0.15815605167046098,0.09989709131327995,,,0.06971117548954647,1.3894777822803979,0.023929170090228526,0.0365916666666666,0.07323571428571422,0.07462916666666661,0.1524285714285714,0.1452873222819702,0.08585000000000001,0.0531,0.12455281192697151,0.16873585338573288,0.13005357142857138,0.035065539605417,0.09827083333333328,0.20908576920643565,0.1215285714285714,,,,0.1549444444444444,0.4703501777777778,,,,,,,,,,,0.0451736,
2024-07-15 02:00:00+00:00,,1.7473722854498104,0.5323453301996942,4.360538835765104,0.1909268465891724,0.2482891584677128,1.0487720073221751,0.3458076562259571,0.0243412547999404,0.0512890471891008,0.023250590805918,0.8639754767022235,1.2656078158865112,0.0682948311200064,0.1211368728761238,0.0708519705831763,0.2061940239003731,0.3738155467830166,0.1740581283574233,0.1088482881787558,,,0.0783865641046748,1.6906445660805494,0.024534996707706,0.0374666666666666,0.0843714285714285,0.0902166666666666,0.1675285714285714,0.152348281561735,0.089175,0.0612875,0.1364592980449591,0.1857194119097035,0.1414571428571428,0.0373529802380809,0.1069166666666666,0.2282666122084149,0.1292142857142857,,,,0.0752605713064713,0.2863029465423465,,,,,,,,,,,0.0263062768231768,
2024-07-15 02:15:00+00:00,,1.6437495718768003,0.4539086972872036,3.4170581635639814,0.16913995720700328,0.2182607001411071,0.8969153612219958,0.3046537433845596,0.022853087194106822,0.046379711093387004,0.019618990504862925,0.7593066425109145,1.095681783362071,0.06164064456069792,0.11051209891677778,0.06506983396298285,0.1832675297681333,0.3380640213925752,0.15671805900180563,0.09645620047895036,,,0.06997872031262868,1.8992614040185891,0.02216578190007085,0.03444583333333327,0.06822499999999992,0.0778791666666666,0.15307499999999996,0.1400711380330576,0.08320625000000001,0.0508875,0.12110346341809555,0.16876244097082868,0.12929999999999997,0.03207770998425015,0.0957541666666666,0.20407191604991773,0.11623571428571428,,,,0.1165550828042328,0.4076140788359788,,,,,,,,,,,0.0313948716931216,
2024-07-15 02:30:00+00:00,,1.5401268583037904,0.37547206437471303,2.4735774913628585,0.1473530678248342,0.18823224181450138,0.7450587151218163,0.26349983054316206,0.02136491958827325,0.0414703749976732,0.01598739020380785,0.6546378083196054,0.9257557508376306,0.054986458001389446,0.09988732495743174,0.059287697342789394,0.16034103563589347,0.3023124960021338,0.139377989646188,0.0840641127791449,,,0.06157087652058255,2.107878241956629,0.0197965670924357,0.03142499999999995,0.05207857142857135,0.0655416666666666,0.13862142857142853,0.1277939945043802,0.0772375,0.0404875,0.105747628791232,0.15180547003195385,0.1171428571428571,0.026802439730419403,0.0845916666666666,0.17987721989142055,0.10325714285714285,,,,0.1747617939504939,0.6520091257076257,,,,,,,,,,,0.0448354067044067,
2024-07-15 02:45:00+00:00,,1.4365041447307805,0.29703543146222244,1.5300968191617361,0.1255661784426651,0.15820378348789568,0.5932020690216369,0.2223459177017645,0.019876751982439676,0.0365610389019594,0.012355789902752774,0.5499689741282965,0.7558297183131903,0.04833227144208097,0.08926255099808572,0.05350556072259595,0.13741454150365362,0.26656097061169237,0.12203792029057034,0.07167202507933945,,,0.053163032728536425,2.3164950798946684,0.01742735228480055,0.028404166666666626,0.035932142857142774,0.0532041666666666,0.12416785714285711,0.1155168509757028,0.07126874999999999,0.030087500000000003,0.09039179416436846,0.13484849909307903,0.10498571428571425,0.02152716947658865,0.0734291666666666,0.15568252373292338,0.09027857142857142,,,,0.1334555111111111,0.5876993777777777,,,,,,,,,,,0.0411888444444444,
