time_local,time_UTC,nDodecane,Ethane,Ethylene,Propane,Propylene,Acetylene,nButane,Isobutane,trans2Butene,cis2Butene,buta13diene,nPentane,Isopentane,Pent1ene,trans2Pentene,cis2Pentene,x3_Methylpentane,nHexane,nHeptane,nOctane,nNonane,nDecane,Cyclopentane,Isoprene,x22_Dimethylbutane,Hex1ene,x24_Dimethylpentane,Cyclohexane,x3_Methylhexane,x224_Trimethylpentane,x234_Trimethylpentane,x3_Methylheptane,Methylcyclohexane,Methylcyclopentane,x2_Methylhexane,But1ene,x23_Dimethylbutane,x2_Methylpentane,x23_Dimethylpentane,Formaldehyde,nUndecane,x2_Methylheptane,mpXylene,Benzene,Toluene,Ethylbenzene,oXylene,x135_Trimethylbenzene,x124_Trimethylbenzene,nPropylbenzene,Isopropylbenzene,oEthyltoluene,mEthyltoluene,pEthyltoluene,mDiethylbenzene,pDiethylbenzene,Styrene,x123_Trimethylbenzene
2024-07-14 22:45:00-06:00,2024-07-15 04:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-14 23:00:00-06:00,2024-07-15 05:00:00+00:00,,2.09765,0.4765,0.7274333333333334,0.17079999999999998,0.1354,0.39225,0.17665,0.01415,0.0,0.064175,0.35950000000000004,0.5078199999999999,0.050839999999999996,0.05514,0.02498,0.08838333333333333,0.13058333333333333,0.04328571428571428,0.0179375,,,0.02148,0.64306,0.008749999999999999,0.024983333333333333,0.0,0.0,0.0479,0.0617875,0.03335,0.0,0.0,0.029166666666666664,0.04412857142857143,0.039025,0.0386,0.14426666666666668,0.042614285714285716,,,,,0.11646666666666666,0.47164285714285714,,,,,,,,,,,,,
2024-07-14 23:15:00-06:00,2024-07-15 05:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-14 23:30:00-06:00,2024-07-15 05:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-14 23:45:00-06:00,2024-07-15 05:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 00:00:00-06:00,2024-07-15 06:00:00+00:00,,1.84075,0.56395,1.0189333333333332,0.24850000000000003,0.14775,0.768075,0.429825,0.0189,0.0148,0.045375,0.46364,0.6307400000000001,0.05366,0.040279999999999996,0.02086,0.07886666666666667,0.16088333333333335,0.053714285714285714,0.0287875,,,0.02074,0.0237,0.007200000000000001,0.020966666666666665,0.0,0.0,0.03565714285714285,0.0084875,0.023775,0.0,0.04102857142857143,0.058666666666666666,0.0,0.056675,0.034833333333333334,0.13855,0.0,,,,,0.0907,0.19864285714285715,,,,,,,,,,,,,
2024-07-15 00:15:00-06:00,2024-07-15 06:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 00:30:00-06:00,2024-07-15 06:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 00:45:00-06:00,2024-07-15 06:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 01:00:00-06:00,2024-07-15 07:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 01:15:00-06:00,2024-07-15 07:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 01:30:00-06:00,2024-07-15 07:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 01:45:00-06:00,2024-07-15 07:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 02:00:00-06:00,2024-07-15 08:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 02:15:00-06:00,2024-07-15 08:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 02:30:00-06:00,2024-07-15 08:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 02:45:00-06:00,2024-07-15 08:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 03:00:00-06:00,2024-07-15 09:00:00+00:00,,2.6539,0.5789,0.9089999999999999,0.2576,0.2846,0.5922,0.23785,0.011925,0.0,0.084925,0.5181199999999999,0.6804,0.07858000000000001,0.12238,0.06504,0.1213,0.20883333333333332,0.08224285714285715,0.03155,,,0.04032,0.08036,0.0,0.03298333333333333,0.04732857142857143,0.03705,0.07454285714285715,0.0772125,0.0573375,0.0390875,0.03338571428571428,0.10421666666666667,0.07367142857142858,0.0468,0.05873333333333333,0.20636666666666667,0.06607142857142857,,,,,0.22796666666666665,0.9029999999999999,,,,,,,,,,,,,
2024-07-15 03:15:00-06:00,2024-07-15 09:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 03:30:00-06:00,2024-07-15 09:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15 03:45:00-06:00,2024-07-15 09:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
