Time [sec]	Time (UTC)	P [mB]	T [°F]	Hu [%]	Ws [mi/h]	Wd [°]	Ws U [mi/h]	Ws V [mi/h]	Geopot [m]	Dew [°F]
0         	17:00:11  	873.9 	31.1  	25    	7.8      	112   	-7.3       	2.9        	1288      	8.8
2         	17:00:13  	872.9 	31.3  	26    	6.7      	172   	-0.9       	6.6        	1298      	9.4
4         	17:00:15  	871.9 	31.0  	26    	6.7      	172   	-0.9       	6.6        	1308      	9.3
6         	17:00:17  	870.9 	30.9  	26    	6.7      	172   	-0.9       	6.6        	1319      	9.3
8         	17:00:19  	869.7 	30.8  	26    	6.1      	135   	-4.3       	4.3        	1330      	9.3
10        	17:00:21  	868.6 	30.7  	27    	6.0      	134   	-4.3       	4.2        	1342      	9.3
12        	17:00:23  	867.5 	30.5  	27    	6.0      	134   	-4.3       	4.2        	1354      	9.2
14        	17:00:25  	866.3 	30.3  	27    	6.0      	134   	-4.3       	4.2        	1366      	9.1
16        	17:00:27  	865.0 	30.3  	27    	6.0      	134   	-4.3       	4.2        	1379      	9.2
18        	17:00:29  	863.8 	30.2  	27    	6.0      	134   	-4.3       	4.2        	1392      	9.3
20        	17:00:31  	862.6 	30.1  	28    	6.0      	134   	-4.3       	4.2        	1404      	9.3
22        	17:00:33  	861.5 	29.8  	28    	6.2      	138   	-4.1       	4.6        	1416      	9.3
24        	17:00:35  	860.3 	29.6  	28    	6.3      	141   	-3.9       	4.9        	1428      	9.2
26        	17:00:37  	859.0 	29.5  	28    	6.4      	143   	-3.8       	5.1        	1441      	9.2
28        	17:00:39  	857.8 	29.4  	28    	6.5      	145   	-3.7       	5.3        	1454      	9.2
30        	17:00:41  	856.5 	29.4  	29    	6.8      	151   	-3.3       	6.0        	1467      	9.3
32        	17:00:43  	855.0 	29.3  	29    	6.8      	151   	-3.3       	6.0        	1483      	9.3
34        	17:00:45  	853.5 	29.2  	29    	7.4      	152   	-3.5       	6.5        	1498      	9.3
36        	17:00:47  	852.1 	29.1  	29    	8.2      	153   	-3.8       	7.3        	1513      	9.3
38        	17:00:49  	850.8 	29.0  	29    	8.8      	153   	-4.0       	7.8        	1527      	9.4
40        	17:00:51  	849.4 	28.9  	29    	9.2      	153   	-4.2       	8.2        	1540      	9.4
42        	17:00:53  	848.1 	28.8  	30    	9.4      	153   	-4.3       	8.4        	1555      	9.3
44        	17:00:55  	846.7 	28.6  	30    	9.6      	153   	-4.3       	8.6        	1570      	9.1
46        	17:00:57  	845.3 	28.4  	30    	9.5      	153   	-4.3       	8.5        	1584      	8.9
48        	17:00:59  	843.8 	28.2  	29    	10.0     	157   	-4.0       	9.2        	1600      	8.7
50        	17:01:01  	842.4 	28.0  	29    	10.6     	160   	-3.7       	9.9        	1615      	8.6
