Label,Category
C2O3,Peroxyacetyl radical
CXO3,Acyl peroxy radicals
MEO2,Methylperoxy radicals
HCO3,Formaldehyde
ISO2,Isoprene
EPX2,Isoprene
BZO2,Aromatics
TO2,Aromatics
XLO2,Aromatics
OPO3,Aromatic ring-opening product
