dt,Mobile Lab O3,UDAQ O3,merged_ozone,8hr_rolling_avg_Mobile Lab O3,MDA8_O3_Mobile Lab O3,Exceedance_day_Mobile Lab O3,8hr_rolling_avg_UDAQ O3,MDA8_O3_UDAQ O3,Exceedance_day_UDAQ O3,8hr_rolling_avg_merged_ozone,MDA8_O3_merged_ozone,Exceedance_day_merged_ozone
2024-07-15 00:00:00,,,,,,False,,,False,,,False
2024-07-15 01:00:00,,,,,,False,,,False,,,False
2024-07-15 02:00:00,,,,,,False,,,False,,,False
2024-07-15 03:00:00,,,,,,False,,,False,,,False
2024-07-15 04:00:00,,,,,,False,,,False,,,False
2024-07-15 05:00:00,,,,,,False,,,False,,,False
2024-07-15 06:00:00,,,,,,False,,,False,,,False
2024-07-15 07:00:00,,,,,,False,,,False,,,False
2024-07-15 08:00:00,,,,,,False,,,False,,,False
2024-07-15 09:00:00,,,,,,False,,,False,,,False
2024-07-15 10:00:00,,,,,,False,,,False,,,False
2024-07-15 11:00:00,,,,,,False,,,False,,,False
2024-07-15 12:00:00,,,,,,False,,,False,,,False
2024-07-15 13:00:00,,,,,,False,,,False,,,False
2024-07-15 14:00:00,,,,,,False,,,False,,,False
2024-07-15 15:00:00,,,,,,False,,,False,,,False
2024-07-15 16:00:00,,,,,,False,,,False,,,False
2024-07-15 17:00:00,,,,,,False,,,False,,,False
2024-07-15 18:00:00,,,,,,False,,,False,,,False
2024-07-15 19:00:00,,,,,,False,,,False,,,False
2024-07-15 20:00:00,,,,,,False,,,False,,,False
2024-07-15 21:00:00,,,,,,False,,,False,,,False
2024-07-15 22:00:00,,,,,,False,,,False,,,False
2024-07-15 23:00:00,,,,,,False,,,False,,,False
2024-07-16 00:00:00,,,,,72.74325851229234,True,,65.5,False,,72.73665954978958,True
2024-07-16 01:00:00,,46.0,46.0,,72.74325851229234,True,,65.5,False,,72.73665954978958,True
2024-07-16 02:00:00,,53.0,53.0,,72.74325851229234,True,,65.5,False,,72.73665954978958,True
2024-07-16 03:00:00,,50.0,50.0,,72.74325851229234,True,,65.5,False,,72.73665954978958,True
2024-07-16 04:00:00,,46.0,46.0,,72.74325851229234,True,,65.5,False,,72.73665954978958,True
2024-07-16 05:00:00,,41.0,41.0,,72.74325851229234,True,,65.5,False,,72.73665954978958,True
2024-07-16 06:00:00,,38.0,38.0,,72.74325851229234,True,45.666666666666664,65.5,False,45.666666666666664,72.73665954978958,True
2024-07-16 07:00:00,,37.0,37.0,,72.74325851229234,True,44.42857142857143,65.5,False,44.42857142857143,72.73665954978958,True
2024-07-16 08:00:00,,33.0,33.0,,72.74325851229234,True,43.0,65.5,False,43.0,72.73665954978958,True
