time_local,Mobile Lab NO2,time_UTC
2024-07-15 00:00:00,4.848631716955991,2024-07-15 06:00:00
2024-07-15 01:00:00,11.098119349979193,2024-07-15 07:00:00
2024-07-15 02:00:00,3.2090529579051292,2024-07-15 08:00:00
2024-07-15 03:00:00,1.6797679210935281,2024-07-15 09:00:00
2024-07-15 04:00:00,1.9482173908998697,2024-07-15 10:00:00
2024-07-15 05:00:00,2.2676392367887077,2024-07-15 11:00:00
2024-07-15 06:00:00,3.761964174190983,2024-07-15 12:00:00
2024-07-15 07:00:00,8.945208284636362,2024-07-15 13:00:00
2024-07-15 08:00:00,10.125243634023306,2024-07-15 14:00:00
2024-07-15 09:00:00,5.86509533833686,2024-07-15 15:00:00
2024-07-15 10:00:00,4.57236824397647,2024-07-15 16:00:00
2024-07-15 11:00:00,5.348766197599089,2024-07-15 17:00:00
2024-07-15 12:00:00,3.6182592172326986,2024-07-15 18:00:00
2024-07-15 13:00:00,2.2934957850857365,2024-07-15 19:00:00
2024-07-15 14:00:00,1.6708914880580634,2024-07-15 20:00:00
2024-07-15 15:00:00,1.6778326336265892,2024-07-15 21:00:00
2024-07-15 16:00:00,1.4190421283776278,2024-07-15 22:00:00
2024-07-15 17:00:00,1.4007450987904766,2024-07-15 23:00:00
2024-07-15 18:00:00,1.5843008093247426,2024-07-16 00:00:00
2024-07-15 19:00:00,1.5145428912217798,2024-07-16 01:00:00
2024-07-15 20:00:00,2.1829304199081427,2024-07-16 02:00:00
2024-07-15 21:00:00,4.081259211004449,2024-07-16 03:00:00
2024-07-15 22:00:00,3.877906035719271,2024-07-16 04:00:00
2024-07-15 23:00:00,3.3532436559526353,2024-07-16 05:00:00
2024-07-16 00:00:00,4.452929789242136,2024-07-16 06:00:00
2024-07-16 01:00:00,2.797321654444074,2024-07-16 07:00:00
2024-07-16 02:00:00,1.4258173397493814,2024-07-16 08:00:00
2024-07-16 03:00:00,1.1542748934049174,2024-07-16 09:00:00
2024-07-16 04:00:00,1.936455484584954,2024-07-16 10:00:00
2024-07-16 05:00:00,4.4171410361882755,2024-07-16 11:00:00
2024-07-16 06:00:00,5.748771448401428,2024-07-16 12:00:00
2024-07-16 07:00:00,9.080157991338748,2024-07-16 13:00:00
2024-07-16 08:00:00,12.16660751206406,2024-07-16 14:00:00
2024-07-16 09:00:00,11.848220842387663,2024-07-16 15:00:00
2024-07-16 10:00:00,4.161376382157784,2024-07-16 16:00:00
2024-07-16 11:00:00,3.058027575517765,2024-07-16 17:00:00
2024-07-16 12:00:00,3.7250559612178504,2024-07-16 18:00:00
2024-07-16 13:00:00,2.930629179697773,2024-07-16 19:00:00
2024-07-16 14:00:00,1.6345467119074928,2024-07-16 20:00:00
2024-07-16 15:00:00,1.5810888657642457,2024-07-16 21:00:00
2024-07-16 16:00:00,1.7505920429477662,2024-07-16 22:00:00
2024-07-16 17:00:00,1.6913384775896638,2024-07-16 23:00:00
2024-07-16 18:00:00,2.6434313596396963,2024-07-17 00:00:00
2024-07-16 19:00:00,5.099505646960562,2024-07-17 01:00:00
2024-07-16 20:00:00,13.295347176254017,2024-07-17 02:00:00
2024-07-16 21:00:00,3.9747133721854686,2024-07-17 03:00:00
2024-07-16 22:00:00,2.6276503678957077,2024-07-17 04:00:00
2024-07-16 23:00:00,2.295400740990209,2024-07-17 05:00:00
2024-07-17 00:00:00,1.5832893897566973,2024-07-17 06:00:00
2024-07-17 01:00:00,1.0170844913264074,2024-07-17 07:00:00
2024-07-17 02:00:00,2.3828727878489024,2024-07-17 08:00:00
2024-07-17 03:00:00,0.851177864474071,2024-07-17 09:00:00
2024-07-17 04:00:00,0.870591777169511,2024-07-17 10:00:00
2024-07-17 05:00:00,0.9989306685807594,2024-07-17 11:00:00
2024-07-17 06:00:00,1.3542790817197816,2024-07-17 12:00:00
2024-07-17 07:00:00,1.8976407615460058,2024-07-17 13:00:00
2024-07-17 08:00:00,2.3067153255215267,2024-07-17 14:00:00
2024-07-17 09:00:00,1.7876169156216195,2024-07-17 15:00:00
2024-07-17 10:00:00,1.4618420403531323,2024-07-17 16:00:00
2024-07-17 11:00:00,1.6066881072596775,2024-07-17 17:00:00
2024-07-17 12:00:00,2.1617968139804487,2024-07-17 18:00:00
2024-07-17 13:00:00,2.1661423211893647,2024-07-17 19:00:00
2024-07-17 14:00:00,2.5809987152481044,2024-07-17 20:00:00
2024-07-17 15:00:00,2.713611766426814,2024-07-17 21:00:00
2024-07-17 16:00:00,2.574041388987527,2024-07-17 22:00:00
2024-07-17 17:00:00,2.7304995823861495,2024-07-17 23:00:00
2024-07-17 18:00:00,2.355694403293268,2024-07-18 00:00:00
2024-07-17 19:00:00,2.9317163365304832,2024-07-18 01:00:00
2024-07-17 20:00:00,3.6916700673639573,2024-07-18 02:00:00
2024-07-17 21:00:00,3.7720138110664854,2024-07-18 03:00:00
2024-07-17 22:00:00,4.047015398259015,2024-07-18 04:00:00
2024-07-17 23:00:00,3.09986066881934,2024-07-18 05:00:00
2024-07-18 00:00:00,1.0319960471947842,2024-07-18 06:00:00
2024-07-18 01:00:00,0.7937556325369672,2024-07-18 07:00:00
2024-07-18 02:00:00,0.8081341929674055,2024-07-18 08:00:00
2024-07-18 03:00:00,0.6752666656115232,2024-07-18 09:00:00
2024-07-18 04:00:00,0.7419200930956591,2024-07-18 10:00:00
2024-07-18 05:00:00,2.6076381740836956,2024-07-18 11:00:00
