Time [sec]	Time (UTC)	P [mB]	T [°F]	Hu [%]	Ws [mi/h]	Wd [°]	Ws U [mi/h]	Ws V [mi/h]	Geopot [m]	Dew [°F]
0         	17:00:11  	874.7 	30.0  	25    	0.0      	360   	0.0        	-0.0       	1288      	7.8
2         	17:00:13  	873.0 	28.5  	24    	1.7      	013   	-0.4       	-1.7       	1305      	5.8
4         	17:00:15  	871.3 	28.4  	24    	1.7      	013   	-0.4       	-1.7       	1323      	6.2
6         	17:00:17  	869.6 	28.3  	25    	1.7      	013   	-0.4       	-1.7       	1340      	6.5
8         	17:00:19  	868.3 	28.3  	26    	1.3      	018   	-0.4       	-1.2       	1357      	6.8
10        	17:00:21  	866.9 	28.2  	26    	1.0      	024   	-0.4       	-0.9       	1375      	7.1
12        	17:00:23  	865.5 	28.2  	27    	0.9      	032   	-0.5       	-0.8       	1382      	7.2
14        	17:00:25  	865.0 	28.1  	27    	0.9      	032   	-0.5       	-0.8       	1387      	7.2
16        	17:00:27  	864.5 	28.1  	27    	0.8      	040   	-0.5       	-0.6       	1392      	7.2
18        	17:00:29  	864.0 	28.1  	27    	0.8      	040   	-0.5       	-0.6       	1397      	7.3
20        	17:00:31  	863.2 	28.0  	27    	0.8      	040   	-0.5       	-0.6       	1406      	7.3
22        	17:00:33  	862.4 	27.9  	27    	0.8      	040   	-0.5       	-0.6       	1414      	7.3
24        	17:00:35  	861.6 	27.8  	27    	0.8      	040   	-0.5       	-0.6       	1423      	7.2
26        	17:00:37  	860.8 	27.7  	27    	0.8      	045   	-0.6       	-0.6       	1431      	7.2
28        	17:00:39  	860.1 	27.7  	28    	0.9      	049   	-0.7       	-0.6       	1438      	7.3
30        	17:00:41  	859.4 	27.6  	28    	1.3      	072   	-1.2       	-0.4       	1445      	7.4
32        	17:00:43  	858.8 	27.6  	28    	1.3      	072   	-1.2       	-0.4       	1452      	7.5
34        	17:00:45  	858.1 	27.6  	28    	1.3      	072   	-1.2       	-0.4       	1458      	7.5
36        	17:00:47  	857.5 	27.5  	28    	1.3      	072   	-1.2       	-0.4       	1464      	7.6
38        	17:00:49  	856.9 	27.4  	29    	1.3      	072   	-1.2       	-0.4       	1471      	7.6
40        	17:00:51  	856.3 	27.5  	29    	1.3      	072   	-1.2       	-0.4       	1477      	7.7
42        	17:00:53  	855.7 	27.3  	29    	1.3      	072   	-1.2       	-0.4       	1483      	7.7
44        	17:00:55  	855.0 	27.2  	29    	1.3      	072   	-1.2       	-0.4       	1489      	7.6
46        	17:00:57  	854.3 	27.2  	29    	1.3      	072   	-1.2       	-0.4       	1496      	7.6
48        	17:00:59  	853.7 	27.1  	29    	1.3      	072   	-1.2       	-0.4       	1504      	7.6
50        	17:01:01  	852.9 	27.0  	29    	1.2      	076   	-1.2       	-0.3       	1512      	7.5
52        	17:01:03  	852.2 	27.0  	29    	1.2      	076   	-1.2       	-0.3       	1520      	7.5
54        	17:01:05  	851.5 	27.0  	29    	1.1      	075   	-1.1       	-0.3       	1527      	7.5
56        	17:01:07  	850.9 	26.9  	29    	1.1      	075   	-1.1       	-0.3       	1533      	7.4
58        	17:01:09  	850.3 	26.8  	29    	1.1      	075   	-1.1       	-0.3       	1538      	7.4
60        	17:01:11  	849.8 	26.8  	29    	1.1      	080   	-1.1       	-0.2       	1544      	7.5
62        	17:01:13  	849.0 	26.7  	30    	1.1      	085   	-1.1       	-0.1       	1550      	7.6
64        	17:01:15  	848.3 	26.6  	30    	1.1      	090   	-1.1       	-0.0       	1558      	7.6
66        	17:01:17  	847.5 	26.6  	30    	1.2      	095   	-1.2       	0.1        	1568      	7.6
68        	17:01:19  	846.9 	26.6  	30    	1.2      	099   	-1.2       	0.2        	1578      	7.6
70        	17:01:21  	846.2 	26.5  	30    	1.2      	104   	-1.2       	0.3        	1583      	7.6
72        	17:01:23  	845.6 	26.5  	30    	1.3      	108   	-1.2       	0.4        	1588      	7.6
74        	17:01:25  	845.2 	26.4  	30    	1.3      	117   	-1.2       	0.6        	1592      	7.6
76        	17:01:27  	844.8 	26.3  	31    	1.4      	120   	-1.2       	0.7        	1596      	7.7
78        	17:01:29  	844.4 	26.4  	31    	1.4      	124   	-1.2       	0.8        	1600      	7.7
80        	17:01:31  	843.9 	26.3  	31    	1.4      	124   	-1.2       	0.8        	1605      	7.7
82        	17:01:33  	843.5 	26.2  	31    	1.4      	124   	-1.2       	0.8        	1609      	7.7
84        	17:01:35  	843.0 	26.1  	31    	1.4      	124   	-1.2       	0.8        	1615      	7.5
86        	17:01:37  	842.4 	26.1  	31    	1.4      	120   	-1.2       	0.7        	1620      	7.5
88        	17:01:39  	841.8 	25.9  	31    	1.4      	120   	-1.2       	0.7        	1625      	7.4
90        	17:01:41  	841.2 	25.9  	31    	1.4      	120   	-1.2       	0.7        	1633      	7.3
92        	17:01:43  	840.6 	25.9  	31    	1.4      	120   	-1.2       	0.7        	1641      	7.3
94        	17:01:45  	839.9 	25.8  	31    	1.3      	117   	-1.2       	0.6        	1648      	7.3
96        	17:01:47  	839.2 	25.7  	31    	1.3      	117   	-1.2       	0.6        	1655      	7.3
98        	17:01:49  	838.5 	25.6  	31    	1.2      	110   	-1.1       	0.4        	1661      	7.2
100       	17:01:51  	837.9 	25.5  	31    	1.1      	105   	-1.1       	0.3        	1668      	7.2
102       	17:01:53  	837.2 	25.5  	31    	1.1      	100   	-1.1       	0.2        	1675      	7.2
104       	17:01:55  	836.6 	25.4  	31    	1.0      	090   	-1.0       	-0.0       	1682      	7.2
106       	17:01:57  	835.9 	25.4  	31    	1.0      	084   	-1.0       	-0.1       	1689      	7.1
108       	17:01:59  	835.3 	25.3  	31    	1.0      	079   	-1.0       	-0.2       	1696      	7.1
110       	17:02:01  	834.6 	25.3  	31    	1.0      	066   	-0.9       	-0.4       	1702      	7.1
112       	17:02:03  	834.0 	25.2  	31    	1.1      	063   	-1.0       	-0.5       	1708      	7.0
114       	17:02:05  	833.4 	25.1  	31    	1.2      	055   	-1.0       	-0.7       	1716      	7.0
116       	17:02:07  	832.5 	25.0  	32    	1.3      	051   	-1.0       	-0.8       	1724      	6.9
118       	17:02:09  	831.7 	24.9  	32    	1.3      	051   	-1.0       	-0.8       	1732      	6.9
120       	17:02:11  	830.9 	24.8  	32    	1.3      	051   	-1.0       	-0.8       	1742      	6.9
122       	17:02:13  	830.1 	24.7  	32    	1.3      	051   	-1.0       	-0.8       	1751      	6.9
124       	17:02:15  	829.2 	24.7  	32    	1.1      	052   	-0.9       	-0.7       	1761      	6.9
126       	17:02:17  	828.4 	24.6  	32    	1.0      	053   	-0.8       	-0.6       	1769      	6.9
128       	17:02:19  	827.5 	24.5  	32    	0.9      	054   	-0.7       	-0.5       	1776      	6.9
130       	17:02:21  	826.7 	24.4  	32    	0.6      	051   	-0.5       	-0.4       	1785      	6.9
132       	17:02:23  	825.8 	24.3  	33    	0.5      	053   	-0.4       	-0.3       	1795      	6.8
134       	17:02:25  	824.9 	24.2  	33    	0.3      	045   	-0.2       	-0.2       	1805      	6.8
136       	17:02:27  	824.0 	24.1  	33    	0.3      	045   	-0.2       	-0.2       	1815      	6.8
138       	17:02:29  	823.1 	24.0  	33    	0.3      	045   	-0.2       	-0.2       	1825      	6.8
140       	17:02:31  	822.3 	24.0  	33    	0.3      	045   	-0.2       	-0.2       	1834      	6.8
142       	17:02:33  	821.5 	23.9  	33    	0.3      	045   	-0.2       	-0.2       	1842      	6.8
144       	17:02:35  	820.8 	23.9  	33    	0.5      	053   	-0.4       	-0.3       	1849      	6.8
146       	17:02:37  	820.0 	23.8  	33    	0.7      	056   	-0.6       	-0.4       	1857      	6.8
148       	17:02:39  	819.3 	23.7  	34    	0.9      	058   	-0.8       	-0.5       	1865      	6.7
150       	17:02:41  	818.6 	23.6  	34    	1.3      	067   	-1.2       	-0.5       	1873      	6.6
152       	17:02:43  	817.8 	23.5  	34    	1.7      	069   	-1.6       	-0.6       	1881      	6.6
154       	17:02:45  	817.0 	23.4  	34    	2.0      	072   	-1.9       	-0.6       	1889      	6.6
156       	17:02:47  	816.3 	23.4  	34    	2.3      	075   	-2.2       	-0.6       	1897      	6.6
158       	17:02:49  	815.5 	23.3  	34    	2.5      	078   	-2.4       	-0.5       	1905      	6.6
160       	17:02:51  	814.8 	23.2  	34    	2.6      	081   	-2.6       	-0.4       	1913      	6.6
162       	17:02:53  	814.1 	23.1  	34    	2.9      	084   	-2.9       	-0.3       	1921      	6.6
164       	17:02:55  	813.2 	23.1  	35    	3.2      	086   	-3.2       	-0.2       	1929      	6.6
166       	17:02:57  	812.4 	23.0  	35    	3.4      	090   	-3.4       	-0.0       	1938      	6.6
168       	17:02:59  	811.5 	22.9  	35    	3.7      	092   	-3.7       	0.1        	1948      	6.6
170       	17:03:01  	810.8 	22.8  	35    	3.7      	093   	-3.7       	0.2        	1956      	6.5
172       	17:03:03  	810.0 	22.8  	35    	3.8      	093   	-3.8       	0.2        	1964      	6.5
174       	17:03:05  	809.2 	22.7  	35    	3.8      	095   	-3.8       	0.3        	1973      	6.5
176       	17:03:07  	808.4 	22.6  	35    	3.8      	093   	-3.8       	0.2        	1981      	6.4
178       	17:03:09  	807.6 	22.6  	35    	3.8      	093   	-3.8       	0.2        	1990      	6.4
180       	17:03:11  	806.8 	22.5  	35    	3.7      	092   	-3.7       	0.1        	1999      	6.4
182       	17:03:13  	805.9 	22.3  	35    	3.7      	092   	-3.7       	0.1        	2009      	6.3
184       	17:03:15  	805.0 	22.2  	35    	3.6      	088   	-3.6       	-0.1       	2019      	6.2
186       	17:03:17  	804.0 	22.2  	35    	3.6      	087   	-3.6       	-0.2       	2028      	6.2
188       	17:03:19  	803.3 	22.1  	36    	3.4      	083   	-3.4       	-0.4       	2036      	6.2
190       	17:03:21  	802.6 	22.1  	36    	3.4      	080   	-3.3       	-0.6       	2044      	6.2
192       	17:03:23  	801.9 	22.1  	36    	3.3      	076   	-3.2       	-0.8       	2052      	6.2
194       	17:03:25  	801.2 	22.0  	36    	3.3      	072   	-3.1       	-1.0       	2059      	6.2
196       	17:03:27  	800.5 	22.0  	36    	3.2      	070   	-3.0       	-1.1       	2067      	6.2
198       	17:03:29  	799.8 	21.9  	36    	3.2      	068   	-3.0       	-1.2       	2075      	6.2
200       	17:03:31  	799.1 	21.8  	36    	3.3      	069   	-3.1       	-1.2       	2082      	6.2
202       	17:03:33  	798.4 	21.7  	36    	3.3      	069   	-3.1       	-1.2       	2090      	6.2
204       	17:03:35  	797.7 	21.6  	37    	3.3      	069   	-3.1       	-1.2       	2098      	6.2
206       	17:03:37  	797.0 	21.6  	37    	3.4      	069   	-3.2       	-1.2       	2105      	6.1
208       	17:03:39  	796.2 	21.5  	37    	3.5      	072   	-3.3       	-1.1       	2113      	6.1
210       	17:03:41  	795.5 	21.4  	37    	3.5      	074   	-3.4       	-1.0       	2121      	6.1
212       	17:03:43  	794.8 	21.4  	37    	3.6      	076   	-3.5       	-0.9       	2129      	6.1
214       	17:03:45  	794.1 	21.3  	37    	3.7      	077   	-3.6       	-0.8       	2136      	6.0
216       	17:03:47  	793.4 	21.3  	37    	3.8      	078   	-3.7       	-0.8       	2144      	6.0
218       	17:03:49  	792.7 	21.3  	37    	3.7      	077   	-3.6       	-0.8       	2152      	6.0
220       	17:03:51  	792.1 	21.2  	37    	3.5      	074   	-3.4       	-1.0       	2159      	6.0
222       	17:03:53  	791.4 	21.2  	37    	3.5      	072   	-3.3       	-1.1       	2166      	5.9
224       	17:03:55  	790.8 	21.1  	37    	3.3      	069   	-3.1       	-1.2       	2173      	5.8
226       	17:03:57  	790.1 	21.0  	36    	3.3      	065   	-3.0       	-1.4       	2180      	5.6
228       	17:03:59  	789.5 	20.9  	36    	3.2      	062   	-2.8       	-1.5       	2187      	5.4
230       	17:04:01  	788.9 	20.9  	36    	3.1      	059   	-2.7       	-1.6       	2194      	5.2
232       	17:04:03  	788.3 	20.9  	35    	3.0      	056   	-2.5       	-1.7       	2200      	4.9
234       	17:04:05  	787.7 	20.9  	34    	3.1      	052   	-2.4       	-1.9       	2206      	4.6
236       	17:04:07  	787.1 	21.0  	34    	3.0      	048   	-2.2       	-2.0       	2213      	4.4
238       	17:04:09  	786.6 	21.2  	33    	3.0      	048   	-2.2       	-2.0       	2219      	4.2
240       	17:04:11  	786.0 	21.4  	32    	3.0      	048   	-2.2       	-2.0       	2225      	4.2
242       	17:04:13  	785.4 	21.6  	32    	3.0      	048   	-2.2       	-2.0       	2232      	4.2
244       	17:04:15  	784.8 	21.6  	31    	3.0      	048   	-2.2       	-2.0       	2239      	4.0
246       	17:04:17  	784.2 	21.6  	31    	3.1      	045   	-2.2       	-2.2       	2245      	4.0
248       	17:04:19  	783.6 	21.6  	31    	3.3      	043   	-2.2       	-2.4       	2251      	3.8
250       	17:04:21  	783.0 	21.5  	31    	3.3      	039   	-2.1       	-2.6       	2257      	3.7
252       	17:04:23  	782.5 	21.4  	31    	3.5      	037   	-2.1       	-2.8       	2264      	3.5
254       	17:04:25  	781.8 	21.4  	31    	3.7      	034   	-2.1       	-3.1       	2271      	3.4
256       	17:04:27  	781.2 	21.3  	31    	3.9      	031   	-2.0       	-3.3       	2278      	3.3
