NAME,Explicit?,Formula,FullName,MW_g,INCHI,MCM Name,NOTES,,,,,,,,,,,,
ICPDH,idk,C5H10O5,Isoprene dihydroxy hydroperoxycarbonyl,150.15,"InChI=1S/C5H10O5/c6-1-3(8)5(10)4(9)2-7/h1,3-5,7-10H,2H2/t3-,4-,5+/m1/s1
InChI=1S/C5H10O5/c6-1-3(8)5(10)4(9)2-7/h1,3-5,7-10H,2H2/t3-,4+,5-/m0/s1
InChI=1S/C5H10O5/c6-1-3(8)5(10)4(9)2-7/h1,3-5,7-10H,2H2/t3-,4-,5+/m0/s1
InChI=1S/C5H10O5/c6-1-3(8)5(10)4(9)2-7/h1,3-5,7-10H,2H2/t3-,4+,5-/m1/s1",,,,,,,,,,,,,,
IDC,False,C5H6O2,Lumped isoprene dicarbonyls,98.11,"InChI=1S/C5H6O2/c1-5(4-7)2-3-6/h2-4H,1H3;InChI=1S/C5H6O2/c1-5(4-7)2-3-6/h2-4H,1H3/b5-2-",,,,,,,,,,,,,,
IDCHP,idk,C5H8O5,Isoprene dicarbonyl hydroxy dihydroperoxide,148.13,"InChI=1S/C5H8O5/c1-5(3-7,10-9)4(8)2-6/h2,7,9H,3H2,1H3;InChI=1S/C5H8O5/c1-5(3-7,10-9)4(8)2-6/h2-4,8-9H,1H3;InChI=1S/C5H8O5/c1-5(8,3-7)4(2-6)10-9/h2-4,8-9H,1H3",,,,,,,,,,,,,,
IDHDP,False,C5H12O6,Isoprene dihydroxy dihydroperoxide,168.17,"InChI=1S/C5H12O6/c1-5(3-6,11-9)4(7)2-10-8/h4,6-9H,2-3H2,1H3;InChI=1S/C5H12O6/c1-5(3-7,11-9)4(2-6)10-8/h4,6-9H,2-3H2,1H3",,,,,,,,,,,,,,
IDHNBOO,False,C5H10NO7,Peroxy radicals from INPB,196.16,"InChI=1S/C5H10NO7/c1-5(8,3-12-6(9)10)4(7)2-13-11/h4,7-8H,2-3H2,1H3;InChI=1S/C5H10NO7/c1-5(8,3-13-11)4(7)2-12-6(9)10/h4,7-8H,2-3H2,1H3;InChI=1S/C5H8NO7/c1-5(8,3-12-6(9)10)4(7)2-13-11/h8H,2-3H2,1H3",,,,,,,,,,,,,,
IDHNDOO1,False,C5H10NO7,Peroxy radicals from INPD,196.16,"InChI=1S/C5H10NO7/c1-5(13-11,4(8)2-7)3-12-6(9)10/h4,7-8H,2-3H2,1H3;InChI=1S/C5H10NO7/c1-5(8,3-12-6(9)10)4(2-7)13-11/h4,7-8H,2-3H2,1H3",,,,,,,,,,,,,,
IDHNDOO2,False,C5H10NO7,Peroxy radicals from INPD,196.16,"InChI=1S/C5H10NO7/c1-5(3-7,13-11)4(8)2-12-6(9)10/h4,7-8H,2-3H2,1H3;InChI=1S/C5H10NO7/c1-5(8,3-7)4(13-11)2-12-6(9)10/h4,7-8H,2-3H2,1H3",,,,,,,,,,,,,,
IDHPE,idk,C5H10O5,Isoprene dihydroxy hydroperoxy epoxide,150.15,"InChI=1S/C5H10O5/c6-1-3(8)5(10)4(9)2-7/h1,3-5,7-10H,2H2/t3-,4-,5+/m1/s1
InChI=1S/C5H10O5/c6-1-3(8)5(10)4(9)2-7/h1,3-5,7-10H,2H2/t3-,4+,5-/m0/s1
InChI=1S/C5H10O5/c6-1-3(8)5(10)4(9)2-7/h1,3-5,7-10H,2H2/t3-,4-,5+/m0/s1
InChI=1S/C5H10O5/c6-1-3(8)5(10)4(9)2-7/h1,3-5,7-10H,2H2/t3-,4+,5-/m1/s1",,,,,,,,,,,,,,
IDN,False,C5H8N2O6,Lumped isoprene dinitrates,192.15,"InChI=1S/C5H10N2O8/c1-5(3-8,15-7(12)13)4(9)2-14-6(10)11/h4,8-9H,2-3H2,1H3;InChI=1S/C5H10N2O8/c1-5(3-9,15-7(12)13)4(2-8)14-6(10)11/h4,8-9H,2-3H2,1H3;InChI=1S/C5H10N2O8/c1-5(4(9)2-8,15-7(12)13)3-14-6(10)11/h4,8-9H,2-3H2,1H3;InChI=1S/C5H10N2O8/c1-5(9,3-14-6(10)11)4(2-8)15-7(12)13/h4,8-9H,2-3H2,1H3;InChI=1S/C5H10N2O8/c1-5(9,3-15-7(12)13)4(8)2-14-6(10)11/h4,8-9H,2-3H2,1H3;InChI=1S/C5H10N2O8/c1-5(9,3-8)4(15-7(12)13)2-14-6(10)11/h4,8-9H,2-3H2,1H3;InChI=1S/C5H10N2O9/c1-5(16-13,3-14-6(9)10)4(2-8)15-7(11)12/h4,8,13H,2-3H2,1H3;InChI=1S/C5H10N2O9/c1-5(16-13,3-15-7(11)12)4(8)2-14-6(9)10/h4,8,13H,2-3H2,1H3;InChI=1S/C5H10N2O9/c1-5(16-7(11)12,3-14-6(9)10)4(2-8)15-13/h4,8,13H,2-3H2,1H3;InChI=1S/C5H10N2O9/c1-5(16-7(11)12,3-14-6(9)10)4(8)2-15-13/h4,8,13H,2-3H2,1H3;InChI=1S/C5H10N2O9/c1-5(3-15-13,16-7(11)12)4(8)2-14-6(9)10/h4,8,13H,2-3H2,1H3;InChI=1S/C5H10N2O9/c1-5(3-8,16-13)4(15-7(11)12)2-14-6(9)10/h4,8,13H,2-3H2,1H3;InChI=1S/C5H10N2O9/c1-5(3-8,16-7(11)12)4(15-13)2-14-6(9)10/h4,8,13H,2-3H2,1H3;InChI=1S/C5H10N2O9/c1-5(8,3-14-6(9)10)4(2-15-13)16-7(11)12/h4,8,13H,2-3H2,1H3;InChI=1S/C5H10N2O9/c1-5(8,3-15-13)4(16-7(11)12)2-14-6(9)10/h4,8,13H,2-3H2,1H3;InChI=1S/C5H10N2O9/c1-5(8,3-15-7(11)12)4(16-13)2-14-6(9)10/h4,8,13H,2-3H2,1H3;InChI=1S/C5H8N2O6/c1-3-5(2,13-7(10)11)4-12-6(8)9/h3H,1,4H2,2H3;InChI=1S/C5H8N2O6/c1-4(2)5(13-7(10)11)3-12-6(8)9/h5H,1,3H2,2H3;InChI=1S/C5H8N2O6/c1-5(4-13-7(10)11)2-3-12-6(8)9/h2H,3-4H2,1H3;InChI=1S/C5H8N2O6/c1-5(4-13-7(10)11)2-3-12-6(8)9/h2H,3-4H2,1H3/b5-2+;InChI=1S/C5H8N2O8/c1-5(3-8,15-7(12)13)4(9)2-14-6(10)11/h3-4,9H,2H2,1H3;InChI=1S/C5H8N2O8/c1-5(3-8,15-7(12)13)4(9)2-14-6(10)11/h8H,2-3H2,1H3;InChI=1S/C5H8N2O8/c1-5(9,3-14-6(10)11)4(2-8)15-7(12)13/h2,4,9H,3H2,1H3;InChI=1S/C5H8N2O8/c1-5(9,3-15-7(12)13)4(8)2-14-6(10)11/h9H,2-3H2,1H3",,,,,,,,,,,,,,
IDNOO,idk,C5H9N2O6,IDNOO,241.14,"InChI=1S/C5H9N2O8/c1-5(2-3-14-12,15-7(10)11)4-13-6(8)9/h2-4H2,1H3",,,,,,,,,,,,,,
IEPOXA,False,C4H10O3,trans-Beta isoprene epoxydiol,106.14,"InChI=1S/C5H10O3/c1-5(3-7)4(2-6)8-5/h4,6-7H,2-3H2,1H3;InChI=1S/C5H10O3/c1-5(7,3-6)4-2-8-4/h4,6-7H,2-3H2,1H3",,,,,,,,,,,,,,
IEPOXAOO,idk,C5H8O5,Peroxy radical from trans-Beta isoprene epoxydiol,149.14,"InChI=1S/C5H9O5/c1-5(3-7,10-9)4(8)2-6/h3-4,6,8H,2H2,1H3",,,,,,,,,,,,,,
IEPOXB,idk,C4H10O3,cis-Beta isoprene epoxydiol,106.14,"InChI=1S/C5H10O3/c1-5(3-7)4(2-6)8-5/h4,6-7H,2-3H2,1H3",,,,,,,,,,,,,,
IEPOXBOO,idk,C5H9O5,peroxy radical from cis-Beta isoprene epoxydiol,149.14,"InChI=1S/C5H9O5/c1-5(8,3-7)4(2-6)10-9/h2,4,7-8H,3H2,1H3",,,,,,,,,,,,,,
IEPOXD,False,C4H10O3,Delta isoprene epoxydiol,106.14,"InChI=1S/C5H10O3/c1-5(3-8-5)4(7)2-6/h4,6-7H,2-3H2,1H3;InChI=1S/C5H10O3/c1-5(7,3-6)4-2-8-4/h4,6-7H,2-3H2,1H3",,,,,,,,,,,,,,
IHN1,idk,C5H9NO4,"Isoprene-d-4,1-hydroxynitrate",147.15,"InChI=1S/C5H9NO4/c1-5(2-3-7)4-10-6(8)9/h2,7H,3-4H2,1H3;InChI=1S/C5H9NO4/c1-5(2-3-7)4-10-6(8)9/h2,7H,3-4H2,1H3/b5-2+;InChI=1S/C5H9NO4/c1-5(2-3-7)4-10-6(8)9/h2,7H,3-4H2,1H3/b5-2-",,,,,,,,,,,,,,
IHN2,idk,C5H9NO4,"Isoprene-b-1,2-hydroxynitrate",147.15,"InChI=1S/C5H9NO4/c1-3-5(2,4-7)10-6(8)9/h3,7H,1,4H2,2H3",,,,,,,,,,,,,,
IHN3,idk,C5H9NO4,"Isoprene-b-4,3-hydroxynitrate",147.15,"InChI=1S/C5H9NO4/c1-4(2)5(3-7)10-6(8)9/h5,7H,1,3H2,2H3",,,,,,,,,,,,,,
IHN4,idk,C5H9NO4,"Isoprene-d-4,1-hydroxynitrate",147.15,"InChI=1S/C5H9NO4/c1-5(4-7)2-3-10-6(8)9/h2,7H,3-4H2,1H3;InChI=1S/C5H9NO4/c1-5(4-7)2-3-10-6(8)9/h2,7H,3-4H2,1H3/b5-2+;InChI=1S/C5H9NO4/c1-5(4-7)2-3-10-6(8)9/h2,7H,3-4H2,1H3/b5-2-",,,,,,,,,,,,,,
IHOO1,False,C5H9O3,Peroxy radical from OH addition to isoprene at C1,117.14,"InChI=1S/C5H9O3/c1-3-5(2,4-6)8-7/h3,6H,1,4H2,2H3;InChI=1S/C5H9O3/c1-5(4-6)2-3-8-7/h2,6H,3-4H2,1H3/b5-2+;InChI=1S/C5H9O3/c1-5(4-6)2-3-8-7/h2,6H,3-4H2,1H3/b5-2-",,,,,,,,,,,,,,
IHOO4,False,C5H9O3,Peroxy radical from OH addition to isoprene at C4,117.14,"InChI=1S/C5H9O3/c1-4(2)5(3-6)8-7/h5-6H,1,3H2,2H3;InChI=1S/C5H9O3/c1-5(2-3-6)4-8-7/h2,6H,3-4H2,1H3/b5-2+;InChI=1S/C5H9O3/c1-5(2-3-6)4-8-7/h2,6H,3-4H2,1H3/b5-2-",,,,,,,,,,,,,,
IHPNBOO,False,C5H10NO8,Peroxy radicals from INPB,212.16,"InChI=1S/C5H10NO8/c1-5(14-11,3-12-6(8)9)4(2-7)13-10/h4,7,10H,2-3H2,1H3;InChI=1S/C5H10NO8/c1-5(14-11,3-12-6(8)9)4(2-7)13-10/h4,7,11H,2-3H2,1H3;InChI=1S/C5H10NO8/c1-5(14-11,3-12-6(8)9)4(7)2-13-10/h4,7,11H,2-3H2,1H3;InChI=1S/C5H10NO8/c1-5(3-7,14-11)4(13-10)2-12-6(8)9/h4,7,10H,2-3H2,1H3;InChI=1S/C5H10NO8/c1-5(3-7,14-11)4(13-10)2-12-6(8)9/h4,7,11H,2-3H2,1H3;InChI=1S/C5H10NO8/c1-5(7,3-13-10)4(14-11)2-12-6(8)9/h4,7,11H,2-3H2,1H3",,,,,,,,,,,,,,
IHPNDOO,False,C5H10NO8,Peroxy radicals from INPD,212.16,"InChI=1S/C5H10NO8/c1-5(14-11,3-12-6(8)9)4(7)2-13-10/h4,7,10H,2-3H2,1H3;InChI=1S/C5H10NO8/c1-5(14-11,3-13-10)4(7)2-12-6(8)9/h4,7,10H,2-3H2,1H3;InChI=1S/C5H10NO8/c1-5(14-11,3-13-10)4(7)2-12-6(8)9/h4,7,11H,2-3H2,1H3;InChI=1S/C5H10NO8/c1-5(7,3-12-6(8)9)4(14-11)2-13-10/h4,7,10H,2-3H2,1H3;InChI=1S/C5H10NO8/c1-5(7,3-12-6(8)9)4(14-11)2-13-10/h4,7,11H,2-3H2,1H3;InChI=1S/C5H10NO8/c1-5(7,3-13-10)4(14-11)2-12-6(8)9/h4,7,10H,2-3H2,1H3",,,,,,,,,,,,,,
IHPOO1,idk,C5H11O6,Peroxy radical from ISOPOOH,167.16,"InChI=1S/C5H11O6/c1-5(3-6,11-9)4(7)2-10-8/h4,6-7,9H,2-3H2,1H3;InChI=1S/C5H11O6/c1-5(3-6,11-9)4(7)2-10-8/h4,6-8H,2-3H2,1H3",,,,,,,,,,,,,,
IHPOO2,idk,C5H11O6,Peroxy radical from ISOPOOH,167.16,"InChI=1S/C5H11O6/c1-5(7,3-10-8)4(2-6)11-9/h4,6-7,9H,2-3H2,1H3;InChI=1S/C5H11O6/c1-5(7,3-10-8)4(2-6)11-9/h4,6-8H,2-3H2,1H3",,,,,,,,,,,,,,
IHPOO3,idk,C5H11O6,Peroxy radical from ISOPOOH,167.16,"InChI=1S/C5H11O6/c1-5(3-7,11-9)4(2-6)10-8/h4,6-7,9H,2-3H2,1H3;InChI=1S/C5H11O6/c1-5(3-7,11-9)4(2-6)10-8/h4,6-8H,2-3H2,1H3",,,,,,,,,,,,,,
INA,idk,C5H8NO4,Alkoxy radical from INO2D,146.14,"InChI=1S/C5H8NO4/c1-5(2-3-7)4-10-6(8)9/h2H,3-4H2,1H3;InChI=1S/C5H8NO4/c1-5(2-3-7)4-10-6(8)9/h2H,3-4H2,1H3/b5-2+",,,,,,,,,,,,,,
INDIOL,False,,Generic aerosol-phase organonitrate hydrolysis product,102,,,,,,,,,,,,,,,
INO,True,INO,Nitrosyl iodide,156.91,InChI=1S/INO/c1-2-3,,,,,,,,,,,,,,
INO2B,idk,C5H8NO5,beta-peroxy radicals from isoprene + NO3,162.14,"InChI=1S/C5H8NO5/c1-3-5(2,11-9)4-10-6(7)8/h3H,1,4H2,2H3;InChI=1S/C5H8NO5/c1-4(2)5(11-9)3-10-6(7)8/h5H,1,3H2,2H3",,,,,,,,,,,,,,
INO2D,idk,C5H8NO5,delta-peroxy radicals from isoprene + NO3,162.14,"InChI=1S/C5H8NO5/c1-5(2-3-11-9)4-10-6(7)8/h2H,3-4H2,1H3;InChI=1S/C5H8NO5/c1-5(2-3-11-9)4-10-6(7)8/h2H,3-4H2,1H3/b5-2+;InChI=1S/C5H8NO5/c1-5(4-11-9)2-3-10-6(7)8/h2H,3-4H2,1H3/b5-2+",,,,,,,,,,,,,,
INPB,False,C5H9NO5,Lumped b-hydroperoxy isoprene nitrates,163.15,"InChI=1S/C5H9NO4/c1-3-5(2,7)4-10-6(8)9/h3,7H,1,4H2,2H3;InChI=1S/C5H9NO4/c1-4(2)5(7)3-10-6(8)9/h5,7H,1,3H2,2H3;InChI=1S/C5H9NO5/c1-3-5(2,11-9)4-10-6(7)8/h3,9H,1,4H2,2H3;InChI=1S/C5H9NO5/c1-4(2)5(11-9)3-10-6(7)8/h5,9H,1,3H2,2H3",,,,,,,,,,,,,,
INPD,False,C5H9NO5,Lumped d-hydroperoxy isoprene nitrates,163.15,"InChI=1S/C5H9NO5/c1-5(2-3-11-9)4-10-6(7)8/h2,9H,3-4H2,1H3;InChI=1S/C5H9NO5/c1-5(2-3-11-9)4-10-6(7)8/h2,9H,3-4H2,1H3/b5-2+;InChI=1S/C5H9NO5/c1-5(4-11-9)2-3-10-6(7)8/h2,9H,3-4H2,1H3/b5-2+",,,,,,,,,,,,,,
IO,True,IO,Iodine monoxide,142.9,InChI=1S/IO/c1-2,,,,,,,,,,,,,,
IONITA,False,,Aer-phase organic nitrate from isoprene precursors,14.01,"InChI=1S/C4H5NO5/c1-3(6)4(7)2-10-5(8)9/h2H2,1H3;InChI=1S/C4H7NO5/c1-3(6)4(7)2-10-5(8)9/h4,7H,2H2,1H3;InChI=1S/C4H7NO5/c1-3(7)4(2-6)10-5(8)9/h4,6H,2H2,1H3;InChI=1S/C4H7NO5/c1-4(2-6,3-7)10-5(8)9/h2,7H,3H2,1H3;InChI=1S/C4H7NO5/c1-4(7,2-6)3-10-5(8)9/h2,7H,3H2,1H3;InChI=1S/C4H7NO6/c1-3(6)4(11-9)2-10-5(7)8/h4,9H,2H2,1H3;InChI=1S/C4H7NO6/c1-4(2-6,11-9)3-10-5(7)8/h2,9H,3H2,1H3;InChI=1S/C4H7NO6/c1-4(2-6,3(7)8)11-5(9)10/h6H,2H2,1H3,(H,7,8);InChI=1S/C4H7NO7/c1-4(2-6,3(7)11-10)12-5(8)9/h6,10H,2H2,1H3;InChI=1S/C5H10N2O8/c1-5(4(9)2-8,15-7(12)13)3-14-6(10)11/h4,8-9H,2-3H2,1H3;InChI=1S/C5H10N2O9/c1-5(8,3-15-13)4(16-7(11)12)2-14-6(9)10/h4,8,13H,2-3H2,1H3;InChI=1S/C5H11NO7/c1-5(13-11,4(8)2-7)3-12-6(9)10/h4,7-8,11H,2-3H2,1H3;InChI=1S/C5H11NO8/c1-5(7,3-12-6(8)9)4(14-11)2-13-10/h4,7,10-11H,2-3H2,1H3;InChI=1S/C5H7NO5/c1-5(3-10-5)4(7)2-11-6(8)9/h2-3H2,1H3;InChI=1S/C5H8N2O6/c1-3-5(2,13-7(10)11)4-12-6(8)9/h3H,1,4H2,2H3;InChI=1S/C5H8N2O8/c1-5(9,3-14-6(10)11)4(2-8)15-7(12)13/h2,4,9H,3H2,1H3;InChI=1S/C5H9NO4/c1-3-5(2,4-7)10-6(8)9/h3,7H,1,4H2,2H3;InChI=1S/C5H9NO4/c1-3-5(2,7)4-10-6(8)9/h3,7H,1,4H2,2H3;InChI=1S/C5H9NO4/c1-4(2)5(3-7)10-6(8)9/h5,7H,1,3H2,2H3;InChI=1S/C5H9NO4/c1-5(2-3-7)4-10-6(8)9/h2,7H,3-4H2,1H3/b5-2+;InChI=1S/C5H9NO4/c1-5(4-7)2-3-10-6(8)9/h2,7H,3-4H2,1H3/b5-2+;InChI=1S/C5H9NO5/c1-3-5(2,11-9)4-10-6(7)8/h3,9H,1,4H2,2H3;InChI=1S/C5H9NO5/c1-5(2-3-11-9)4-10-6(7)8/h2,9H,3-4H2,1H3/b5-2+;InChI=1S/C5H9NO5/c1-5(3-7)4(11-5)2-10-6(8)9/h4,7H,2-3H2,1H3;InChI=1S/C5H9NO6/c1-5(3-8,4(9)2-7)12-6(10)11/h7-8H,2-3H2,1H3;InChI=1S/C5H9NO7/c1-5(13-10,2-11-6(8)9)3-4(7)12-3/h3-4,7,10H,2H2,1H3;InChI=1S/C5H9NO7/c1-5(8,3-12-6(9)10)4(2-7)13-11/h2,4,8,11H,3H2,1H3",,,,,,,,,,,,,,
IONO,True,IONO,Nitryl iodide,172.91,InChI=1S/INO2/c1-4-2-3,,,,,,,,,,,,,,
IONO2,True,IONO2,Iodine nitrate,188.91,InChI=1S/INO3/c1-5-2(3)4,,,,,,,,,,,,,,
IPRNO3,True,C3H7ONO2,Isopropyl nitrate,105.11,"InChI=1S/C3H7NO3/c1-3(2)7-4(5)6/h3H,1-2H3",,,,,,,,,,,,,,
ISALA,True,I-,Fine sea salt iodine,126.9,InChI=1S/HI/h1H/p-1,,,,,,,,,,,,,,
ISALC,True,I-,Coarse sea salt iodine,126.9,InChI=1S/HI/h1H/p-1,,,,,,,,,,,,,,
ISOP,True,CH2=C(CH3)CH=CH2,Isoprene,68.13,"InChI=1S/C5H8/c1-4-5(2)3/h4H,1-2H2,3H3",,,,,,,,,,,,,,
ISOPNOO1,False,C5H10NO7,Peroxy radicals from IHN2,196.16,"InChI=1S/C5H10NO7/c1-5(3-7,13-6(9)10)4(8)2-12-11/h4,7-8H,2-3H2,1H3;InChI=1S/C5H10NO7/c1-5(3-8,13-6(9)10)4(2-7)12-11/h4,7-8H,2-3H2,1H3",,,,,,,,,,,,,,
ISOPNOO2,False,C5H10NO7,Peroxy radicals from IHN3,196.16,"InChI=1S/C5H10NO7/c1-5(3-8,13-11)4(2-7)12-6(9)10/h4,7-8H,2-3H2,1H3;InChI=1S/C5H10NO7/c1-5(8,3-12-11)4(2-7)13-6(9)10/h4,7-8H,2-3H2,1H3",,,,,,,,,,,,,,
ITCN,False,C5H9NO7,lumped isoprene tetrafunctional carbonylnitrates,195.15,"InChI=1S/C5H7NO5/c1-5(3-10-5)4(7)2-11-6(8)9/h2-3H2,1H3;InChI=1S/C5H7NO5/c1-5(3-7)4(11-5)2-10-6(8)9/h3-4H,2H2,1H3;InChI=1S/C5H9NO6/c1-5(3-8,4(9)2-7)12-6(10)11/h3-4,7,9H,2H2,1H3;InChI=1S/C5H9NO6/c1-5(3-8,4(9)2-7)12-6(10)11/h7-8H,2-3H2,1H3;InChI=1S/C5H9NO6/c1-5(9,3-8)4(2-7)12-6(10)11/h2,4,8-9H,3H2,1H3;InChI=1S/C5H9NO7/c1-5(13-11,4(8)2-7)3-12-6(9)10/h2,4,8,11H,3H2,1H3;InChI=1S/C5H9NO7/c1-5(3-7,13-11)4(8)2-12-6(9)10/h3-4,8,11H,2H2,1H3;InChI=1S/C5H9NO7/c1-5(3-7,13-11)4(8)2-12-6(9)10/h7,11H,2-3H2,1H3;InChI=1S/C5H9NO7/c1-5(3-7,13-6(9)10)4(8)2-12-11/h3-4,8,11H,2H2,1H3;InChI=1S/C5H9NO7/c1-5(3-8,13-11)4(2-7)12-6(9)10/h2,4,8,11H,3H2,1H3;InChI=1S/C5H9NO7/c1-5(3-8,13-11)4(2-7)12-6(9)10/h3-4,7,11H,2H2,1H3;InChI=1S/C5H9NO7/c1-5(3-8,13-6(9)10)4(2-7)12-11/h2,4,8,11H,3H2,1H3;InChI=1S/C5H9NO7/c1-5(3-8,13-6(9)10)4(2-7)12-11/h3-4,7,11H,2H2,1H3;InChI=1S/C5H9NO7/c1-5(8,3-12-11)4(2-7)13-6(9)10/h2,4,8,11H,3H2,1H3;InChI=1S/C5H9NO7/c1-5(8,3-12-6(9)10)4(2-7)13-11/h2,4,8,11H,3H2,1H3;InChI=1S/C5H9NO7/c1-5(8,3-12-6(9)10)4(7)2-13-11/h8,11H,2-3H2,1H3;InChI=1S/C5H9NO7/c1-5(8,3-7)4(13-11)2-12-6(9)10/h3-4,8,11H,2H2,1H3",,,,,,,,,,,,,,
ITHN,False,C5H11NO7,Lumped isoprene tetrafunctional hydroxynitrates,197.17,"InChI=1S/C5H11NO7/c1-5(13-11,4(8)2-7)3-12-6(9)10/h4,7-8,11H,2-3H2,1H3;InChI=1S/C5H11NO7/c1-5(3-7,13-11)4(8)2-12-6(9)10/h4,7-8,11H,2-3H2,1H3;InChI=1S/C5H11NO7/c1-5(3-7,13-6(9)10)4(8)2-12-11/h4,7-8,11H,2-3H2,1H3;InChI=1S/C5H11NO7/c1-5(3-8,13-11)4(2-7)12-6(9)10/h4,7-8,11H,2-3H2,1H3;InChI=1S/C5H11NO7/c1-5(3-8,13-6(9)10)4(2-7)12-11/h4,7-8,11H,2-3H2,1H3;InChI=1S/C5H11NO7/c1-5(8,3-12-11)4(2-7)13-6(9)10/h4,7-8,11H,2-3H2,1H3;InChI=1S/C5H11NO7/c1-5(8,3-12-6(9)10)4(2-7)13-11/h4,7-8,11H,2-3H2,1H3;InChI=1S/C5H11NO7/c1-5(8,3-12-6(9)10)4(7)2-13-11/h4,7-8,11H,2-3H2,1H3;InChI=1S/C5H11NO7/c1-5(8,3-13-11)4(7)2-12-6(9)10/h4,7-8,11H,2-3H2,1H3;InChI=1S/C5H11NO7/c1-5(8,3-7)4(13-11)2-12-6(9)10/h4,7-8,11H,2-3H2,1H3;InChI=1S/C5H11NO8/c1-5(14-11,3-12-6(8)9)4(2-7)13-10/h4,7,10-11H,2-3H2,1H3;InChI=1S/C5H11NO8/c1-5(14-11,3-12-6(8)9)4(7)2-13-10/h4,7,10-11H,2-3H2,1H3;InChI=1S/C5H11NO8/c1-5(14-11,3-13-10)4(7)2-12-6(8)9/h4,7,10-11H,2-3H2,1H3;InChI=1S/C5H11NO8/c1-5(3-7,14-11)4(13-10)2-12-6(8)9/h4,7,10-11H,2-3H2,1H3;InChI=1S/C5H11NO8/c1-5(7,3-12-6(8)9)4(14-11)2-13-10/h4,7,10-11H,2-3H2,1H3;InChI=1S/C5H11NO8/c1-5(7,3-13-10)4(14-11)2-12-6(8)9/h4,7,10-11H,2-3H2,1H3;InChI=1S/C5H9NO5/c1-5(3-10-5)4(7)2-11-6(8)9/h4,7H,2-3H2,1H3;InChI=1S/C5H9NO5/c1-5(3-7)4(11-5)2-10-6(8)9/h4,7H,2-3H2,1H3;InChI=1S/C5H9NO5/c1-5(7,4-2-10-4)3-11-6(8)9/h4,7H,2-3H2,1H3;InChI=1S/C5H9NO7/c1-4(2-12-10)5(7,13-4)3-11-6(8)9/h7,10H,2-3H2,1H3;InChI=1S/C5H9NO7/c1-5(13-10,2-11-6(8)9)3-4(7)12-3/h3-4,7,10H,2H2,1H3;InChI=1S/C5H9NO7/c1-5(4(7)12-5)3(13-10)2-11-6(8)9/h3-4,7,10H,2H2,1H3",,,,,,,,,,,,,,
KO2,False,C4H5O3,Peroxy radical from >3 ketones,101.09,,,,,,,,,,,,,,,
LIMAL,idk,C10H16O2,Aldehyde from limonene,186.28,"InChI=1S/C10H16O2/c1-6(2)8-5-9(11)7(3)4-10(8)12/h4,6,8,10,12H,5H2,1-3H3/t8-,10+/m0/s1
InChI=1S/C10H16O2/c1-6(2)8-5-9(11)7(3)4-10(8)12/h4,6,8,10,12H,5H2,1-3H3/t8-,10-/m0/s1",,,,,,,,,,,,,,
LIMKB,idk,C10H16O3,2nd gen ketone from limonene,186.28,"InChI=1S/C10H16O3/c1-2-13-10(12)7-9(11)8-5-3-4-6-8/h8H,2-7H2,1H3",,,,,,,,,,,,,,
LIMKET,idk,C10H16O2,Ketone from limonene,186.28,"InChI=1S/C10H16O2/c1-6(2)8-5-9(11)7(3)4-10(8)12/h4,6,8,10,12H,5H2,1-3H3/t8-,10+/m0/s1
InChI=1S/C10H16O2/c1-6(2)8-5-9(11)7(3)4-10(8)12/h4,6,8,10,12H,5H2,1-3H3/t8-,10-/m0/s1",,,,,,,,,,,,,,
LIMKO2,False,C10H17O3,2nd-gen peroxy radical from LIMO,185.27,,,,,,,,,,,,,,,
LIMN,False,C10H17NO4,Saturated 1st gen limonene organic nitrate,215.28,,,,,,,,,,,,,,,
LIMNB,False,C10H15NO4,Saturated 1st gen LIMO organic nitrate,215.28,,,,,,,,,,,,,,,
LIMO,True,C10H16,Limonene,136.26,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,10H,1,5-7H2,2-3H3",,,,,,,,,,,,,,
LIMO2,idk,C10H17O3,Peroxy radical from LIMO,185.27,"InChI=1S/C10H17O3/c1-7(2)8-4-5-10(3,13-12)9(11)6-8/h8-9,11H,1,4-6H2,2-3H3;InChI=1S/C10H17O3/c1-7(2)8-4-5-10(3,11)9(6-8)13-12/h8-9,11H,1,4-6H2,2-3H3;InChI=1S/C10H17O3/c1-8-3-5-9(6-4-8)10(2,7-11)13-12/h3,9,11H,4-7H2,1-2H3",,,,,,,,,,,,,,
LIMO2H,idk,C10H18O3,Acid from LIMO,186.28,"InChI=1S/C10H18O3/c1-2-13-9(12)10(8-11)6-4-3-5-7-10/h11H,2-8H2,1H3",,,,,,,,,,,,,,
LIMO3,idk,C10H17O3,Acylperoxy radical from LIMO,185.27,,,,,,,,,,,,,,,
LIMO3H,idk,C10H18O4,Peracid from LIMO,186.28,"InChI=1S/C10H18O4/c1-3-7-11-9(5-1)13-14-10-6-2-4-8-12-10/h9-10H,1-8H2",,,,,,,,,,,,,,
LIMPAN,idk,C10H17NO4,PAN from LIMO,215.28,,,,,,,,,,,,,,,
LISOPNO3,NA,,Dummy species to track oxidation of ISOP by NO3,68.13,None,,,,,,,,,,,,,,
LISOPOH,NA,,Dummy species to track oxidation of ISOP by OH,68.13,None,,,,,,,,,,,,,,
LNRO2H,NA,,Dummy species to track oxidation of NRO2 by HO2,159.17,None,,,,,,,,,,,,,,
