Time [sec]	Time (UTC)	P [mB]	T [°F]	Hu [%]	Ws [mi/h]	Wd [°]	Ws U [mi/h]	Ws V [mi/h]	Geopot [m]	Dew [°F]
0         	17:00:27  	873.3 	31.1  	20    	11.3     	113   	-10.4      	4.4        	1288      	5.5
2         	17:00:29  	870.9 	28.5  	21    	11.2     	136   	-7.8       	8.0        	1312      	4.3
4         	17:00:31  	868.5 	28.4  	22    	11.2     	136   	-7.8       	8.0        	1337      	5.0
6         	17:00:33  	866.2 	28.4  	23    	11.2     	136   	-7.8       	8.0        	1361      	5.3
8         	17:00:35  	864.2 	28.3  	23    	12.5     	132   	-9.2       	8.4        	1385      	5.5
10        	17:00:37  	862.2 	28.3  	24    	12.7     	132   	-9.4       	8.5        	1410      	5.6
12        	17:00:39  	860.3 	28.3  	24    	12.7     	132   	-9.5       	8.5        	1421      	5.7
14        	17:00:41  	859.8 	28.2  	24    	12.7     	132   	-9.5       	8.5        	1425      	5.8
16        	17:00:43  	859.3 	28.1  	24    	12.9     	132   	-9.6       	8.6        	1431      	5.7
18        	17:00:45  	858.8 	28.0  	24    	12.9     	132   	-9.6       	8.6        	1436      	5.7
20        	17:00:47  	858.2 	28.0  	24    	12.9     	132   	-9.6       	8.6        	1442      	5.7
22        	17:00:49  	857.7 	27.9  	24    	12.9     	132   	-9.6       	8.6        	1448      	5.7
24        	17:00:51  	857.1 	27.8  	24    	12.9     	132   	-9.6       	8.6        	1454      	5.7
26        	17:00:53  	856.6 	27.8  	24    	12.9     	132   	-9.6       	8.6        	1460      	5.7
28        	17:00:55  	856.0 	27.7  	24    	12.9     	132   	-9.6       	8.6        	1465      	5.6
30        	17:00:57  	855.5 	27.8  	25    	12.9     	132   	-9.6       	8.6        	1471      	5.7
32        	17:00:59  	855.0 	27.7  	25    	12.9     	132   	-9.6       	8.6        	1477      	5.6
34        	17:01:01  	854.5 	27.8  	25    	12.8     	132   	-9.6       	8.5        	1482      	5.7
36        	17:01:03  	854.0 	27.8  	25    	12.6     	131   	-9.6       	8.2        	1486      	5.7
38        	17:01:05  	853.6 	27.7  	24    	12.6     	130   	-9.6       	8.1        	1490      	5.6
