Time [sec]	Time (UTC)	P [mB]	T [°F]	Hu [%]	Ws [mi/h]	Wd [°]	Ws U [mi/h]	Ws V [mi/h]	Geopot [m]	Dew [°F]
0         	17:00:28  	872.7 	26.1  	18    	7.8      	330   	3.9        	-6.8       	1288      	0.6
2         	17:00:30  	871.0 	25.0  	19    	5.5      	354   	0.6        	-5.5       	1306      	0.0
4         	17:00:32  	869.2 	24.7  	20    	5.5      	354   	0.6        	-5.5       	1324      	0.5
6         	17:00:34  	867.4 	24.6  	21    	6.4      	344   	1.8        	-6.1       	1341      	0.9
8         	17:00:36  	866.2 	24.4  	22    	9.8      	325   	5.6        	-8.1       	1356      	1.1
10        	17:00:38  	864.9 	24.2  	22    	9.8      	325   	5.6        	-8.1       	1368      	1.3
12        	17:00:40  	863.7 	24.1  	23    	9.8      	325   	5.6        	-8.1       	1379      	1.5
14        	17:00:42  	862.6 	24.1  	23    	9.8      	325   	5.6        	-8.1       	1391      	1.7
16        	17:00:44  	861.4 	24.0  	23    	9.8      	325   	5.6        	-8.1       	1402      	1.9
18        	17:00:46  	860.3 	23.8  	24    	9.8      	325   	5.6        	-8.1       	1413      	2.0
20        	17:00:48  	859.1 	23.6  	24    	10.0     	326   	5.5        	-8.3       	1425      	1.9
22        	17:00:50  	857.8 	23.5  	24    	10.0     	327   	5.4        	-8.4       	1438      	1.9
24        	17:00:52  	856.6 	23.4  	24    	10.0     	328   	5.3        	-8.5       	1451      	1.9
26        	17:00:54  	855.3 	23.3  	24    	10.0     	328   	5.3        	-8.5       	1465      	1.9
28        	17:00:56  	854.0 	23.2  	25    	10.0     	329   	5.2        	-8.5       	1478      	1.9
30        	17:00:58  	852.7 	23.1  	25    	10.1     	330   	5.1        	-8.7       	1490      	1.8
32        	17:01:00  	851.5 	22.9  	25    	10.0     	332   	4.7        	-8.8       	1503      	1.8
34        	17:01:02  	850.4 	22.8  	25    	9.9      	332   	4.6        	-8.8       	1515      	1.7
36        	17:01:04  	849.2 	22.7  	25    	9.9      	333   	4.5        	-8.8       	1527      	1.7
38        	17:01:06  	847.7 	22.5  	25    	9.8      	333   	4.4        	-8.8       	1540      	1.6
40        	17:01:08  	846.3 	22.4  	25    	9.8      	333   	4.4        	-8.8       	1555      	1.7
42        	17:01:10  	844.9 	22.2  	26    	9.8      	333   	4.4        	-8.8       	1571      	1.7
44        	17:01:12  	843.3 	22.1  	26    	9.9      	333   	4.5        	-8.8       	1586      	1.6
46        	17:01:14  	841.8 	21.9  	26    	9.9      	332   	4.7        	-8.7       	1602      	1.6
48        	17:01:16  	840.2 	21.8  	26    	9.9      	330   	4.9        	-8.6       	1619      	1.6
50        	17:01:18  	838.7 	21.6  	27    	9.9      	330   	5.0        	-8.5       	1635      	1.6
52        	17:01:20  	837.2 	21.5  	27    	9.9      	328   	5.2        	-8.4       	1650      	1.6
54        	17:01:22  	835.7 	21.3  	27    	9.9      	327   	5.4        	-8.3       	1666      	1.6
56        	17:01:24  	834.2 	21.2  	27    	9.9      	326   	5.6        	-8.2       	1681      	1.6
58        	17:01:26  	832.7 	21.0  	27    	10.0     	324   	5.8        	-8.1       	1697      	1.5
60        	17:01:28  	831.2 	21.0  	27    	9.9      	324   	5.9        	-8.0       	1712      	1.5
62        	17:01:30  	829.7 	20.8  	27    	9.9      	322   	6.1        	-7.8       	1727      	1.4
64        	17:01:32  	828.2 	20.6  	27    	10.0     	322   	6.2        	-7.8       	1743      	1.2
66        	17:01:34  	826.8 	20.3  	27    	10.0     	322   	6.2        	-7.8       	1758      	0.7
68        	17:01:36  	825.5 	20.2  	26    	10.0     	322   	6.2        	-7.8       	1773      	0.3
70        	17:01:38  	824.2 	20.2  	26    	9.9      	322   	6.1        	-7.8       	1786      	-0.1
72        	17:01:40  	822.9 	20.2  	25    	9.9      	323   	6.0        	-7.9       	1799      	-0.3
74        	17:01:42  	821.9 	20.2  	25    	9.9      	323   	5.9        	-7.9       	1810      	-0.3
76        	17:01:44  	821.0 	20.1  	25    	9.9      	324   	5.8        	-8.0       	1819      	-0.3
78        	17:01:46  	820.1 	19.9  	25    	10.0     	324   	5.8        	-8.1       	1828      	-0.4
80        	17:01:48  	819.0 	19.6  	26    	9.9      	325   	5.7        	-8.1       	1839      	-0.5
82        	17:01:50  	817.9 	19.4  	26    	9.9      	326   	5.6        	-8.2       	1850      	-0.4
84        	17:01:52  	816.9 	19.4  	26    	9.8      	326   	5.5        	-8.1       	1862      	-0.5
86        	17:01:54  	815.7 	19.2  	26    	9.6      	326   	5.4        	-7.9       	1874      	-0.6
88        	17:01:56  	814.6 	19.3  	26    	9.4      	326   	5.3        	-7.8       	1886      	-0.8
90        	17:01:58  	813.5 	19.6  	25    	9.3      	325   	5.3        	-7.6       	1897      	-0.9
92        	17:02:00  	812.6 	19.8  	24    	9.0      	324   	5.3        	-7.3       	1906      	-1.1
94        	17:02:02  	811.8 	19.7  	24    	8.9      	323   	5.3        	-7.1       	1915      	-1.6
96        	17:02:04  	810.9 	19.5  	23    	8.5      	322   	5.3        	-6.7       	1925      	-2.2
98        	17:02:06  	810.0 	19.4  	23    	8.2      	320   	5.3        	-6.3       	1935      	-2.5
100       	17:02:08  	809.0 	19.4  	23    	7.9      	317   	5.4        	-5.8       	1945      	-2.5
102       	17:02:10  	808.1 	19.3  	23    	7.6      	314   	5.4        	-5.3       	1954      	-2.5
104       	17:02:12  	807.3 	19.3  	23    	7.5      	313   	5.5        	-5.1       	1963      	-2.5
106       	17:02:14  	806.4 	19.2  	23    	7.4      	311   	5.6        	-4.8       	1972      	-2.6
108       	17:02:16  	805.6 	19.0  	23    	7.2      	309   	5.6        	-4.5       	1981      	-2.7
110       	17:02:18  	804.7 	19.0  	23    	6.6      	304   	5.5        	-3.7       	1990      	-2.8
112       	17:02:20  	803.8 	18.9  	23    	6.2      	299   	5.4        	-3.0       	1999      	-2.9
114       	17:02:22  	802.8 	18.9  	23    	5.8      	293   	5.3        	-2.3       	2010      	-2.9
116       	17:02:24  	801.8 	19.0  	23    	5.5      	288   	5.2        	-1.7       	2022      	-2.8
118       	17:02:26  	800.7 	19.0  	23    	5.2      	283   	5.1        	-1.2       	2034      	-2.8
120       	17:02:28  	799.6 	18.9  	23    	4.9      	278   	4.9        	-0.7       	2045      	-2.9
