time_local,Mobile Lab O3,time_UTC
2024-07-15 00:00:00,,2024-07-15 06:00:00
2024-07-15 01:00:00,,2024-07-15 07:00:00
2024-07-15 02:00:00,,2024-07-15 08:00:00
2024-07-15 03:00:00,,2024-07-15 09:00:00
2024-07-15 04:00:00,,2024-07-15 10:00:00
2024-07-15 05:00:00,,2024-07-15 11:00:00
2024-07-15 06:00:00,,2024-07-15 12:00:00
2024-07-15 07:00:00,,2024-07-15 13:00:00
2024-07-15 08:00:00,,2024-07-15 14:00:00
2024-07-15 09:00:00,,2024-07-15 15:00:00
2024-07-15 10:00:00,,2024-07-15 16:00:00
2024-07-15 11:00:00,,2024-07-15 17:00:00
2024-07-15 12:00:00,,2024-07-15 18:00:00
2024-07-15 13:00:00,,2024-07-15 19:00:00
2024-07-15 14:00:00,,2024-07-15 20:00:00
2024-07-15 15:00:00,,2024-07-15 21:00:00
2024-07-15 16:00:00,,2024-07-15 22:00:00
2024-07-15 17:00:00,,2024-07-15 23:00:00
2024-07-15 18:00:00,,2024-07-16 00:00:00
2024-07-15 19:00:00,,2024-07-16 01:00:00
2024-07-15 20:00:00,,2024-07-16 02:00:00
2024-07-15 21:00:00,,2024-07-16 03:00:00
2024-07-15 22:00:00,,2024-07-16 04:00:00
2024-07-15 23:00:00,,2024-07-16 05:00:00
2024-07-16 00:00:00,,2024-07-16 06:00:00
2024-07-16 01:00:00,,2024-07-16 07:00:00
2024-07-16 02:00:00,,2024-07-16 08:00:00
2024-07-16 03:00:00,,2024-07-16 09:00:00
2024-07-16 04:00:00,,2024-07-16 10:00:00
2024-07-16 05:00:00,,2024-07-16 11:00:00
2024-07-16 06:00:00,,2024-07-16 12:00:00
2024-07-16 07:00:00,,2024-07-16 13:00:00
2024-07-16 08:00:00,,2024-07-16 14:00:00
2024-07-16 09:00:00,,2024-07-16 15:00:00
2024-07-16 10:00:00,60.73193996264294,2024-07-16 16:00:00
2024-07-16 11:00:00,68.98522222222222,2024-07-16 17:00:00
2024-07-16 12:00:00,78.15944444444443,2024-07-16 18:00:00
2024-07-16 13:00:00,84.03555555555556,2024-07-16 19:00:00
2024-07-16 14:00:00,74.29166666666666,2024-07-16 20:00:00
2024-07-16 15:00:00,70.25572222222222,2024-07-16 21:00:00
2024-07-16 16:00:00,68.19866666666667,2024-07-16 22:00:00
2024-07-16 17:00:00,69.64444444444445,2024-07-16 23:00:00
2024-07-16 18:00:00,68.32255417609443,2024-07-17 00:00:00
2024-07-16 19:00:00,63.492777777777775,2024-07-17 01:00:00
2024-07-16 20:00:00,54.849444444444444,2024-07-17 02:00:00
2024-07-16 21:00:00,52.777,2024-07-17 03:00:00
2024-07-16 22:00:00,55.57205555555556,2024-07-17 04:00:00
2024-07-16 23:00:00,57.87316666666666,2024-07-17 05:00:00
2024-07-17 00:00:00,58.56827777777778,2024-07-17 06:00:00
2024-07-17 01:00:00,57.631888888888895,2024-07-17 07:00:00
2024-07-17 02:00:00,53.43827777777778,2024-07-17 08:00:00
2024-07-17 03:00:00,53.08983333333333,2024-07-17 09:00:00
2024-07-17 04:00:00,52.17627777777778,2024-07-17 10:00:00
2024-07-17 05:00:00,52.667611111111114,2024-07-17 11:00:00
2024-07-17 06:00:00,52.37694444444444,2024-07-17 12:00:00
2024-07-17 07:00:00,50.40661111111112,2024-07-17 13:00:00
2024-07-17 08:00:00,49.158833333333334,2024-07-17 14:00:00
2024-07-17 09:00:00,51.76241330413468,2024-07-17 15:00:00
2024-07-17 10:00:00,54.58820958128602,2024-07-17 16:00:00
2024-07-17 11:00:00,60.67238888888889,2024-07-17 17:00:00
2024-07-17 12:00:00,72.0985,2024-07-17 18:00:00
2024-07-17 13:00:00,73.89061111111113,2024-07-17 19:00:00
2024-07-17 14:00:00,79.05911111111112,2024-07-17 20:00:00
2024-07-17 15:00:00,80.7939147205498,2024-07-17 21:00:00
2024-07-17 16:00:00,81.72917303715866,2024-07-17 22:00:00
2024-07-17 17:00:00,81.97511111111112,2024-07-17 23:00:00
2024-07-17 18:00:00,82.36334786854746,2024-07-18 00:00:00
2024-07-17 19:00:00,75.54822222222222,2024-07-18 01:00:00
2024-07-17 20:00:00,66.638,2024-07-18 02:00:00
2024-07-17 21:00:00,58.59688888888889,2024-07-18 03:00:00
2024-07-17 22:00:00,59.88161111111111,2024-07-18 04:00:00
2024-07-17 23:00:00,57.288000000000004,2024-07-18 05:00:00
2024-07-18 00:00:00,62.01811111111111,2024-07-18 06:00:00
2024-07-18 01:00:00,58.80711111111111,2024-07-18 07:00:00
2024-07-18 02:00:00,57.03633333333333,2024-07-18 08:00:00
2024-07-18 03:00:00,56.221833333333336,2024-07-18 09:00:00
2024-07-18 04:00:00,55.61316666666667,2024-07-18 10:00:00
2024-07-18 05:00:00,51.07844444444444,2024-07-18 11:00:00
2024-07-18 06:00:00,40.43138888888889,2024-07-18 12:00:00
2024-07-18 07:00:00,41.167944444444444,2024-07-18 13:00:00
2024-07-18 08:00:00,41.97688888888889,2024-07-18 14:00:00
2024-07-18 09:00:00,46.203611111111115,2024-07-18 15:00:00
2024-07-18 10:00:00,56.647463757834146,2024-07-18 16:00:00
2024-07-18 11:00:00,66.88244444444445,2024-07-18 17:00:00
2024-07-18 12:00:00,77.3427161135972,2024-07-18 18:00:00
2024-07-18 13:00:00,79.400698212783,2024-07-18 19:00:00
2024-07-18 14:00:00,,2024-07-18 20:00:00
2024-07-18 15:00:00,,2024-07-18 21:00:00
2024-07-18 16:00:00,,2024-07-18 22:00:00
2024-07-18 17:00:00,,2024-07-18 23:00:00
2024-07-18 18:00:00,58.99855552662224,2024-07-19 00:00:00
2024-07-18 19:00:00,56.29077777777778,2024-07-19 01:00:00
2024-07-18 20:00:00,54.91811111111111,2024-07-19 02:00:00
2024-07-18 21:00:00,51.2335,2024-07-19 03:00:00
2024-07-18 22:00:00,45.05272222222222,2024-07-19 04:00:00
2024-07-18 23:00:00,50.57222222222222,2024-07-19 05:00:00
2024-07-19 00:00:00,53.737222222222215,2024-07-19 06:00:00
2024-07-19 01:00:00,52.34738888888889,2024-07-19 07:00:00
2024-07-19 02:00:00,48.40838888888889,2024-07-19 08:00:00
2024-07-19 03:00:00,42.49633333333334,2024-07-19 09:00:00
2024-07-19 04:00:00,40.70288888888889,2024-07-19 10:00:00
2024-07-19 05:00:00,39.22955555555555,2024-07-19 11:00:00
2024-07-19 06:00:00,37.912222222222226,2024-07-19 12:00:00
2024-07-19 07:00:00,35.01755555555556,2024-07-19 13:00:00
2024-07-19 08:00:00,30.149722222222223,2024-07-19 14:00:00
2024-07-19 09:00:00,42.221388888888896,2024-07-19 15:00:00
2024-07-19 10:00:00,52.305,2024-07-19 16:00:00
2024-07-19 11:00:00,58.19233333333334,2024-07-19 17:00:00
2024-07-19 12:00:00,64.14766666666667,2024-07-19 18:00:00
2024-07-19 13:00:00,75.59146256767553,2024-07-19 19:00:00
2024-07-19 14:00:00,78.27598934247325,2024-07-19 20:00:00
2024-07-19 15:00:00,74.49811111111111,2024-07-19 21:00:00
2024-07-19 16:00:00,68.8943888888889,2024-07-19 22:00:00
2024-07-19 17:00:00,65.1836111111111,2024-07-19 23:00:00
2024-07-19 18:00:00,65.09910405798382,2024-07-20 00:00:00
2024-07-19 19:00:00,62.75483333333334,2024-07-20 01:00:00
2024-07-19 20:00:00,58.09783333333333,2024-07-20 02:00:00
2024-07-19 21:00:00,50.183277777777775,2024-07-20 03:00:00
2024-07-19 22:00:00,50.88033333333333,2024-07-20 04:00:00
2024-07-19 23:00:00,49.64405555555556,2024-07-20 05:00:00
2024-07-20 00:00:00,50.55272222222223,2024-07-20 06:00:00
2024-07-20 01:00:00,49.82355555555556,2024-07-20 07:00:00
2024-07-20 02:00:00,47.60744444444444,2024-07-20 08:00:00
2024-07-20 03:00:00,43.753055555555555,2024-07-20 09:00:00
2024-07-20 04:00:00,43.864111111111114,2024-07-20 10:00:00
2024-07-20 05:00:00,41.91166666666666,2024-07-20 11:00:00
2024-07-20 06:00:00,40.00266666666667,2024-07-20 12:00:00
2024-07-20 07:00:00,35.201277777777776,2024-07-20 13:00:00
2024-07-20 08:00:00,39.24622222222222,2024-07-20 14:00:00
2024-07-20 09:00:00,44.30961111111111,2024-07-20 15:00:00
2024-07-20 10:00:00,45.989777777777775,2024-07-20 16:00:00
