UDAQ_mixing_height_m_15min_avg,UDAQ_mixing_height_m_15min_avg_smoothed,Time_start_15min_local
1339.3334,1437.8066,3803996700
1325.3334,1401.4609,3803997600
1315.3334,1357.3882,3803998500
1305.3334,1315.6689,3803999400
1295.3334,1268.4194,3804000300
1284.1666,1215.8978,3804001200
1271.6666,1158.6058,3804002100
1259.1666,1097.2888,3804003000
1246.6666,1032.9203,3804003900
1142,966.6687,3804004800
932,899.84814,3804005700
722,833.85095,3804006600
512,770.06635,3804007500
421,695.65479,3804008400
466,628.27795,3804009300
511,580.93292,3804010200
556,539.52777,3804011100
580,503.88419,3804012000
580,473.43323,3804012900
580,447.33298,3804013800
580,424.70242,3804014700
573.875,405.00946,3804015600
560.75,388.65591,3804016500
547.625,376.52347,3804017400
534.5,364.52142,3804018300
521.375,350.48999,3804019200
508.25,350.48999,3804020100
495.125,350.48999,3804021000
482,350.37103,3804021900
468.875,349.89993,3804022800
455.75,349.43036,3804023700
442.625,348.96082,3804024600
429.5,348.49127,3804025500
416.375,348.02173,3804026400
403.25,347.55219,3804027300
390.125,347.08264,3804028200
377,346.61307,3804029100
370,346.02615,3804030000
370,345.43921,3804030900
370,344.96967,3804031800
370,344.50009,3804032700
408.5,344.03055,3804033600
491,343.561,3804034500
573.5,343.09146,3804035400
656,342.62192,3804036300
675.5,342.15237,3804037200
623,341.6828,3804038100
570.5,341.21326,3804039000
518,341.07745,3804039900
455,341.6463,3804040800
380,343.73843,3804041700
305,347.47269,3804042600
230,353.74493,3804043500
409.33334,363.24081,3804044400
879.33331,376.60498,3804045300
1349.3334,394.40598,3804046200
1819.3334,417.10547,3804047100
2070,445.03247,3804048000
2070,478.36404,3804048900
2070,517.11304,3804049800
2070,561.12274,3804050700
2018.6666,623.24884,3804051600
1908.6666,691.64923,3804052500
1798.6666,750.5177,3804053400
1688.6666,812.05347,3804054300
1630,875.37305,3804055200
1630,939.53967,3804056100
1630,1003.595,3804057000
1630,1066.5912,3804057900
1577.5,1127.6212,3804058800
1465,1185.8489,3804059700
1352.5,1240.5332,3804060600
1240,1291.0511,3804061500
1183.5,1347.3435,3804062400
1191,1396.2659,3804063300
1198.5,1429.3129,3804064200
1206,1457.1549,3804065100
1210,1479.9583,3804066000
1210,1498.011,3804066900
1210,1511.7036,3804067800
1210,1521.5046,3804068700
1255.5,1527.9333,3804069600
1353,1531.5309,3804070500
1450.5,1532.83,3804071400
1548,1532.3256,3804072300
1601.1666,1529.7554,3804073200
1603.6666,1525.767,3804074100
1606.1666,1521.6935,3804075000
1608.6666,1516.92,3804075900
1596,1511.3479,3804076800
1566,1504.7444,3804077700
1536,1496.7521,3804078600
1506,1486.9062,3804079500
1488.8334,1474.6588,3804080400
1486.3334,1459.4097,3804081300
1483.8334,1440.5422,3804082200
1481.3334,1417.4645,3804083100
1499.8334,1381.6331,3804084000
1542.3334,1338.1838,3804084900
1584.8334,1297.0548,3804085800
1627.3334,1250.4739,3804086700
1645.3334,1198.6953,3804087600
1635.3334,1142.2139,3804088500
1625.3334,1081.7644,3804089400
1615.3334,1018.3065,3804090300
1477,952.99231,3804091200
1192,887.11713,3804092100
907,822.05359,3804093000
622,759.17145,3804093900
426.83334,685.81262,3804094800
334.33334,619.38904,3804095700
241.83333,572.71393,3804096600
149.33333,531.89453,3804097500
100,496.75525,3804098400
100,466.73511,3804099300
100,441.00409,3804100200
100,418.69373,3804101100
100,399.27939,3804102000
100,383.1572,3804102900
100,371.19641,3804103800
100,359.36417,3804104700
126.83334,352.62115,3804105600
184.33333,352.62115,3804106500
241.83333,352.62115,3804107400
299.33334,352.5015,3804108300
299.66666,352.02753,3804109200
234.66667,351.55511,3804110100
169.66667,351.0827,3804111000
104.66666,350.61029,3804111900
67.666664,350.13791,3804112800
62.666668,349.6655,3804113700
57.666668,349.19308,3804114600
52.666668,348.72067,3804115500
51.166668,348.13019,3804116400
53.666668,347.53967,3804117300
56.166668,347.06726,3804118200
58.666668,346.59488,3804119100
60,346.12247,3804120000
60,345.65005,3804120900
60,345.17764,3804121800
60,344.70526,3804122700
60,344.23285,3804123600
60,343.76044,3804124500
60,343.28802,3804125400
60,343.1514,3804126300
63.5,343.72372,3804127200
71,345.82855,3804128100
78.5,349.58551,3804129000
86,355.8959,3804129900
90,365.44952,3804130800
90,378.89496,3804131700
90,396.8042,3804132600
90,419.64172,3804133500
112.16666,447.73853,3804134400
159.66667,481.27277,3804135300
207.16667,520.25739,3804136200
254.66667,564.53473,3804137100
284.66666,627.03851,3804138000
294.66666,695.85486,3804138900
304.66666,755.08124,3804139800
314.66666,816.99121,3804140700
357.33334,880.69586,3804141600
437.33334,945.25262,3804142500
517.33331,1009.6975,3804143400
597.33331,1073.0767,3804144300
644.66669,1134.4779,3804145200
654.66669,1193.0594,3804146100
664.66669,1248.0764,3804147000
674.66669,1298.9015,3804147900
613.5,1355.5361,3804148800
471,1404.756,3804149700
328.5,1438.0039,3804150600
186,1466.0153,3804151500
267.5,1488.9573,3804152400
605,1507.1198,3804153300
942.5,1520.8956,3804154200
1280,1530.7562,3804155100
1469.3334,1537.224,3804156000
1489.3334,1540.8434,3804156900
1509.3334,1542.1504,3804157800
1529.3334,1541.6429,3804158700
1540,1539.0571,3804159600
1540,1535.0444,3804160500
1540,1530.9463,3804161400
1540,1526.1438,3804162300
1548.1666,1520.5378,3804163200
1565.6666,1513.894,3804164100
1583.1666,1505.8531,3804165000
1600.6666,1495.9474,3804165900
1619.3334,1483.6256,3804166800
1639.3334,1468.2837,3804167700
1659.3334,1449.3016,3804168600
1679.3334,1426.0835,3804169500
1522,1390.0342,3804170400
1162,1346.3208,3804171300
802,1304.9417,3804172200
442,1258.0775,3804173100
265.16666,1205.984,3804174000
297.66666,1149.1592,3804174900
330.16666,1088.3422,3804175800
362.66666,1024.4984,3804176700
380,958.78705,3804177600
380,892.51129,3804178500
380,827.05219,3804179400
380,763.78766,3804180300
380,689.98279,3804181200
380,623.15533,3804182100
380,576.19635,3804183000
380,535.12878,3804183900
347.33334,499.77579,3804184800
277.33334,469.57312,3804185700
207.33333,443.68567,3804186600
137.33333,421.23962,3804187500
188.66667,401.70724,3804188400
378.66666,385.48703,3804189300
568.66669,373.45349,3804190200
758.66669,361.54932,3804191100
815.08331,335.1644,3804192000
718.83331,335.1644,3804192900
622.58331,335.1644,3804193800
526.33331,335.05066,3804194700
430.08334,334.60016,3804195600
333.83334,334.15112,3804196500
237.58333,333.70212,3804197400
141.33333,333.25308,3804198300
128.5,332.80408,3804199200
211,332.35507,3804200100
293.5,331.90604,3804201000
376,331.45703,3804201900
380.33334,330.89575,3804202800
295.33334,330.33447,3804203700
210.33333,329.88547,3804204600
125.33334,329.43643,3804205500
106.83334,328.98743,3804206400
164.33333,328.53842,3804207300
221.83333,328.08939,3804208200
279.33334,327.64038,3804209100
315.83334,327.19135,3804210000
328.33334,326.74234,3804210900
340.83334,326.29333,3804211800
353.33334,326.16345,3804212700
368.16666,326.70743,3804213600
385.66666,328.70807,3804214500
403.16666,332.27902,3804215400
420.66666,338.27701,3804216300
391.5,347.3577,3804217200
309,360.13748,3804218100
226.5,377.16013,3804219000
144,398.86707,3804219900
100,425.57291,3804220800
100,457.44705,3804221700
100,494.50168,3804222600
100,536.58704,3804223500
125.66666,595.99658,3804224400
180.66667,661.40607,3804225300
235.66667,717.70044,3804226200
290.66666,776.54553,3804227100
293.16666,837.09637,3804228000
235.66667,898.45728,3804228900
178.16667,959.71173,3804229800
120.66666,1019.9532,3804230700
213.66667,1078.3147,3804231600
478.66666,1133.9962,3804232500
743.66669,1186.2896,3804233400
1008.6667,1234.5985,3804234300
1150,1288.4294,3804235200
1150,1335.2125,3804236100
1150,1366.8146,3804237000
1150,1393.4392,3804237900
1183.8334,1415.2454,3804238800
1256.3334,1432.5088,3804239700
1328.8334,1445.6027,3804240600
1401.3334,1454.9751,3804241500
1440.7778,1461.1227,3804242400
1442.4445,1464.5629,3804243300
1444.1111,1465.8052,3804244200
1445.7778,1465.3229,3804245100
1447.4445,1462.8651,3804246000
1449.1111,1459.051,3804246900
1450.7778,1455.1556,3804247800
1452.4445,1450.5909,3804248700
1454.1111,1445.2626,3804249600
1455.7778,1438.9478,3804250500
1457.4445,1431.3048,3804251400
1459.1111,1421.8895,3804252300
1460.7778,1410.1777,3804253200
1462.4445,1395.5953,3804254100
1464.1111,1377.553,3804255000
1465.7778,1355.4843,3804255900
1467.4445,1321.2195,3804256800
1469.1111,1279.6703,3804257700
1470.7778,1240.3397,3804258600
1472.4445,1195.7954,3804259500
1474.1111,1146.281,3804260400
1475.7778,1092.2692,3804261300
1477.4445,1034.463,3804262200
1479.1111,973.77985,3804263100
1480,911.32159,3804264000
1480,848.3269,3804264900
1480,786.1084,3804265800
1480,725.97583,3804266700
1478.8334,655.82471,3804267600
1476.3334,592.3056,3804268500
1473.8334,547.67133,3804269400
1471.3334,508.63687,3804270300
1332.3334,475.03406,3804271200
1037.3334,446.32657,3804272100
742.33331,421.7207,3804273000
447.33334,400.38586,3804273900
266.66666,381.82043,3804274800
216.66667,366.40323,3804275700
166.66667,354.96542,3804276600
116.66666,343.65054,3804277500
90,312.64774,3804278400
90,312.64774,3804279300
90,312.64774,3804280200
90,312.54163,3804281100
119.16666,312.1214,3804282000
181.66667,311.70255,3804282900
244.16667,311.28369,3804283800
306.66666,310.86484,3804284700
348.16666,310.44598,3804285600
365.66666,310.02713,3804286500
383.16666,309.60828,3804287400
400.66666,309.18942,3804288300
372.66666,308.66586,3804289200
292.66666,308.1423,3804290100
212.66667,307.72345,3804291000
132.66667,307.3046,3804291900
87.666664,306.88574,3804292800
82.666664,306.46689,3804293700
77.666664,306.04803,3804294600
72.666664,305.62918,3804295500
70,305.21033,3804296400
70,304.79147,3804297300
70,304.37262,3804298200
70,304.2515,3804299100
80.5,304.75891,3804300000
103,306.62515,3804300900
125.5,309.95621,3804301800
148,315.55124,3804302700
336.16666,324.02188,3804303600
713.66669,335.94312,3804304500
1091.1666,351.82214,3804305400
1468.6666,372.07077,3804306300
1670,396.98251,3804307200
1670,426.7153,3804308100
1670,461.28058,3804309000
1670,500.53857,3804309900
1479.8334,555.95691,3804310800
1072.3334,616.97217,3804311700
664.83331,669.48462,3804312600
257.33334,724.37646,3804313500
133.33333,780.85944,3804314400
333.33334,838.09802,3804315300
533.33331,895.23737,3804316200
733.33331,951.43176,3804317100
833,1005.8725,3804318000
818,1057.8134,3804318900
803,1106.5935,3804319800
788,1151.657,3804320700
791.66669,1201.8715,3804321600
816.66669,1245.5117,3804322500
841.66669,1274.9906,3804323400
866.66669,1299.8267,3804324300
915,1320.1678,3804325200
990,1336.2715,3804326100
1065,1348.4857,3804327000
1140,1357.2285,3804327900
1204.5,1362.9631,3804328800
1257,1366.1721,3804329700
1309.5,1367.3309,3804330600
1362,1366.8811,3804331500
1390,1364.5884,3804332400
1390,1361.0305,3804333300
1390,1357.397,3804334200
1390,1353.1389,3804335100
1458.8334,1348.1685,3804336000
1606.3334,1342.2778,3804336900
1753.8334,1335.1484,3804337800
1901.3334,1326.3656,3804338700
1980,1315.4406,3804339600
1980,1301.8379,3804340500
1980,1285.0076,3804341400
1980,1264.4215,3804342300
1759.5,1232.4587,3804343200
1287,1193.7008,3804344100
814.5,1157.0125,3804345000
342,1115.4608,3804345900
91.166664,1069.2727,3804346800
93.666664,1018.8895,3804347700
96.166664,964.96674,3804348600
98.666664,908.36041,3804349500
100,850.09814,3804350400
100,791.33551,3804351300
100,733.29688,3804352200
100,677.20404,3804353100
100,611.76575,3804354000
100,552.51392,3804354900
100,510.87823,3804355800
100,474.46613,3804356700
98.833336,443.12079,3804357600
96.333336,416.34192,3804358500
93.833336,393.3891,3804359400
91.333336,373.48758,3804360300
90,369.83743,3804361200
90,366.18729,3804362100
90,362.53717,3804363000
90,358.88702,3804363900
90,355.23688,3804364800
90,355.23688,3804365700
90,355.23688,3804366600
90,355.11633,3804367500
90,354.63882,3804368400
90,354.16293,3804369300
90,353.68701,3804370200
90,353.21109,3804371100
90,352.7352,3804372000
90,352.25928,3804372900
90,351.78339,3804373800
90,351.30746,3804374700
90,350.71259,3804375600
90,350.11771,3804376500
90,349.64178,3804377400
90,349.16589,3804378300
90,348.68997,3804379200
90,348.21405,3804380100
90,347.73816,3804381000
90,347.26224,3804381900
91.166664,346.78635,3804382800
93.666664,346.31042,3804383700
96.166664,345.83453,3804384600
98.666664,345.69687,3804385500
100,346.27344,3804386400
100,348.39389,3804387300
100,352.17871,3804388200
100,358.53589,3804389100
97.666664,368.1604,3804390000
92.666664,381.70557,3804390900
87.666664,399.74765,3804391800
82.666664,422.75458,3804392700
78.833336,451.05981,3804393600
76.333336,484.84283,3804394500
73.833336,524.11664,3804395400
