Time [sec]	Time (UTC)	P [mB]	T [°F]	Hu [%]	Ws [mi/h]	Wd [°]	Ws U [mi/h]	Ws V [mi/h]	Geopot [m]	Dew [°F]
0         	17:00:28  	879.6 	20.0  	42    	3.5      	315   	2.5        	-2.5       	1288      	6.7
2         	17:00:30  	876.4 	18.2  	44    	6.4      	330   	3.2        	-5.5       	1320      	5.9
4         	17:00:32  	873.2 	18.0  	45    	6.4      	330   	3.2        	-5.5       	1351      	5.9
6         	17:00:34  	870.0 	17.7  	46    	6.4      	330   	3.2        	-5.5       	1382      	5.9
8         	17:00:36  	866.8 	17.6  	46    	6.4      	330   	3.2        	-5.5       	1414      	6.0
10        	17:00:38  	863.6 	17.4  	47    	6.4      	323   	3.8        	-5.1       	1445      	6.0
12        	17:00:40  	860.4 	17.2  	48    	6.5      	315   	4.6        	-4.6       	1477      	6.0
14        	17:00:42  	859.2 	16.9  	49    	6.7      	311   	5.0        	-4.4       	1493      	6.1
16        	17:00:44  	857.9 	16.9  	49    	7.1      	301   	6.1        	-3.6       	1504      	6.2
18        	17:00:46  	856.6 	16.7  	50    	7.1      	301   	6.1        	-3.6       	1514      	6.2
20        	17:00:48  	855.5 	16.4  	50    	7.1      	301   	6.1        	-3.6       	1525      	6.0
22        	17:00:50  	854.5 	16.1  	51    	7.1      	301   	6.1        	-3.6       	1536      	5.9
24        	17:00:52  	853.4 	16.0  	51    	7.1      	301   	6.1        	-3.6       	1547      	5.9
26        	17:00:54  	852.3 	16.1  	51    	7.1      	301   	6.1        	-3.6       	1557      	6.0
28        	17:00:56  	851.2 	16.2  	51    	7.1      	301   	6.1        	-3.6       	1568      	6.1
30        	17:00:58  	850.1 	16.1  	52    	7.1      	301   	6.1        	-3.6       	1579      	6.1
32        	17:01:00  	849.1 	15.9  	52    	7.1      	301   	6.1        	-3.6       	1590      	6.1
34        	17:01:02  	848.0 	15.7  	52    	7.1      	301   	6.1        	-3.6       	1601      	5.9
36        	17:01:04  	846.9 	15.7  	52    	6.4      	304   	5.3        	-3.6       	1611      	5.9
38        	17:01:06  	845.7 	15.6  	52    	6.0      	307   	4.8        	-3.6       	1622      	5.9
40        	17:01:08  	844.5 	15.5  	53    	5.6      	309   	4.4        	-3.5       	1635      	5.9
42        	17:01:10  	843.3 	15.4  	53    	5.4      	310   	4.1        	-3.5       	1648      	5.8
44        	17:01:12  	841.8 	15.2  	53    	5.2      	312   	3.9        	-3.5       	1661      	5.7
46        	17:01:14  	840.4 	15.1  	53    	5.3      	311   	4.0        	-3.5       	1677      	5.7
48        	17:01:16  	838.9 	14.9  	54    	5.0      	314   	3.6        	-3.5       	1692      	5.6
50        	17:01:18  	837.4 	14.8  	54    	4.6      	318   	3.1        	-3.4       	1707      	5.6
52        	17:01:20  	835.9 	14.7  	55    	4.3      	322   	2.7        	-3.4       	1722      	5.6
54        	17:01:22  	834.4 	14.6  	55    	4.0      	325   	2.3        	-3.3       	1737      	5.7
56        	17:01:24  	833.4 	14.3  	55    	4.0      	326   	2.2        	-3.3       	1748      	5.5
58        	17:01:26  	832.4 	14.1  	56    	3.9      	328   	2.1        	-3.3       	1758      	5.4
60        	17:01:28  	831.4 	13.9  	57    	3.9      	329   	2.0        	-3.3       	1768      	5.5
62        	17:01:30  	830.4 	13.9  	57    	3.7      	329   	1.9        	-3.2       	1778      	5.5
64        	17:01:32  	829.5 	13.7  	57    	3.7      	331   	1.8        	-3.2       	1787      	5.5
66        	17:01:34  	828.6 	13.6  	58    	3.6      	330   	1.8        	-3.1       	1797      	5.4
68        	17:01:36  	827.6 	13.5  	58    	3.5      	331   	1.7        	-3.1       	1807      	5.4
70        	17:01:38  	826.6 	13.4  	58    	3.5      	331   	1.7        	-3.1       	1817      	5.4
72        	17:01:40  	825.6 	13.4  	58    	3.5      	331   	1.7        	-3.1       	1827      	5.4
74        	17:01:42  	824.5 	13.3  	59    	3.5      	329   	1.8        	-3.0       	1838      	5.4
76        	17:01:44  	823.5 	13.1  	59    	3.6      	328   	1.9        	-3.0       	1849      	5.3
78        	17:01:46  	822.4 	13.1  	59    	3.5      	327   	1.9        	-2.9       	1860      	5.4
80        	17:01:48  	821.5 	13.0  	60    	3.4      	324   	2.0        	-2.8       	1869      	5.4
82        	17:01:50  	820.5 	12.9  	60    	3.4      	322   	2.1        	-2.7       	1879      	5.3
84        	17:01:52  	819.6 	12.7  	60    	3.5      	321   	2.2        	-2.7       	1888      	5.2
86        	17:01:54  	818.6 	12.7  	60    	3.4      	320   	2.2        	-2.6       	1898      	5.2
88        	17:01:56  	817.7 	12.7  	60    	3.4      	322   	2.1        	-2.7       	1908      	5.2
90        	17:01:58  	816.7 	12.6  	60    	3.4      	326   	1.9        	-2.8       	1918      	5.2
92        	17:02:00  	815.8 	12.6  	59    	3.3      	329   	1.7        	-2.8       	1927      	4.8
94        	17:02:02  	814.9 	12.5  	57    	3.3      	333   	1.5        	-2.9       	1937      	4.3
96        	17:02:04  	814.0 	12.6  	56    	3.4      	337   	1.3        	-3.1       	1946      	4.0
