2024-08-24 16:47:43,886 - value: --
2024-08-24 16:47:43,889 - value: --
2024-08-24 16:47:43,889 - value: --
2024-08-24 16:47:44,879 - value: --
2024-08-24 16:47:45,883 - value: 25.62
2024-08-24 16:47:46,887 - value: 25.62
2024-08-24 16:47:47,384 - value: 25.44
2024-08-24 16:47:48,391 - value: 25.24
2024-08-24 16:47:49,389 - value: 25.22
2024-08-24 16:47:50,389 - value: 25.01
2024-08-24 16:47:51,390 - value: 24.96
2024-08-24 16:47:52,061 - value: 24.87
2024-08-24 16:47:52,897 - value: 24.89
2024-08-24 16:47:53,893 - value: 24.88
2024-08-24 16:47:54,895 - value: 24.87
2024-08-24 16:47:55,396 - value: 25.04
2024-08-24 16:47:56,398 - value: 25.33
2024-08-24 16:47:57,899 - value: 25.61
2024-08-24 16:47:58,400 - value: 26.32
2024-08-24 16:47:59,401 - value: 26.54
2024-08-24 16:47:59,900 - value: 26.71
2024-08-24 16:48:00,903 - value: 26.83
2024-08-24 16:48:01,904 - value: 26.79
2024-08-24 16:48:02,904 - value: 26.83
2024-08-24 16:48:03,405 - value: 26.80
2024-08-24 16:48:04,411 - value: 26.78
2024-08-24 16:48:05,407 - value: 26.72
2024-08-24 16:48:06,408 - value: 26.89
2024-08-24 16:48:07,408 - value: 26.93
2024-08-24 16:48:08,412 - value: 26.94
2024-08-24 16:48:08,911 - value: 26.91
2024-08-24 16:48:09,911 - value: 26.89
2024-08-24 16:48:10,911 - value: 26.94
2024-08-24 16:48:11,912 - value: 26.98
2024-08-24 16:48:12,414 - value: 27.00
2024-08-24 16:48:13,400 - value: 27.05
2024-08-24 16:48:14,404 - value: 27.05
2024-08-24 16:48:15,402 - value: 27.13
2024-08-24 16:48:16,402 - value: 27.39
2024-08-24 16:48:16,903 - value: 27.39
2024-08-24 16:48:17,904 - value: 27.37
2024-08-24 16:48:18,907 - value: 27.43
2024-08-24 16:48:20,157 - value: 27.43
2024-08-24 16:48:20,416 - value: 27.34
2024-08-24 16:48:21,317 - value: 27.24
2024-08-24 16:48:22,223 - value: 27.17
2024-08-24 16:48:23,121 - value: 27.16
2024-08-24 16:48:24,026 - value: 27.19
2024-08-24 16:48:24,831 - value: 27.23
2024-08-24 16:48:25,836 - value: 27.24
2024-08-24 16:48:26,847 - value: 27.22
2024-08-24 16:48:27,649 - value: 27.19
2024-08-24 16:48:28,555 - value: 27.20
2024-08-24 16:48:29,456 - value: 27.26
2024-08-24 16:48:30,358 - value: 27.23
2024-08-24 16:48:31,263 - value: 27.27
2024-08-24 16:48:32,169 - value: 27.22
2024-08-24 16:48:33,074 - value: 27.05
2024-08-24 16:48:33,979 - value: 26.97
2024-08-24 16:48:34,887 - value: 26.93
2024-08-24 16:48:35,688 - value: 27.00
2024-08-24 16:48:36,590 - value: 27.12
2024-08-24 16:48:37,495 - value: 27.14
2024-08-24 16:48:38,297 - value: 27.17
2024-08-24 16:48:39,200 - value: 27.13
2024-08-24 16:48:40,133 - value: 27.07
2024-08-24 16:48:41,014 - value: 27.01
2024-08-24 16:48:42,014 - value: 26.90
2024-08-24 16:48:42,916 - value: 26.78
2024-08-24 16:48:43,722 - value: 26.66
2024-08-24 16:48:45,531 - value: 26.58
2024-08-24 16:48:46,435 - value: 26.53
2024-08-24 16:48:47,341 - value: 26.60
2024-08-24 16:48:48,244 - value: 26.64
2024-08-24 16:48:49,149 - value: 26.64
2024-08-24 16:48:50,056 - value: 26.63
2024-08-24 16:48:51,362 - value: 26.61
2024-08-24 16:48:51,765 - value: 26.65
2024-08-24 16:48:52,668 - value: 26.72
2024-08-24 16:48:53,574 - value: 26.79
2024-08-24 16:48:54,480 - value: 26.76
2024-08-24 16:48:55,385 - value: 26.76
2024-08-24 16:48:56,288 - value: 26.80
2024-08-24 16:48:57,191 - value: 26.83
2024-08-24 16:48:58,197 - value: 26.80
2024-08-24 16:48:59,101 - value: 26.76
2024-08-24 16:48:59,806 - value: 26.73
2024-08-24 16:49:00,708 - value: 26.80
2024-08-24 16:49:01,615 - value: 26.99
2024-08-24 16:49:02,618 - value: 27.02
2024-08-24 16:49:03,523 - value: 26.90
2024-08-24 16:49:04,429 - value: 26.78
2024-08-24 16:49:05,333 - value: 26.73
2024-08-24 16:49:06,235 - value: 26.75
2024-08-24 16:49:07,142 - value: 26.69
2024-08-24 16:49:07,841 - value: 26.61
2024-08-24 16:49:08,850 - value: 26.59
2024-08-24 16:49:09,750 - value: 26.53
2024-08-24 16:49:10,554 - value: 26.52
2024-08-24 16:49:12,165 - value: 26.50
2024-08-24 16:49:12,363 - value: 26.67
2024-08-24 16:49:13,269 - value: 26.73
2024-08-24 16:49:14,172 - value: 26.77
2024-08-24 16:49:15,077 - value: 26.82
2024-08-24 16:49:15,983 - value: 26.92
2024-08-24 16:49:16,887 - value: 27.11
2024-08-24 16:49:17,894 - value: 27.11
2024-08-24 16:49:18,797 - value: 27.10
2024-08-24 16:49:19,599 - value: 27.08
2024-08-24 16:49:20,504 - value: 27.04
2024-08-24 16:49:21,413 - value: 27.02
2024-08-24 16:49:22,314 - value: 27.02
2024-08-24 16:49:23,219 - value: 26.93
2024-08-24 16:49:24,127 - value: 26.89
2024-08-24 16:49:25,026 - value: 26.86
2024-08-24 16:49:25,931 - value: 26.79
2024-08-24 16:49:26,832 - value: 26.70
2024-08-24 16:49:27,639 - value: 26.61
2024-08-24 16:49:28,545 - value: 26.67
2024-08-24 16:49:29,447 - value: 26.87
2024-08-24 16:49:30,353 - value: 26.83
2024-08-24 16:49:31,260 - value: 26.80
2024-08-24 16:49:32,165 - value: 26.82
2024-08-24 16:49:33,069 - value: 26.96
2024-08-24 16:49:33,974 - value: 26.97
2024-08-24 16:49:34,878 - value: 27.44
2024-08-24 16:49:35,783 - value: 27.43
2024-08-24 16:49:36,684 - value: 27.31
2024-08-24 16:49:37,487 - value: 27.55
2024-08-24 16:49:38,389 - value: 27.62
2024-08-24 16:49:39,294 - value: 27.85
2024-08-24 16:49:40,198 - value: 27.71
2024-08-24 16:49:41,099 - value: 27.55
2024-08-24 16:49:42,006 - value: 27.41
2024-08-24 16:49:42,908 - value: 27.21
2024-08-24 16:49:43,726 - value: 27.07
2024-08-24 16:49:44,717 - value: 27.03
2024-08-24 16:49:45,621 - value: 27.02
2024-08-24 16:49:46,438 - value: 26.98
2024-08-24 16:49:47,332 - value: 26.98
2024-08-24 16:49:48,336 - value: 27.02
2024-08-24 16:49:49,248 - value: 27.04
2024-08-24 16:49:50,147 - value: 27.07
2024-08-24 16:49:51,050 - value: 27.20
2024-08-24 16:49:51,958 - value: 27.30
2024-08-24 16:49:52,858 - value: 27.38
2024-08-24 16:49:53,761 - value: 27.35
2024-08-24 16:49:54,564 - value: 27.43
2024-08-24 16:49:55,472 - value: 27.63
2024-08-24 16:49:56,376 - value: 27.60
2024-08-24 16:49:57,178 - value: 27.73
2024-08-24 16:49:58,084 - value: 27.58
2024-08-24 16:49:58,990 - value: 27.53
2024-08-24 16:49:59,893 - value: 27.42
2024-08-24 16:50:00,797 - value: 27.29
2024-08-24 16:50:01,702 - value: 27.27
2024-08-24 16:50:02,503 - value: 27.26
2024-08-24 16:50:03,408 - value: 27.25
2024-08-24 16:50:04,312 - value: 27.19
2024-08-24 16:50:05,317 - value: 27.12
2024-08-24 16:50:06,224 - value: 27.33
2024-08-24 16:50:07,126 - value: 27.56
2024-08-24 16:50:08,029 - value: 27.44
2024-08-24 16:50:08,936 - value: 27.41
2024-08-24 16:50:09,839 - value: 27.25
2024-08-24 16:50:10,645 - value: 27.19
2024-08-24 16:50:11,648 - value: 27.14
2024-08-24 16:50:12,553 - value: 27.08
2024-08-24 16:50:13,355 - value: 27.16
2024-08-24 16:50:14,263 - value: 27.20
2024-08-24 16:50:15,166 - value: 27.15
2024-08-24 16:50:16,070 - value: 26.94
2024-08-24 16:50:16,975 - value: 26.79
2024-08-24 16:50:17,878 - value: 26.74
2024-08-24 16:50:18,685 - value: 26.71
2024-08-24 16:50:19,588 - value: 26.97
2024-08-24 16:50:20,596 - value: 27.07
2024-08-24 16:50:21,398 - value: 27.09
2024-08-24 16:50:22,302 - value: 27.27
2024-08-24 16:50:23,204 - value: 27.39
2024-08-24 16:50:24,110 - value: 27.20
2024-08-24 16:50:25,016 - value: 27.22
2024-08-24 16:50:25,920 - value: 27.22
2024-08-24 16:50:26,822 - value: 27.05
2024-08-24 16:50:27,728 - value: 26.92
2024-08-24 16:50:28,632 - value: 26.81
2024-08-24 16:50:29,436 - value: 26.84
2024-08-24 16:50:30,341 - value: 26.88
2024-08-24 16:50:31,272 - value: 26.92
2024-08-24 16:50:32,152 - value: 26.94
2024-08-24 16:50:33,058 - value: 26.89
2024-08-24 16:50:34,062 - value: 26.85
2024-08-24 16:50:34,967 - value: 26.86
2024-08-24 16:50:35,870 - value: 27.01
2024-08-24 16:50:36,775 - value: 27.07
2024-08-24 16:50:37,579 - value: 27.05
2024-08-24 16:50:38,483 - value: 27.11
