Time [sec]	Time (UTC)	P [mB]	T [°F]	Hu [%]	Ws [mi/h]	Wd [°]	Ws U [mi/h]	Ws V [mi/h]	Geopot [m]	Dew [°F]
124       	17:03:58  	805.8 	19.7  	28    	33.0     	164   	-9.0       	31.7       	1937      	0.9
126       	17:04:00  	805.4 	19.6  	28    	32.8     	164   	-9.3       	31.5       	1942      	0.9
128       	17:04:02  	804.9 	19.6  	28    	32.6     	163   	-9.5       	31.2       	1947      	0.8
130       	17:04:04  	804.4 	19.6  	28    	32.4     	163   	-9.7       	30.9       	1952      	0.7
132       	17:04:06  	803.9 	19.6  	28    	26.0     	161   	-8.3       	24.6       	1958      	0.6
134       	17:04:08  	803.4 	19.5  	28    	19.2     	159   	-6.8       	18.0       	1963      	0.5
136       	17:04:10  	802.9 	19.5  	28    	12.5     	155   	-5.3       	11.3       	1969      	0.4
138       	17:04:12  	802.4 	19.5  	28    	6.1      	142   	-3.8       	4.8        	1974      	0.3
140       	17:04:14  	801.9 	19.5  	27    	2.6      	051   	-2.0       	-1.6       	1980      	0.2
142       	17:04:16  	801.3 	19.5  	28    	7.9      	002   	-0.3       	-7.9       	1985      	0.3
144       	17:04:18  	800.8 	19.5  	28    	14.4     	354   	1.4        	-14.3      	1991      	0.4
146       	17:04:20  	800.3 	19.4  	28    	20.9     	351   	3.1        	-20.7      	1996      	0.5
148       	17:04:22  	799.8 	19.3  	28    	27.5     	350   	4.8        	-27.1      	2002      	0.6
150       	17:04:24  	799.3 	19.1  	29    	34.0     	349   	6.5        	-33.4      	2008      	0.6
152       	17:04:26  	798.6 	18.8  	29    	34.4     	349   	6.6        	-33.8      	2013      	0.6
154       	17:04:28  	797.9 	18.8  	30    	34.4     	349   	6.6        	-33.8      	2020      	0.7
156       	17:04:30  	797.2 	18.7  	30    	34.4     	349   	6.6        	-33.8      	2030      	0.8
158       	17:04:32  	796.3 	18.6  	30    	34.4     	349   	6.6        	-33.8      	2040      	0.8
160       	17:04:34  	795.3 	18.6  	30    	34.4     	349   	6.6        	-33.8      	2050      	0.6
162       	17:04:36  	794.4 	18.5  	30    	34.4     	349   	6.6        	-33.8      	2060      	0.5
164       	17:04:38  	793.5 	18.5  	29    	34.4     	349   	6.6        	-33.8      	2070      	0.3
166       	17:04:40  	792.5 	18.4  	29    	34.4     	349   	6.6        	-33.8      	2080      	0.1
168       	17:04:42  	791.6 	18.4  	29    	34.4     	349   	6.6        	-33.8      	2090      	-0.1
170       	17:04:44  	790.6 	18.5  	28    	34.4     	349   	6.6        	-33.8      	2101      	-0.2
172       	17:04:46  	789.7 	18.4  	28    	34.4     	349   	6.6        	-33.8      	2111      	-0.3
174       	17:04:48  	788.8 	18.3  	28    	34.4     	349   	6.6        	-33.8      	2121      	-0.4
176       	17:04:50  	787.8 	18.1  	28    	34.4     	349   	6.6        	-33.8      	2131      	-0.5
178       	17:04:52  	786.9 	18.0  	28    	34.4     	349   	6.6        	-33.8      	2141      	-0.6
180       	17:04:54  	786.0 	17.9  	28    	34.4     	349   	6.6        	-33.8      	2151      	-0.6
182       	17:04:56  	785.0 	17.8  	28    	34.4     	349   	6.6        	-33.8      	2161      	-0.7
184       	17:04:58  	784.1 	17.8  	28    	34.4     	349   	6.6        	-33.8      	2171      	-0.8
186       	17:05:00  	783.2 	17.7  	28    	34.4     	349   	6.6        	-33.8      	2181      	-0.9
188       	17:05:02  	782.3 	17.6  	28    	34.4     	349   	6.6        	-33.8      	2192      	-0.9
190       	17:05:04  	781.3 	17.5  	28    	34.4     	349   	6.6        	-33.8      	2202      	-1.0
192       	17:05:06  	780.4 	17.4  	28    	34.4     	349   	6.6        	-33.8      	2212      	-1.1
194       	17:05:08  	779.5 	17.3  	29    	34.4     	349   	6.6        	-33.8      	2222      	-1.1
196       	17:05:10  	778.6 	17.1  	29    	34.4     	349   	6.6        	-33.8      	2232      	-1.1
198       	17:05:12  	777.6 	17.0  	29    	34.4     	349   	6.6        	-33.8      	2242      	-1.1
200       	17:05:14  	776.7 	17.0  	29    	34.4     	349   	6.6        	-33.8      	2252      	-1.0
202       	17:05:16  	775.8 	16.8  	30    	34.4     	349   	6.6        	-33.8      	2262      	-1.0
204       	17:05:18  	774.9 	16.7  	30    	34.4     	349   	6.6        	-33.8      	2273      	-1.0
206       	17:05:20  	773.9 	16.6  	30    	34.4     	349   	6.6        	-33.8      	2283      	-1.0
208       	17:05:22  	773.0 	16.6  	30    	34.4     	349   	6.6        	-33.8      	2293      	-0.9
210       	17:05:24  	772.1 	16.5  	30    	34.4     	349   	6.6        	-33.8      	2303      	-0.9
212       	17:05:26  	771.2 	16.4  	30    	34.4     	349   	6.6        	-33.8      	2313      	-1.0
214       	17:05:28  	770.3 	16.4  	30    	34.4     	349   	6.6        	-33.8      	2323      	-1.0
216       	17:05:30  	769.4 	16.3  	31    	34.4     	349   	6.6        	-33.8      	2333      	-1.0
218       	17:05:32  	768.4 	16.1  	31    	34.4     	349   	6.6        	-33.8      	2343      	-1.1
220       	17:05:34  	767.5 	15.8  	31    	34.4     	349   	6.6        	-33.8      	2353      	-1.3
222       	17:05:36  	766.6 	15.6  	31    	34.4     	349   	6.6        	-33.8      	2364      	-1.4
224       	17:05:38  	765.7 	15.5  	31    	34.4     	349   	6.6        	-33.8      	2374      	-1.5
226       	17:05:40  	764.8 	15.5  	31    	34.4     	349   	6.6        	-33.8      	2384      	-1.4
228       	17:05:42  	763.8 	15.3  	31    	34.4     	349   	6.6        	-33.8      	2394      	-1.5
230       	17:05:44  	762.9 	15.3  	31    	34.4     	349   	6.6        	-33.8      	2405      	-1.4
232       	17:05:46  	762.0 	15.3  	32    	34.4     	349   	6.6        	-33.8      	2415      	-1.4
234       	17:05:48  	761.0 	15.3  	32    	34.4     	349   	6.6        	-33.8      	2425      	-1.4
236       	17:05:50  	760.2 	15.2  	32    	34.4     	349   	6.6        	-33.8      	2435      	-1.3
238       	17:05:52  	759.3 	15.2  	32    	34.4     	349   	6.6        	-33.8      	2445      	-1.3
240       	17:05:54  	758.5 	15.0  	32    	34.4     	349   	6.6        	-33.8      	2454      	-1.4
242       	17:05:56  	757.6 	14.7  	32    	34.2     	349   	6.6        	-33.6      	2464      	-1.6
244       	17:05:58  	756.8 	14.5  	33    	22.5     	346   	5.4        	-21.8      	2473      	-1.7
246       	17:06:00  	755.9 	14.5  	33    	11.0     	337   	4.3        	-10.1      	2483      	-1.7
248       	17:06:02  	755.2 	14.3  	33    	3.5      	241   	3.1        	1.7        	2491      	-1.7
250       	17:06:04  	754.4 	14.3  	33    	13.6     	188   	2.0        	13.5       	2499      	-1.6
252       	17:06:06  	753.7 	14.4  	34    	25.2     	182   	0.8        	25.2       	2507      	-1.4
254       	17:06:08  	753.0 	14.4  	34    	37.0     	179   	-0.4       	37.0       	2515      	-1.2
256       	17:06:10  	752.2 	14.4  	34    	48.7     	178   	-1.5       	48.7       	2524      	-1.0
258       	17:06:12  	751.5 	14.3  	35    	60.6     	177   	-2.7       	60.5       	2532      	-0.9
260       	17:06:14  	750.8 	14.2  	36    	72.3     	177   	-3.8       	72.2       	2540      	-0.8
262       	17:06:16  	750.0 	13.9  	36    	83.8     	177   	-5.0       	83.7       	2548      	-0.7
264       	17:06:18  	749.3 	13.7  	37    	83.8     	177   	-5.0       	83.7       	2557      	-0.7
266       	17:06:20  	748.6 	13.5  	37    	83.8     	177   	-5.0       	83.7       	2565      	-0.7
268       	17:06:22  	747.8 	13.5  	38    	83.8     	177   	-5.0       	83.7       	2573      	-0.6
270       	17:06:24  	747.1 	13.4  	38    	83.8     	177   	-5.0       	83.7       	2581      	-0.5
272       	17:06:26  	746.4 	13.4  	38    	83.8     	177   	-5.0       	83.7       	2589      	-0.5
274       	17:06:28  	745.7 	13.3  	39    	83.8     	177   	-5.0       	83.7       	2598      	-0.5
276       	17:06:30  	744.9 	13.3  	39    	83.8     	177   	-5.0       	83.7       	2606      	-0.4
278       	17:06:32  	744.2 	13.2  	39    	83.8     	177   	-5.0       	83.7       	2614      	-0.5
280       	17:06:34  	743.5 	13.1  	39    	83.8     	177   	-5.0       	83.7       	2622      	-0.4
282       	17:06:36  	742.7 	13.0  	39    	83.8     	177   	-5.0       	83.7       	2631      	-0.4
284       	17:06:38  	742.0 	13.0  	40    	83.8     	177   	-5.0       	83.7       	2639      	-0.4
286       	17:06:40  	741.3 	13.0  	40    	83.8     	177   	-5.0       	83.7       	2647      	-0.2
288       	17:06:42  	740.6 	13.0  	40    	83.8     	177   	-5.0       	83.7       	2655      	-0.3
290       	17:06:44  	739.8 	12.9  	40    	83.8     	177   	-5.0       	83.7       	2663      	-0.2
292       	17:06:46  	739.1 	12.8  	40    	83.8     	177   	-5.0       	83.7       	2672      	-0.3
294       	17:06:48  	738.4 	12.7  	40    	83.8     	177   	-5.0       	83.7       	2680      	-0.5
296       	17:06:50  	737.7 	12.5  	40    	83.8     	177   	-5.0       	83.7       	2688      	-0.6
298       	17:06:52  	736.9 	12.5  	40    	83.8     	177   	-5.0       	83.7       	2696      	-0.6
300       	17:06:54  	736.2 	12.4  	40    	83.8     	177   	-5.0       	83.7       	2705      	-0.7
302       	17:06:56  	735.5 	12.4  	40    	83.8     	177   	-5.0       	83.7       	2713      	-0.7
304       	17:06:58  	734.8 	12.3  	41    	83.8     	177   	-5.0       	83.7       	2721      	-0.6
306       	17:07:00  	734.1 	12.2  	41    	83.8     	177   	-5.0       	83.7       	2729      	-0.5
308       	17:07:02  	733.3 	12.1  	42    	83.8     	177   	-5.0       	83.7       	2737      	-0.5
310       	17:07:04  	732.6 	12.0  	42    	83.8     	177   	-5.0       	83.7       	2746      	-0.5
312       	17:07:06  	731.9 	11.9  	43    	83.8     	177   	-5.0       	83.7       	2754      	-0.2
314       	17:07:08  	731.2 	11.8  	44    	83.8     	177   	-5.0       	83.7       	2762      	-0.0
316       	17:07:10  	730.4 	11.7  	44    	83.8     	177   	-5.0       	83.7       	2770      	0.0
318       	17:07:12  	729.7 	11.6  	45    	83.8     	177   	-5.0       	83.7       	2779      	-0.0
320       	17:07:14  	729.0 	3.8   	45    	83.8     	177   	-5.0       	83.7       	2787      	-7.0
322       	17:07:16  	728.2 	3.8   	45    	83.8     	177   	-5.0       	83.7       	2795      	-7.0
324       	17:07:18  	727.5 	-7.2  	45    	83.8     	177   	-5.0       	83.7       	2803      	-17.0
326       	17:07:20  	726.6 	-11.7 	45    	83.8     	177   	-5.0       	83.7       	2811      	-20.2
328       	17:07:22  	725.8 	-11.8 	45    	83.8     	177   	-5.0       	83.7       	2820      	-20.3
330       	17:07:24  	725.0 	0.3   	45    	83.8     	177   	-5.0       	83.7       	2831      	-10.1
332       	17:07:26  	724.0 	7.1   	45    	83.8     	177   	-5.0       	83.7       	2842      	-3.9
334       	17:07:28  	723.1 	11.2  	46    	83.8     	177   	-5.0       	83.7       	2853      	-0.1
336       	17:07:30  	722.1 	11.0  	46    	83.8     	177   	-5.0       	83.7       	2863      	-0.3
338       	17:07:32  	721.2 	10.8  	46    	83.8     	177   	-5.0       	83.7       	2874      	-0.4
340       	17:07:34  	720.3 	10.7  	46    	83.8     	177   	-5.0       	83.7       	2884      	-0.5
342       	17:07:36  	719.4 	10.6  	45    	83.8     	177   	-5.0       	83.7       	2895      	-0.7
344       	17:07:38  	718.4 	10.5  	45    	83.8     	177   	-5.0       	83.7       	2905      	-1.0
346       	17:07:40  	717.4 	10.4  	44    	83.8     	177   	-5.0       	83.7       	2916      	-1.4
348       	17:07:42  	716.4 	10.5  	43    	83.8     	177   	-5.0       	83.7       	2929      	-1.7
350       	17:07:44  	715.3 	10.4  	41    	83.8     	177   	-5.0       	83.7       	2942      	-2.0
352       	17:07:46  	714.2 	10.4  	40    	83.8     	177   	-5.0       	83.7       	2955      	-2.4
354       	17:07:48  	713.1 	10.4  	39    	83.8     	177   	-5.0       	83.7       	2967      	-2.8
356       	17:07:50  	712.1 	10.3  	39    	83.8     	177   	-5.0       	83.7       	2980      	-3.1
358       	17:07:52  	711.0 	10.2  	38    	83.8     	177   	-5.0       	83.7       	2993      	-3.4
360       	17:07:54  	709.9 	10.1  	38    	83.8     	177   	-5.0       	83.7       	3005      	-3.5
