Time [sec]	Time (UTC)	P [mB]	T [°F]	Hu [%]	Ws [mi/h]	Wd [°]	Ws U [mi/h]	Ws V [mi/h]	Geopot [m]	Dew [°F]
0         	17:00:21  	871.8 	28.9  	32    	11.3     	157   	-4.4       	10.4       	1288      	10.5
2         	17:00:23  	870.1 	29.5  	28    	11.6     	159   	-4.2       	10.8       	1306      	9.2
4         	17:00:25  	868.3 	29.2  	28    	11.6     	159   	-4.2       	10.8       	1324      	8.6
6         	17:00:27  	866.6 	29.1  	28    	11.6     	159   	-4.2       	10.8       	1342      	8.9
8         	17:00:29  	865.1 	29.1  	29    	13.8     	157   	-5.3       	12.7       	1359      	9.1
10        	17:00:31  	863.7 	28.9  	29    	14.8     	157   	-5.8       	13.6       	1374      	9.1
12        	17:00:33  	862.2 	28.7  	29    	15.1     	157   	-5.9       	13.9       	1387      	9.1
14        	17:00:35  	860.9 	28.5  	30    	15.2     	157   	-6.0       	14.0       	1400      	9.1
16        	17:00:37  	859.5 	28.3  	30    	15.7     	156   	-6.3       	14.4       	1414      	9.0
18        	17:00:39  	858.2 	28.0  	30    	15.7     	156   	-6.3       	14.4       	1428      	8.8
20        	17:00:41  	856.7 	28.0  	30    	15.7     	156   	-6.3       	14.4       	1442      	8.9
22        	17:00:43  	855.3 	27.7  	30    	15.7     	156   	-6.3       	14.4       	1458      	8.8
24        	17:00:45  	853.8 	27.4  	31    	15.5     	159   	-5.6       	14.4       	1474      	8.7
26        	17:00:47  	852.2 	27.2  	31    	15.3     	161   	-5.0       	14.5       	1490      	8.6
28        	17:00:49  	850.7 	27.2  	31    	15.2     	162   	-4.6       	14.5       	1506      	8.7
30        	17:00:51  	849.1 	27.0  	31    	14.7     	170   	-2.5       	14.5       	1522      	8.6
32        	17:00:53  	847.6 	26.9  	31    	14.7     	170   	-2.5       	14.5       	1538      	8.5
34        	17:00:55  	846.1 	26.8  	31    	14.7     	170   	-2.5       	14.5       	1554      	8.5
36        	17:00:57  	844.6 	26.5  	32    	14.8     	172   	-2.1       	14.6       	1570      	8.3
38        	17:00:59  	843.1 	26.3  	32    	14.7     	173   	-1.7       	14.6       	1585      	8.1
40        	17:01:01  	841.6 	26.1  	32    	14.7     	175   	-1.4       	14.6       	1601      	8.0
42        	17:01:03  	840.1 	26.0  	32    	14.7     	175   	-1.3       	14.6       	1616      	8.0
44        	17:01:05  	838.6 	25.9  	32    	14.6     	176   	-1.1       	14.6       	1632      	7.9
46        	17:01:07  	837.1 	25.7  	32    	14.6     	175   	-1.2       	14.6       	1648      	7.9
48        	17:01:09  	835.6 	25.5  	33    	14.7     	176   	-0.9       	14.7       	1664      	7.9
50        	17:01:11  	834.2 	25.3  	33    	14.9     	177   	-0.9       	14.9       	1678      	7.9
52        	17:01:13  	832.9 	25.2  	33    	15.1     	177   	-0.8       	15.1       	1692      	7.9
54        	17:01:15  	831.5 	25.1  	34    	15.3     	177   	-0.8       	15.3       	1706      	7.9
56        	17:01:17  	830.1 	24.9  	34    	15.5     	177   	-0.9       	15.5       	1721      	7.9
58        	17:01:19  	828.7 	24.7  	34    	15.7     	176   	-1.0       	15.7       	1736      	7.8
60        	17:01:21  	827.4 	24.6  	34    	15.9     	176   	-1.2       	15.9       	1750      	7.8
62        	17:01:23  	826.0 	24.4  	35    	16.3     	175   	-1.5       	16.2       	1765      	7.8
64        	17:01:25  	824.5 	24.3  	35    	16.5     	174   	-1.8       	16.4       	1780      	7.8
