Index,Varname,Duplicate_name,Expected_tracers
31,Naphthalene_PTR,,nDecane_WAS; nDecane; nNonane_WAS; nNonane; nUndecane; nDodecane; nOctane_WAS; nOctane; x3_Methylheptane; x2_Methylheptane; Benzene_PTR; Benzene_WAS; Benzene; CO_Piccaro
32,Octanal_PTR,,Nonanal_PTR; Benzaldehyde_PTR; CO_Piccaro; nOctane_WAS; nOctane; nNonane_WAS; nNonane; O3_ppbv
33,Monoterpenes_PTR,,Alpha_Pinene_WAS; Beta_Pinene_WAS; Limonene_WAS; Isoprene_WAS; Isoprene; D5_siloxane_PTR; C10H17NO4_CIMS; H2O_Piccaro
34,Nonanal_PTR,,Octanal_PTR; Benzaldehyde_PTR; CO_Piccaro; nNonane_WAS; nNonane; nOctane_WAS; nOctane; O3_ppbv
35,C7H4ClF3_PTR,,C9Aromatics_PTR; C8Aromatics_PTR; Toluene_PTR; Toluene_WAS; Toluene; x135_TriMethylBenzene_WAS; x135_Trimethylbenzene; D5_siloxane_PTR
36,D5_siloxane_PTR,,Ethanol_PTR; C7H4ClF3_PTR; Methanol_PTR; CO_Piccaro
37,PAN_CIMS,,APAN_CIMS; PPN_CIMS; NOy_LIF; NO2_LIF; Acetaldehyde_PTR; O3_ppbv; HCHO_CRDS; Formaldehyde; CO_Piccaro; MVK_MACR_PTR
38,APAN_CIMS,,PAN_CIMS; PPN_CIMS; Acrolein_PTR; NOy_LIF; NO2_LIF; CO_Piccaro; Benzene_PTR
39,PPN_CIMS,,PAN_CIMS; APAN_CIMS; Acetone_Propanal_PTR; Acetone_WAS; NOy_LIF; NO2_LIF; CO_Piccaro
40,HCOOH_CIMS,,HCHO_CRDS; Formaldehyde; MVK_MACR_PTR; CO_Piccaro; O3_ppbv; Acetaldehyde_PTR; NO_LIF
41,HONO_CIMS,,NO_LIF; NO2_LIF; NOy_LIF; CO_Piccaro; Benzene_PTR; Benzene_WAS; Benzene; Ethyne_WAS; Acetylene; CO2_Piccaro
