Index,Varname,Duplicate_name,Expected_tracers
131,nHexane,nHexane_WAS,nPentane; nPentane_WAS; nHeptane; nHeptane_WAS; x2_Methylpentane; x2_MethylPentane_WAS; x3_Methylpentane; x3_MethylPentane_WAS; Methylcyclopentane; MethylCycloPentane_WAS; x22_Dimethylbutane; x22_DiMethylButane_WAS; CO_Piccaro
132,x2_Methylpentane,x2_MethylPentane_WAS,x3_Methylpentane; x3_MethylPentane_WAS; nHexane; nHexane_WAS; x22_Dimethylbutane; x22_DiMethylButane_WAS; Methylcyclopentane; MethylCycloPentane_WAS; CO_Piccaro
133,But1ene,x1_Butene_WAS,Propylene; Propene_WAS; Ethylene; Ethene_WAS; cis2Butene; c2Butene_WAS; trans2Butene; t2Butene_WAS; Acetylene; Ethyne_WAS; CO_Piccaro; NO_LIF
134,Cyclopentane,CycloPentane_WAS,Methylcyclopentane; MethylCycloPentane_WAS; nPentane; nPentane_WAS; Isopentane; iPentane_WAS; CO_Piccaro
135,nOctane,nOctane_WAS,nHeptane; nHeptane_WAS; nNonane; nNonane_WAS; nDecane; nDecane_WAS; x224_Trimethylpentane; x224_TriMethylPentane_WAS; CO_Piccaro
136,Isobutane,iButane_WAS,nButane; nButane_WAS; Propane; Propane_WAS; Ethane; Ethane_WAS; Isopentane; iPentane_WAS; CH4_Piccaro; CH4_CRDS
137,x22_Dimethylbutane,x22_DiMethylButane_WAS,x2_Methylpentane; x2_MethylPentane_WAS; x3_Methylpentane; x3_MethylPentane_WAS; nHexane; nHexane_WAS; CO_Piccaro
138,Propane,Propane_WAS,Ethane; Ethane_WAS; nButane; nButane_WAS; Isobutane; iButane_WAS; CH4_Piccaro; CH4_CRDS; CO2_Piccaro
139,Pent1ene,x1_Pentene_WAS,But1ene; x1_Butene_WAS; Propylene; Propene_WAS; Ethylene; Ethene_WAS; cis2Pentene; c2Pentene_WAS; trans2Pentene; t2Pentene_WAS; CO_Piccaro
140,Methylcyclohexane,MethylCycloHexane_WAS,Methylcyclopentane; MethylCycloPentane_WAS; nHeptane; nHeptane_WAS; Cyclohexane; nHexane; nHexane_WAS; CO_Piccaro
141,nButane,nButane_WAS,nButane_WAS; Isobutane; iButane_WAS; Propane; Propane_WAS; Ethane; Ethane_WAS; nPentane; nPentane_WAS; Isopentane; iPentane_WAS; CO_Piccaro; CH4_Piccaro; CH4_CRDS
142,nPentane,nPentane_WAS,nPentane_WAS; nButane; nButane_WAS; Isopentane; iPentane_WAS; nHexane; nHexane_WAS; Propane; Propane_WAS; CO_Piccaro
143,cis2Pentene,c2Pentene_WAS,trans2Pentene; t2Pentene_WAS; Pent1ene; x1_Pentene_WAS; Propylene; Propene_WAS; Ethylene; Ethene_WAS; CO_Piccaro
144,trans2Pentene,t2Pentene_WAS,cis2Pentene; c2Pentene_WAS; Pent1ene; x1_Pentene_WAS; Propylene; Propene_WAS; Ethylene; Ethene_WAS; CO_Piccaro
145,Isopentane,iPentane_WAS,nPentane; nPentane_WAS; Isobutane; iButane_WAS; nButane; nButane_WAS; C8Aromatics_PTR; Toluene; Toluene_WAS; Toluene_PTR; CO_Piccaro
146,cis2Butene,c2Butene_WAS,trans2Butene; t2Butene_WAS; But1ene; x1_Butene_WAS; Propylene; Propene_WAS; Ethylene; Ethene_WAS; CO_Piccaro
147,trans2Butene,t2Butene_WAS,cis2Butene; c2Butene_WAS; But1ene; x1_Butene_WAS; Propylene; Propene_WAS; Ethylene; Ethene_WAS; CO_Piccaro
148,Isoprene,Isoprene_WAS,Isoprene_WAS; MVK_MACR_PTR; MACR_WAS; ISOPN_CIMS; C4H7NO5_CIMS; C5H10O3_CIMS; Monoterpenes_PTR; H2O_Piccaro
149,x23_Dimethylpentane,,x3_Methylhexane; x24_Dimethylpentane; nHeptane; nHeptane_WAS; CO_Piccaro
150,x3_Methylhexane,,x2_Methylhexane; x23_Dimethylpentane; x24_Dimethylpentane; nHeptane; nHeptane_WAS; CO_Piccaro
151,x2_Methylhexane,,x3_Methylhexane; x23_Dimethylpentane; x24_Dimethylpentane; nHeptane; nHeptane_WAS; CO_Piccaro
152,x234_Trimethylpentane,,x224_Trimethylpentane; x224_TriMethylPentane_WAS; nOctane; nOctane_WAS; x2_Methylheptane; x3_Methylheptane; CO_Piccaro
153,x24_Dimethylpentane,,x23_Dimethylpentane; x3_Methylhexane; x2_Methylhexane; nHeptane; nHeptane_WAS; CO_Piccaro
154,x23_Dimethylbutane,,x22_Dimethylbutane; x22_DiMethylButane_WAS; x2_Methylpentane; x2_MethylPentane_WAS; x3_Methylpentane; x3_MethylPentane_WAS; nHexane; nHexane_WAS; CO_Piccaro
155,Cyclohexane,,Methylcyclohexane; MethylCycloHexane_WAS; Methylcyclopentane; MethylCycloPentane_WAS; nHexane; nHexane_WAS; nHeptane; nHeptane_WAS; CO_Piccaro
156,Hex1ene,,Pent1ene; x1_Pentene_WAS; But1ene; x1_Butene_WAS; Propylene; Propene_WAS; Ethylene; Ethene_WAS; CO_Piccaro
157,x3_Methylheptane,,x2_Methylheptane; nOctane; nOctane_WAS; nNonane; nNonane_WAS; nDecane; nDecane_WAS; x234_Trimethylpentane; CO_Piccaro
158,nUndecane,,nDecane; nDecane_WAS; nDodecane; nNonane; nNonane_WAS; Naphthalene_PTR; x3_Methylheptane; CO_Piccaro
159,pDiethylbenzene,,mDiethylbenzene; C9Aromatics_PTR; x135_Trimethylbenzene; x135_TriMethylBenzene_WAS; x124_Trimethylbenzene; x124_TriMethylBenzene_WAS; CO_Piccaro
160,mDiethylbenzene,,pDiethylbenzene; C9Aromatics_PTR; x135_Trimethylbenzene; x135_TriMethylBenzene_WAS; x124_Trimethylbenzene; x124_TriMethylBenzene_WAS; CO_Piccaro
161,nDodecane,,nUndecane; nDecane; nDecane_WAS; nNonane; nNonane_WAS; Naphthalene_PTR; x3_Methylheptane; CO_Piccaro
162,x2_Methylheptane,,x3_Methylheptane; nOctane; nOctane_WAS; nNonane; nNonane_WAS; x234_Trimethylpentane; nDecane; nDecane_WAS; CO_Piccaro
163,Alphapinene,Alpha_Pinene_WAS,Beta_Pinene_WAS; Limonene_WAS; Monoterpenes_PTR; C10H17NO4_CIMS; D5_siloxane_PTR; Isoprene_WAS; Isoprene_PTR
164,Betapinene,Beta_Pinene_WAS,Alpha_Pinene_WAS; Limonene_WAS; Monoterpenes_PTR; C10H17NO4_CIMS; D5_siloxane_PTR; Isoprene_WAS; Isoprene_PTR
165,NO,NO_LIF,CO_Piccaro; NOy_LIF; NO2_LIF; CO2_Piccaro; HONO_CIMS; Benzene_PTR; Benzene_WAS; Benzene; Ethyne_WAS; Acetylene; Ethene_WAS; Ethylene; Acrolein_PTR; Acetaldehyde_PTR; nButane_WAS; nButane; iPentane_WAS; Isopentane
166,NO2,NO2_LIF,NOy_LIF; NO_LIF; HONO_CIMS; PAN_CIMS; HNO3_CIMS; CO_Piccaro; Benzene_PTR; Benzene_WAS; Benzene; Acetaldehyde_PTR; CO2_Piccaro
167,NOy,NOy_LIF,NO2_LIF; NO_LIF; HNO3_CIMS; PAN_CIMS; N2O5_CIMS; PPN_CIMS; APAN_CIMS; ClNO2_CIMS; ISOPN_CIMS; C4H7NO5_CIMS; C5H9NO5_CIMS; C10H17NO4_CIMS; CO_Piccaro; Benzene_PTR; CO2_Piccaro
168,O3,O3_ppbv,HNO3_CIMS; PAN_CIMS; APAN_CIMS; PPN_CIMS; N2O5_CIMS; MVK_MACR_PTR; ISOPN_CIMS; C4H7NO5_CIMS; HCHO_CRDS; Formaldehyde; Benzaldehyde_PTR
