210	1.74e-18
212	1.54e-18
214	1.35e-18
216	1.15e-18
218	9.99e-19
220	8.61e-19
222	7.47e-19
224	6.48e-19
226	5.69e-19
228	4.96e-19
230	4.36e-19
232	3.83e-19
234	3.36e-19
236	2.95e-19
238	2.58e-19
240	2.26e-19
242	1.98e-19
244	1.74e-19
246	1.53e-19
248	1.35e-19
250	1.19e-19
252	1.05e-19
254	9.27e-20
256	8.23e-20
258	7.28e-20
260	6.44e-20
262	5.66e-20
264	4.96e-20
266	4.35e-20
268	3.80e-20
270	3.31e-20
272	2.87e-20
274	2.48e-20
276	2.14e-20
278	1.84e-20
280	1.57e-20
282	1.33e-20
284	1.12e-20
286	9.40e-21
288	7.90e-21
290	6.62e-21
292	5.51e-21
294	4.62e-21
296	3.89e-21
298	3.25e-21
300	2.73e-21
302	2.28e-21
304	1.92e-21
306	1.62e-21
308	1.36e-21
310	1.14e-21
312	9.62e-22
314	8.35e-22
316	6.89e-22
318	5.71e-22
320	4.91e-22
322	4.43e-22
324	3.54e-22
326	2.82e-22
328	2.42e-22
330	2.06e-22
332	1.74e-22
334	1.46e-22
336	1.07e-22
338	9.00e-23
340	6.60e-23
