MCM_primary_with_furans
ACR
APINENE
BCARY
BENZAL
BENZENE
BOX2PROL
BPINENE
BUOX2ETOH
BUT1ENE
BUT2OL
C2H2
C2H4
C2H5CHO
C2H5OH
C2H6
C3H6
C3H7CHO
C3H8
C4ALDB
C4H6
C4H9CHO
C5H8
CBUT2ENE
CCL2CH2
CDICLETH
CH2CL2
CH2CLCH2CL
CH2CLCHCL2
CH3BR
CH3CCL3
CH3CH2CL
CH3CHO
CH3CL
CH3CO2H
CH3COCH3
CH3OCH3
CH3OCHO
CH3OH
CH4
CHCL2CH3
CHCL2CHCL2
CHCL3
CHEX
CHEX2ENE
CL12PROP
CPENT2ENE
CYHEXOL
CYHEXONE
DIBRET
DIEK
DIET35TOL
DIETETHER
DIIPRETHER
DIME35EB
DM23BU2ENE
DMC
DMM
DMS
EBENZ
EOX2EOL
ETBE
ETHACET
ETHGLY
ETHOX
HCHO
HCOOH
HEX1ENE
HEX2ONE
HEX3ONE
IBUTOL
IC4H10
IC5H12
IPBENZ
IPEAOH
IPEBOH
IPECOH
IPRCHO
IPROACET
IPROPOL
LIMONENE
M22C4
M23C4
M2HEX
M2PE
M3HEX
M3PE
MACR
MBO
ME2BUT1ENE
ME2BUT2ENE
ME3BUOL
ME3BUT1ENE
MEK
MEPROPENE
METHACET
METHTOL
MIBK
MIBKAOH
MIPK
MO2EOL
MPRK
MTBE
MTBK
MXYL
NBUTACET
NBUTOL
NC10H22
NC11H24
NC12H26
NC4H10
NC5H12
NC6H14
NC7H16
NC8H18
NC9H20
NEOP
NPROACET
NPROPOL
OETHTOL
OXYL
PBENZ
PECOH
PENT1ENE
PETHTOL
PR2OHMOX
PROPACID
PROPGLY
PXYL
SBUTACET
STYRENE
TBUACET
TBUT2ENE
TBUTOL
TCE
TDICLETH
THEX2ENE
TM123B
TM124B
TM135B
TOLUENE
TPENT2ENE
TRICLETH
VINCL
DIMEFURAN
FURAN
FURFURAL
GUAIACOL
M2F
MEFURFURAL
SYRINGOL










































































































































































































































































































































































































