Time [sec]	Time (UTC)	P [mB]	T [°F]	Hu [%]	Ws [mi/h]	Wd [°]	Ws U [mi/h]	Ws V [mi/h]	Geopot [m]	Dew [°F]
0         	17:10:38  	875.6 	28.9  	32    	7.0      	135   	-5.0       	5.0        	1288      	10.5
2         	17:10:40  	869.8 	19.9  	33    	5.2      	277   	5.2        	-0.6       	1347      	3.2
4         	17:10:42  	864.0 	19.8  	34    	5.2      	277   	5.2        	-0.6       	1405      	3.5
6         	17:10:44  	858.2 	19.8  	34    	5.2      	277   	5.2        	-0.6       	1464      	3.5
8         	17:10:46  	852.4 	19.8  	34    	5.9      	280   	5.8        	-1.0       	1523      	3.5
10        	17:10:48  	846.6 	19.8  	34    	6.0      	281   	5.9        	-1.1       	1581      	3.6
12        	17:10:50  	840.9 	19.8  	34    	6.0      	281   	5.9        	-1.1       	1640      	3.6
14        	17:10:52  	835.2 	19.8  	34    	6.0      	281   	5.9        	-1.1       	1698      	3.6
16        	17:10:54  	829.5 	19.8  	34    	6.1      	280   	6.0        	-1.1       	1757      	3.7
18        	17:10:56  	823.9 	19.9  	34    	6.1      	280   	6.0        	-1.1       	1816      	3.8
20        	17:10:58  	818.3 	19.9  	35    	6.1      	281   	6.0        	-1.2       	1874      	3.8
22        	17:11:00  	812.8 	19.8  	35    	6.3      	283   	6.1        	-1.4       	1933      	3.9
24        	17:11:02  	807.2 	19.8  	35    	6.3      	284   	6.1        	-1.5       	1991      	3.9
26        	17:11:04  	801.8 	19.8  	35    	6.4      	284   	6.2        	-1.5       	2050      	3.9
28        	17:11:06  	796.3 	19.7  	35    	6.4      	284   	6.2        	-1.5       	2109      	3.9
30        	17:11:08  	790.9 	19.7  	35    	6.5      	285   	6.3        	-1.7       	2167      	3.9
32        	17:11:10  	785.5 	19.7  	35    	6.5      	285   	6.3        	-1.7       	2226      	3.9
34        	17:11:12  	780.2 	19.6  	35    	6.7      	287   	6.4        	-1.9       	2284      	4.0
36        	17:11:14  	774.9 	19.6  	36    	6.7      	287   	6.4        	-2.0       	2343      	4.0
38        	17:11:16  	769.7 	19.5  	36    	6.7      	288   	6.4        	-2.1       	2402      	4.0
40        	17:11:18  	764.4 	19.5  	36    	6.7      	288   	6.4        	-2.1       	2460      	4.1
42        	17:11:20  	759.2 	19.4  	36    	6.9      	289   	6.5        	-2.2       	2519      	4.1
44        	17:11:22  	758.2 	19.4  	37    	6.9      	289   	6.5        	-2.2       	2545      	4.2
46        	17:11:24  	757.1 	19.3  	37    	6.9      	289   	6.5        	-2.2       	2550      	4.2
48        	17:11:26  	756.1 	19.3  	37    	6.9      	289   	6.5        	-2.2       	2554      	4.3
