dt,USOS O3,UDAQ O3,merged_ozone,8hr_rolling_avg_USOS O3,MDA8_O3_USOS O3,Exceedance_day_USOS O3,8hr_rolling_avg_UDAQ O3,MDA8_O3_UDAQ O3,Exceedance_day_UDAQ O3,8hr_rolling_avg_merged_ozone,MDA8_O3_merged_ozone,Exceedance_day_merged_ozone
2024-07-15 22:00:00,,,,,,False,,,False,,,False
2024-07-15 23:00:00,,,,,,False,,,False,,,False
2024-07-16 00:00:00,,46.0,46.0,,72.65799965513472,True,,65.5,False,,72.65799965513472,True
2024-07-16 01:00:00,,53.0,53.0,,72.65799965513472,True,,65.5,False,,72.65799965513472,True
2024-07-16 02:00:00,,50.0,50.0,,72.65799965513472,True,,65.5,False,,72.65799965513472,True
2024-07-16 03:00:00,,46.0,46.0,,72.65799965513472,True,,65.5,False,,72.65799965513472,True
2024-07-16 04:00:00,,41.0,41.0,,72.65799965513472,True,,65.5,False,,72.65799965513472,True
2024-07-16 05:00:00,,38.0,38.0,,72.65799965513472,True,45.666666666666664,65.5,False,45.666666666666664,72.65799965513472,True
2024-07-16 06:00:00,,37.0,37.0,,72.65799965513472,True,44.42857142857143,65.5,False,44.42857142857143,72.65799965513472,True
2024-07-16 07:00:00,,33.0,33.0,,72.65799965513472,True,43.0,65.5,False,43.0,72.65799965513472,True
2024-07-16 08:00:00,,44.0,44.0,,72.65799965513472,True,42.75,65.5,False,42.75,72.65799965513472,True
2024-07-16 09:00:00,,57.0,57.0,,72.65799965513472,True,43.25,65.5,False,43.25,72.65799965513472,True
2024-07-16 10:00:00,59.77167684802923,65.0,59.77167684802923,,72.65799965513472,True,45.125,65.5,False,44.471459606003656,72.65799965513472,True
2024-07-16 11:00:00,67.16888888888889,73.0,67.16888888888889,,72.65799965513472,True,48.5,65.5,False,47.117570717114766,72.65799965513472,True
2024-07-16 12:00:00,75.945,75.0,75.945,,72.65799965513472,True,52.75,65.5,False,51.485695717114766,72.65799965513472,True
2024-07-16 13:00:00,85.26555555555555,66.0,85.26555555555555,,72.65799965513472,True,56.25,65.5,False,57.393890161559206,72.65799965513472,True
2024-07-16 14:00:00,75.154,62.0,75.154,,72.65799965513472,True,59.375,65.5,False,62.163140161559205,72.65799965513472,True
2024-07-16 15:00:00,71.92855555555555,61.0,71.92855555555555,72.5389461413382,72.65799965513472,True,62.875,65.5,False,67.02920960600365,72.65799965513472,True
2024-07-16 16:00:00,67.14077777777779,62.0,67.14077777777779,71.76777923225815,72.65799965513472,True,65.125,65.5,False,69.92180682822587,72.65799965513472,True
2024-07-16 17:00:00,69.84144444444445,60.0,69.84144444444445,71.52698738378143,72.65799965513472,True,65.5,65.5,False,71.52698738378143,72.65799965513472,True
2024-07-16 18:00:00,68.74077501885553,54.0,68.74077501885553,72.64812465513472,72.65799965513472,True,64.125,65.5,False,72.64812465513472,72.65799965513472,True
2024-07-16 19:00:00,67.2478888888889,45.0,67.2478888888889,72.65799965513472,72.65799965513472,True,60.625,65.5,False,72.65799965513472,72.65799965513472,True
2024-07-16 20:00:00,57.61866666666666,48.0,57.61866666666666,70.36720798846805,72.65799965513472,True,57.25,65.5,False,70.36720798846805,72.65799965513472,True
2024-07-16 21:00:00,52.17677777777778,52.0,52.17677777777778,66.23111076624583,72.65799965513472,True,55.5,65.5,False,66.23111076624583,72.65799965513472,True
2024-07-16 22:00:00,54.25211111111111,53.0,54.25211111111111,63.61837465513472,72.65799965513472,True,54.375,65.5,False,63.61837465513472,72.65799965513472,True
2024-07-16 23:00:00,57.88777777777778,54.0,57.88777777777778,61.863277432912504,72.65799965513472,True,53.5,65.5,False,61.863277432912504,72.65799965513472,True
2024-07-17 00:00:00,57.96711111111111,53.0,57.96711111111111,60.71656909957916,78.4680607819821,True,52.375,72.75,True,60.71656909957916,78.4680607819821,True
2024-07-17 01:00:00,58.26455555555556,50.0,58.26455555555556,59.26945798846805,78.4680607819821,True,51.125,72.75,True,59.26945798846805,78.4680607819821,True
2024-07-17 02:00:00,52.58611111111111,49.0,52.58611111111111,57.250125,78.4680607819821,True,50.5,72.75,True,57.250125,78.4680607819821,True
2024-07-17 03:00:00,53.82088888888889,49.0,53.82088888888889,55.57175,78.4680607819821,True,51.0,72.75,True,55.57175,78.4680607819821,True
2024-07-17 04:00:00,51.67733333333333,,51.67733333333333,54.82908333333333,78.4680607819821,True,51.42857142857143,72.75,True,54.82908333333333,78.4680607819821,True
2024-07-17 05:00:00,52.885888888888886,48.0,52.885888888888886,54.91772222222222,78.4680607819821,True,50.857142857142854,72.75,True,54.91772222222222,78.4680607819821,True
2024-07-17 06:00:00,52.76199999999999,46.0,52.76199999999999,54.73145833333333,78.4680607819821,True,49.857142857142854,72.75,True,54.73145833333333,78.4680607819821,True
2024-07-17 07:00:00,50.98055555555556,46.0,50.98055555555556,53.86805555555555,78.4680607819821,True,48.714285714285715,72.75,True,53.86805555555555,78.4680607819821,True
2024-07-17 08:00:00,48.559,48.0,48.559,52.69204166666667,78.4680607819821,True,48.0,72.75,True,52.69204166666667,78.4680607819821,True
2024-07-17 09:00:00,51.109781609195394,51.0,51.109781609195394,51.797694923371644,78.4680607819821,True,48.142857142857146,72.75,True,51.797694923371644,78.4680607819821,True
2024-07-17 10:00:00,53.69230805146094,58.0,53.69230805146094,51.93596954091538,78.4680607819821,True,49.42857142857143,72.75,True,51.93596954091538,78.4680607819821,True
2024-07-17 11:00:00,58.17833333333333,69.0,58.17833333333333,52.480650096470924,78.4680607819821,True,52.285714285714285,72.75,True,52.480650096470924,78.4680607819821,True
2024-07-17 12:00:00,69.88244444444445,69.0,69.88244444444445,54.75628898535982,78.4680607819821,True,54.375,72.75,True,54.75628898535982,78.4680607819821,True
2024-07-17 13:00:00,75.1268888888889,75.0,75.1268888888889,57.53641398535982,78.4680607819821,True,57.75,72.75,True,57.53641398535982,78.4680607819821,True
2024-07-17 14:00:00,77.65488888888889,77.0,77.65488888888889,60.64802509647093,78.4680607819821,True,61.625,72.75,True,60.64802509647093,78.4680607819821,True
2024-07-17 15:00:00,79.43955555555557,75.0,79.43955555555557,64.20540009647094,78.4680607819821,True,65.25,72.75,True,64.20540009647094,78.4680607819821,True
2024-07-17 16:00:00,82.981012740984,76.0,82.981012740984,68.50815168909394,78.4680607819821,True,68.75,72.75,True,68.50815168909394,78.4680607819821,True
2024-07-17 17:00:00,80.05522222222223,74.0,80.05522222222223,72.12633176572228,78.4680607819821,True,71.625,72.75,True,72.12633176572228,78.4680607819821,True
2024-07-17 18:00:00,84.40780684820605,67.0,84.40780684820605,75.96576911531542,78.4680607819821,True,72.75,72.75,True,75.96576911531542,78.4680607819821,True
2024-07-17 19:00:00,78.19666666666667,59.0,78.19666666666667,78.4680607819821,78.4680607819821,True,71.5,72.75,True,78.4680607819821,78.4680607819821,True
2024-07-17 20:00:00,69.08622222222222,54.0,69.08622222222222,78.36853300420432,78.4680607819821,True,69.625,72.75,True,78.36853300420432,78.4680607819821,True
2024-07-17 21:00:00,59.13011111111111,53.0,59.13011111111111,76.36893578198209,78.4680607819821,True,66.875,72.75,True,76.36893578198209,78.4680607819821,True
2024-07-17 22:00:00,62.10211111111111,55.0,62.10211111111111,74.42483855975986,78.4680607819821,True,64.125,72.75,True,74.42483855975986,78.4680607819821,True
