date,O3_ppbv
2024-07-16 00:00:00-06:00,72.80487342749842
2024-07-17 00:00:00-06:00,78.53338660124598
2024-07-18 00:00:00-06:00,73.61650536583623
2024-07-19 00:00:00-06:00,69.27904334612147
2024-07-20 00:00:00-06:00,67.63802622088559
2024-07-21 00:00:00-06:00,65.22510483057718
2024-07-22 00:00:00-06:00,68.77132361748306
2024-07-23 00:00:00-06:00,81.02474818252853
2024-07-24 00:00:00-06:00,82.99445430553243
2024-07-25 00:00:00-06:00,63.89670953756891
2024-07-26 00:00:00-06:00,74.8088738100579
2024-07-27 00:00:00-06:00,68.22225239979927
2024-07-28 00:00:00-06:00,72.91522788240286
2024-07-29 00:00:00-06:00,64.1259764708671
2024-07-30 00:00:00-06:00,73.46211134723296
2024-07-31 00:00:00-06:00,72.73998871556684
2024-08-01 00:00:00-06:00,77.7791614893933
2024-08-02 00:00:00-06:00,79.31469523763275
2024-08-03 00:00:00-06:00,63.55813968207718
2024-08-04 00:00:00-06:00,60.64813997056184
2024-08-05 00:00:00-06:00,63.79350026189089
2024-08-06 00:00:00-06:00,64.85852702621453
2024-08-07 00:00:00-06:00,66.48649137024017
2024-08-08 00:00:00-06:00,76.24546608773171
2024-08-09 00:00:00-06:00,57.34427810846561
2024-08-10 00:00:00-06:00,51.48122376581752
2024-08-11 00:00:00-06:00,55.690904604654605
2024-08-12 00:00:00-06:00,47.073376826876824
2024-08-13 00:00:00-06:00,44.760164699883454
2024-08-14 00:00:00-06:00,51.80811150770526
2024-08-15 00:00:00-06:00,49.46672261881637
2024-08-16 00:00:00-06:00,50.012357475857485
2024-08-17 00:00:00-06:00,37.52608346572409
2024-08-18 00:00:00-06:00,43.18961045956358
