time_local,O3_ppbv
2024-07-14 18:00:00-06:00,
2024-07-14 19:00:00-06:00,
2024-07-14 20:00:00-06:00,
2024-07-14 21:00:00-06:00,
2024-07-14 22:00:00-06:00,
2024-07-14 23:00:00-06:00,
2024-07-15 00:00:00-06:00,
2024-07-15 01:00:00-06:00,
2024-07-15 02:00:00-06:00,
2024-07-15 03:00:00-06:00,
2024-07-15 04:00:00-06:00,
2024-07-15 05:00:00-06:00,
2024-07-15 06:00:00-06:00,
2024-07-15 07:00:00-06:00,
2024-07-15 08:00:00-06:00,
2024-07-15 09:00:00-06:00,
2024-07-15 10:00:00-06:00,
2024-07-15 11:00:00-06:00,
2024-07-15 12:00:00-06:00,
2024-07-15 13:00:00-06:00,
2024-07-15 14:00:00-06:00,
2024-07-15 15:00:00-06:00,
2024-07-15 16:00:00-06:00,
2024-07-15 17:00:00-06:00,
2024-07-15 18:00:00-06:00,
2024-07-15 19:00:00-06:00,
2024-07-15 20:00:00-06:00,
2024-07-15 21:00:00-06:00,
2024-07-15 22:00:00-06:00,
2024-07-15 23:00:00-06:00,
2024-07-16 00:00:00-06:00,
2024-07-16 01:00:00-06:00,51.39342234400123
2024-07-16 02:00:00-06:00,54.91240141826185
2024-07-16 03:00:00-06:00,51.25807699499121
2024-07-16 04:00:00-06:00,46.52098977964036
2024-07-16 05:00:00-06:00,41.91924791329954
2024-07-16 06:00:00-06:00,39.483031631119104
2024-07-16 07:00:00-06:00,37.182160697948696
2024-07-16 08:00:00-06:00,38.94165023507901
2024-07-16 09:00:00-06:00,51.41638491200111
2024-07-16 10:00:00-06:00,61.280749185999184
2024-07-16 11:00:00-06:00,70.00011111111111
2024-07-16 12:00:00-06:00,79.32433333333333
2024-07-16 13:00:00-06:00,83.41388888888888
2024-07-16 14:00:00-06:00,73.85255555555557
2024-07-16 15:00:00-06:00,69.47922222222222
2024-07-16 16:00:00-06:00,68.5791111111111
2024-07-16 17:00:00-06:00,69.58655555555555
2024-07-16 18:00:00-06:00,68.20320964220964
2024-07-16 19:00:00-06:00,62.169
2024-07-16 20:00:00-06:00,54.13055555555555
2024-07-16 21:00:00-06:00,53.03255555555556
2024-07-16 22:00:00-06:00,56.06477777777778
2024-07-16 23:00:00-06:00,57.88344444444444
2024-07-17 00:00:00-06:00,58.79611111111111
2024-07-17 01:00:00-06:00,57.23222222222222
2024-07-17 02:00:00-06:00,53.29788888888889
2024-07-17 03:00:00-06:00,52.705444444444446
2024-07-17 04:00:00-06:00,52.30144444444444
2024-07-17 05:00:00-06:00,52.591
2024-07-17 06:00:00-06:00,52.26155555555555
2024-07-17 07:00:00-06:00,50.08433333333333
2024-07-17 08:00:00-06:00,49.349111111111114
2024-07-17 09:00:00-06:00,52.150168327043325
2024-07-17 10:00:00-06:00,54.99881340881341
2024-07-17 11:00:00-06:00,61.914
2024-07-17 12:00:00-06:00,73.234
2024-07-17 13:00:00-06:00,73.76377777777778
2024-07-17 14:00:00-06:00,79.68377777777778
2024-07-17 15:00:00-06:00,81.38738644688644
2024-07-17 16:00:00-06:00,81.05251465201465
2024-07-17 17:00:00-06:00,82.97822222222221
2024-07-17 18:00:00-06:00,81.76952504440004
2024-07-17 19:00:00-06:00,74.39788888888889
2024-07-17 20:00:00-06:00,65.45233333333333
2024-07-17 21:00:00-06:00,58.675222222222224
2024-07-17 22:00:00-06:00,58.845
2024-07-17 23:00:00-06:00,58.07577777777778
2024-07-18 00:00:00-06:00,62.23144444444444
2024-07-18 01:00:00-06:00,58.29977777777778
2024-07-18 02:00:00-06:00,56.96222222222222
2024-07-18 03:00:00-06:00,56.157444444444444
2024-07-18 04:00:00-06:00,55.34288888888889
2024-07-18 05:00:00-06:00,49.568555555555555
2024-07-18 06:00:00-06:00,40.455
2024-07-18 07:00:00-06:00,41.693333333333335
2024-07-18 08:00:00-06:00,41.55233333333334
2024-07-18 09:00:00-06:00,47.10344444444445
2024-07-18 10:00:00-06:00,58.187009180634185
2024-07-18 11:00:00-06:00,68.58766666666666
2024-07-18 12:00:00-06:00,77.84049031061531
2024-07-18 13:00:00-06:00,78.01277016644869
2024-07-18 14:00:00-06:00,80.22198168313636
2024-07-18 15:00:00-06:00,79.2745642400662
2024-07-18 16:00:00-06:00,77.51507470293588
2024-07-18 17:00:00-06:00,68.37169639539698
2024-07-18 18:00:00-06:00,59.10779876142376
2024-07-18 19:00:00-06:00,55.66444444444444
2024-07-18 20:00:00-06:00,54.86511111111111
2024-07-18 21:00:00-06:00,50.37877777777778
2024-07-18 22:00:00-06:00,45.06933333333333
2024-07-18 23:00:00-06:00,51.577888888888886
2024-07-19 00:00:00-06:00,53.55755555555555
2024-07-19 01:00:00-06:00,52.16377777777778
2024-07-19 02:00:00-06:00,47.748666666666665
2024-07-19 03:00:00-06:00,41.723444444444446
2024-07-19 04:00:00-06:00,40.781666666666666
