Time [sec]	Time (UTC)	P [mB]	T [°F]	Hu [%]	Ws [mi/h]	Wd [°]	Ws U [mi/h]	Ws V [mi/h]	Geopot [m]	Dew [°F]
0         	17:00:04  	875.6 	32.2  	22    	0.0      	360   	0.0        	-0.0       	1288      	7.8
2         	17:00:06  	874.5 	31.0  	21    	7.2      	297   	6.4        	-3.2       	1299      	6.3
4         	17:00:08  	873.4 	30.3  	21    	7.2      	297   	6.4        	-3.2       	1311      	5.8
6         	17:00:10  	872.3 	29.9  	22    	7.2      	297   	6.4        	-3.2       	1322      	6.0
8         	17:00:12  	871.3 	29.8  	23    	4.6      	270   	4.6        	0.0        	1333      	6.3
10        	17:00:14  	870.3 	29.8  	23    	4.6      	270   	4.6        	0.0        	1343      	6.6
12        	17:00:16  	869.2 	29.7  	24    	4.6      	270   	4.6        	0.0        	1353      	6.9
14        	17:00:18  	868.2 	29.6  	24    	4.6      	270   	4.6        	0.0        	1363      	7.0
16        	17:00:20  	867.2 	29.4  	25    	4.5      	269   	4.5        	0.1        	1374      	7.1
18        	17:00:22  	866.2 	29.3  	25    	4.5      	269   	4.5        	0.1        	1384      	7.2
20        	17:00:24  	865.2 	29.3  	25    	4.8      	278   	4.7        	-0.7       	1395      	7.4
22        	17:00:26  	864.2 	29.2  	26    	4.8      	282   	4.7        	-1.0       	1405      	7.6
24        	17:00:28  	863.3 	28.9  	26    	4.9      	284   	4.7        	-1.2       	1415      	7.6
26        	17:00:30  	862.2 	28.7  	26    	5.0      	285   	4.8        	-1.3       	1425      	7.5
28        	17:00:32  	861.2 	28.6  	27    	5.0      	286   	4.8        	-1.4       	1436      	7.6
30        	17:00:34  	860.1 	28.4  	27    	5.1      	291   	4.8        	-1.8       	1447      	7.6
32        	17:00:36  	859.2 	28.3  	27    	5.2      	301   	4.5        	-2.7       	1457      	7.7
34        	17:00:38  	858.2 	28.2  	28    	5.3      	306   	4.3        	-3.1       	1467      	7.8
36        	17:00:40  	857.2 	28.2  	28    	5.4      	309   	4.2        	-3.4       	1477      	7.8
38        	17:00:42  	856.4 	28.0  	28    	5.4      	310   	4.1        	-3.5       	1485      	7.8
40        	17:00:44  	855.6 	28.0  	28    	5.5      	311   	4.1        	-3.6       	1493      	7.9
42        	17:00:46  	854.8 	27.9  	29    	5.4      	313   	4.0        	-3.7       	1501      	8.0
44        	17:00:48  	854.1 	27.8  	29    	5.4      	312   	4.0        	-3.6       	1509      	8.0
46        	17:00:50  	853.4 	27.8  	29    	5.3      	309   	4.1        	-3.3       	1517      	8.1
